"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"OCEANUSDT","OCEANUSDT#1686139260000",1686139260000,"0.35020","0.35040","0.34910","0.34930","198581",1686139319999,"69418.88470",427,"67180","23484.30510"
"OCEANUSDT","OCEANUSDT#1686139320000",1686139320000,"0.34930","0.34960","0.34900","0.34920","152992",1686139379999,"53446.15820",233,"89157","31149.14770"
"OCEANUSDT","OCEANUSDT#1686139380000",1686139380000,"0.34930","0.34930","0.34900","0.34900","73946",1686139439999,"25825.26030",161,"33779","11797.59410"
"OCEANUSDT","OCEANUSDT#1686139440000",1686139440000,"0.34900","0.34930","0.34900","0.34920","56683",1686139499999,"19791.10060",108,"51749","18068.68690"
"OCEANUSDT","OCEANUSDT#1686139500000",1686139500000,"0.34920","0.34930","0.34770","0.34790","249668",1686139559999,"86993.00900",469,"62386","21729.64390"
"OCEANUSDT","OCEANUSDT#1686139560000",1686139560000,"0.34800","0.34800","0.34680","0.34770","331726",1686139619999,"115227.25230",541,"130464","45321.07680"
"OCEANUSDT","OCEANUSDT#1686139620000",1686139620000,"0.34770","0.34830","0.34770","0.34810","186207",1686139679999,"64810.57920",255,"79314","27601.56300"
"OCEANUSDT","OCEANUSDT#1686139680000",1686139680000,"0.34810","0.34900","0.34810","0.34900","141596",1686139739999,"49350.15140",219,"116698","40672.52850"
"OCEANUSDT","OCEANUSDT#1686139740000",1686139740000,"0.34900","0.34900","0.34800","0.34800","54409",1686139799999,"18970.04820",120,"471","164.07590"
"OCEANUSDT","OCEANUSDT#1686139800000",1686139800000,"0.34810","0.34810","0.34770","0.34780","70313",1686139859999,"24465.65440",165,"28775","10012.66990"
"OCEANUSDT","OCEANUSDT#1686139860000",1686139860000,"0.34790","0.34850","0.34790","0.34820","100460",1686139919999,"34993.74350",125,"76400","26612.63410"
"OCEANUSDT","OCEANUSDT#1686139920000",1686139920000,"0.34810","0.34820","0.34780","0.34820","86010",1686139979999,"29929.26710",141,"42832","14906.08900"
"OCEANUSDT","OCEANUSDT#1686139980000",1686139980000,"0.34820","0.34850","0.34820","0.34830","30838",1686140039999,"10740.74810",74,"9894","3446.30560"
"OCEANUSDT","OCEANUSDT#1686140040000",1686140040000,"0.34820","0.34820","0.34790","0.34790","12020",1686140099999,"4183.18750",30,"0","0.00000"
"OCEANUSDT","OCEANUSDT#1686140100000",1686140100000,"0.34800","0.34840","0.34800","0.34840","92767",1686140159999,"32302.26530",141,"69671","24258.89700"
"OCEANUSDT","OCEANUSDT#1686140160000",1686140160000,"0.34840","0.34840","0.34790","0.34790","38349",1686140219999,"13348.60200",95,"19248","6700.55600"
"OCEANUSDT","OCEANUSDT#1686140220000",1686140220000,"0.34790","0.34790","0.34700","0.34720","160946",1686140279999,"55905.72900",300,"69621","24184.30380"
"OCEANUSDT","OCEANUSDT#1686140280000",1686140280000,"0.34720","0.34780","0.34720","0.34780","104878",1686140339999,"36444.20530",204,"56097","19492.75040"
"OCEANUSDT","OCEANUSDT#1686140340000",1686140340000,"0.34770","0.34810","0.34770","0.34810","54585",1686140399999,"18989.80020",133,"40364","14043.16970"
"OCEANUSDT","OCEANUSDT#1686140400000",1686140400000,"0.34820","0.34830","0.34790","0.34800","75609",1686140459999,"26318.11750",173,"29150","10147.08100"
"OCEANUSDT","OCEANUSDT#1686140460000",1686140460000,"0.34800","0.34860","0.34780","0.34860","54544",1686140519999,"18997.67580",137,"42745","14888.71500"
"OCEANUSDT","OCEANUSDT#1686140520000",1686140520000,"0.34860","0.34890","0.34830","0.34880","48766",1686140579999,"16997.98800",129,"21480","7488.44860"
"OCEANUSDT","OCEANUSDT#1686140580000",1686140580000,"0.34870","0.34880","0.34840","0.34850","47197",1686140639999,"16453.86980",126,"15766","5496.35630"
"OCEANUSDT","OCEANUSDT#1686140640000",1686140640000,"0.34840","0.34860","0.34830","0.34850","42583",1686140699999,"14836.41470",85,"18871","6576.35130"
"OCEANUSDT","OCEANUSDT#1686140700000",1686140700000,"0.34840","0.34880","0.34830","0.34850","48273",1686140759999,"16824.93860",132,"30451","10614.15170"
"OCEANUSDT","OCEANUSDT#1686140760000",1686140760000,"0.34860","0.34870","0.34830","0.34870","34027",1686140819999,"11860.56320",100,"19973","6962.54070"
"OCEANUSDT","OCEANUSDT#1686140820000",1686140820000,"0.34860","0.34880","0.34850","0.34860","40326",1686140879999,"14059.49970",108,"11436","3987.30610"
"OCEANUSDT","OCEANUSDT#1686140880000",1686140880000,"0.34860","0.34890","0.34850","0.34890","20959",1686140939999,"7307.37110",80,"13323","4645.46150"
"OCEANUSDT","OCEANUSDT#1686140940000",1686140940000,"0.34880","0.34920","0.34880","0.34890","28975",1686140999999,"10115.36160",63,"15588","5442.68500"
"OCEANUSDT","OCEANUSDT#1686141000000",1686141000000,"0.34890","0.34890","0.34830","0.34880","63950",1686141059999,"22297.68620",174,"20181","7035.19430"
"OCEANUSDT","OCEANUSDT#1686141060000",1686141060000,"0.34880","0.34950","0.34860","0.34940","92725",1686141119999,"32370.74770",182,"77606","27094.68740"
"OCEANUSDT","OCEANUSDT#1686141120000",1686141120000,"0.34940","0.34950","0.34920","0.34930","89115",1686141179999,"31132.91560",214,"32517","11360.61850"
"OCEANUSDT","OCEANUSDT#1686141180000",1686141180000,"0.34920","0.34960","0.34920","0.34940","44874",1686141239999,"15679.65820",132,"20551","7181.51730"
"OCEANUSDT","OCEANUSDT#1686141240000",1686141240000,"0.34940","0.34960","0.34930","0.34930","31872",1686141299999,"11139.02650",99,"15085","5272.64630"
