"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SANDUSDT","SANDUSDT#1686132060000",1686132060000,"0.50380","0.50420","0.50180","0.50290","1576483",1686132119999,"792593.96820",1649,"670881","337320.75140"
"SANDUSDT","SANDUSDT#1686132120000",1686132120000,"0.50290","0.50290","0.50060","0.50210","1927602",1686132179999,"967113.94240",1914,"697967","350348.24360"
"SANDUSDT","SANDUSDT#1686132180000",1686132180000,"0.50210","0.50440","0.50130","0.50400","746908",1686132239999,"375843.34270",1157,"488795","246009.71710"
"SANDUSDT","SANDUSDT#1686132240000",1686132240000,"0.50400","0.50410","0.50260","0.50320","497886",1686132299999,"250541.92600",811,"238253","119886.59600"
"SANDUSDT","SANDUSDT#1686132300000",1686132300000,"0.50320","0.50550","0.50320","0.50500","959589",1686132359999,"484092.12930",1212,"487354","245831.16090"
"SANDUSDT","SANDUSDT#1686132360000",1686132360000,"0.50510","0.50660","0.50500","0.50650","686862",1686132419999,"347528.22570",914,"439411","222338.69740"
"SANDUSDT","SANDUSDT#1686132420000",1686132420000,"0.50650","0.50750","0.50600","0.50740","824881",1686132479999,"418089.79650",1044,"411796","208761.74150"
"SANDUSDT","SANDUSDT#1686132480000",1686132480000,"0.50740","0.50800","0.50700","0.50750","404739",1686132539999,"205390.28360",682,"217536","110400.68980"
"SANDUSDT","SANDUSDT#1686132540000",1686132540000,"0.50750","0.50850","0.50710","0.50830","565319",1686132599999,"287160.87970",861,"348273","176921.77250"
"SANDUSDT","SANDUSDT#1686132600000",1686132600000,"0.50830","0.50840","0.50740","0.50760","448588",1686132659999,"227865.97250",708,"142849","72563.84500"
"SANDUSDT","SANDUSDT#1686132660000",1686132660000,"0.50750","0.50870","0.50750","0.50800","480681",1686132719999,"244235.62330",790,"299808","152341.48550"
"SANDUSDT","SANDUSDT#1686132720000",1686132720000,"0.50800","0.50800","0.50750","0.50790","237265",1686132779999,"120473.82970",591,"155419","78917.69950"
"SANDUSDT","SANDUSDT#1686132780000",1686132780000,"0.50790","0.50840","0.50730","0.50840","288609",1686132839999,"146543.65960",515,"150186","76268.23290"
"SANDUSDT","SANDUSDT#1686132840000",1686132840000,"0.50840","0.50890","0.50810","0.50870","323416",1686132899999,"164474.12260",669,"195675","99518.26200"
"SANDUSDT","SANDUSDT#1686132900000",1686132900000,"0.50870","0.50870","0.50730","0.50760","321543",1686132959999,"163308.94200",650,"114246","58009.47750"
"SANDUSDT","SANDUSDT#1686132960000",1686132960000,"0.50770","0.50840","0.50720","0.50820","408545",1686133019999,"207400.87300",735,"261361","132690.49830"
"SANDUSDT","SANDUSDT#1686133020000",1686133020000,"0.50830","0.50890","0.50780","0.50810","882083",1686133079999,"448365.09000",661,"681523","346426.41280"
"SANDUSDT","SANDUSDT#1686133080000",1686133080000,"0.50810","0.50810","0.50730","0.50760","236051",1686133139999,"119855.57150",484,"102291","51932.24030"
"SANDUSDT","SANDUSDT#1686133140000",1686133140000,"0.50750","0.50850","0.50750","0.50820","219150",1686133199999,"111327.83320",480,"133242","67689.72700"
"SANDUSDT","SANDUSDT#1686133200000",1686133200000,"0.50820","0.50830","0.50730","0.50770","237601",1686133259999,"120645.91740",545,"93536","47500.34660"
"SANDUSDT","SANDUSDT#1686133260000",1686133260000,"0.50770","0.50840","0.50760","0.50840","235276",1686133319999,"119536.62090",530,"164049","83344.13900"
"SANDUSDT","SANDUSDT#1686133320000",1686133320000,"0.50840","0.50920","0.50810","0.50810","269650",1686133379999,"137165.52880",605,"140594","71517.70520"
"SANDUSDT","SANDUSDT#1686133380000",1686133380000,"0.50820","0.50830","0.50700","0.50730","183314",1686133439999,"93029.99880",430,"52912","26848.06560"
"SANDUSDT","SANDUSDT#1686133440000",1686133440000,"0.50730","0.50820","0.50700","0.50760","312957",1686133499999,"158850.29530",574,"135891","68977.81890"
"SANDUSDT","SANDUSDT#1686133500000",1686133500000,"0.50750","0.50780","0.50670","0.50770","301172",1686133559999,"152777.59420",514,"157668","79996.46610"
"SANDUSDT","SANDUSDT#1686133560000",1686133560000,"0.50770","0.50820","0.50730","0.50800","265723",1686133619999,"134921.49530",546,"155585","79000.99890"
"SANDUSDT","SANDUSDT#1686133620000",1686133620000,"0.50800","0.50860","0.50800","0.50860","166571",1686133679999,"84655.04620",463,"110466","56144.12840"
"SANDUSDT","SANDUSDT#1686133680000",1686133680000,"0.50850","0.50890","0.50810","0.50860","263684",1686133739999,"134094.79420",548,"128254","65231.09760"
"SANDUSDT","SANDUSDT#1686133740000",1686133740000,"0.50860","0.50900","0.50810","0.50900","186131",1686133799999,"94657.54350",393,"86609","44053.37810"
"SANDUSDT","SANDUSDT#1686133800000",1686133800000,"0.50890","0.50970","0.50830","0.50850","309635",1686133859999,"157626.63860",623,"144343","73486.91510"
"SANDUSDT","SANDUSDT#1686133860000",1686133860000,"0.50860","0.50900","0.50820","0.50880","246719",1686133919999,"125473.64850",485,"128103","65150.31830"
"SANDUSDT","SANDUSDT#1686133920000",1686133920000,"0.50880","0.50890","0.50780","0.50780","181853",1686133979999,"92462.75290",462,"61986","31520.61730"
"SANDUSDT","SANDUSDT#1686133980000",1686133980000,"0.50780","0.50810","0.50770","0.50790","163583",1686134039999,"83082.05630",410,"97404","49469.95710"
"SANDUSDT","SANDUSDT#1686134040000",1686134040000,"0.50780","0.50870","0.50760","0.50850","191175",1686134099999,"97155.34130",448,"120431","61200.37340"
"SANDUSDT","SANDUSDT#1686134100000",1686134100000,"0.50860","0.50860","0.50700","0.50730","409891",1686134159999,"208008.65660",569,"80703","40959.67560"
"SANDUSDT","SANDUSDT#1686134160000",1686134160000,"0.50720","0.50760","0.50690","0.50720","198207",1686134219999,"100531.89980",437,"105211","53367.02610"
"SANDUSDT","SANDUSDT#1686134220000",1686134220000,"0.50730","0.50800","0.50730","0.50780","213650",1686134279999,"108438.01900",415,"126144","64024.16690"
"SANDUSDT","SANDUSDT#1686134280000",1686134280000,"0.50790","0.50810","0.50760","0.50780","157293",1686134339999,"79872.88550",378,"64402","32705.60070"
"SANDUSDT","SANDUSDT#1686134340000",1686134340000,"0.50780","0.50820","0.50770","0.50790","113085",1686134399999,"57438.95840",305,"47307","24026.24930"
"SANDUSDT","SANDUSDT#1686134400000",1686134400000,"0.50790","0.50790","0.50720","0.50720","181943",1686134459999,"92342.19670",420,"68071","34550.60640"
"SANDUSDT","SANDUSDT#1686134460000",1686134460000,"0.50720","0.50780","0.50720","0.50740","120707",1686134519999,"61255.46110",349,"70001","35522.91130"
"SANDUSDT","SANDUSDT#1686134520000",1686134520000,"0.50750","0.50820","0.50730","0.50780","159729",1686134579999,"81111.97090",287,"90542","45977.16070"
"SANDUSDT","SANDUSDT#1686134580000",1686134580000,"0.50780","0.50840","0.50780","0.50830","134424",1686134639999,"68296.09310",289,"53335","27099.55230"
"SANDUSDT","SANDUSDT#1686134640000",1686134640000,"0.50830","0.50900","0.50830","0.50880","189060",1686134699999,"96174.64290",382,"91422","46504.00140"
"SANDUSDT","SANDUSDT#1686134700000",1686134700000,"0.50880","0.50900","0.50780","0.50780","121814",1686134759999,"61928.52340",280,"23703","12053.28650"
"SANDUSDT","SANDUSDT#1686134760000",1686134760000,"0.50780","0.50790","0.50730","0.50730","239978",1686134819999,"121809.73510",391,"81050","41136.94160"
"SANDUSDT","SANDUSDT#1686134820000",1686134820000,"0.50740","0.50740","0.50670","0.50670","147975",1686134879999,"75022.44990",308,"90951","46113.44410"
"SANDUSDT","SANDUSDT#1686134880000",1686134880000,"0.50680","0.50710","0.50650","0.50660","180201",1686134939999,"91301.43190",273,"58711","29752.84180"
"SANDUSDT","SANDUSDT#1686134940000",1686134940000,"0.50660","0.50690","0.50630","0.50670","145686",1686134999999,"73799.59690",245,"66381","33629.74970"
"SANDUSDT","SANDUSDT#1686135000000",1686135000000,"0.50670","0.50710","0.50650","0.50660","128533",1686135059999,"65129.93200",242,"59708","30256.11600"
"SANDUSDT","SANDUSDT#1686135060000",1686135060000,"0.50650","0.50680","0.50590","0.50680","257362",1686135119999,"130304.27160",348,"158587","80304.53760"
"SANDUSDT","SANDUSDT#1686135120000",1686135120000,"0.50670","0.50710","0.50670","0.50680","108906",1686135179999,"55200.77860",257,"43974","22289.62910"
"SANDUSDT","SANDUSDT#1686135180000",1686135180000,"0.50690","0.50800","0.50680","0.50750","401680",1686135239999,"203826.22840",447,"326404","165618.31470"
"SANDUSDT","SANDUSDT#1686135240000",1686135240000,"0.50740","0.50750","0.50700","0.50730","67086",1686135299999,"34029.88230",193,"47624","24158.83950"
"SANDUSDT","SANDUSDT#1686135300000",1686135300000,"0.50730","0.50740","0.50660","0.50670","90175",1686135359999,"45708.80620",228,"27212","13791.72370"
"SANDUSDT","SANDUSDT#1686135360000",1686135360000,"0.50660","0.50720","0.50630","0.50690","235363",1686135419999,"119250.30540",319,"99553","50452.37790"
"SANDUSDT","SANDUSDT#1686135420000",1686135420000,"0.50690","0.50730","0.50680","0.50690","51007",1686135479999,"25861.91240",160,"37007","18763.35900"
"SANDUSDT","SANDUSDT#1686135480000",1686135480000,"0.50680","0.50700","0.50670","0.50680","47013",1686135539999,"23828.84880",152,"14805","7505.01000"
"SANDUSDT","SANDUSDT#1686135540000",1686135540000,"0.50680","0.50690","0.50650","0.50680","92696",1686135599999,"46966.79800",197,"66530","33709.69620"
"SANDUSDT","SANDUSDT#1686135600000",1686135600000,"0.50690","0.50720","0.50650","0.50670","153558",1686135659999,"77829.44480",355,"88947","45080.74160"
