"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SOLUSDT","SOLUSDT#1686164460000",1686164460000,"18.9320","18.9360","18.8700","18.8840","56636",1686164519999,"1070123.2690",1498,"10620","200626.8400"
"SOLUSDT","SOLUSDT#1686164520000",1686164520000,"18.8820","18.8820","18.8630","18.8670","36144",1686164579999,"682120.9590",1067,"17433","329010.7930"
"SOLUSDT","SOLUSDT#1686164580000",1686164580000,"18.8680","18.8890","18.8650","18.8650","20261",1686164639999,"382425.0170",606,"6261","118173.0020"
"SOLUSDT","SOLUSDT#1686164640000",1686164640000,"18.8660","18.8730","18.8530","18.8710","13405",1686164699999,"252833.0460",601,"6447","121603.0770"
"SOLUSDT","SOLUSDT#1686164700000",1686164700000,"18.8710","18.9000","18.8710","18.8790","11907",1686164759999,"224879.1370",406,"5957","112498.5840"
"SOLUSDT","SOLUSDT#1686164760000",1686164760000,"18.8790","18.8820","18.8580","18.8620","20140",1686164819999,"380044.1120",518,"6987","131820.7970"
"SOLUSDT","SOLUSDT#1686164820000",1686164820000,"18.8620","18.8690","18.8600","18.8690","6758",1686164879999,"127492.5340",248,"3441","64915.4460"
"SOLUSDT","SOLUSDT#1686164880000",1686164880000,"18.8690","18.8780","18.8220","18.8360","36938",1686164939999,"696062.4660",993,"11874","223763.7180"
"SOLUSDT","SOLUSDT#1686164940000",1686164940000,"18.8360","18.8450","18.8040","18.8280","23703",1686164999999,"446116.3690",821,"9033","170056.0580"
"SOLUSDT","SOLUSDT#1686165000000",1686165000000,"18.8280","18.8430","18.8120","18.8290","16595",1686165059999,"312438.5000",484,"7712","145189.5550"
"SOLUSDT","SOLUSDT#1686165060000",1686165060000,"18.8300","18.8610","18.8220","18.8580","23189",1686165119999,"436994.9740",559,"14806","279022.9750"
"SOLUSDT","SOLUSDT#1686165120000",1686165120000,"18.8570","18.9080","18.8500","18.9020","50675",1686165179999,"956974.1490",1257,"34759","656420.1210"
"SOLUSDT","SOLUSDT#1686165180000",1686165180000,"18.9010","18.9330","18.9010","18.9160","30608",1686165239999,"579073.4150",942,"16223","306908.9690"
"SOLUSDT","SOLUSDT#1686165240000",1686165240000,"18.9170","18.9240","18.9030","18.9150","16869",1686165299999,"319037.3750",557,"9569","180966.3470"
"SOLUSDT","SOLUSDT#1686165300000",1686165300000,"18.9150","18.9390","18.9120","18.9370","19766",1686165359999,"374039.9700",666,"15355","290555.2340"
"SOLUSDT","SOLUSDT#1686165360000",1686165360000,"18.9370","18.9570","18.9300","18.9440","30355",1686165419999,"574978.4280",878,"15492","293452.7330"
"SOLUSDT","SOLUSDT#1686165420000",1686165420000,"18.9440","18.9460","18.9180","18.9240","12245",1686165479999,"231787.8270",403,"4527","85709.4440"
"SOLUSDT","SOLUSDT#1686165480000",1686165480000,"18.9200","18.9200","18.8720","18.8800","22642",1686165539999,"427736.1400",681,"7957","150276.7730"
"SOLUSDT","SOLUSDT#1686165540000",1686165540000,"18.8810","18.8850","18.8570","18.8590","10357",1686165599999,"195435.8850",455,"3833","72338.3760"
"SOLUSDT","SOLUSDT#1686165600000",1686165600000,"18.8600","18.8830","18.8470","18.8710","20692",1686165659999,"390284.5560",670,"12986","244960.7660"
"SOLUSDT","SOLUSDT#1686165660000",1686165660000,"18.8720","18.8800","18.8670","18.8770","5574",1686165719999,"105207.8000",264,"2995","56527.1680"
"SOLUSDT","SOLUSDT#1686165720000",1686165720000,"18.8780","18.9560","18.8760","18.9450","31212",1686165779999,"590321.0700",852,"24803","469073.6000"
"SOLUSDT","SOLUSDT#1686165780000",1686165780000,"18.9450","18.9450","18.9030","18.9030","15496",1686165839999,"293264.2670",576,"4846","91680.1060"
"SOLUSDT","SOLUSDT#1686165840000",1686165840000,"18.9030","18.9270","18.9030","18.9100","9956",1686165899999,"188331.1000",319,"7184","135892.9540"
"SOLUSDT","SOLUSDT#1686165900000",1686165900000,"18.9100","18.9360","18.9020","18.9260","21736",1686165959999,"411208.3230",628,"12339","233454.6230"
"SOLUSDT","SOLUSDT#1686165960000",1686165960000,"18.9260","18.9320","18.9200","18.9280","10528",1686166019999,"199263.8450",311,"4221","79894.6560"
"SOLUSDT","SOLUSDT#1686166020000",1686166020000,"18.9280","18.9510","18.9250","18.9380","9470",1686166079999,"179355.1100",380,"5908","111890.3590"
"SOLUSDT","SOLUSDT#1686166080000",1686166080000,"18.9390","18.9480","18.9330","18.9470","5800",1686166139999,"109863.6050",224,"3307","62637.5690"
"SOLUSDT","SOLUSDT#1686166140000",1686166140000,"18.9470","18.9790","18.9470","18.9640","19504",1686166199999,"369907.6770",731,"10757","203997.7450"
"SOLUSDT","SOLUSDT#1686166200000",1686166200000,"18.9640","18.9830","18.9350","18.9460","33058",1686166259999,"626506.7200",1017,"12998","246360.8700"
"SOLUSDT","SOLUSDT#1686166260000",1686166260000,"18.9450","18.9550","18.9360","18.9420","12305",1686166319999,"233138.8830",378,"7773","147283.5530"
"SOLUSDT","SOLUSDT#1686166320000",1686166320000,"18.9440","18.9750","18.9430","18.9670","10794",1686166379999,"204631.9290",384,"8380","158872.8420"
"SOLUSDT","SOLUSDT#1686166380000",1686166380000,"18.9670","18.9680","18.9490","18.9530","12786",1686166439999,"242374.6120",470,"5164","97884.6740"
"SOLUSDT","SOLUSDT#1686166440000",1686166440000,"18.9540","18.9740","18.9500","18.9730","4497",1686166499999,"85273.6750",194,"3694","70049.1430"
"SOLUSDT","SOLUSDT#1686166500000",1686166500000,"18.9720","18.9760","18.9620","18.9720","6960",1686166559999,"132019.6650",263,"3105","58900.2340"
"SOLUSDT","SOLUSDT#1686166560000",1686166560000,"18.9720","18.9990","18.9700","18.9920","15892",1686166619999,"301731.1580",525,"11228","213170.5590"
"SOLUSDT","SOLUSDT#1686166620000",1686166620000,"18.9920","18.9970","18.9580","18.9580","12450",1686166679999,"236215.0280",395,"3599","68287.6050"
"SOLUSDT","SOLUSDT#1686166680000",1686166680000,"18.9580","18.9750","18.9560","18.9710","5778",1686166739999,"109575.4440",242,"4031","76442.7160"
"SOLUSDT","SOLUSDT#1686166740000",1686166740000,"18.9710","18.9920","18.9470","18.9550","57755",1686166799999,"1094965.6470",1030,"28532","540840.1470"
"SOLUSDT","SOLUSDT#1686166800000",1686166800000,"18.9550","18.9600","18.9440","18.9480","10990",1686166859999,"208281.4670",372,"5996","113639.6000"
"SOLUSDT","SOLUSDT#1686166860000",1686166860000,"18.9480","18.9730","18.9470","18.9720","7906",1686166919999,"149877.4830",199,"6709","127174.1860"
"SOLUSDT","SOLUSDT#1686166920000",1686166920000,"18.9720","18.9900","18.9710","18.9900","5584",1686166979999,"106002.3010",233,"4142","78624.2230"
"SOLUSDT","SOLUSDT#1686166980000",1686166980000,"18.9890","19.0190","18.9890","19.0170","19407",1686167039999,"368853.1560",588,"15352","291776.7030"
"SOLUSDT","SOLUSDT#1686167040000",1686167040000,"19.0160","19.0200","19.0050","19.0200","8894",1686167099999,"169115.0210",357,"4266","81117.2940"
"SOLUSDT","SOLUSDT#1686167100000",1686167100000,"19.0190","19.0200","18.9830","18.9910","16343",1686167159999,"310422.1280",544,"3852","73161.9930"
"SOLUSDT","SOLUSDT#1686167160000",1686167160000,"18.9930","18.9930","18.9620","18.9700","10828",1686167219999,"205406.2480",407,"4918","93290.3280"
"SOLUSDT","SOLUSDT#1686167220000",1686167220000,"18.9700","18.9730","18.9510","18.9530","9633",1686167279999,"182628.2570",378,"4722","89522.0830"
"SOLUSDT","SOLUSDT#1686167280000",1686167280000,"18.9530","18.9630","18.9350","18.9590","14501",1686167339999,"274740.1080",469,"7113","134763.4710"
"SOLUSDT","SOLUSDT#1686167340000",1686167340000,"18.9590","18.9660","18.9580","18.9650","2978",1686167399999,"56466.7990",172,"1883","35704.3880"
"SOLUSDT","SOLUSDT#1686167400000",1686167400000,"18.9650","18.9760","18.9580","18.9740","9642",1686167459999,"182891.3360",285,"6031","114396.9570"
"SOLUSDT","SOLUSDT#1686167460000",1686167460000,"18.9750","19.0040","18.9640","19.0040","10845",1686167519999,"205822.1060",330,"6792","128900.6080"
"SOLUSDT","SOLUSDT#1686167520000",1686167520000,"19.0040","19.0080","18.9990","19.0040","6055",1686167579999,"115068.3820",221,"3340","63475.1660"
"SOLUSDT","SOLUSDT#1686167580000",1686167580000,"19.0020","19.0160","18.9970","19.0060","6708",1686167639999,"127494.8020",241,"3515","66809.9230"
"SOLUSDT","SOLUSDT#1686167640000",1686167640000,"19.0050","19.0090","18.9790","18.9790","6917",1686167699999,"131378.5260",287,"2464","46804.5830"
"SOLUSDT","SOLUSDT#1686167700000",1686167700000,"18.9790","18.9840","18.9700","18.9710","14906",1686167759999,"282854.2190",469,"7284","138216.8510"
"SOLUSDT","SOLUSDT#1686167760000",1686167760000,"18.9710","18.9740","18.9430","18.9530","42304",1686167819999,"801825.1720",926,"22534","427045.9830"
"SOLUSDT","SOLUSDT#1686167820000",1686167820000,"18.9530","18.9560","18.9460","18.9510","9179",1686167879999,"173941.2130",277,"4907","92989.7720"
"SOLUSDT","SOLUSDT#1686167880000",1686167880000,"18.9510","18.9800","18.9510","18.9760","8694",1686167939999,"164874.4950",263,"5616","106501.1440"
"SOLUSDT","SOLUSDT#1686167940000",1686167940000,"18.9750","18.9830","18.9630","18.9630","7489",1686167999999,"142106.3220",331,"3339","63361.6430"
"SOLUSDT","SOLUSDT#1686168000000",1686168000000,"18.9640","18.9790","18.9410","18.9540","9135",1686168059999,"173227.1950",444,"3093","58656.2950"
