"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"STMXUSDT","STMXUSDT#1686103260000",1686103260000,"0.00398","0.00398","0.00397","0.00397","649415",1686103319999,"2584.04522",29,"586767","2335.33266"
"STMXUSDT","STMXUSDT#1686103320000",1686103320000,"0.00398","0.00398","0.00397","0.00397","378032",1686103379999,"1504.44135",13,"365431","1454.41538"
"STMXUSDT","STMXUSDT#1686103380000",1686103380000,"0.00397","0.00398","0.00397","0.00398","244896",1686103439999,"973.45622",22,"121910","485.20180"
"STMXUSDT","STMXUSDT#1686103440000",1686103440000,"0.00398","0.00398","0.00397","0.00398","406605",1686103499999,"1618.14458",18,"392273","1561.24654"
"STMXUSDT","STMXUSDT#1686103500000",1686103500000,"0.00397","0.00398","0.00397","0.00398","713581",1686103559999,"2833.32484",22,"40827","162.49146"
"STMXUSDT","STMXUSDT#1686103560000",1686103560000,"0.00398","0.00398","0.00397","0.00398","315998",1686103619999,"1256.56549",17,"205343","817.26514"
"STMXUSDT","STMXUSDT#1686103620000",1686103620000,"0.00397","0.00398","0.00397","0.00398","372714",1686103679999,"1482.31556",7,"264098","1051.11004"
"STMXUSDT","STMXUSDT#1686103680000",1686103680000,"0.00397","0.00398","0.00397","0.00398","718718",1686103739999,"2856.00227",18,"269181","1071.34038"
"STMXUSDT","STMXUSDT#1686103740000",1686103740000,"0.00398","0.00398","0.00397","0.00398","442901",1686103799999,"1762.54047",22,"422350","1680.95300"
"STMXUSDT","STMXUSDT#1686103800000",1686103800000,"0.00398","0.00398","0.00397","0.00398","585758",1686103859999,"2325.98048",21,"52122","207.44556"
"STMXUSDT","STMXUSDT#1686103860000",1686103860000,"0.00398","0.00398","0.00397","0.00397","1352730",1686103919999,"5383.00047",34,"1266237","5039.62326"
"STMXUSDT","STMXUSDT#1686103920000",1686103920000,"0.00398","0.00398","0.00397","0.00397","351261",1686103979999,"1397.11407",14,"260790","1037.94420"
"STMXUSDT","STMXUSDT#1686103980000",1686103980000,"0.00398","0.00398","0.00397","0.00398","609250",1686104039999,"2424.16819",18,"544569","2167.38462"
"STMXUSDT","STMXUSDT#1686104040000",1686104040000,"0.00398","0.00398","0.00397","0.00398","231654",1686104099999,"921.43891",14,"177253","705.46694"
"STMXUSDT","STMXUSDT#1686104100000",1686104100000,"0.00398","0.00398","0.00397","0.00398","678115",1686104159999,"2694.74915",20,"263260","1047.77480"
"STMXUSDT","STMXUSDT#1686104160000",1686104160000,"0.00398","0.00398","0.00396","0.00396","7943443",1686104219999,"31531.36871",98,"34055","135.53890"
"STMXUSDT","STMXUSDT#1686104220000",1686104220000,"0.00396","0.00397","0.00396","0.00396","378905",1686104279999,"1502.22137",9,"175757","697.75529"
"STMXUSDT","STMXUSDT#1686104280000",1686104280000,"0.00397","0.00397","0.00396","0.00397","450064",1686104339999,"1786.20304",7,"394960","1567.99120"
"STMXUSDT","STMXUSDT#1686104340000",1686104340000,"0.00396","0.00397","0.00396","0.00397","265815",1686104399999,"1054.71403",7,"208663","828.39211"
"STMXUSDT","STMXUSDT#1686104400000",1686104400000,"0.00397","0.00397","0.00396","0.00397","335439",1686104459999,"1328.41550",8,"7706","30.59282"
"STMXUSDT","STMXUSDT#1686104460000",1686104460000,"0.00396","0.00397","0.00396","0.00397","275401",1686104519999,"1092.71868",10,"213072","845.89584"
