"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"TOMOUSDT","TOMOUSDT#1686124860000",1686124860000,"1.3989","1.3995","1.3921","1.3935","306262",1686124919999,"427223.9730",1933,"101296","141347.2097"
"TOMOUSDT","TOMOUSDT#1686124920000",1686124920000,"1.3935","1.3972","1.3908","1.3954","278487",1686124979999,"388156.9637",1438,"130930","182581.1666"
"TOMOUSDT","TOMOUSDT#1686124980000",1686124980000,"1.3953","1.3995","1.3938","1.3971","182870",1686125039999,"255565.7157",1021,"100944","141083.1967"
"TOMOUSDT","TOMOUSDT#1686125040000",1686125040000,"1.3971","1.3978","1.3939","1.3945","89261",1686125099999,"124601.1773",510,"34495","48168.1451"
"TOMOUSDT","TOMOUSDT#1686125100000",1686125100000,"1.3945","1.4029","1.3935","1.4028","145366",1686125159999,"203233.8645",710,"107110","149766.2627"
"TOMOUSDT","TOMOUSDT#1686125160000",1686125160000,"1.4029","1.4036","1.4013","1.4034","91787",1686125219999,"128771.7773",506,"51564","72351.0933"
"TOMOUSDT","TOMOUSDT#1686125220000",1686125220000,"1.4035","1.4055","1.4032","1.4037","90590",1686125279999,"127195.8710",577,"44466","62434.2967"
"TOMOUSDT","TOMOUSDT#1686125280000",1686125280000,"1.4037","1.4060","1.4037","1.4047","66672",1686125339999,"93660.1858",476,"44355","62307.1995"
"TOMOUSDT","TOMOUSDT#1686125340000",1686125340000,"1.4046","1.4050","1.4010","1.4025","62199",1686125399999,"87259.5676",433,"22846","32045.5751"
"TOMOUSDT","TOMOUSDT#1686125400000",1686125400000,"1.4021","1.4091","1.4021","1.4085","200654",1686125459999,"282280.4193",1174,"120725","169829.3915"
"TOMOUSDT","TOMOUSDT#1686125460000",1686125460000,"1.4087","1.4092","1.4014","1.4024","139536",1686125519999,"196138.1955",850,"54023","75951.3904"
"TOMOUSDT","TOMOUSDT#1686125520000",1686125520000,"1.4025","1.4062","1.4025","1.4038","127227",1686125579999,"178615.8868",675,"57475","80688.0147"
