"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ALGOUSDT","ALGOUSDT#1686186060000",1686186060000,"0.1252","0.1252","0.1251","0.1252","43483.7",1686186119999,"5442.78756",39,"29766.9","3726.81588"
"ALGOUSDT","ALGOUSDT#1686186120000",1686186120000,"0.1252","0.1253","0.1251","0.1253","178409.9",1686186179999,"22339.45830",67,"130323.0","16319.88547"
"ALGOUSDT","ALGOUSDT#1686186180000",1686186180000,"0.1253","0.1253","0.1252","0.1253","27598.4",1686186239999,"3457.11122",26,"17915.4","2244.79962"
"ALGOUSDT","ALGOUSDT#1686186240000",1686186240000,"0.1253","0.1253","0.1252","0.1253","43585.0",1686186299999,"5461.13479",27,"42927.9","5378.86587"
"ALGOUSDT","ALGOUSDT#1686186300000",1686186300000,"0.1252","0.1254","0.1252","0.1253","68750.9",1686186359999,"8613.50636",57,"55734.4","6983.69588"
"ALGOUSDT","ALGOUSDT#1686186360000",1686186360000,"0.1254","0.1254","0.1253","0.1254","39162.5",1686186419999,"4910.93047",25,"38692.2","4852.00188"
"ALGOUSDT","ALGOUSDT#1686186420000",1686186420000,"0.1254","0.1255","0.1253","0.1254","216547.1",1686186479999,"27148.26355",82,"132699.2","16640.78919"
"ALGOUSDT","ALGOUSDT#1686186480000",1686186480000,"0.1254","0.1254","0.1253","0.1254","8293.9",1686186539999,"1040.04569",12,"8200.2","1028.30508"
"ALGOUSDT","ALGOUSDT#1686186540000",1686186540000,"0.1254","0.1255","0.1253","0.1255","344963.6",1686186599999,"43271.33393",78,"344646.7","43231.61545"
"ALGOUSDT","ALGOUSDT#1686186600000",1686186600000,"0.1255","0.1255","0.1254","0.1254","3833.2",1686186659999,"480.94838",7,"2651.0","332.70050"
"ALGOUSDT","ALGOUSDT#1686186660000",1686186660000,"0.1255","0.1256","0.1254","0.1255","194386.6",1686186719999,"24396.02699",110,"70222.5","8813.78482"
"ALGOUSDT","ALGOUSDT#1686186720000",1686186720000,"0.1254","0.1255","0.1254","0.1254","10513.1",1686186779999,"1319.13700",11,"7942.6","996.79630"
"ALGOUSDT","ALGOUSDT#1686186780000",1686186780000,"0.1255","0.1256","0.1254","0.1255","70067.9",1686186839999,"8793.66923",37,"59980.2","7527.66687"
"ALGOUSDT","ALGOUSDT#1686186840000",1686186840000,"0.1256","0.1256","0.1255","0.1255","105135.6",1686186899999,"13196.51665",65,"19988.5","2510.55560"
"ALGOUSDT","ALGOUSDT#1686186900000",1686186900000,"0.1256","0.1257","0.1249","0.1250","2251907.5",1686186959999,"282171.13278",564,"275937.9","34582.57877"
"ALGOUSDT","ALGOUSDT#1686186960000",1686186960000,"0.1250","0.1250","0.1249","0.1250","200158.5",1686187019999,"25009.58069",85,"97840.4","12230.05000"
"ALGOUSDT","ALGOUSDT#1686187020000",1686187020000,"0.1249","0.1250","0.1249","0.1250","64510.6",1686187079999,"8060.65116",83,"32772.2","4096.52500"
"ALGOUSDT","ALGOUSDT#1686187080000",1686187080000,"0.1250","0.1250","0.1249","0.1250","68507.7",1686187139999,"8563.26378",41,"66520.5","8315.06250"
"ALGOUSDT","ALGOUSDT#1686187140000",1686187140000,"0.1249","0.1251","0.1249","0.1250","225207.4",1686187199999,"28151.34785",108,"212174.1","26522.20830"
"ALGOUSDT","ALGOUSDT#1686187200000",1686187200000,"0.1251","0.1252","0.1250","0.1250","256633.8",1686187259999,"32103.58236",100,"164139.7","20535.24859"
"ALGOUSDT","ALGOUSDT#1686187260000",1686187260000,"0.1250","0.1252","0.1250","0.1252","88912.4",1686187319999,"11125.21874",66,"85335.1","10677.74961"
"ALGOUSDT","ALGOUSDT#1686187320000",1686187320000,"0.1252","0.1252","0.1251","0.1252","7272.4",1686187379999,"910.46320",22,"6859.6","858.82192"
"ALGOUSDT","ALGOUSDT#1686187380000",1686187380000,"0.1252","0.1252","0.1251","0.1252","53365.7",1686187439999,"6676.77779",39,"7287.2","912.35744"
"ALGOUSDT","ALGOUSDT#1686187440000",1686187440000,"0.1251","0.1252","0.1251","0.1251","5568.7",1686187499999,"696.95213",17,"3077.6","385.31552"
