"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"CHRUSDT","CHRUSDT#1686178860000",1686178860000,"0.1392","0.1394","0.1392","0.1393","123551",1686178919999,"17217.3768",103,"33442","4661.0936"
"CHRUSDT","CHRUSDT#1686178920000",1686178920000,"0.1394","0.1396","0.1394","0.1396","201785",1686178979999,"28147.3200",98,"201602","28121.8098"
"CHRUSDT","CHRUSDT#1686178980000",1686178980000,"0.1396","0.1397","0.1396","0.1396","15009",1686179039999,"2095.6487",16,"14627","2042.3215"
"CHRUSDT","CHRUSDT#1686179040000",1686179040000,"0.1396","0.1397","0.1396","0.1397","4250",1686179099999,"593.5715",7,"2715","379.2855"
"CHRUSDT","CHRUSDT#1686179100000",1686179100000,"0.1396","0.1396","0.1395","0.1396","151773",1686179159999,"21179.7197",138,"29845","4165.0139"
"CHRUSDT","CHRUSDT#1686179160000",1686179160000,"0.1395","0.1395","0.1394","0.1394","20700",1686179219999,"2887.4635",20,"0","0.0000"
"CHRUSDT","CHRUSDT#1686179220000",1686179220000,"0.1395","0.1395","0.1394","0.1395","6010",1686179279999,"838.3233",3,"5293","738.3735"
"CHRUSDT","CHRUSDT#1686179280000",1686179280000,"0.1394","0.1394","0.1392","0.1392","82597",1686179339999,"11508.2446",83,"2381","331.6733"
"CHRUSDT","CHRUSDT#1686179340000",1686179340000,"0.1392","0.1393","0.1391","0.1393","145613",1686179399999,"20269.4696",100,"93695","13043.6700"
"CHRUSDT","CHRUSDT#1686179400000",1686179400000,"0.1393","0.1393","0.1390","0.1390","157929",1686179459999,"21964.5336",135,"80457","11187.1218"
"CHRUSDT","CHRUSDT#1686179460000",1686179460000,"0.1390","0.1391","0.1387","0.1387","283330",1686179519999,"39354.0501",103,"98362","13678.5300"
"CHRUSDT","CHRUSDT#1686179520000",1686179520000,"0.1388","0.1389","0.1387","0.1387","404040",1686179579999,"56080.7828",190,"230753","32032.6482"
"CHRUSDT","CHRUSDT#1686179580000",1686179580000,"0.1388","0.1388","0.1385","0.1386","191298",1686179639999,"26523.6385",106,"81053","11242.0663"
"CHRUSDT","CHRUSDT#1686179640000",1686179640000,"0.1386","0.1387","0.1385","0.1386","85878",1686179699999,"11902.7288",56,"51207","7098.2902"
"CHRUSDT","CHRUSDT#1686179700000",1686179700000,"0.1387","0.1387","0.1386","0.1387","68040",1686179759999,"9433.8904",73,"34837","4831.8919"
"CHRUSDT","CHRUSDT#1686179760000",1686179760000,"0.1388","0.1388","0.1386","0.1387","53054",1686179819999,"7358.6406",60,"6072","842.4182"
"CHRUSDT","CHRUSDT#1686179820000",1686179820000,"0.1387","0.1388","0.1387","0.1388","39432",1686179879999,"5469.2473",26,"39432","5469.2473"
"CHRUSDT","CHRUSDT#1686179880000",1686179880000,"0.1388","0.1389","0.1388","0.1389","61782",1686179939999,"8575.6211",81,"47893","6647.8279"
"CHRUSDT","CHRUSDT#1686179940000",1686179940000,"0.1389","0.1391","0.1389","0.1391","120516",1686179999999,"16750.0127",125,"65155","9055.2720"
"CHRUSDT","CHRUSDT#1686180000000",1686180000000,"0.1391","0.1391","0.1389","0.1389","56368",1686180059999,"7835.1508",32,"21016","2921.2288"
"CHRUSDT","CHRUSDT#1686180060000",1686180060000,"0.1389","0.1390","0.1389","0.1390","31230",1686180119999,"4340.3244",35,"24774","3443.5860"
"CHRUSDT","CHRUSDT#1686180120000",1686180120000,"0.1390","0.1392","0.1390","0.1391","37655",1686180179999,"5238.1114",32,"13590","1890.7072"
"CHRUSDT","CHRUSDT#1686180180000",1686180180000,"0.1391","0.1391","0.1391","0.1391","7215",1686180239999,"1003.6065",3,"7215","1003.6065"
"CHRUSDT","CHRUSDT#1686180240000",1686180240000,"0.1390","0.1391","0.1390","0.1391","12519",1686180299999,"1741.0647",10,"9237","1284.8667"
"CHRUSDT","CHRUSDT#1686180300000",1686180300000,"0.1391","0.1391","0.1391","0.1391","10419",1686180359999,"1449.2829",18,"10419","1449.2829"
"CHRUSDT","CHRUSDT#1686180360000",1686180360000,"0.1390","0.1391","0.1390","0.1390","4091",1686180419999,"568.7177",5,"687","95.5617"
"CHRUSDT","CHRUSDT#1686180420000",1686180420000,"0.1390","0.1391","0.1390","0.1390","6829",1686180479999,"949.8624",5,"6314","878.2774"
"CHRUSDT","CHRUSDT#1686180480000",1686180480000,"0.1390","0.1391","0.1390","0.1391","21336",1686180539999,"2967.8232",25,"21192","2947.8072"
"CHRUSDT","CHRUSDT#1686180540000",1686180540000,"0.1392","0.1392","0.1392","0.1392","4446",1686180599999,"618.8832",4,"4446","618.8832"
"CHRUSDT","CHRUSDT#1686180600000",1686180600000,"0.1391","0.1392","0.1390","0.1392","127385",1686180659999,"17724.9881",97,"72408","10077.7007"
"CHRUSDT","CHRUSDT#1686180660000",1686180660000,"0.1393","0.1395","0.1393","0.1394","37119",1686180719999,"5171.9883",30,"34847","4855.3792"
"CHRUSDT","CHRUSDT#1686180720000",1686180720000,"0.1394","0.1395","0.1394","0.1395","6861",1686180779999,"956.9764",22,"5530","771.4350"
"CHRUSDT","CHRUSDT#1686180780000",1686180780000,"0.1394","0.1396","0.1394","0.1396","157265",1686180839999,"21926.0674",99,"61067","8516.0662"
"CHRUSDT","CHRUSDT#1686180840000",1686180840000,"0.1396","0.1396","0.1395","0.1395","87849",1686180899999,"12255.6584",53,"38296","5343.0149"
"CHRUSDT","CHRUSDT#1686180900000",1686180900000,"0.1394","0.1394","0.1393","0.1393","55637",1686180959999,"7755.7864",49,"14008","1952.7152"
"CHRUSDT","CHRUSDT#1686180960000",1686180960000,"0.1394","0.1394","0.1393","0.1394","58611",1686181019999,"8170.3691",71,"34335","4786.2990"
