"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"IMXUSDT","IMXUSDT#1686186060000",1686186060000,"0.6865","0.6882","0.6864","0.6878","44820",1686186119999,"30808.7738",254,"35319","24274.2101"
"IMXUSDT","IMXUSDT#1686186120000",1686186120000,"0.6879","0.6891","0.6879","0.6889","58201",1686186179999,"40081.4486",232,"44108","30374.4646"
"IMXUSDT","IMXUSDT#1686186180000",1686186180000,"0.6888","0.6892","0.6887","0.6892","22502",1686186239999,"15502.9023",149,"11631","8013.4641"
"IMXUSDT","IMXUSDT#1686186240000",1686186240000,"0.6892","0.6896","0.6892","0.6895","16712",1686186299999,"11521.3426",124,"12564","8662.0375"
"IMXUSDT","IMXUSDT#1686186300000",1686186300000,"0.6896","0.6910","0.6896","0.6909","31620",1686186359999,"21824.2965",196,"25475","17584.1268"
"IMXUSDT","IMXUSDT#1686186360000",1686186360000,"0.6910","0.6917","0.6906","0.6916","54331",1686186419999,"37538.3825",258,"29881","20644.4344"
"IMXUSDT","IMXUSDT#1686186420000",1686186420000,"0.6916","0.6920","0.6910","0.6918","55330",1686186479999,"38266.6317",229,"28209","19508.2299"
"IMXUSDT","IMXUSDT#1686186480000",1686186480000,"0.6919","0.6925","0.6917","0.6924","34818",1686186539999,"24092.6810",146,"30163","20872.3353"
"IMXUSDT","IMXUSDT#1686186540000",1686186540000,"0.6925","0.6933","0.6923","0.6933","66560",1686186599999,"46117.0865",302,"42768","29634.2049"
"IMXUSDT","IMXUSDT#1686186600000",1686186600000,"0.6934","0.6935","0.6928","0.6934","55947",1686186659999,"38778.0634",210,"25647","17775.4448"
"IMXUSDT","IMXUSDT#1686186660000",1686186660000,"0.6933","0.6938","0.6933","0.6934","31318",1686186719999,"21721.8436",146,"16983","11778.7957"
"IMXUSDT","IMXUSDT#1686186720000",1686186720000,"0.6933","0.6942","0.6931","0.6938","43989",1686186779999,"30512.9744",179,"27162","18839.1678"
"IMXUSDT","IMXUSDT#1686186780000",1686186780000,"0.6938","0.6945","0.6938","0.6938","44968",1686186839999,"31216.4454",223,"13786","9570.9313"
"IMXUSDT","IMXUSDT#1686186840000",1686186840000,"0.6938","0.6945","0.6934","0.6944","40691",1686186899999,"28242.2149",186,"24512","17012.9705"
"IMXUSDT","IMXUSDT#1686186900000",1686186900000,"0.6943","0.6944","0.6934","0.6938","46111",1686186959999,"31997.0889",205,"16994","11794.1097"
"IMXUSDT","IMXUSDT#1686186960000",1686186960000,"0.6938","0.6940","0.6933","0.6938","34169",1686187019999,"23700.2825",185,"14467","10035.8735"
"IMXUSDT","IMXUSDT#1686187020000",1686187020000,"0.6938","0.6939","0.6935","0.6937","22730",1686187079999,"15768.7926",166,"9526","6608.7627"
"IMXUSDT","IMXUSDT#1686187080000",1686187080000,"0.6937","0.6947","0.6936","0.6947","30961",1686187139999,"21486.0454",152,"20142","13977.6060"
"IMXUSDT","IMXUSDT#1686187140000",1686187140000,"0.6947","0.6954","0.6946","0.6954","20481",1686187199999,"14232.8001",122,"15980","11105.5701"
"IMXUSDT","IMXUSDT#1686187200000",1686187200000,"0.6955","0.6961","0.6953","0.6959","36756",1686187259999,"25569.8158",166,"18565","12914.1876"
"IMXUSDT","IMXUSDT#1686187260000",1686187260000,"0.6960","0.6967","0.6955","0.6964","29794",1686187319999,"20739.6118",187,"18542","12908.4341"
"IMXUSDT","IMXUSDT#1686187320000",1686187320000,"0.6964","0.6968","0.6963","0.6967","30323",1686187379999,"21121.9563",93,"24729","17225.2121"
"IMXUSDT","IMXUSDT#1686187380000",1686187380000,"0.6967","0.6969","0.6961","0.6968","83135",1686187439999,"57902.5114",234,"24421","17007.8602"
"IMXUSDT","IMXUSDT#1686187440000",1686187440000,"0.6968","0.6970","0.6964","0.6969","22613",1686187499999,"15756.6498",129,"13090","9120.7686"
"IMXUSDT","IMXUSDT#1686187500000",1686187500000,"0.6969","0.6969","0.6961","0.6967","50048",1686187559999,"34857.0914",165,"11388","7931.6064"
"IMXUSDT","IMXUSDT#1686187560000",1686187560000,"0.6966","0.6979","0.6964","0.6974","78802",1686187619999,"54933.6046",261,"54057","37686.0136"
"IMXUSDT","IMXUSDT#1686187620000",1686187620000,"0.6974","0.6986","0.6974","0.6985","49380",1686187679999,"34473.0806",167,"35679","24905.9155"
"IMXUSDT","IMXUSDT#1686187680000",1686187680000,"0.6985","0.6989","0.6980","0.6985","59566",1686187739999,"41604.0329",203,"20609","14395.6874"
"IMXUSDT","IMXUSDT#1686187740000",1686187740000,"0.6985","0.6986","0.6973","0.6974","53004",1686187799999,"36986.1049",176,"7732","5394.3343"
"IMXUSDT","IMXUSDT#1686187800000",1686187800000,"0.6973","0.6987","0.6971","0.6987","49448",1686187859999,"34491.6611",193,"32197","22461.9964"
"IMXUSDT","IMXUSDT#1686187860000",1686187860000,"0.6987","0.6988","0.6973","0.6974","67794",1686187919999,"47338.2545",311,"21025","14681.2852"
"IMXUSDT","IMXUSDT#1686187920000",1686187920000,"0.6976","0.6978","0.6971","0.6974","49958",1686187979999,"34840.9787",183,"27270","19019.2556"
"IMXUSDT","IMXUSDT#1686187980000",1686187980000,"0.6975","0.6979","0.6974","0.6976","32881",1686188039999,"22937.5551",132,"19999","13951.2619"
"IMXUSDT","IMXUSDT#1686188040000",1686188040000,"0.6977","0.6977","0.6973","0.6975","24390",1686188099999,"17012.9237",135,"13299","9277.4140"
"IMXUSDT","IMXUSDT#1686188100000",1686188100000,"0.6976","0.6983","0.6973","0.6977","25914",1686188159999,"18082.0744",151,"12234","8536.6869"
"IMXUSDT","IMXUSDT#1686188160000",1686188160000,"0.6977","0.6985","0.6975","0.6985","14663",1686188219999,"10234.0530",91,"5936","4144.3355"
"IMXUSDT","IMXUSDT#1686188220000",1686188220000,"0.6985","0.6993","0.6985","0.6990","33879",1686188279999,"23678.9625",178,"17921","12524.0389"
"IMXUSDT","IMXUSDT#1686188280000",1686188280000,"0.6991","0.6993","0.6986","0.6986","25496",1686188339999,"17820.6195",149,"6439","4500.8051"
"IMXUSDT","IMXUSDT#1686188340000",1686188340000,"0.6987","0.6987","0.6983","0.6983","14441",1686188399999,"10087.9801",96,"3570","2494.2000"
"IMXUSDT","IMXUSDT#1686188400000",1686188400000,"0.6984","0.6986","0.6982","0.6983","31632",1686188459999,"22093.1066",132,"18094","12637.9054"
"IMXUSDT","IMXUSDT#1686188460000",1686188460000,"0.6985","0.6990","0.6976","0.6990","57867",1686188519999,"40402.1614",241,"24686","17237.6075"
"IMXUSDT","IMXUSDT#1686188520000",1686188520000,"0.6991","0.6992","0.6983","0.6983","39857",1686188579999,"27850.2048",158,"11963","8360.3465"
"IMXUSDT","IMXUSDT#1686188580000",1686188580000,"0.6983","0.6983","0.6979","0.6981","35957",1686188639999,"25102.9954",114,"24246","16928.0220"
"IMXUSDT","IMXUSDT#1686188640000",1686188640000,"0.6982","0.6983","0.6967","0.6967","47486",1686188699999,"33112.8097",197,"4725","3295.7655"
