"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MATICUSDT","MATICUSDT#1686182460000",1686182460000,"0.76400","0.76400","0.76280","0.76280","239422",1686182519999,"182761.68970",390,"54185","41368.66500"
"MATICUSDT","MATICUSDT#1686182520000",1686182520000,"0.76290","0.76330","0.76260","0.76280","389710",1686182579999,"297303.46370",506,"176320","134525.14870"
"MATICUSDT","MATICUSDT#1686182580000",1686182580000,"0.76290","0.76340","0.76280","0.76290","238535",1686182639999,"182015.79340",485,"111988","85460.01110"
"MATICUSDT","MATICUSDT#1686182640000",1686182640000,"0.76290","0.76310","0.76260","0.76260","194439",1686182699999,"148329.01820",388,"63586","48510.56690"
"MATICUSDT","MATICUSDT#1686182700000",1686182700000,"0.76260","0.76340","0.76260","0.76340","209858",1686182759999,"160131.56330",424,"138293","105524.54550"
"MATICUSDT","MATICUSDT#1686182760000",1686182760000,"0.76340","0.76400","0.76240","0.76240","345013",1686182819999,"263370.94530",472,"130301","99492.88000"
"MATICUSDT","MATICUSDT#1686182820000",1686182820000,"0.76250","0.76260","0.76090","0.76150","824287",1686182879999,"627685.70500",903,"237611","180979.48910"
"MATICUSDT","MATICUSDT#1686182880000",1686182880000,"0.76160","0.76200","0.76110","0.76190","255824",1686182939999,"194845.58170",305,"164471","125274.09930"
"MATICUSDT","MATICUSDT#1686182940000",1686182940000,"0.76180","0.76230","0.76130","0.76190","349172",1686182999999,"265987.41150",478,"200085","152425.72630"
"MATICUSDT","MATICUSDT#1686183000000",1686183000000,"0.76180","0.76360","0.76170","0.76360","266156",1686183059999,"203015.03540",396,"202877","154756.52200"
"MATICUSDT","MATICUSDT#1686183060000",1686183060000,"0.76370","0.76420","0.76330","0.76380","623275",1686183119999,"476054.48410",544,"291599","222730.67740"
"MATICUSDT","MATICUSDT#1686183120000",1686183120000,"0.76390","0.76390","0.76330","0.76360","152534",1686183179999,"116462.94150",226,"71638","54695.79730"
"MATICUSDT","MATICUSDT#1686183180000",1686183180000,"0.76360","0.76360","0.76250","0.76250","93595",1686183239999,"71405.90220",179,"22415","17104.52080"
