"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"THETAUSDT","THETAUSDT#1686186060000",1686186060000,"0.7545","0.7546","0.7543","0.7546","6982.8",1686186119999,"5268.09676",68,"5542.0","4181.09648"
"THETAUSDT","THETAUSDT#1686186120000",1686186120000,"0.7545","0.7547","0.7545","0.7547","4729.6",1686186179999,"3569.07651",54,"1449.4","1093.76468"
"THETAUSDT","THETAUSDT#1686186180000",1686186180000,"0.7547","0.7547","0.7544","0.7545","4013.1",1686186239999,"3028.21545",24,"426.9","322.09739"
"THETAUSDT","THETAUSDT#1686186240000",1686186240000,"0.7545","0.7546","0.7543","0.7545","4685.6",1686186299999,"3535.06043",61,"2911.9","2196.97321"
"THETAUSDT","THETAUSDT#1686186300000",1686186300000,"0.7545","0.7551","0.7544","0.7551","23757.7",1686186359999,"17931.87899",87,"19137.2","14443.95771"
"THETAUSDT","THETAUSDT#1686186360000",1686186360000,"0.7551","0.7555","0.7551","0.7554","4334.8",1686186419999,"3273.64536",51,"4255.0","3213.38439"
"THETAUSDT","THETAUSDT#1686186420000",1686186420000,"0.7555","0.7555","0.7551","0.7552","11892.9",1686186479999,"8983.14322",77,"3365.0","2541.50256"
"THETAUSDT","THETAUSDT#1686186480000",1686186480000,"0.7553","0.7556","0.7553","0.7555","8569.0",1686186539999,"6473.51850",41,"1222.8","923.69448"
"THETAUSDT","THETAUSDT#1686186540000",1686186540000,"0.7554","0.7554","0.7551","0.7553","8766.0",1686186599999,"6620.71304",41,"1100.4","831.02409"
"THETAUSDT","THETAUSDT#1686186600000",1686186600000,"0.7553","0.7553","0.7548","0.7551","24089.4",1686186659999,"18188.42835",82,"14854.2","11215.91122"
"THETAUSDT","THETAUSDT#1686186660000",1686186660000,"0.7551","0.7553","0.7551","0.7552","3650.8",1686186719999,"2756.94083",40,"1230.7","929.34735"
"THETAUSDT","THETAUSDT#1686186720000",1686186720000,"0.7552","0.7556","0.7552","0.7554","2754.2",1686186779999,"2080.33338",32,"1820.8","1375.24302"
"THETAUSDT","THETAUSDT#1686186780000",1686186780000,"0.7553","0.7557","0.7553","0.7556","8300.6",1686186839999,"6270.59949",43,"3047.2","2302.35463"
"THETAUSDT","THETAUSDT#1686186840000",1686186840000,"0.7556","0.7560","0.7555","0.7560","18131.8",1686186899999,"13706.36807",61,"15781.0","11929.74287"
"THETAUSDT","THETAUSDT#1686186900000",1686186900000,"0.7560","0.7564","0.7557","0.7557","66151.4",1686186959999,"50012.33684",116,"46319.6","35019.66048"
