"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ZRXUSDT","ZRXUSDT#1686243660000",1686243660000,"0.2000","0.2003","0.2000","0.2002","11402.8",1686243719999,"2282.68578",57,"10991.3","2200.38486"
"ZRXUSDT","ZRXUSDT#1686243720000",1686243720000,"0.2002","0.2003","0.2002","0.2003","22222.7",1686243779999,"4451.20249",72,"6018.8","1205.56564"
"ZRXUSDT","ZRXUSDT#1686243780000",1686243780000,"0.2003","0.2003","0.2001","0.2001","58406.8",1686243839999,"11688.69017",113,"29908.0","5984.64867"
"ZRXUSDT","ZRXUSDT#1686243840000",1686243840000,"0.2000","0.2000","0.1998","0.1998","10328.6",1686243899999,"2065.49237",23,"1503.8","300.60962"
"ZRXUSDT","ZRXUSDT#1686243900000",1686243900000,"0.1998","0.1998","0.1996","0.1996","38390.2",1686243959999,"7666.41532",80,"15743.6","3142.58670"
"ZRXUSDT","ZRXUSDT#1686243960000",1686243960000,"0.1997","0.2000","0.1997","0.2000","37036.1",1686244019999,"7402.07911",31,"37036.1","7402.07911"
"ZRXUSDT","ZRXUSDT#1686244020000",1686244020000,"0.2000","0.2000","0.1999","0.1999","38625.9",1686244079999,"7725.07265",13,"29.5","5.89705"
"ZRXUSDT","ZRXUSDT#1686244080000",1686244080000,"0.1999","0.1999","0.1999","0.1999","47014.8",1686244139999,"9398.25852",30,"5543.1","1108.06569"
"ZRXUSDT","ZRXUSDT#1686244140000",1686244140000,"0.1999","0.2002","0.1999","0.2001","38401.5",1686244199999,"7682.19125",55,"30118.5","6024.82289"
"ZRXUSDT","ZRXUSDT#1686244200000",1686244200000,"0.2001","0.2001","0.2000","0.2000","9846.9",1686244259999,"1970.00165",23,"4649.9","930.44499"
"ZRXUSDT","ZRXUSDT#1686244260000",1686244260000,"0.2000","0.2000","0.2000","0.2000","38569.4",1686244319999,"7713.88000",28,"38569.4","7713.88000"
"ZRXUSDT","ZRXUSDT#1686244320000",1686244320000,"0.2001","0.2002","0.2001","0.2002","6605.7",1686244379999,"1322.10072",10,"6605.7","1322.10072"
"ZRXUSDT","ZRXUSDT#1686244380000",1686244380000,"0.2001","0.2001","0.2000","0.2000","13672.0",1686244439999,"2734.68138",29,"5509.8","1101.97737"
"ZRXUSDT","ZRXUSDT#1686244440000",1686244440000,"0.2001","0.2001","0.2001","0.2001","4673.4",1686244499999,"935.14734",12,"4673.4","935.14734"
"ZRXUSDT","ZRXUSDT#1686244500000",1686244500000,"0.2001","0.2003","0.2001","0.2003","34058.9",1686244559999,"6819.65877",44,"33701.5","6748.14303"
"ZRXUSDT","ZRXUSDT#1686244560000",1686244560000,"0.2003","0.2003","0.2003","0.2003","7447.0",1686244619999,"1491.63410",19,"4297.2","860.72916"
"ZRXUSDT","ZRXUSDT#1686244620000",1686244620000,"0.2003","0.2003","0.2001","0.2001","13853.4",1686244679999,"2772.93575",21,"792.3","158.69769"
"ZRXUSDT","ZRXUSDT#1686244680000",1686244680000,"0.2001","0.2002","0.2000","0.2001","19617.0",1686244739999,"3924.00508",28,"13032.1","2606.96615"
"ZRXUSDT","ZRXUSDT#1686244740000",1686244740000,"0.2001","0.2001","0.2001","0.2001","2035.3",1686244799999,"407.26353",5,"2035.3","407.26353"
"ZRXUSDT","ZRXUSDT#1686244800000",1686244800000,"0.2000","0.2001","0.1998","0.2000","34169.6",1686244859999,"6828.87325",65,"10398.0","2078.35179"
"ZRXUSDT","ZRXUSDT#1686244860000",1686244860000,"0.2000","0.2000","0.2000","0.2000","15019.0",1686244919999,"3003.80000",29,"8882.9","1776.58000"
"ZRXUSDT","ZRXUSDT#1686244920000",1686244920000,"0.1999","0.2000","0.1999","0.2000","18460.2",1686244979999,"3691.98977",39,"10786.0","2157.20000"
"ZRXUSDT","ZRXUSDT#1686244980000",1686244980000,"0.2000","0.2002","0.2000","0.2002","22817.3",1686245039999,"4565.72082",32,"22817.3","4565.72082"
"ZRXUSDT","ZRXUSDT#1686245040000",1686245040000,"0.2002","0.2002","0.2001","0.2001","5051.5",1686245099999,"1010.94001",17,"1521.6","304.47498"
"ZRXUSDT","ZRXUSDT#1686245100000",1686245100000,"0.2002","0.2002","0.2001","0.2002","8335.7",1686245159999,"1668.55466",36,"5810.9","1163.34218"
"ZRXUSDT","ZRXUSDT#1686245160000",1686245160000,"0.2002","0.2002","0.2002","0.2002","989.2",1686245219999,"198.03784",5,"0.0","0.00000"
"ZRXUSDT","ZRXUSDT#1686245220000",1686245220000,"0.2001","0.2001","0.2001","0.2001","0.6",1686245279999,"0.12006",1,"0.0","0.00000"
"ZRXUSDT","ZRXUSDT#1686245280000",1686245280000,"0.2002","0.2003","0.2002","0.2003","2750.2",1686245339999,"550.68267",19,"2750.2","550.68267"
"ZRXUSDT","ZRXUSDT#1686245340000",1686245340000,"0.2003","0.2003","0.2001","0.2001","74899.6",1686245399999,"14992.68721",37,"494.7","99.08841"
"ZRXUSDT","ZRXUSDT#1686245400000",1686245400000,"0.2000","0.2001","0.1999","0.1999","15852.0",1686245459999,"3170.26867",21,"1870.7","374.14352"
"ZRXUSDT","ZRXUSDT#1686245460000",1686245460000,"0.1998","0.1998","0.1997","0.1998","19683.2",1686245519999,"3931.74971",58,"10569.5","2110.91493"
"ZRXUSDT","ZRXUSDT#1686245520000",1686245520000,"0.1997","0.1998","0.1997","0.1998","2005.4",1686245579999,"400.66835",14,"1899.7","379.56006"
"ZRXUSDT","ZRXUSDT#1686245580000",1686245580000,"0.1997","0.2000","0.1997","0.2000","41626.0",1686245639999,"8318.80902",35,"41163.2","8226.31234"
"ZRXUSDT","ZRXUSDT#1686245640000",1686245640000,"0.2000","0.2000","0.2000","0.2000","0.0",1686245699999,"0.00000",0,"0.0","0.00000"
"ZRXUSDT","ZRXUSDT#1686245700000",1686245700000,"0.2001","0.2001","0.2001","0.2001","35.3",1686245759999,"7.06353",1,"35.3","7.06353"
"ZRXUSDT","ZRXUSDT#1686245760000",1686245760000,"0.2001","0.2002","0.2001","0.2002","6249.4",1686245819999,"1250.57365",42,"6224.1","1245.51112"
