"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ARUSDT","ARUSDT#1686301260000",1686301260000,"6.158","6.170","6.157","6.170","4746.4",1686301319999,"29259.6423",115,"4542.5","28002.2480"
"ARUSDT","ARUSDT#1686301320000",1686301320000,"6.169","6.177","6.169","6.176","710.0",1686301379999,"4383.0611",43,"691.5","4268.8595"
"ARUSDT","ARUSDT#1686301380000",1686301380000,"6.176","6.177","6.175","6.176","585.2",1686301439999,"3614.4630",59,"230.5","1423.7985"
"ARUSDT","ARUSDT#1686301440000",1686301440000,"6.177","6.178","6.176","6.176","406.5",1686301499999,"2510.8592",38,"196.1","1211.3109"
"ARUSDT","ARUSDT#1686301500000",1686301500000,"6.176","6.176","6.169","6.169","1887.3",1686301559999,"11650.2662",93,"18.2","112.3415"
"ARUSDT","ARUSDT#1686301560000",1686301560000,"6.169","6.170","6.163","6.163","551.7",1686301619999,"3402.9724",45,"98.2","605.8940"
"ARUSDT","ARUSDT#1686301620000",1686301620000,"6.162","6.166","6.162","6.166","801.4",1686301679999,"4939.8886",36,"643.3","3965.2522"
"ARUSDT","ARUSDT#1686301680000",1686301680000,"6.167","6.167","6.162","6.162","279.6",1686301739999,"1723.2561",38,"2.6","16.0342"
"ARUSDT","ARUSDT#1686301740000",1686301740000,"6.162","6.165","6.161","6.165","443.2",1686301799999,"2731.1573",36,"179.8","1107.9787"
"ARUSDT","ARUSDT#1686301800000",1686301800000,"6.163","6.163","6.157","6.162","906.4",1686301859999,"5582.3608",45,"151.6","933.8042"
"ARUSDT","ARUSDT#1686301860000",1686301860000,"6.162","6.163","6.160","6.160","411.7",1686301919999,"2536.8852",15,"346.9","2137.5978"
"ARUSDT","ARUSDT#1686301920000",1686301920000,"6.160","6.164","6.159","6.160","1013.4",1686301979999,"6243.3361",32,"2.7","16.6347"
"ARUSDT","ARUSDT#1686301980000",1686301980000,"6.160","6.160","6.160","6.160","25.0",1686302039999,"154.0000",5,"0.0","0.0000"
"ARUSDT","ARUSDT#1686302040000",1686302040000,"6.161","6.161","6.159","6.161","123.0",1686302099999,"757.7202",10,"27.2","167.5792"
"ARUSDT","ARUSDT#1686302100000",1686302100000,"6.161","6.170","6.161","6.169","749.5",1686302159999,"4622.5126",31,"637.8","3933.7611"
"ARUSDT","ARUSDT#1686302160000",1686302160000,"6.168","6.168","6.163","6.163","370.1",1686302219999,"2281.7731",27,"28.9","178.2228"
"ARUSDT","ARUSDT#1686302220000",1686302220000,"6.163","6.163","6.157","6.157","248.2",1686302279999,"1528.9911",23,"2.2","13.5498"
"ARUSDT","ARUSDT#1686302280000",1686302280000,"6.156","6.157","6.155","6.157","284.3",1686302339999,"1750.3470",10,"210.4","1295.4269"
"ARUSDT","ARUSDT#1686302340000",1686302340000,"6.157","6.157","6.156","6.156","223.0",1686302399999,"1373.0029",6,"215.9","1329.2953"
"ARUSDT","ARUSDT#1686302400000",1686302400000,"6.156","6.159","6.156","6.159","269.5",1686302459999,"1659.5788",19,"213.5","1314.7300"
"ARUSDT","ARUSDT#1686302460000",1686302460000,"6.159","6.165","6.159","6.165","595.5",1686302519999,"3669.8963",18,"595.4","3669.2802"
"ARUSDT","ARUSDT#1686302520000",1686302520000,"6.165","6.165","6.161","6.163","154.5",1686302579999,"952.1117",13,"3.3","20.3397"
"ARUSDT","ARUSDT#1686302580000",1686302580000,"6.163","6.163","6.163","6.163","0.0",1686302639999,"0.0000",0,"0.0","0.0000"
"ARUSDT","ARUSDT#1686302640000",1686302640000,"6.163","6.164","6.163","6.164","44.8",1686302699999,"276.1363",9,"29.8","183.6763"
"ARUSDT","ARUSDT#1686302700000",1686302700000,"6.163","6.163","6.163","6.163","11.5",1686302759999,"70.8745",4,"0.0","0.0000"
"ARUSDT","ARUSDT#1686302760000",1686302760000,"6.163","6.163","6.163","6.163","0.0",1686302819999,"0.0000",0,"0.0","0.0000"
"ARUSDT","ARUSDT#1686302820000",1686302820000,"6.162","6.162","6.162","6.162","27.2",1686302879999,"167.6064",4,"0.0","0.0000"
"ARUSDT","ARUSDT#1686302880000",1686302880000,"6.162","6.162","6.162","6.162","25.3",1686302939999,"155.8986",6,"0.0","0.0000"
"ARUSDT","ARUSDT#1686302940000",1686302940000,"6.163","6.164","6.162","6.163","170.6",1686302999999,"1051.4196",24,"63.4","390.7545"
"ARUSDT","ARUSDT#1686303000000",1686303000000,"6.163","6.175","6.163","6.175","699.1",1686303059999,"4311.0125",28,"660.3","4071.7569"
"ARUSDT","ARUSDT#1686303060000",1686303060000,"6.175","6.176","6.173","6.173","457.5",1686303119999,"2824.7851",57,"105.2","649.7021"
"ARUSDT","ARUSDT#1686303120000",1686303120000,"6.173","6.175","6.172","6.175","158.9",1686303179999,"980.9042",26,"11.2","69.1478"
"ARUSDT","ARUSDT#1686303180000",1686303180000,"6.173","6.175","6.173","6.174","87.1",1686303239999,"537.8144",7,"68.5","422.9865"
"ARUSDT","ARUSDT#1686303240000",1686303240000,"6.175","6.176","6.175","6.175","280.5",1686303299999,"1732.2780",27,"201.1","1241.9830"
"ARUSDT","ARUSDT#1686303300000",1686303300000,"6.175","6.177","6.174","6.175","449.6",1686303359999,"2776.7747",52,"264.2","1631.8585"
"ARUSDT","ARUSDT#1686303360000",1686303360000,"6.176","6.177","6.174","6.175","259.9",1686303419999,"1604.8483",38,"20.5","126.6154"
"ARUSDT","ARUSDT#1686303420000",1686303420000,"6.175","6.175","6.172","6.175","107.0",1686303479999,"660.5399",27,"5.6","34.5782"
"ARUSDT","ARUSDT#1686303480000",1686303480000,"6.174","6.177","6.174","6.177","166.4",1686303539999,"1027.6062",10,"159.0","981.9112"
"ARUSDT","ARUSDT#1686303540000",1686303540000,"6.176","6.176","6.175","6.175","64.0",1686303599999,"395.2026",13,"2.6","16.0576"
"ARUSDT","ARUSDT#1686303600000",1686303600000,"6.174","6.177","6.174","6.177","70.5",1686303659999,"435.4448",9,"69.4","428.6534"
"ARUSDT","ARUSDT#1686303660000",1686303660000,"6.178","6.178","6.178","6.178","260.9",1686303719999,"1611.8402",9,"260.9","1611.8402"
"ARUSDT","ARUSDT#1686303720000",1686303720000,"6.178","6.178","6.175","6.175","140.6",1686303779999,"868.3983",21,"22.6","139.5625"
"ARUSDT","ARUSDT#1686303780000",1686303780000,"6.177","6.177","6.177","6.177","26.9",1686303839999,"166.1613",3,"26.9","166.1613"
"ARUSDT","ARUSDT#1686303840000",1686303840000,"6.176","6.177","6.176","6.176","27.9",1686303899999,"172.3130",11,"2.6","16.0602"
"ARUSDT","ARUSDT#1686303900000",1686303900000,"6.177","6.178","6.177","6.177","206.8",1686303959999,"1277.4893",12,"203.3","1255.8698"
"ARUSDT","ARUSDT#1686303960000",1686303960000,"6.177","6.178","6.175","6.177","159.2",1686304019999,"983.2809",19,"37.2","229.7529"
"ARUSDT","ARUSDT#1686304020000",1686304020000,"6.178","6.178","6.177","6.177","65.1",1686304079999,"402.1792",15,"56.5","349.0570"
"ARUSDT","ARUSDT#1686304080000",1686304080000,"6.178","6.178","6.178","6.178","4.8",1686304139999,"29.6544",2,"4.8","29.6544"
"ARUSDT","ARUSDT#1686304140000",1686304140000,"6.178","6.186","6.178","6.186","700.7",1686304199999,"4331.0816",42,"670.6","4144.9942"
"ARUSDT","ARUSDT#1686304200000",1686304200000,"6.186","6.187","6.175","6.176","2179.6",1686304259999,"13464.6546",80,"520.3","3214.3454"
