"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ATOMUSDT","ATOMUSDT#1686340860000",1686340860000,"9.163","9.177","9.163","9.172","19763.05",1686340919999,"181210.56450",703,"10858.66","99567.30748"
"ATOMUSDT","ATOMUSDT#1686340920000",1686340920000,"9.171","9.174","9.164","9.173","15551.12",1686340979999,"142583.43387",640,"6282.65","57604.03132"
"ATOMUSDT","ATOMUSDT#1686340980000",1686340980000,"9.173","9.174","9.165","9.169","22027.87",1686341039999,"202005.22730",803,"6755.67","61949.79703"
"ATOMUSDT","ATOMUSDT#1686341040000",1686341040000,"9.169","9.173","9.165","9.172","8723.90",1686341099999,"79995.95785",503,"4531.58","41557.60138"
"ATOMUSDT","ATOMUSDT#1686341100000",1686341100000,"9.173","9.180","9.166","9.167","14939.88",1686341159999,"137046.52015",740,"6544.94","60042.54913"
"ATOMUSDT","ATOMUSDT#1686341160000",1686341160000,"9.168","9.174","9.163","9.171","12646.17",1686341219999,"115942.08109",630,"7580.85","69505.04248"
"ATOMUSDT","ATOMUSDT#1686341220000",1686341220000,"9.171","9.179","9.164","9.169","16553.46",1686341279999,"151823.93584",654,"9670.17","88698.18011"
"ATOMUSDT","ATOMUSDT#1686341280000",1686341280000,"9.169","9.184","9.162","9.181","21448.25",1686341339999,"196753.20425",670,"9959.98","91376.45970"
"ATOMUSDT","ATOMUSDT#1686341340000",1686341340000,"9.182","9.183","9.170","9.176","22216.57",1686341399999,"203912.61377",678,"8388.24","76987.35601"
"ATOMUSDT","ATOMUSDT#1686341400000",1686341400000,"9.177","9.190","9.176","9.190","15599.43",1686341459999,"143249.37277",575,"9418.22","86498.09983"
"ATOMUSDT","ATOMUSDT#1686341460000",1686341460000,"9.190","9.190","9.178","9.188","12343.90",1686341519999,"113376.40517",539,"5206.98","47818.33295"
"ATOMUSDT","ATOMUSDT#1686341520000",1686341520000,"9.188","9.198","9.187","9.197","11296.06",1686341579999,"103833.07653",626,"6845.25","62923.27715"
"ATOMUSDT","ATOMUSDT#1686341580000",1686341580000,"9.198","9.205","9.191","9.205","11110.76",1686341639999,"102185.88400",647,"6659.09","61247.65235"
"ATOMUSDT","ATOMUSDT#1686341640000",1686341640000,"9.205","9.210","9.200","9.201","15051.66",1686341699999,"138532.31926",670,"6044.32","55634.81149"
"ATOMUSDT","ATOMUSDT#1686341700000",1686341700000,"9.201","9.212","9.200","9.207","15144.61",1686341759999,"139414.45024",638,"8421.91","77524.78540"
"ATOMUSDT","ATOMUSDT#1686341760000",1686341760000,"9.207","9.208","9.200","9.200","9230.96",1686341819999,"84954.95937",398,"3340.77","30747.76679"
"ATOMUSDT","ATOMUSDT#1686341820000",1686341820000,"9.201","9.209","9.200","9.207","7433.51",1686341879999,"68418.36297",375,"3334.79","30695.21200"
"ATOMUSDT","ATOMUSDT#1686341880000",1686341880000,"9.207","9.221","9.205","9.216","19456.62",1686341939999,"179264.80765",571,"13344.65","122954.46687"
"ATOMUSDT","ATOMUSDT#1686341940000",1686341940000,"9.216","9.217","9.211","9.211","6050.61",1686341999999,"55752.63895",370,"1981.41","18258.64167"
"ATOMUSDT","ATOMUSDT#1686342000000",1686342000000,"9.212","9.219","9.211","9.218","4420.25",1686342059999,"40725.92647",274,"1681.73","15497.43132"
"ATOMUSDT","ATOMUSDT#1686342060000",1686342060000,"9.219","9.223","9.218","9.220","4904.99",1686342119999,"45223.51743",266,"1866.09","17205.65340"
"ATOMUSDT","ATOMUSDT#1686342120000",1686342120000,"9.220","9.229","9.217","9.229","12150.48",1686342179999,"112073.13415",406,"5954.22","54922.71760"
"ATOMUSDT","ATOMUSDT#1686342180000",1686342180000,"9.228","9.234","9.228","9.233","6179.04",1686342239999,"57039.41420",290,"3009.04","27777.20476"
"ATOMUSDT","ATOMUSDT#1686342240000",1686342240000,"9.234","9.238","9.232","9.236","11498.27",1686342299999,"106188.93457",419,"5053.70","46675.13749"
"ATOMUSDT","ATOMUSDT#1686342300000",1686342300000,"9.236","9.243","9.227","9.238","29063.19",1686342359999,"268423.63911",548,"22569.30","208445.15028"
"ATOMUSDT","ATOMUSDT#1686342360000",1686342360000,"9.237","9.242","9.235","9.238","6940.65",1686342419999,"64124.84699",314,"3376.48","31199.49651"
"ATOMUSDT","ATOMUSDT#1686342420000",1686342420000,"9.238","9.242","9.234","9.240","7411.89",1686342479999,"68469.25118",256,"3599.33","33251.83034"
"ATOMUSDT","ATOMUSDT#1686342480000",1686342480000,"9.240","9.240","9.231","9.234","8812.99",1686342539999,"81392.10057",233,"2995.72","27669.48742"
"ATOMUSDT","ATOMUSDT#1686342540000",1686342540000,"9.235","9.236","9.231","9.234","4304.76",1686342599999,"39746.00103",153,"1599.98","14773.23113"
"ATOMUSDT","ATOMUSDT#1686342600000",1686342600000,"9.233","9.236","9.227","9.228","8325.14",1686342659999,"76838.14584",293,"1461.57","13492.65744"
"ATOMUSDT","ATOMUSDT#1686342660000",1686342660000,"9.229","9.229","9.218","9.219","18119.21",1686342719999,"167106.08805",324,"1489.29","13734.18832"
"ATOMUSDT","ATOMUSDT#1686342720000",1686342720000,"9.219","9.220","9.217","9.220","3135.42",1686342779999,"28904.87829",160,"2364.36","21797.12815"
"ATOMUSDT","ATOMUSDT#1686342780000",1686342780000,"9.221","9.229","9.218","9.220","12094.37",1686342839999,"111542.17002",406,"8596.38","79285.54864"
"ATOMUSDT","ATOMUSDT#1686342840000",1686342840000,"9.220","9.220","9.212","9.215","5020.06",1686342899999,"46262.72872",256,"1768.09","16294.05081"
"ATOMUSDT","ATOMUSDT#1686342900000",1686342900000,"9.215","9.215","9.209","9.211","5813.20",1686342959999,"53543.63188",287,"2586.88","23827.22768"
"ATOMUSDT","ATOMUSDT#1686342960000",1686342960000,"9.211","9.214","9.209","9.213","3613.20",1686343019999,"33282.44529",214,"1722.73","15869.42432"
"ATOMUSDT","ATOMUSDT#1686343020000",1686343020000,"9.213","9.213","9.210","9.212","3233.96",1686343079999,"29789.08904",162,"697.06","6421.40929"
"ATOMUSDT","ATOMUSDT#1686343080000",1686343080000,"9.212","9.216","9.211","9.212","5620.04",1686343139999,"51780.85632",244,"3875.17","35705.30357"
"ATOMUSDT","ATOMUSDT#1686343140000",1686343140000,"9.213","9.219","9.210","9.215","4094.23",1686343199999,"37725.94486",195,"2372.09","21861.64845"
"ATOMUSDT","ATOMUSDT#1686343200000",1686343200000,"9.215","9.216","9.210","9.212","3698.47",1686343259999,"34069.42248",184,"685.74","6317.25571"
"ATOMUSDT","ATOMUSDT#1686343260000",1686343260000,"9.211","9.213","9.210","9.210","11825.79",1686343319999,"108922.43340",168,"2810.75","25891.87886"
"ATOMUSDT","ATOMUSDT#1686343320000",1686343320000,"9.211","9.211","9.199","9.200","6297.70",1686343379999,"57978.08074",160,"1134.21","10444.92521"
"ATOMUSDT","ATOMUSDT#1686343380000",1686343380000,"9.200","9.200","9.195","9.200","4587.90",1686343439999,"42196.34340",209,"2522.62","23201.98120"
"ATOMUSDT","ATOMUSDT#1686343440000",1686343440000,"9.200","9.209","9.199","9.205","8412.18",1686343499999,"77438.81667",233,"6898.74","63507.10614"
"ATOMUSDT","ATOMUSDT#1686343500000",1686343500000,"9.204","9.210","9.201","9.204","5906.21",1686343559999,"54359.08051",274,"3091.36","28451.41713"
"ATOMUSDT","ATOMUSDT#1686343560000",1686343560000,"9.204","9.206","9.202","9.206","3342.89",1686343619999,"30766.28689",167,"1237.72","11392.10886"
"ATOMUSDT","ATOMUSDT#1686343620000",1686343620000,"9.206","9.208","9.199","9.205","8811.82",1686343679999,"81099.48508",208,"6742.51","62056.76468"
"ATOMUSDT","ATOMUSDT#1686343680000",1686343680000,"9.205","9.217","9.205","9.216","10455.34",1686343739999,"96315.62902",227,"6667.42","61412.67609"
"ATOMUSDT","ATOMUSDT#1686343740000",1686343740000,"9.216","9.223","9.212","9.213","10270.68",1686343799999,"94675.73523",403,"4656.37","42925.01113"
"ATOMUSDT","ATOMUSDT#1686343800000",1686343800000,"9.213","9.217","9.213","9.214","4241.92",1686343859999,"39085.81215",258,"2340.30","21563.60686"
"ATOMUSDT","ATOMUSDT#1686343860000",1686343860000,"9.214","9.214","9.210","9.213","673.69",1686343919999,"6205.71114",77,"333.18","3069.24162"
"ATOMUSDT","ATOMUSDT#1686343920000",1686343920000,"9.213","9.214","9.201","9.203","24354.97",1686343979999,"224208.99074",309,"2161.18","19894.72476"
"ATOMUSDT","ATOMUSDT#1686343980000",1686343980000,"9.204","9.207","9.200","9.205","10448.47",1686344039999,"96151.62789",197,"1233.35","11351.70117"
"ATOMUSDT","ATOMUSDT#1686344040000",1686344040000,"9.205","9.205","9.202","9.203","891.02",1686344099999,"8200.86238",95,"403.90","3717.68504"
"ATOMUSDT","ATOMUSDT#1686344100000",1686344100000,"9.203","9.204","9.196","9.197","2691.16",1686344159999,"24755.89126",129,"732.92","6742.42100"
"ATOMUSDT","ATOMUSDT#1686344160000",1686344160000,"9.198","9.204","9.197","9.198","2775.65",1686344219999,"25538.13464",120,"1724.37","15865.73501"
"ATOMUSDT","ATOMUSDT#1686344220000",1686344220000,"9.198","9.198","9.192","9.197","4154.64",1686344279999,"38199.82326",170,"992.28","9124.82932"
"ATOMUSDT","ATOMUSDT#1686344280000",1686344280000,"9.197","9.198","9.193","9.194","3545.86",1686344339999,"32607.07508",169,"2869.36","26386.19915"
"ATOMUSDT","ATOMUSDT#1686344340000",1686344340000,"9.194","9.204","9.194","9.204","1384.61",1686344399999,"12735.70823",91,"1032.20","9495.01156"
"ATOMUSDT","ATOMUSDT#1686344400000",1686344400000,"9.203","9.205","9.197","9.202","5050.02",1686344459999,"46470.07916",228,"2266.41","20854.36797"
