"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"CHRUSDT","CHRUSDT#1686308460000",1686308460000,"0.1400","0.1400","0.1399","0.1399","15055",1686308519999,"2106.4570",16,"2625","367.5000"
"CHRUSDT","CHRUSDT#1686308520000",1686308520000,"0.1400","0.1400","0.1399","0.1399","16366",1686308579999,"2289.9152",25,"3118","436.5200"
"CHRUSDT","CHRUSDT#1686308580000",1686308580000,"0.1400","0.1401","0.1398","0.1401","171440",1686308639999,"23997.4782",114,"153645","21508.4678"
"CHRUSDT","CHRUSDT#1686308640000",1686308640000,"0.1401","0.1401","0.1399","0.1400","80435",1686308699999,"11262.1702",46,"32311","4524.0957"
"CHRUSDT","CHRUSDT#1686308700000",1686308700000,"0.1400","0.1401","0.1399","0.1401","75725",1686308759999,"10606.4814",40,"42610","5967.0912"
"CHRUSDT","CHRUSDT#1686308760000",1686308760000,"0.1401","0.1402","0.1401","0.1401","16514",1686308819999,"2314.4299",30,"16045","2248.7230"
"CHRUSDT","CHRUSDT#1686308820000",1686308820000,"0.1401","0.1402","0.1401","0.1401","3490",1686308879999,"489.2741",12,"3251","455.7902"
"CHRUSDT","CHRUSDT#1686308880000",1686308880000,"0.1402","0.1403","0.1402","0.1402","41852",1686308939999,"5869.2212",43,"40738","5713.0384"
"CHRUSDT","CHRUSDT#1686308940000",1686308940000,"0.1402","0.1402","0.1401","0.1402","56740",1686308999999,"7954.9173",41,"16886","2367.4172"
"CHRUSDT","CHRUSDT#1686309000000",1686309000000,"0.1402","0.1403","0.1402","0.1402","2898",1686309059999,"406.5672",7,"2676","375.4428"
"CHRUSDT","CHRUSDT#1686309060000",1686309060000,"0.1402","0.1403","0.1401","0.1402","36989",1686309119999,"5185.9810",39,"10033","1406.7643"
"CHRUSDT","CHRUSDT#1686309120000",1686309120000,"0.1402","0.1402","0.1401","0.1402","31677",1686309179999,"4441.1109",32,"8548","1198.4296"
"CHRUSDT","CHRUSDT#1686309180000",1686309180000,"0.1401","0.1402","0.1401","0.1402","18649",1686309239999,"2614.5794",19,"18500","2593.7000"
"CHRUSDT","CHRUSDT#1686309240000",1686309240000,"0.1402","0.1403","0.1401","0.1401","135019",1686309299999,"18926.6729",73,"60735","8515.3108"
"CHRUSDT","CHRUSDT#1686309300000",1686309300000,"0.1401","0.1402","0.1400","0.1400","41114",1686309359999,"5760.0514",29,"22993","3221.3844"
