"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GALAUSDT","GALAUSDT#1686330060000",1686330060000,"0.02593","0.02596","0.02593","0.02596","1366015",1686330119999,"35444.73515",116,"888313","23048.97346"
"GALAUSDT","GALAUSDT#1686330120000",1686330120000,"0.02595","0.02595","0.02594","0.02594","1317241",1686330179999,"34180.83286",164,"429162","11136.75390"
"GALAUSDT","GALAUSDT#1686330180000",1686330180000,"0.02594","0.02594","0.02588","0.02589","1564943",1686330239999,"40538.10130",253,"471311","12203.91687"
"GALAUSDT","GALAUSDT#1686330240000",1686330240000,"0.02590","0.02592","0.02588","0.02590","3525708",1686330299999,"91327.23187",197,"2242373","58083.10933"
"GALAUSDT","GALAUSDT#1686330300000",1686330300000,"0.02591","0.02591","0.02585","0.02587","2768554",1686330359999,"71649.86503",254,"995015","25746.04224"
"GALAUSDT","GALAUSDT#1686330360000",1686330360000,"0.02586","0.02588","0.02586","0.02586","1538714",1686330419999,"39805.68381",114,"376455","9738.89896"
"GALAUSDT","GALAUSDT#1686330420000",1686330420000,"0.02586","0.02591","0.02586","0.02586","2802407",1686330479999,"72538.37377",208,"1411442","36532.26468"
"GALAUSDT","GALAUSDT#1686330480000",1686330480000,"0.02586","0.02588","0.02582","0.02585","3699440",1686330539999,"95608.82497",266,"2259033","58377.35860"
"GALAUSDT","GALAUSDT#1686330540000",1686330540000,"0.02585","0.02587","0.02584","0.02585","2461349",1686330599999,"63649.30445",186,"1012537","26186.77125"
"GALAUSDT","GALAUSDT#1686330600000",1686330600000,"0.02586","0.02587","0.02585","0.02586","1549493",1686330659999,"40066.00769",129,"849202","21960.36756"
"GALAUSDT","GALAUSDT#1686330660000",1686330660000,"0.02586","0.02588","0.02580","0.02581","3156080",1686330719999,"81570.49170",227,"1238413","32012.59956"
"GALAUSDT","GALAUSDT#1686330720000",1686330720000,"0.02581","0.02584","0.02578","0.02581","8022727",1686330779999,"207092.50299",436,"4018730","103753.55177"
"GALAUSDT","GALAUSDT#1686330780000",1686330780000,"0.02581","0.02582","0.02580","0.02581","2011075",1686330839999,"51902.46075",167,"1024798","26448.83319"
"GALAUSDT","GALAUSDT#1686330840000",1686330840000,"0.02582","0.02586","0.02582","0.02584","2977271",1686330899999,"76937.68158",179,"1049604","27118.44634"
"GALAUSDT","GALAUSDT#1686330900000",1686330900000,"0.02585","0.02591","0.02584","0.02589","3117443",1686330959999,"80694.54164",255,"2126503","55039.40434"
"GALAUSDT","GALAUSDT#1686330960000",1686330960000,"0.02589","0.02590","0.02587","0.02590","2031415",1686331019999,"52584.89007",129,"763637","19769.39139"
"GALAUSDT","GALAUSDT#1686331020000",1686331020000,"0.02590","0.02592","0.02590","0.02592","2018260",1686331079999,"52302.22255",127,"1561888","40477.79596"
"GALAUSDT","GALAUSDT#1686331080000",1686331080000,"0.02592","0.02595","0.02591","0.02594","2009364",1686331139999,"52108.82357",208,"1167600","30283.74435"
"GALAUSDT","GALAUSDT#1686331140000",1686331140000,"0.02594","0.02595","0.02591","0.02594","2272158",1686331199999,"58931.08841",167,"955759","24793.06440"
"GALAUSDT","GALAUSDT#1686331200000",1686331200000,"0.02593","0.02594","0.02592","0.02593","1549656",1686331259999,"40182.04402",135,"667047","17296.54405"
"GALAUSDT","GALAUSDT#1686331260000",1686331260000,"0.02594","0.02594","0.02590","0.02593","1952209",1686331319999,"50591.35598",151,"855424","22171.12518"
"GALAUSDT","GALAUSDT#1686331320000",1686331320000,"0.02594","0.02595","0.02593","0.02593","1438686",1686331379999,"37317.16175",113,"799944","20750.56400"
"GALAUSDT","GALAUSDT#1686331380000",1686331380000,"0.02594","0.02597","0.02594","0.02594","1611995",1686331439999,"41828.27647",140,"367783","9544.82027"
"GALAUSDT","GALAUSDT#1686331440000",1686331440000,"0.02595","0.02595","0.02594","0.02595","344458",1686331499999,"8937.47781",35,"223729","5805.76755"
"GALAUSDT","GALAUSDT#1686331500000",1686331500000,"0.02595","0.02595","0.02593","0.02593","1190314",1686331559999,"30869.49576",91,"726907","18851.45779"
"GALAUSDT","GALAUSDT#1686331560000",1686331560000,"0.02593","0.02594","0.02592","0.02594","2191245",1686331619999,"56822.99754",77,"1930695","50067.60221"
"GALAUSDT","GALAUSDT#1686331620000",1686331620000,"0.02594","0.02594","0.02590","0.02591","3275534",1686331679999,"84915.92931",122,"261601","6778.52744"
"GALAUSDT","GALAUSDT#1686331680000",1686331680000,"0.02591","0.02591","0.02590","0.02590","821383",1686331739999,"21277.61410",103,"398655","10327.77571"
"GALAUSDT","GALAUSDT#1686331740000",1686331740000,"0.02591","0.02592","0.02590","0.02590","1085156",1686331799999,"28120.50733",90,"411065","10652.70385"
"GALAUSDT","GALAUSDT#1686331800000",1686331800000,"0.02590","0.02591","0.02587","0.02588","2114525",1686331859999,"54729.23622",153,"947325","24519.57540"
"GALAUSDT","GALAUSDT#1686331860000",1686331860000,"0.02588","0.02593","0.02588","0.02592","1778306",1686331919999,"46084.43961",152,"1065905","27619.89324"
"GALAUSDT","GALAUSDT#1686331920000",1686331920000,"0.02593","0.02595","0.02592","0.02592","1016654",1686331979999,"26360.86902",134,"276327","7164.81364"
