"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LRCUSDT","LRCUSDT#1686315660000",1686315660000,"0.24920","0.24930","0.24880","0.24880","34896",1686315719999,"8693.26330",104,"4507","1123.26260"
"LRCUSDT","LRCUSDT#1686315720000",1686315720000,"0.24890","0.24890","0.24860","0.24860","61543",1686315779999,"15310.46220",115,"32145","7997.76980"
"LRCUSDT","LRCUSDT#1686315780000",1686315780000,"0.24850","0.24860","0.24820","0.24820","65796",1686315839999,"16339.32610",103,"5535","1375.45550"
"LRCUSDT","LRCUSDT#1686315840000",1686315840000,"0.24830","0.24860","0.24830","0.24840","21987",1686315899999,"5462.37820",51,"16178","4019.02790"
"LRCUSDT","LRCUSDT#1686315900000",1686315900000,"0.24840","0.24880","0.24840","0.24860","44576",1686315959999,"11079.63680",83,"20847","5180.81210"
"LRCUSDT","LRCUSDT#1686315960000",1686315960000,"0.24860","0.24870","0.24840","0.24850","42073",1686316019999,"10457.34590",54,"13562","3370.85410"
"LRCUSDT","LRCUSDT#1686316020000",1686316020000,"0.24850","0.24870","0.24850","0.24850","25286",1686316079999,"6284.14950",37,"16001","3976.77520"
"LRCUSDT","LRCUSDT#1686316080000",1686316080000,"0.24850","0.24850","0.24840","0.24840","12473",1686316139999,"3098.80670",20,"1673","415.60810"
"LRCUSDT","LRCUSDT#1686316140000",1686316140000,"0.24840","0.24840","0.24820","0.24820","8019",1686316199999,"1990.42700",10,"235","58.37400"
"LRCUSDT","LRCUSDT#1686316200000",1686316200000,"0.24830","0.24870","0.24830","0.24860","26826",1686316259999,"6664.78210",62,"24451","6074.34500"
"LRCUSDT","LRCUSDT#1686316260000",1686316260000,"0.24850","0.24850","0.24830","0.24830","14221",1686316319999,"3531.97010",23,"1770","439.49620"
"LRCUSDT","LRCUSDT#1686316320000",1686316320000,"0.24830","0.24840","0.24830","0.24840","12417",1686316379999,"3083.78340",16,"6423","1595.47320"
"LRCUSDT","LRCUSDT#1686316380000",1686316380000,"0.24850","0.24850","0.24840","0.24850","3624",1686316439999,"900.50420",25,"3026","751.96100"
"LRCUSDT","LRCUSDT#1686316440000",1686316440000,"0.24850","0.24850","0.24840","0.24840","3821",1686316499999,"949.16880",16,"1695","421.07040"
"LRCUSDT","LRCUSDT#1686316500000",1686316500000,"0.24830","0.24850","0.24830","0.24840","27522",1686316559999,"6838.27070",57,"20824","5174.17990"
"LRCUSDT","LRCUSDT#1686316560000",1686316560000,"0.24840","0.24850","0.24840","0.24850","6558",1686316619999,"1629.36480",23,"4732","1175.60380"
"LRCUSDT","LRCUSDT#1686316620000",1686316620000,"0.24850","0.24880","0.24850","0.24860","29421",1686316679999,"7316.08430",54,"9130","2270.58140"
"LRCUSDT","LRCUSDT#1686316680000",1686316680000,"0.24860","0.24880","0.24850","0.24870","40376",1686316739999,"10039.50340",53,"24190","6015.20790"
"LRCUSDT","LRCUSDT#1686316740000",1686316740000,"0.24860","0.24880","0.24860","0.24870","9867",1686316799999,"2454.05960",20,"1832","455.76920"
"LRCUSDT","LRCUSDT#1686316800000",1686316800000,"0.24880","0.24880","0.24860","0.24880","32617",1686316859999,"8113.69620",43,"25513","6347.18710"
"LRCUSDT","LRCUSDT#1686316860000",1686316860000,"0.24880","0.24900","0.24880","0.24900","2695",1686316919999,"670.91990",20,"2243","558.43340"
"LRCUSDT","LRCUSDT#1686316920000",1686316920000,"0.24900","0.24920","0.24900","0.24900","12595",1686316979999,"3137.41870",41,"4558","1135.41640"
"LRCUSDT","LRCUSDT#1686316980000",1686316980000,"0.24910","0.24910","0.24880","0.24880","29905",1686317039999,"7442.39610",57,"5684","1414.78950"
"LRCUSDT","LRCUSDT#1686317040000",1686317040000,"0.24890","0.24890","0.24860","0.24880","40451",1686317099999,"10062.45620",60,"10516","2616.36750"
"LRCUSDT","LRCUSDT#1686317100000",1686317100000,"0.24880","0.24880","0.24860","0.24860","6707",1686317159999,"1667.59230",24,"1803","448.34830"
"LRCUSDT","LRCUSDT#1686317160000",1686317160000,"0.24850","0.24860","0.24830","0.24830","7424",1686317219999,"1844.42640",31,"1827","453.89400"
"LRCUSDT","LRCUSDT#1686317220000",1686317220000,"0.24830","0.24840","0.24780","0.24780","37787",1686317279999,"9376.70450",67,"11044","2740.38280"
"LRCUSDT","LRCUSDT#1686317280000",1686317280000,"0.24780","0.24810","0.24770","0.24810","23622",1686317339999,"5854.97770",44,"19085","4730.79560"
"LRCUSDT","LRCUSDT#1686317340000",1686317340000,"0.24810","0.24810","0.24780","0.24780","2111",1686317399999,"523.41890",21,"1053","261.13390"
"LRCUSDT","LRCUSDT#1686317400000",1686317400000,"0.24780","0.24800","0.24750","0.24760","53682",1686317459999,"13301.65630",110,"31730","7862.80520"
"LRCUSDT","LRCUSDT#1686317460000",1686317460000,"0.24760","0.24780","0.24730","0.24750","43685",1686317519999,"10814.73120",75,"20528","5082.40860"
"LRCUSDT","LRCUSDT#1686317520000",1686317520000,"0.24750","0.24780","0.24750","0.24770","29992",1686317579999,"7425.24260",42,"20419","5054.79260"
"LRCUSDT","LRCUSDT#1686317580000",1686317580000,"0.24770","0.24780","0.24770","0.24770","13847",1686317639999,"3430.06660",23,"13194","3268.30170"
"LRCUSDT","LRCUSDT#1686317640000",1686317640000,"0.24780","0.24780","0.24780","0.24780","5010",1686317699999,"1241.47800",15,"3800","941.64000"
"LRCUSDT","LRCUSDT#1686317700000",1686317700000,"0.24780","0.24820","0.24780","0.24820","5789",1686317759999,"1435.55110",27,"4892","1213.13740"
"LRCUSDT","LRCUSDT#1686317760000",1686317760000,"0.24830","0.24840","0.24820","0.24830","7830",1686317819999,"1943.90700",41,"6280","1559.04200"
"LRCUSDT","LRCUSDT#1686317820000",1686317820000,"0.24830","0.24830","0.24810","0.24830","11158",1686317879999,"2769.80740",34,"2136","530.25460"
"LRCUSDT","LRCUSDT#1686317880000",1686317880000,"0.24830","0.24850","0.24830","0.24840","13080",1686317939999,"3248.18900",22,"12528","3111.07220"
"LRCUSDT","LRCUSDT#1686317940000",1686317940000,"0.24850","0.24860","0.24850","0.24850","4467",1686317999999,"1110.20750",21,"1907","474.04750"
"LRCUSDT","LRCUSDT#1686318000000",1686318000000,"0.24850","0.24850","0.24830","0.24840","6167",1686318059999,"1531.92620",33,"3880","963.98500"
"LRCUSDT","LRCUSDT#1686318060000",1686318060000,"0.24840","0.24840","0.24830","0.24830","8412",1686318119999,"2088.87900",18,"1794","445.62960"
