"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MANAUSDT","MANAUSDT#1686337260000",1686337260000,"0.4102","0.4108","0.4101","0.4105","237593",1686337319999,"97522.5850",261,"145436","59699.2847"
"MANAUSDT","MANAUSDT#1686337320000",1686337320000,"0.4106","0.4108","0.4106","0.4106","38384",1686337379999,"15761.7645",86,"23840","9789.7112"
"MANAUSDT","MANAUSDT#1686337380000",1686337380000,"0.4106","0.4106","0.4098","0.4099","87366",1686337439999,"35827.4974",130,"16796","6885.2694"
"MANAUSDT","MANAUSDT#1686337440000",1686337440000,"0.4098","0.4099","0.4095","0.4096","230610",1686337499999,"94484.5037",191,"163499","66993.0007"
"MANAUSDT","MANAUSDT#1686337500000",1686337500000,"0.4095","0.4097","0.4090","0.4092","113657",1686337559999,"46530.7743",147,"41727","17084.9215"
"MANAUSDT","MANAUSDT#1686337560000",1686337560000,"0.4092","0.4092","0.4077","0.4086","574433",1686337619999,"234466.5732",492,"145681","59472.9328"
"MANAUSDT","MANAUSDT#1686337620000",1686337620000,"0.4086","0.4087","0.4083","0.4083","62566",1686337679999,"25556.6186",102,"16327","6670.0337"
"MANAUSDT","MANAUSDT#1686337680000",1686337680000,"0.4083","0.4091","0.4077","0.4089","184820",1686337739999,"75480.6079",214,"89765","36675.6999"
"MANAUSDT","MANAUSDT#1686337740000",1686337740000,"0.4088","0.4088","0.4081","0.4081","123144",1686337799999,"50312.1354",129,"53049","21673.7374"
"MANAUSDT","MANAUSDT#1686337800000",1686337800000,"0.4081","0.4081","0.4075","0.4078","189484",1686337859999,"77260.6786",231,"72966","29753.7114"
"MANAUSDT","MANAUSDT#1686337860000",1686337860000,"0.4078","0.4085","0.4067","0.4068","465985",1686337919999,"189842.0193",490,"161521","65842.6410"
"MANAUSDT","MANAUSDT#1686337920000",1686337920000,"0.4068","0.4080","0.4067","0.4077","424115",1686337979999,"172716.3981",467,"220420","89773.7215"
"MANAUSDT","MANAUSDT#1686337980000",1686337980000,"0.4077","0.4081","0.4063","0.4068","447505",1686338039999,"182228.6485",440,"225583","91873.1164"
"MANAUSDT","MANAUSDT#1686338040000",1686338040000,"0.4067","0.4075","0.4063","0.4075","437899",1686338099999,"178137.6605",478,"231771","94309.9590"
"MANAUSDT","MANAUSDT#1686338100000",1686338100000,"0.4075","0.4079","0.4066","0.4068","231860",1686338159999,"94423.7854",266,"110237","44890.7053"
"MANAUSDT","MANAUSDT#1686338160000",1686338160000,"0.4068","0.4072","0.4068","0.4068","141932",1686338219999,"57764.6222",162,"86805","35329.9878"
"MANAUSDT","MANAUSDT#1686338220000",1686338220000,"0.4068","0.4075","0.4067","0.4075","167777",1686338279999,"68318.8269",197,"106499","43365.4274"
"MANAUSDT","MANAUSDT#1686338280000",1686338280000,"0.4074","0.4082","0.4072","0.4079","212052",1686338339999,"86463.6950",239,"154062","62826.7793"
"MANAUSDT","MANAUSDT#1686338340000",1686338340000,"0.4080","0.4083","0.4078","0.4079","198091",1686338399999,"80830.7305",206,"106878","43619.8851"
"MANAUSDT","MANAUSDT#1686338400000",1686338400000,"0.4079","0.4084","0.4077","0.4084","81300",1686338459999,"33165.3487",106,"57816","23588.7467"
"MANAUSDT","MANAUSDT#1686338460000",1686338460000,"0.4084","0.4085","0.4067","0.4068","1314294",1686338519999,"535577.3107",838,"253452","103229.2008"
"MANAUSDT","MANAUSDT#1686338520000",1686338520000,"0.4069","0.4075","0.4066","0.4075","260579",1686338579999,"106077.0459",348,"192230","78253.5423"
"MANAUSDT","MANAUSDT#1686338580000",1686338580000,"0.4075","0.4078","0.4070","0.4070","237376",1686338639999,"96757.6557",288,"182922","74569.3500"
"MANAUSDT","MANAUSDT#1686338640000",1686338640000,"0.4070","0.4077","0.4070","0.4070","203898",1686338699999,"83059.4462",311,"160879","65534.9299"
"MANAUSDT","MANAUSDT#1686338700000",1686338700000,"0.4070","0.4073","0.4061","0.4061","241600",1686338759999,"98238.5556",304,"85357","34724.4270"
"MANAUSDT","MANAUSDT#1686338760000",1686338760000,"0.4061","0.4065","0.4056","0.4065","508474",1686338819999,"206464.8865",447,"190078","77193.2881"
"MANAUSDT","MANAUSDT#1686338820000",1686338820000,"0.4065","0.4066","0.4061","0.4063","79360",1686338879999,"32244.9647",103,"40563","16480.6126"
"MANAUSDT","MANAUSDT#1686338880000",1686338880000,"0.4065","0.4071","0.4062","0.4069","230287",1686338939999,"93633.3385",206,"141707","57618.3108"
"MANAUSDT","MANAUSDT#1686338940000",1686338940000,"0.4068","0.4071","0.4067","0.4068","95053",1686338999999,"38680.1819",108,"59061","24035.1420"
"MANAUSDT","MANAUSDT#1686339000000",1686339000000,"0.4068","0.4073","0.4068","0.4073","118189",1686339059999,"48099.8692",156,"71265","29004.1708"
"MANAUSDT","MANAUSDT#1686339060000",1686339060000,"0.4073","0.4078","0.4071","0.4077","163269",1686339119999,"66519.1993",219,"75171","30630.6197"
