"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MATICUSDT","MATICUSDT#1686312060000",1686312060000,"0.78650","0.78650","0.78580","0.78590","136505",1686312119999,"107304.65060",267,"29083","22863.31980"
"MATICUSDT","MATICUSDT#1686312120000",1686312120000,"0.78580","0.78650","0.78550","0.78630","116086",1686312179999,"91244.24450",240,"89478","70327.02960"
"MATICUSDT","MATICUSDT#1686312180000",1686312180000,"0.78630","0.78660","0.78620","0.78660","68128",1686312239999,"53573.94220",193,"45247","35582.85590"
"MATICUSDT","MATICUSDT#1686312240000",1686312240000,"0.78660","0.78690","0.78620","0.78680","340349",1686312299999,"267714.18370",329,"152931","120305.72900"
"MATICUSDT","MATICUSDT#1686312300000",1686312300000,"0.78680","0.78690","0.78610","0.78670","242174",1686312359999,"190474.11740",356,"97781","76898.00030"
"MATICUSDT","MATICUSDT#1686312360000",1686312360000,"0.78680","0.78720","0.78660","0.78710","119503",1686312419999,"94036.61250",204,"88077","69309.31680"
"MATICUSDT","MATICUSDT#1686312420000",1686312420000,"0.78720","0.78760","0.78710","0.78740","167870",1686312479999,"132170.43610",274,"96954","76336.15770"
"MATICUSDT","MATICUSDT#1686312480000",1686312480000,"0.78730","0.78760","0.78690","0.78700","126613",1686312539999,"99681.79620",207,"62405","49135.80800"
"MATICUSDT","MATICUSDT#1686312540000",1686312540000,"0.78710","0.78850","0.78700","0.78810","436363",1686312599999,"343846.00560",579,"358086","282167.09290"
"MATICUSDT","MATICUSDT#1686312600000",1686312600000,"0.78820","0.78830","0.78730","0.78740","237640",1686312659999,"187233.64530",416,"81870","64512.69530"
"MATICUSDT","MATICUSDT#1686312660000",1686312660000,"0.78740","0.78830","0.78690","0.78820","296806",1686312719999,"233754.56140",458,"190290","149883.39370"
"MATICUSDT","MATICUSDT#1686312720000",1686312720000,"0.78820","0.78850","0.78800","0.78800","163272",1686312779999,"128698.37120",235,"74634","58834.26380"
"MATICUSDT","MATICUSDT#1686312780000",1686312780000,"0.78810","0.78810","0.78760","0.78780","145856",1686312839999,"114912.74400",231,"28690","22606.08630"
"MATICUSDT","MATICUSDT#1686312840000",1686312840000,"0.78770","0.78790","0.78710","0.78720","91063",1686312899999,"71720.54820",160,"29911","23562.88990"
"MATICUSDT","MATICUSDT#1686312900000",1686312900000,"0.78710","0.78720","0.78680","0.78690","102716",1686312959999,"80831.95350",210,"32357","25463.85100"
"MATICUSDT","MATICUSDT#1686312960000",1686312960000,"0.78690","0.78770","0.78690","0.78760","89382",1686313019999,"70372.86340",217,"70909","55826.43940"
"MATICUSDT","MATICUSDT#1686313020000",1686313020000,"0.78750","0.78760","0.78660","0.78670","111019",1686313079999,"87383.91050",186,"21651","17040.05230"
"MATICUSDT","MATICUSDT#1686313080000",1686313080000,"0.78670","0.78720","0.78650","0.78720","112330",1686313139999,"88382.83130",166,"84938","66835.24960"
"MATICUSDT","MATICUSDT#1686313140000",1686313140000,"0.78710","0.78740","0.78700","0.78730","121296",1686313199999,"95491.66860",208,"86077","67764.92390"
"MATICUSDT","MATICUSDT#1686313200000",1686313200000,"0.78740","0.78790","0.78720","0.78750","375786",1686313259999,"295927.15480",329,"194644","153280.65440"
"MATICUSDT","MATICUSDT#1686313260000",1686313260000,"0.78750","0.78760","0.78600","0.78610","361467",1686313319999,"284393.00610",296,"161003","126688.35120"
"MATICUSDT","MATICUSDT#1686313320000",1686313320000,"0.78610","0.78610","0.78550","0.78560","136854",1686313379999,"107544.96330",222,"36113","28374.52960"
"MATICUSDT","MATICUSDT#1686313380000",1686313380000,"0.78560","0.78570","0.78550","0.78550","70797",1686313439999,"55616.58340",112,"30164","23696.84380"
"MATICUSDT","MATICUSDT#1686313440000",1686313440000,"0.78560","0.78610","0.78530","0.78550","335951",1686313499999,"263991.41650",314,"207760","163257.81800"
"MATICUSDT","MATICUSDT#1686313500000",1686313500000,"0.78550","0.78680","0.78540","0.78680","194796",1686313559999,"153133.65380",238,"136120","107003.79510"
"MATICUSDT","MATICUSDT#1686313560000",1686313560000,"0.78690","0.78690","0.78630","0.78650","173938",1686313619999,"136811.86360",249,"55925","43986.12760"
"MATICUSDT","MATICUSDT#1686313620000",1686313620000,"0.78640","0.78660","0.78560","0.78600","227274",1686313679999,"178644.92600",281,"120674","94849.26240"
"MATICUSDT","MATICUSDT#1686313680000",1686313680000,"0.78600","0.78670","0.78590","0.78630","276347",1686313739999,"217312.06800",467,"155458","122240.03220"
"MATICUSDT","MATICUSDT#1686313740000",1686313740000,"0.78630","0.78630","0.78500","0.78500","383778",1686313799999,"301536.65040",322,"216228","169890.82480"
"MATICUSDT","MATICUSDT#1686313800000",1686313800000,"0.78510","0.78560","0.78500","0.78520","566980",1686313859999,"445287.31490",542,"340414","267357.08390"
"MATICUSDT","MATICUSDT#1686313860000",1686313860000,"0.78520","0.78560","0.78490","0.78550","265957",1686313919999,"208864.31200",338,"135534","106435.96990"
"MATICUSDT","MATICUSDT#1686313920000",1686313920000,"0.78550","0.78550","0.78510","0.78510","216247",1686313979999,"169812.92530",221,"53634","42119.41260"
"MATICUSDT","MATICUSDT#1686313980000",1686313980000,"0.78520","0.78580","0.78510","0.78550","323715",1686314039999,"254293.86910",331,"246166","193372.09480"
"MATICUSDT","MATICUSDT#1686314040000",1686314040000,"0.78550","0.78550","0.78380","0.78380","391172",1686314099999,"306855.83560",441,"79070","62014.78010"
"MATICUSDT","MATICUSDT#1686314100000",1686314100000,"0.78390","0.78400","0.78380","0.78400","91726",1686314159999,"71904.27900",220,"54856","43003.43000"
"MATICUSDT","MATICUSDT#1686314160000",1686314160000,"0.78400","0.78410","0.78360","0.78370","238308",1686314219999,"186794.15950",256,"163528","128184.27970"
"MATICUSDT","MATICUSDT#1686314220000",1686314220000,"0.78370","0.78410","0.78370","0.78410","348955",1686314279999,"273551.51070",309,"222264","174249.09820"
"MATICUSDT","MATICUSDT#1686314280000",1686314280000,"0.78410","0.78520","0.78390","0.78510","320279",1686314339999,"251195.81970",220,"295564","231819.03960"
"MATICUSDT","MATICUSDT#1686314340000",1686314340000,"0.78520","0.78520","0.78340","0.78410","543606",1686314399999,"426293.04300",497,"180849","141809.60690"
"MATICUSDT","MATICUSDT#1686314400000",1686314400000,"0.78410","0.78410","0.78350","0.78410","197120",1686314459999,"154500.72190",269,"63675","49911.82680"
"MATICUSDT","MATICUSDT#1686314460000",1686314460000,"0.78410","0.78410","0.78350","0.78370","280405",1686314519999,"219788.52990",217,"116380","91227.74830"
"MATICUSDT","MATICUSDT#1686314520000",1686314520000,"0.78370","0.78380","0.78310","0.78330","220948",1686314579999,"173103.46180",289,"61116","47883.24580"
"MATICUSDT","MATICUSDT#1686314580000",1686314580000,"0.78330","0.78340","0.78300","0.78300","137422",1686314639999,"107632.88640",207,"72134","56498.28190"
"MATICUSDT","MATICUSDT#1686314640000",1686314640000,"0.78310","0.78330","0.78300","0.78320","103470",1686314699999,"81032.15210",219,"67781","53085.14620"
"MATICUSDT","MATICUSDT#1686314700000",1686314700000,"0.78320","0.78350","0.78300","0.78310","276700",1686314759999,"216734.58560",321,"154971","121394.89050"
"MATICUSDT","MATICUSDT#1686314760000",1686314760000,"0.78310","0.78310","0.78240","0.78250","438651",1686314819999,"343297.29100",415,"94144","73687.66570"
"MATICUSDT","MATICUSDT#1686314820000",1686314820000,"0.78250","0.78270","0.78210","0.78220","220332",1686314879999,"172393.37900",321,"99357","77750.44070"
"MATICUSDT","MATICUSDT#1686314880000",1686314880000,"0.78210","0.78210","0.78080","0.78140","1327213",1686314939999,"1037002.59590",884,"185043","144594.72470"
"MATICUSDT","MATICUSDT#1686314940000",1686314940000,"0.78140","0.78180","0.78060","0.78090","1638146",1686314999999,"1279674.04470",948,"828620","647352.63370"
"MATICUSDT","MATICUSDT#1686315000000",1686315000000,"0.78090","0.78190","0.77980","0.78060","1594977",1686315059999,"1245569.34730",1195,"511787","399773.37510"
"MATICUSDT","MATICUSDT#1686315060000",1686315060000,"0.78050","0.78060","0.77890","0.77920","1165772",1686315119999,"908918.68170",1029,"280552","218798.43760"
"MATICUSDT","MATICUSDT#1686315120000",1686315120000,"0.77930","0.77970","0.77890","0.77920","493509",1686315179999,"384557.32420",610,"217219","169277.00190"
"MATICUSDT","MATICUSDT#1686315180000",1686315180000,"0.77910","0.78020","0.77910","0.78000","921878",1686315239999,"718771.12360",1109,"658837","513685.68010"
"MATICUSDT","MATICUSDT#1686315240000",1686315240000,"0.78000","0.78230","0.78000","0.78210","1584894",1686315299999,"1238023.25400",1985,"978888","764654.62450"
"MATICUSDT","MATICUSDT#1686315300000",1686315300000,"0.78210","0.78270","0.78180","0.78240","294609",1686315359999,"230452.74700",464,"124206","97153.31050"
"MATICUSDT","MATICUSDT#1686315360000",1686315360000,"0.78240","0.78250","0.78200","0.78200","130251",1686315419999,"101883.75010",204,"51205","40053.49640"
"MATICUSDT","MATICUSDT#1686315420000",1686315420000,"0.78200","0.78210","0.78060","0.78090","436376",1686315479999,"340922.88510",441,"128803","100600.31320"
"MATICUSDT","MATICUSDT#1686315480000",1686315480000,"0.78090","0.78230","0.78080","0.78160","516134",1686315539999,"403350.58870",474,"381548","298136.95410"
"MATICUSDT","MATICUSDT#1686315540000",1686315540000,"0.78170","0.78230","0.78120","0.78170","378498",1686315599999,"295932.44160",329,"259469","202886.82070"
"MATICUSDT","MATICUSDT#1686315600000",1686315600000,"0.78180","0.78260","0.78170","0.78210","403648",1686315659999,"315737.31720",606,"160454","125515.86820"
