"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"NEARUSDT","NEARUSDT#1686340860000",1686340860000,"1.3730","1.3740","1.3720","1.3740","118181",1686340919999,"162264.7050",420,"61613","84607.5930"
"NEARUSDT","NEARUSDT#1686340920000",1686340920000,"1.3730","1.3740","1.3720","1.3730","60875",1686340979999,"83596.7490",239,"23892","32809.3280"
"NEARUSDT","NEARUSDT#1686340980000",1686340980000,"1.3730","1.3770","1.3730","1.3750","51091",1686341039999,"70234.9440",256,"36238","49811.5760"
"NEARUSDT","NEARUSDT#1686341040000",1686341040000,"1.3750","1.3780","1.3750","1.3770","56990",1686341099999,"78449.1940",280,"34138","47006.7350"
"NEARUSDT","NEARUSDT#1686341100000",1686341100000,"1.3770","1.3800","1.3770","1.3770","85547",1686341159999,"117907.9760",304,"38880","53603.2040"
"NEARUSDT","NEARUSDT#1686341160000",1686341160000,"1.3770","1.3780","1.3750","1.3760","49707",1686341219999,"68426.6660",151,"22296","30689.4250"
"NEARUSDT","NEARUSDT#1686341220000",1686341220000,"1.3760","1.3770","1.3730","1.3740","58982",1686341279999,"81079.6820",163,"23604","32436.2560"
"NEARUSDT","NEARUSDT#1686341280000",1686341280000,"1.3750","1.3750","1.3730","1.3750","69732",1686341339999,"95832.0870",173,"41957","57662.3150"
"NEARUSDT","NEARUSDT#1686341340000",1686341340000,"1.3760","1.3760","1.3730","1.3740","36117",1686341399999,"49641.7610",95,"5290","7273.5670"
"NEARUSDT","NEARUSDT#1686341400000",1686341400000,"1.3730","1.3770","1.3730","1.3770","83454",1686341459999,"114746.5830",231,"58192","80013.9940"
"NEARUSDT","NEARUSDT#1686341460000",1686341460000,"1.3760","1.3770","1.3750","1.3760","68782",1686341519999,"94647.4140",183,"23169","31884.0310"
"NEARUSDT","NEARUSDT#1686341520000",1686341520000,"1.3750","1.3790","1.3750","1.3780","74774",1686341579999,"103023.8480",215,"43575","60032.5020"
"NEARUSDT","NEARUSDT#1686341580000",1686341580000,"1.3770","1.3790","1.3770","1.3780","9376",1686341639999,"12919.8770",63,"8203","11304.4270"
"NEARUSDT","NEARUSDT#1686341640000",1686341640000,"1.3790","1.3810","1.3780","1.3790","63622",1686341699999,"87780.4080",210,"32172","44396.2990"
"NEARUSDT","NEARUSDT#1686341700000",1686341700000,"1.3790","1.3800","1.3780","1.3790","47908",1686341759999,"66065.9880",177,"29752","41029.5140"
"NEARUSDT","NEARUSDT#1686341760000",1686341760000,"1.3800","1.3800","1.3770","1.3770","23498",1686341819999,"32386.2870",81,"296","408.1500"
"NEARUSDT","NEARUSDT#1686341820000",1686341820000,"1.3780","1.3790","1.3770","1.3780","27479",1686341879999,"37863.5970",96,"14019","19318.5900"
"NEARUSDT","NEARUSDT#1686341880000",1686341880000,"1.3780","1.3800","1.3770","1.3780","34879",1686341939999,"48091.6810",68,"10656","14688.7970"
"NEARUSDT","NEARUSDT#1686341940000",1686341940000,"1.3780","1.3790","1.3780","1.3780","4446",1686341999999,"6127.0900",20,"502","692.2580"
"NEARUSDT","NEARUSDT#1686342000000",1686342000000,"1.3780","1.3790","1.3780","1.3780","29609",1686342059999,"40805.1760",117,"13830","19061.7140"
"NEARUSDT","NEARUSDT#1686342060000",1686342060000,"1.3790","1.3800","1.3790","1.3800","27006",1686342119999,"37252.0130",63,"26370","36374.8640"
"NEARUSDT","NEARUSDT#1686342120000",1686342120000,"1.3810","1.3820","1.3800","1.3820","66115",1686342179999,"91328.8720",175,"39758","54924.1020"
"NEARUSDT","NEARUSDT#1686342180000",1686342180000,"1.3820","1.3820","1.3810","1.3810","3106",1686342239999,"4289.7410",16,"355","490.6100"
"NEARUSDT","NEARUSDT#1686342240000",1686342240000,"1.3820","1.3840","1.3820","1.3840","25335",1686342299999,"35034.4740",123,"16341","22596.3670"
"NEARUSDT","NEARUSDT#1686342300000",1686342300000,"1.3840","1.3840","1.3820","1.3820","52024",1686342359999,"71940.2080",157,"14018","19385.6650"
"NEARUSDT","NEARUSDT#1686342360000",1686342360000,"1.3830","1.3830","1.3810","1.3820","21740",1686342419999,"30044.5950",64,"15440","21338.4230"
"NEARUSDT","NEARUSDT#1686342420000",1686342420000,"1.3820","1.3830","1.3810","1.3830","58373",1686342479999,"80651.5640",118,"44441","61411.1430"
"NEARUSDT","NEARUSDT#1686342480000",1686342480000,"1.3840","1.3840","1.3820","1.3820","42921",1686342539999,"59360.5490",90,"10814","14956.6460"
"NEARUSDT","NEARUSDT#1686342540000",1686342540000,"1.3830","1.3840","1.3820","1.3840","25953",1686342599999,"35894.7000",87,"11806","16329.5160"
