"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RLCUSDT","RLCUSDT#1686344460000",1686344460000,"1.3741","1.3746","1.3737","1.3742","6629.8",1686344519999,"9110.06727",109,"3713.3","5102.01607"
"RLCUSDT","RLCUSDT#1686344520000",1686344520000,"1.3741","1.3750","1.3733","1.3749","9858.3",1686344579999,"13547.60586",117,"5405.5","7430.02027"
"RLCUSDT","RLCUSDT#1686344580000",1686344580000,"1.3749","1.3753","1.3743","1.3746","2609.8",1686344639999,"3587.56560",75,"1305.2","1794.21609"
"RLCUSDT","RLCUSDT#1686344640000",1686344640000,"1.3745","1.3756","1.3745","1.3755","3311.2",1686344699999,"4554.07353",67,"2627.0","3612.96741"
"RLCUSDT","RLCUSDT#1686344700000",1686344700000,"1.3755","1.3755","1.3741","1.3751","9859.9",1686344759999,"13557.84294",129,"3719.3","5114.00967"
"RLCUSDT","RLCUSDT#1686344760000",1686344760000,"1.3750","1.3753","1.3745","1.3749","3196.3",1686344819999,"4394.59145",66,"912.4","1254.59202"
"RLCUSDT","RLCUSDT#1686344820000",1686344820000,"1.3748","1.3749","1.3742","1.3742","1957.9",1686344879999,"2691.68687",50,"356.1","489.58770"
"RLCUSDT","RLCUSDT#1686344880000",1686344880000,"1.3743","1.3756","1.3743","1.3756","4878.8",1686344939999,"6709.55920",76,"4141.5","5695.56427"
"RLCUSDT","RLCUSDT#1686344940000",1686344940000,"1.3757","1.3762","1.3757","1.3762","2913.7",1686344999999,"4009.32022",55,"796.3","1095.69181"
"RLCUSDT","RLCUSDT#1686345000000",1686345000000,"1.3762","1.3764","1.3749","1.3758","7579.5",1686345059999,"10426.01411",85,"4724.3","6497.87300"
"RLCUSDT","RLCUSDT#1686345060000",1686345060000,"1.3757","1.3758","1.3755","1.3756","3584.9",1686345119999,"4931.78046",45,"2295.4","3157.82467"
"RLCUSDT","RLCUSDT#1686345120000",1686345120000,"1.3756","1.3758","1.3753","1.3758","4206.1",1686345179999,"5785.48245",51,"514.5","707.80078"
"RLCUSDT","RLCUSDT#1686345180000",1686345180000,"1.3758","1.3768","1.3758","1.3768","7209.0",1686345239999,"9920.84239",97,"6065.6","8347.22471"
"RLCUSDT","RLCUSDT#1686345240000",1686345240000,"1.3768","1.3777","1.3766","1.3776","5531.2",1686345299999,"7617.62611",85,"4349.6","5990.25993"
"RLCUSDT","RLCUSDT#1686345300000",1686345300000,"1.3776","1.3786","1.3776","1.3786","10802.9",1686345359999,"14887.07261",122,"7824.6","10783.07037"
"RLCUSDT","RLCUSDT#1686345360000",1686345360000,"1.3785","1.3796","1.3785","1.3796","8567.9",1686345419999,"11815.65175",83,"5632.9","7767.11557"
"RLCUSDT","RLCUSDT#1686345420000",1686345420000,"1.3795","1.3804","1.3791","1.3799","11641.5",1686345479999,"16064.01966",119,"8842.7","12201.66852"
"RLCUSDT","RLCUSDT#1686345480000",1686345480000,"1.3799","1.3809","1.3799","1.3808","13394.8",1686345539999,"18492.97935",60,"11802.3","16294.53169"
"RLCUSDT","RLCUSDT#1686345540000",1686345540000,"1.3808","1.3809","1.3806","1.3806","26559.9",1686345599999,"36673.73244",42,"168.6","232.81974"
"RLCUSDT","RLCUSDT#1686345600000",1686345600000,"1.3806","1.3806","1.3777","1.3778","33193.2",1686345659999,"45767.47853",127,"2387.8","3290.23742"
"RLCUSDT","RLCUSDT#1686345660000",1686345660000,"1.3778","1.3779","1.3773","1.3777","18298.3",1686345719999,"25206.01881",105,"14675.5","20215.29340"
