"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SOLUSDT","SOLUSDT#1686312060000",1686312060000,"19.3190","19.3200","19.2860","19.2880","22954",1686312119999,"443031.3780",857,"10828","208959.4340"
"SOLUSDT","SOLUSDT#1686312120000",1686312120000,"19.2880","19.3020","19.2800","19.2820","24990",1686312179999,"482135.2100",735,"11800","227681.2210"
"SOLUSDT","SOLUSDT#1686312180000",1686312180000,"19.2830","19.2890","19.2700","19.2890","11858",1686312239999,"228612.5660",559,"6854","132136.2760"
"SOLUSDT","SOLUSDT#1686312240000",1686312240000,"19.2900","19.2900","19.2620","19.2730","16115",1686312299999,"310606.5830",608,"6536","125971.7960"
"SOLUSDT","SOLUSDT#1686312300000",1686312300000,"19.2730","19.2830","19.2640","19.2790","16255",1686312359999,"313261.3010",580,"7443","143435.4460"
"SOLUSDT","SOLUSDT#1686312360000",1686312360000,"19.2790","19.2900","19.2660","19.2780","13594",1686312419999,"262028.7290",546,"6061","116824.5630"
"SOLUSDT","SOLUSDT#1686312420000",1686312420000,"19.2790","19.2820","19.2670","19.2750","17556",1686312479999,"338392.9550",538,"10709","206422.4150"
"SOLUSDT","SOLUSDT#1686312480000",1686312480000,"19.2750","19.2760","19.2540","19.2550","17772",1686312539999,"342372.0900",546,"4700","90551.2510"
"SOLUSDT","SOLUSDT#1686312540000",1686312540000,"19.2560","19.3090","19.2550","19.3040","59500",1686312599999,"1147420.6230",1700,"41023","791152.0230"
"SOLUSDT","SOLUSDT#1686312600000",1686312600000,"19.3040","19.3040","19.2810","19.2830","17984",1686312659999,"346936.0320",621,"5839","112642.0210"
"SOLUSDT","SOLUSDT#1686312660000",1686312660000,"19.2820","19.2870","19.2740","19.2870","16226",1686312719999,"312817.3820",620,"5502","106079.1280"
"SOLUSDT","SOLUSDT#1686312720000",1686312720000,"19.2870","19.2960","19.2780","19.2880","12271",1686312779999,"236641.2830",383,"8542","164727.4220"
"SOLUSDT","SOLUSDT#1686312780000",1686312780000,"19.2870","19.2900","19.2780","19.2800","7305",1686312839999,"140877.3550",279,"3341","64433.4130"
"SOLUSDT","SOLUSDT#1686312840000",1686312840000,"19.2790","19.2820","19.2670","19.2670","11816",1686312899999,"227740.7020",427,"5240","100998.1570"
"SOLUSDT","SOLUSDT#1686312900000",1686312900000,"19.2680","19.2690","19.2460","19.2500","20199",1686312959999,"388986.4520",857,"7729","148846.2990"
"SOLUSDT","SOLUSDT#1686312960000",1686312960000,"19.2500","19.2640","19.2300","19.2300","18637",1686313019999,"358687.5420",639,"8107","156063.7820"
"SOLUSDT","SOLUSDT#1686313020000",1686313020000,"19.2300","19.2410","19.2180","19.2230","32410",1686313079999,"623161.4440",973,"13944","268114.4220"
"SOLUSDT","SOLUSDT#1686313080000",1686313080000,"19.2240","19.2390","19.2200","19.2380","11896",1686313139999,"228703.9140",471,"5918","113779.1950"
"SOLUSDT","SOLUSDT#1686313140000",1686313140000,"19.2370","19.2390","19.2190","19.2340","11134",1686313199999,"214105.2800",497,"5517","106085.2390"
"SOLUSDT","SOLUSDT#1686313200000",1686313200000,"19.2350","19.2640","19.2320","19.2520","12839",1686313259999,"247090.9830",532,"8052","154956.1430"
"SOLUSDT","SOLUSDT#1686313260000",1686313260000,"19.2510","19.2510","19.1760","19.2030","83503",1686313319999,"1603452.5580",2090,"21661","415933.4210"
"SOLUSDT","SOLUSDT#1686313320000",1686313320000,"19.2030","19.2030","19.1760","19.1890","41601",1686313379999,"798167.1210",1056,"25010","479852.1110"
"SOLUSDT","SOLUSDT#1686313380000",1686313380000,"19.1890","19.1920","19.1750","19.1840","14788",1686313439999,"283698.0250",461,"7401","141991.2630"
"SOLUSDT","SOLUSDT#1686313440000",1686313440000,"19.1840","19.1950","19.1800","19.1860","18934",1686313499999,"363286.8610",466,"11532","221264.1120"
"SOLUSDT","SOLUSDT#1686313500000",1686313500000,"19.1860","19.2520","19.1850","19.2440","49993",1686313559999,"961238.4630",1450,"34895","670883.2610"
"SOLUSDT","SOLUSDT#1686313560000",1686313560000,"19.2430","19.2430","19.2100","19.2150","50015",1686313619999,"961646.0550",1160,"20192","388200.6360"
"SOLUSDT","SOLUSDT#1686313620000",1686313620000,"19.2140","19.2320","19.1850","19.1870","46432",1686313679999,"891637.2930",1203,"26956","517707.6300"
"SOLUSDT","SOLUSDT#1686313680000",1686313680000,"19.1870","19.2130","19.1800","19.1900","39470",1686313739999,"757530.5250",917,"22831","438206.0350"
"SOLUSDT","SOLUSDT#1686313740000",1686313740000,"19.1880","19.2050","19.1820","19.1900","21349",1686313799999,"409776.8990",598,"12899","247593.7050"
"SOLUSDT","SOLUSDT#1686313800000",1686313800000,"19.1900","19.2320","19.1810","19.2190","37955",1686313859999,"729046.8410",1111,"18066","347074.8030"
"SOLUSDT","SOLUSDT#1686313860000",1686313860000,"19.2180","19.2480","19.2040","19.2400","34451",1686313919999,"662294.8570",956,"20395","392052.9200"
"SOLUSDT","SOLUSDT#1686313920000",1686313920000,"19.2410","19.2450","19.2150","19.2190","31070",1686313979999,"597490.1410",743,"14554","279899.6650"
"SOLUSDT","SOLUSDT#1686313980000",1686313980000,"19.2180","19.2420","19.2020","19.2130","41092",1686314039999,"789796.9670",830,"20736","398567.6330"
"SOLUSDT","SOLUSDT#1686314040000",1686314040000,"19.2130","19.2210","19.1800","19.1870","56682",1686314099999,"1088224.6720",896,"33422","641641.6030"
"SOLUSDT","SOLUSDT#1686314100000",1686314100000,"19.1870","19.1980","19.1750","19.1880","60073",1686314159999,"1152578.0100",1012,"21728","416890.4920"
"SOLUSDT","SOLUSDT#1686314160000",1686314160000,"19.1850","19.1860","19.1720","19.1840","22846",1686314219999,"438186.8410",381,"18694","358558.9950"
"SOLUSDT","SOLUSDT#1686314220000",1686314220000,"19.1840","19.1990","19.1840","19.1990","24003",1686314279999,"460604.2130",399,"18737","359554.5020"
"SOLUSDT","SOLUSDT#1686314280000",1686314280000,"19.1980","19.1980","19.1900","19.1940","23993",1686314339999,"460530.6520",467,"17515","336187.7110"
"SOLUSDT","SOLUSDT#1686314340000",1686314340000,"19.1930","19.1930","19.1580","19.1700","32366",1686314399999,"620570.1490",903,"12965","248569.3610"
