"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SSVUSDT","SSVUSDT#1686315660000",1686315660000,"20.610000","20.630000","20.590000","20.590000","576.13",1686315719999,"11872.18670000",153,"185.75","3828.99440000"
"SSVUSDT","SSVUSDT#1686315720000",1686315720000,"20.590000","20.590000","20.520000","20.520000","1400.10",1686315779999,"28764.21140000",250,"143.94","2959.09830000"
"SSVUSDT","SSVUSDT#1686315780000",1686315780000,"20.520000","20.530000","20.500000","20.520000","453.30",1686315839999,"9299.58210000",120,"184.42","3784.24370000"
"SSVUSDT","SSVUSDT#1686315840000",1686315840000,"20.510000","20.510000","20.490000","20.500000","367.78",1686315899999,"7538.93060000",53,"43.55","892.79750000"
"SSVUSDT","SSVUSDT#1686315900000",1686315900000,"20.490000","20.540000","20.490000","20.530000","907.79",1686315959999,"18629.11180000",103,"748.41","15358.75200000"
"SSVUSDT","SSVUSDT#1686315960000",1686315960000,"20.540000","20.540000","20.500000","20.510000","396.22",1686316019999,"8128.51530000",67,"162.87","3341.58200000"
"SSVUSDT","SSVUSDT#1686316020000",1686316020000,"20.500000","20.510000","20.500000","20.500000","59.26",1686316079999,"1214.83060000",25,"5.85","119.92560000"
"SSVUSDT","SSVUSDT#1686316080000",1686316080000,"20.500000","20.500000","20.480000","20.480000","224.64",1686316139999,"4602.52020000",45,"43.62","893.84510000"
"SSVUSDT","SSVUSDT#1686316140000",1686316140000,"20.480000","20.490000","20.460000","20.480000","747.63",1686316199999,"15303.98760000",66,"518.72","10618.61900000"
"SSVUSDT","SSVUSDT#1686316200000",1686316200000,"20.480000","20.530000","20.480000","20.530000","994.22",1686316259999,"20384.88900000",99,"660.96","13548.17010000"
"SSVUSDT","SSVUSDT#1686316260000",1686316260000,"20.530000","20.540000","20.510000","20.520000","303.31",1686316319999,"6222.95600000",50,"111.58","2289.69740000"
"SSVUSDT","SSVUSDT#1686316320000",1686316320000,"20.510000","20.520000","20.510000","20.520000","120.40",1686316379999,"2469.64530000",28,"46.52","954.36650000"
"SSVUSDT","SSVUSDT#1686316380000",1686316380000,"20.520000","20.540000","20.520000","20.540000","338.91",1686316439999,"6957.77500000",46,"338.91","6957.77500000"
"SSVUSDT","SSVUSDT#1686316440000",1686316440000,"20.550000","20.550000","20.530000","20.530000","231.17",1686316499999,"4747.43850000",44,"7.24","148.68380000"
"SSVUSDT","SSVUSDT#1686316500000",1686316500000,"20.540000","20.570000","20.540000","20.570000","375.80",1686316559999,"7721.91610000",52,"368.05","7562.59460000"
"SSVUSDT","SSVUSDT#1686316560000",1686316560000,"20.570000","20.600000","20.560000","20.600000","470.75",1686316619999,"9686.06990000",86,"305.45","6285.90220000"
"SSVUSDT","SSVUSDT#1686316620000",1686316620000,"20.600000","20.610000","20.590000","20.590000","320.97",1686316679999,"6611.73050000",60,"111.95","2306.35570000"
