"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420060000",1686420060000,"0.0213900","0.0214100","0.0213100","0.0213200","1270726",1686420119999,"27131.8434300",163,"322097","6879.9053700"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420120000",1686420120000,"0.0213200","0.0213500","0.0213100","0.0213300","576105",1686420179999,"12289.0652900",66,"274791","5861.1993000"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420180000",1686420180000,"0.0213300","0.0213500","0.0212900","0.0212900","490940",1686420239999,"10473.6800700",49,"181084","3864.3455500"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420240000",1686420240000,"0.0212900","0.0213100","0.0212700","0.0213000","556089",1686420299999,"11836.7136600",57,"360812","7682.0131900"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420300000",1686420300000,"0.0213000","0.0213100","0.0212200","0.0212700","1015310",1686420359999,"21584.3583800",81,"625063","13291.5033800"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420360000",1686420360000,"0.0212700","0.0213500","0.0212700","0.0212900","947406",1686420419999,"20193.8595000",84,"565994","12067.4872800"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420420000",1686420420000,"0.0212900","0.0213200","0.0212700","0.0212800","1844800",1686420479999,"39287.6580000",80,"1364978","29072.7977000"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420480000",1686420480000,"0.0212800","0.0213000","0.0212600","0.0212800","598298",1686420539999,"12731.9030400",45,"163774","3486.1541200"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420540000",1686420540000,"0.0212600","0.0213300","0.0212600","0.0213000","1599475",1686420599999,"34059.9790700",57,"1514449","32250.7816900"
"1000FLOKIUSDT","1000FLOKIUSDT#1686420600000",1686420600000,"0.0212900","0.0212900","0.0212600","0.0212900","629387",1686420659999,"13393.7680000",56,"207800","4422.7887500"
