"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"1INCHUSDT","1INCHUSDT#1686412860000",1686412860000,"0.2725","0.2726","0.2718","0.2718","117353",1686412919999,"31940.3717",142,"40746","11088.9292"
"1INCHUSDT","1INCHUSDT#1686412920000",1686412920000,"0.2718","0.2720","0.2713","0.2713","136658",1686412979999,"37120.6081",177,"45003","12233.2711"
"1INCHUSDT","1INCHUSDT#1686412980000",1686412980000,"0.2714","0.2714","0.2703","0.2703","131150",1686413039999,"35539.1245",156,"64231","17410.4954"
"1INCHUSDT","1INCHUSDT#1686413040000",1686413040000,"0.2703","0.2712","0.2703","0.2710","232544",1686413099999,"62972.5350",266,"164813","44631.4129"
"1INCHUSDT","1INCHUSDT#1686413100000",1686413100000,"0.2710","0.2720","0.2709","0.2719","199928",1686413159999,"54293.8718",229,"120626","32756.1419"
"1INCHUSDT","1INCHUSDT#1686413160000",1686413160000,"0.2719","0.2720","0.2714","0.2714","110471",1686413219999,"30002.0954",134,"23083","6268.5730"
"1INCHUSDT","1INCHUSDT#1686413220000",1686413220000,"0.2714","0.2716","0.2712","0.2716","74142",1686413279999,"20124.7013",134,"53897","14630.9832"
"1INCHUSDT","1INCHUSDT#1686413280000",1686413280000,"0.2716","0.2716","0.2708","0.2708","231297",1686413339999,"62731.5706",236,"60356","16371.9015"
"1INCHUSDT","1INCHUSDT#1686413340000",1686413340000,"0.2707","0.2709","0.2707","0.2708","59596",1686413399999,"16138.1038",98,"25422","6885.1734"
"1INCHUSDT","1INCHUSDT#1686413400000",1686413400000,"0.2708","0.2711","0.2707","0.2708","103111",1686413459999,"27939.3500",153,"49773","13488.6579"
"1INCHUSDT","1INCHUSDT#1686413460000",1686413460000,"0.2709","0.2712","0.2706","0.2707","182629",1686413519999,"49495.4583",156,"132361","35874.2243"
"1INCHUSDT","1INCHUSDT#1686413520000",1686413520000,"0.2708","0.2710","0.2702","0.2708","237387",1686413579999,"64239.3017",281,"107924","29215.9330"
"1INCHUSDT","1INCHUSDT#1686413580000",1686413580000,"0.2708","0.2711","0.2708","0.2708","57310",1686413639999,"15525.3795",93,"21435","5807.0635"
"1INCHUSDT","1INCHUSDT#1686413640000",1686413640000,"0.2707","0.2708","0.2704","0.2707","137110",1686413699999,"37108.4480",175,"66760","18070.6973"
"1INCHUSDT","1INCHUSDT#1686413700000",1686413700000,"0.2706","0.2711","0.2702","0.2706","320608",1686413759999,"86788.5224",328,"139717","37831.2654"
"1INCHUSDT","1INCHUSDT#1686413760000",1686413760000,"0.2707","0.2712","0.2706","0.2711","136636",1686413819999,"37012.1975",158,"97938","26529.8947"
"1INCHUSDT","1INCHUSDT#1686413820000",1686413820000,"0.2711","0.2711","0.2707","0.2710","51368",1686413879999,"13919.3268",81,"23096","6257.4292"
"1INCHUSDT","1INCHUSDT#1686413880000",1686413880000,"0.2710","0.2716","0.2710","0.2714","83695",1686413939999,"22711.2811",106,"45558","12364.7072"
"1INCHUSDT","1INCHUSDT#1686413940000",1686413940000,"0.2714","0.2716","0.2714","0.2715","47677",1686413999999,"12945.1262",57,"37635","10218.8403"
"1INCHUSDT","1INCHUSDT#1686414000000",1686414000000,"0.2716","0.2717","0.2711","0.2712","90262",1686414059999,"24505.1351",174,"34696","9421.2452"
"1INCHUSDT","1INCHUSDT#1686414060000",1686414060000,"0.2711","0.2715","0.2711","0.2714","57147",1686414119999,"15510.4849",88,"30344","8236.3591"
"1INCHUSDT","1INCHUSDT#1686414120000",1686414120000,"0.2714","0.2720","0.2713","0.2715","219952",1686414179999,"59737.9903",213,"115444","31364.9448"
"1INCHUSDT","1INCHUSDT#1686414180000",1686414180000,"0.2715","0.2721","0.2715","0.2718","96347",1686414239999,"26185.5345",125,"60757","16513.8896"
"1INCHUSDT","1INCHUSDT#1686414240000",1686414240000,"0.2717","0.2719","0.2717","0.2717","22345",1686414299999,"6072.3384",53,"10678","2901.9213"
"1INCHUSDT","1INCHUSDT#1686414300000",1686414300000,"0.2718","0.2718","0.2716","0.2718","26218",1686414359999,"7124.8079",67,"9177","2494.2842"
"1INCHUSDT","1INCHUSDT#1686414360000",1686414360000,"0.2719","0.2719","0.2713","0.2713","127709",1686414419999,"34675.2824",122,"16900","4587.8734"
"1INCHUSDT","1INCHUSDT#1686414420000",1686414420000,"0.2713","0.2716","0.2710","0.2716","65007",1686414479999,"17638.2704",89,"54422","14767.9850"
"1INCHUSDT","1INCHUSDT#1686414480000",1686414480000,"0.2716","0.2716","0.2710","0.2712","56813",1686414539999,"15410.5326",86,"16380","4442.3089"
"1INCHUSDT","1INCHUSDT#1686414540000",1686414540000,"0.2712","0.2713","0.2712","0.2712","42599",1686414599999,"11555.0226",86,"17377","4714.0896"
