"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"API3USDT","API3USDT#1686430860000",1686430860000,"0.9440","0.9440","0.9400","0.9400","9255.4",1686430919999,"8722.59520",66,"712.1","671.15100"
"API3USDT","API3USDT#1686430920000",1686430920000,"0.9410","0.9410","0.9400","0.9410","3354.9",1686430979999,"3156.89550",46,"2335.3","2197.51730"
"API3USDT","API3USDT#1686430980000",1686430980000,"0.9400","0.9410","0.9390","0.9400","5656.8",1686431039999,"5316.16440",57,"1564.1","1470.28470"
"API3USDT","API3USDT#1686431040000",1686431040000,"0.9400","0.9410","0.9400","0.9410","503.0",1686431099999,"472.92040",7,"100.4","94.47640"
"API3USDT","API3USDT#1686431100000",1686431100000,"0.9400","0.9410","0.9390","0.9410","4295.3",1686431159999,"4038.56340",52,"3457.3","3251.34360"
"API3USDT","API3USDT#1686431160000",1686431160000,"0.9410","0.9410","0.9400","0.9400","2721.7",1686431219999,"2559.65930",21,"0.0","0.00000"
"API3USDT","API3USDT#1686431220000",1686431220000,"0.9400","0.9410","0.9400","0.9410","2873.2",1686431279999,"2701.13190",26,"2548.8","2396.19590"
"API3USDT","API3USDT#1686431280000",1686431280000,"0.9410","0.9420","0.9410","0.9410","4470.4",1686431339999,"4206.98910",45,"3624.4","3410.90310"
"API3USDT","API3USDT#1686431340000",1686431340000,"0.9410","0.9420","0.9400","0.9410","4581.2",1686431399999,"4309.28970",53,"2648.3","2491.34680"
"API3USDT","API3USDT#1686431400000",1686431400000,"0.9410","0.9410","0.9400","0.9410","2576.4",1686431459999,"2424.19740",17,"703.8","662.27580"
"API3USDT","API3USDT#1686431460000",1686431460000,"0.9410","0.9410","0.9400","0.9400","4918.7",1686431519999,"4623.89960",53,"2444.9","2298.52760"
"API3USDT","API3USDT#1686431520000",1686431520000,"0.9400","0.9400","0.9400","0.9400","1192.4",1686431579999,"1120.85600",14,"1083.5","1018.49000"
"API3USDT","API3USDT#1686431580000",1686431580000,"0.9400","0.9400","0.9390","0.9390","5688.5",1686431639999,"5342.44710",44,"1463.6","1374.32040"
"API3USDT","API3USDT#1686431640000",1686431640000,"0.9390","0.9400","0.9380","0.9400","1443.1",1686431699999,"1355.28980",26,"1423.5","1336.90500"
