"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ATAUSDT","ATAUSDT#1686362460000",1686362460000,"0.1047","0.1047","0.1045","0.1045","174130",1686362519999,"18211.2631",118,"33370","3492.5000"
"ATAUSDT","ATAUSDT#1686362520000",1686362520000,"0.1045","0.1047","0.1045","0.1046","54042",1686362579999,"5651.1675",39,"38058","3979.2411"
"ATAUSDT","ATAUSDT#1686362580000",1686362580000,"0.1046","0.1046","0.1044","0.1044","68612",1686362639999,"7168.1630",56,"0","0.0000"
"ATAUSDT","ATAUSDT#1686362640000",1686362640000,"0.1043","0.1044","0.1043","0.1044","32234",1686362699999,"3364.2134",20,"22072","2304.3168"
"ATAUSDT","ATAUSDT#1686362700000",1686362700000,"0.1045","0.1045","0.1042","0.1043","73053",1686362759999,"7621.4656",57,"30067","3138.2345"
"ATAUSDT","ATAUSDT#1686362760000",1686362760000,"0.1043","0.1044","0.1042","0.1044","32937",1686362819999,"3436.1692",26,"32736","3415.2250"
"ATAUSDT","ATAUSDT#1686362820000",1686362820000,"0.1044","0.1044","0.1043","0.1044","45910",1686362879999,"4792.4138",32,"14470","1510.6680"
"ATAUSDT","ATAUSDT#1686362880000",1686362880000,"0.1044","0.1048","0.1044","0.1048","88364",1686362939999,"9236.5448",70,"85021","8887.1769"
"ATAUSDT","ATAUSDT#1686362940000",1686362940000,"0.1047","0.1047","0.1045","0.1045","52073",1686362999999,"5448.1325",36,"5034","526.5564"
"ATAUSDT","ATAUSDT#1686363000000",1686363000000,"0.1045","0.1045","0.1045","0.1045","41840",1686363059999,"4372.2800",33,"14712","1537.4040"
"ATAUSDT","ATAUSDT#1686363060000",1686363060000,"0.1046","0.1047","0.1045","0.1047","54070",1686363119999,"5656.8303",39,"35077","3671.0695"
"ATAUSDT","ATAUSDT#1686363120000",1686363120000,"0.1047","0.1048","0.1047","0.1048","11542",1686363179999,"1208.5419",9,"945","99.0360"
"ATAUSDT","ATAUSDT#1686363180000",1686363180000,"0.1047","0.1048","0.1047","0.1047","42078",1686363239999,"4405.5834",33,"17159","1796.5641"
"ATAUSDT","ATAUSDT#1686363240000",1686363240000,"0.1047","0.1047","0.1047","0.1047","21315",1686363299999,"2231.6805",13,"8802","921.5694"
"ATAUSDT","ATAUSDT#1686363300000",1686363300000,"0.1048","0.1049","0.1046","0.1046","55737",1686363359999,"5837.7382",55,"14961","1567.3828"
"ATAUSDT","ATAUSDT#1686363360000",1686363360000,"0.1046","0.1046","0.1045","0.1046","51192",1686363419999,"5354.0794",40,"5857","612.6422"
"ATAUSDT","ATAUSDT#1686363420000",1686363420000,"0.1045","0.1046","0.1045","0.1045","62170",1686363479999,"6496.7764",33,"8200","856.9114"
