"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"CTKUSDT","CTKUSDT#1686420060000",1686420060000,"0.58230","0.58230","0.58030","0.58070","12303",1686420119999,"7153.18150",149,"4324","2513.90680"
"CTKUSDT","CTKUSDT#1686420120000",1686420120000,"0.58060","0.58070","0.57960","0.57990","11031",1686420179999,"6400.35070",86,"6879","3991.91810"
"CTKUSDT","CTKUSDT#1686420180000",1686420180000,"0.58000","0.58040","0.57860","0.57870","10049",1686420239999,"5825.66030",65,"3918","2272.24000"
"CTKUSDT","CTKUSDT#1686420240000",1686420240000,"0.57880","0.57960","0.57860","0.57960","8629",1686420299999,"4996.66960",54,"7171","4152.85840"
"CTKUSDT","CTKUSDT#1686420300000",1686420300000,"0.57940","0.57940","0.57830","0.57910","22126",1686420359999,"12805.20360",76,"11942","6911.97430"
"CTKUSDT","CTKUSDT#1686420360000",1686420360000,"0.57920","0.58090","0.57890","0.57990","17532",1686420419999,"10166.03280",102,"13143","7619.71130"
"CTKUSDT","CTKUSDT#1686420420000",1686420420000,"0.57990","0.58030","0.57890","0.57910","13145",1686420479999,"7617.25460",46,"2137","1238.53520"
"CTKUSDT","CTKUSDT#1686420480000",1686420480000,"0.57940","0.57960","0.57900","0.57900","6053",1686420539999,"3505.47720",21,"1810","1048.61300"
"CTKUSDT","CTKUSDT#1686420540000",1686420540000,"0.57860","0.57920","0.57860","0.57910","3194",1686420599999,"1849.41820",19,"2552","1477.75510"
"CTKUSDT","CTKUSDT#1686420600000",1686420600000,"0.57900","0.58040","0.57900","0.58030","11599",1686420659999,"6723.18310",46,"6085","3527.38960"
"CTKUSDT","CTKUSDT#1686420660000",1686420660000,"0.58010","0.58010","0.57920","0.57920","3927",1686420719999,"2276.19170",19,"807","467.52380"
"CTKUSDT","CTKUSDT#1686420720000",1686420720000,"0.57920","0.57920","0.57860","0.57860","7573",1686420779999,"4383.78940",21,"2786","1613.59660"
"CTKUSDT","CTKUSDT#1686420780000",1686420780000,"0.57840","0.57970","0.57840","0.57930","21426",1686420839999,"12408.52680",56,"17190","9954.94290"
"CTKUSDT","CTKUSDT#1686420840000",1686420840000,"0.57940","0.58020","0.57940","0.58020","5739",1686420899999,"3327.55880",29,"1900","1101.42100"
"CTKUSDT","CTKUSDT#1686420900000",1686420900000,"0.57990","0.58010","0.57920","0.57930","10750",1686420959999,"6232.58360",39,"4670","2707.96370"
"CTKUSDT","CTKUSDT#1686420960000",1686420960000,"0.57920","0.57960","0.57890","0.57920","18847",1686421019999,"10916.01750",73,"9721","5630.30080"
"CTKUSDT","CTKUSDT#1686421020000",1686421020000,"0.57920","0.57980","0.57900","0.57980","11071",1686421079999,"6413.74410",44,"8747","5067.63660"
"CTKUSDT","CTKUSDT#1686421080000",1686421080000,"0.57980","0.58040","0.57980","0.58000","1009",1686421139999,"585.41310",13,"766","444.43530"
"CTKUSDT","CTKUSDT#1686421140000",1686421140000,"0.57980","0.57980","0.57880","0.57890","6781",1686421199999,"3927.81680",33,"1157","669.78150"
"CTKUSDT","CTKUSDT#1686421200000",1686421200000,"0.57890","0.57920","0.57820","0.57910","18116",1686421259999,"10485.03270",73,"15505","8974.47370"
"CTKUSDT","CTKUSDT#1686421260000",1686421260000,"0.57880","0.58020","0.57880","0.57900","27689",1686421319999,"16044.47730",75,"9813","5684.11320"
"CTKUSDT","CTKUSDT#1686421320000",1686421320000,"0.57880","0.57880","0.57640","0.57790","45400",1686421379999,"26218.70020",162,"28435","16421.99030"
"CTKUSDT","CTKUSDT#1686421380000",1686421380000,"0.57780","0.57780","0.57580","0.57690","45235",1686421439999,"26092.14420",143,"21910","12637.11430"
"CTKUSDT","CTKUSDT#1686421440000",1686421440000,"0.57680","0.57700","0.57110","0.57480","77476",1686421499999,"44459.53830",366,"48637","27910.77220"
"CTKUSDT","CTKUSDT#1686421500000",1686421500000,"0.57470","0.57560","0.57130","0.57500","81070",1686421559999,"46429.89670",252,"60008","34362.63550"
"CTKUSDT","CTKUSDT#1686421560000",1686421560000,"0.57530","0.57590","0.57410","0.57430","46501",1686421619999,"26750.73270",107,"10453","6017.06780"
"CTKUSDT","CTKUSDT#1686421620000",1686421620000,"0.57420","0.57580","0.57310","0.57330","43441",1686421679999,"24962.21060",105,"20634","11861.22740"
"CTKUSDT","CTKUSDT#1686421680000",1686421680000,"0.57370","0.57490","0.57370","0.57480","18049",1686421739999,"10366.04190",57,"12914","7415.91590"
"CTKUSDT","CTKUSDT#1686421740000",1686421740000,"0.57480","0.57550","0.57430","0.57540","18987",1686421799999,"10915.28640",57,"11532","6631.00050"
"CTKUSDT","CTKUSDT#1686421800000",1686421800000,"0.57530","0.57780","0.57390","0.57780","68443",1686421859999,"39408.70120",206,"58236","33535.85310"
"CTKUSDT","CTKUSDT#1686421860000",1686421860000,"0.57770","0.57850","0.57690","0.57730","40909",1686421919999,"23625.79320",198,"15405","8895.56280"
"CTKUSDT","CTKUSDT#1686421920000",1686421920000,"0.57730","0.57770","0.57600","0.57650","16299",1686421979999,"9399.55800",110,"5932","3419.97250"
"CTKUSDT","CTKUSDT#1686421980000",1686421980000,"0.57640","0.57720","0.57630","0.57710","19842",1686422039999,"11443.04600",77,"11282","6506.63090"
"CTKUSDT","CTKUSDT#1686422040000",1686422040000,"0.57710","0.57730","0.57630","0.57730","18799",1686422099999,"10843.79880",108,"8897","5132.41020"
"CTKUSDT","CTKUSDT#1686422100000",1686422100000,"0.57740","0.57930","0.57680","0.57850","39752",1686422159999,"22981.38040",171,"20194","11675.09750"
"CTKUSDT","CTKUSDT#1686422160000",1686422160000,"0.57840","0.57840","0.57630","0.57660","25983",1686422219999,"14995.21050",129,"8809","5080.24400"
"CTKUSDT","CTKUSDT#1686422220000",1686422220000,"0.57640","0.57690","0.57580","0.57640","15441",1686422279999,"8900.40630",88,"9244","5328.95200"
"CTKUSDT","CTKUSDT#1686422280000",1686422280000,"0.57650","0.57660","0.57600","0.57620","8639",1686422339999,"4978.85900",50,"4590","2645.39780"
"CTKUSDT","CTKUSDT#1686422340000",1686422340000,"0.57640","0.57640","0.57530","0.57600","22871",1686422399999,"13168.37340",96,"13366","7696.72090"
"CTKUSDT","CTKUSDT#1686422400000",1686422400000,"0.57610","0.57730","0.57570","0.57710","22695",1686422459999,"13080.66650",121,"14671","8457.54090"
"CTKUSDT","CTKUSDT#1686422460000",1686422460000,"0.57710","0.57760","0.57590","0.57630","25619",1686422519999,"14773.45870",97,"7063","4070.20140"
"CTKUSDT","CTKUSDT#1686422520000",1686422520000,"0.57610","0.57640","0.57550","0.57600","12588",1686422579999,"7250.90070",57,"6872","3958.56300"
"CTKUSDT","CTKUSDT#1686422580000",1686422580000,"0.57620","0.57740","0.57620","0.57710","10406",1686422639999,"6002.65660",63,"5948","3430.86220"
"CTKUSDT","CTKUSDT#1686422640000",1686422640000,"0.57710","0.57740","0.57660","0.57740","11256",1686422699999,"6493.66050",62,"4953","2857.47400"
"CTKUSDT","CTKUSDT#1686422700000",1686422700000,"0.57740","0.57790","0.57640","0.57640","17052",1686422759999,"9844.13810",110,"4543","2623.91310"
"CTKUSDT","CTKUSDT#1686422760000",1686422760000,"0.57640","0.57670","0.57620","0.57630","7915",1686422819999,"4562.83930",45,"6737","3883.90780"
"CTKUSDT","CTKUSDT#1686422820000",1686422820000,"0.57640","0.57690","0.57560","0.57650","16554",1686422879999,"9539.06850",73,"10884","6273.20760"
