"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DYDXUSDT","DYDXUSDT#1686387660000",1686387660000,"1.596","1.597","1.594","1.595","42462.0",1686387719999,"67755.6866",255,"21193.0","33817.1500"
"DYDXUSDT","DYDXUSDT#1686387720000",1686387720000,"1.596","1.597","1.593","1.594","26641.5",1686387779999,"42483.5723",161,"11147.9","17780.2714"
"DYDXUSDT","DYDXUSDT#1686387780000",1686387780000,"1.594","1.595","1.591","1.592","32442.1",1686387839999,"51690.6940",205,"8276.6","13194.2149"
"DYDXUSDT","DYDXUSDT#1686387840000",1686387840000,"1.592","1.594","1.592","1.593","15136.6",1686387899999,"24109.9908",113,"11453.6","18242.9718"
"DYDXUSDT","DYDXUSDT#1686387900000",1686387900000,"1.594","1.594","1.592","1.592","26403.5",1686387959999,"42057.7173",155,"9388.1","14955.7956"
"DYDXUSDT","DYDXUSDT#1686387960000",1686387960000,"1.593","1.593","1.584","1.589","148351.5",1686388019999,"235539.9054",557,"41640.1","66131.9156"
"DYDXUSDT","DYDXUSDT#1686388020000",1686388020000,"1.589","1.589","1.584","1.585","93142.6",1686388079999,"147706.9069",287,"39923.9","63313.8354"
"DYDXUSDT","DYDXUSDT#1686388080000",1686388080000,"1.586","1.588","1.584","1.587","92391.5",1686388139999,"146463.5397",287,"24670.2","39135.5419"
"DYDXUSDT","DYDXUSDT#1686388140000",1686388140000,"1.587","1.590","1.586","1.587","54376.3",1686388199999,"86340.0035",211,"25981.8","41249.2835"
"DYDXUSDT","DYDXUSDT#1686388200000",1686388200000,"1.587","1.588","1.585","1.587","45574.4",1686388259999,"72319.3173",222,"25948.5","41179.2354"
"DYDXUSDT","DYDXUSDT#1686388260000",1686388260000,"1.587","1.589","1.587","1.587","21214.0",1686388319999,"33684.0106",95,"14381.4","22839.1647"
"DYDXUSDT","DYDXUSDT#1686388320000",1686388320000,"1.587","1.590","1.587","1.589","31720.6",1686388379999,"50368.2112",133,"17645.8","28027.4911"
"DYDXUSDT","DYDXUSDT#1686388380000",1686388380000,"1.589","1.589","1.587","1.589","45798.8",1686388439999,"72711.0331",171,"15337.1","24351.5970"
"DYDXUSDT","DYDXUSDT#1686388440000",1686388440000,"1.588","1.589","1.584","1.587","33773.5",1686388499999,"53575.9963",170,"14114.5","22391.1213"
"DYDXUSDT","DYDXUSDT#1686388500000",1686388500000,"1.587","1.587","1.581","1.583","71443.5",1686388559999,"113152.6377",286,"15712.4","24876.5550"
