"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"IMXUSDT","IMXUSDT#1686412860000",1686412860000,"0.5924","0.5927","0.5902","0.5902","65844",1686412919999,"38945.6857",279,"24408","14437.9523"
"IMXUSDT","IMXUSDT#1686412920000",1686412920000,"0.5903","0.5909","0.5883","0.5886","113271",1686412979999,"66773.6943",355,"45686","26945.0087"
"IMXUSDT","IMXUSDT#1686412980000",1686412980000,"0.5885","0.5889","0.5870","0.5873","126321",1686413039999,"74254.4431",465,"45616","26818.0496"
"IMXUSDT","IMXUSDT#1686413040000",1686413040000,"0.5874","0.5906","0.5872","0.5901","99717",1686413099999,"58731.9251",387,"61700","36345.8680"
"IMXUSDT","IMXUSDT#1686413100000",1686413100000,"0.5899","0.5923","0.5886","0.5921","163127",1686413159999,"96332.6222",485,"105410","62276.3293"
"IMXUSDT","IMXUSDT#1686413160000",1686413160000,"0.5920","0.5922","0.5892","0.5896","82227",1686413219999,"48558.8405",294,"27354","16153.4683"
"IMXUSDT","IMXUSDT#1686413220000",1686413220000,"0.5896","0.5901","0.5885","0.5901","66863",1686413279999,"39377.9538",233,"26215","15443.0177"
"IMXUSDT","IMXUSDT#1686413280000",1686413280000,"0.5901","0.5907","0.5893","0.5895","62665",1686413339999,"36968.7160",244,"30955","18263.3654"
"IMXUSDT","IMXUSDT#1686413340000",1686413340000,"0.5892","0.5905","0.5890","0.5900","52568",1686413399999,"30998.9400",202,"33370","19681.2371"
"IMXUSDT","IMXUSDT#1686413400000",1686413400000,"0.5901","0.5908","0.5888","0.5890","98372",1686413459999,"57979.8264",325,"36634","21597.0457"
"IMXUSDT","IMXUSDT#1686413460000",1686413460000,"0.5890","0.5890","0.5872","0.5874","50892",1686413519999,"29917.3187",178,"18316","10765.0680"
"IMXUSDT","IMXUSDT#1686413520000",1686413520000,"0.5873","0.5878","0.5860","0.5874","111302",1686413579999,"65335.0022",358,"38116","22382.7686"
"IMXUSDT","IMXUSDT#1686413580000",1686413580000,"0.5875","0.5884","0.5870","0.5870","52173",1686413639999,"30659.2262",224,"23204","13636.3898"
"IMXUSDT","IMXUSDT#1686413640000",1686413640000,"0.5870","0.5875","0.5860","0.5874","86384",1686413699999,"50685.0818",301,"43938","25782.1858"
"IMXUSDT","IMXUSDT#1686413700000",1686413700000,"0.5872","0.5883","0.5861","0.5881","106841",1686413759999,"62738.1281",351,"64002","37588.2471"
"IMXUSDT","IMXUSDT#1686413760000",1686413760000,"0.5881","0.5882","0.5870","0.5878","61054",1686413819999,"35877.2486",249,"30725","18057.1439"
"IMXUSDT","IMXUSDT#1686413820000",1686413820000,"0.5878","0.5878","0.5861","0.5870","86732",1686413879999,"50896.2102",262,"27685","16246.7150"
"IMXUSDT","IMXUSDT#1686413880000",1686413880000,"0.5871","0.5893","0.5871","0.5888","54508",1686413939999,"32063.1293",243,"37796","22227.3417"
"IMXUSDT","IMXUSDT#1686413940000",1686413940000,"0.5888","0.5906","0.5887","0.5902","50102",1686413999999,"29539.0668",252,"35815","21115.0482"
"IMXUSDT","IMXUSDT#1686414000000",1686414000000,"0.5903","0.5909","0.5891","0.5892","61946",1686414059999,"36531.0861",219,"24580","14498.4208"
