"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"IOTXUSDT","IOTXUSDT#1686416460000",1686416460000,"0.01704","0.01704","0.01700","0.01700","639172",1686416519999,"10878.22901",139,"237392","4041.46241"
"IOTXUSDT","IOTXUSDT#1686416520000",1686416520000,"0.01701","0.01704","0.01701","0.01702","546532",1686416579999,"9303.73690",84,"484898","8254.20595"
"IOTXUSDT","IOTXUSDT#1686416580000",1686416580000,"0.01702","0.01702","0.01684","0.01696","4531758",1686416639999,"76716.98941",689,"2360723","39969.90109"
"IOTXUSDT","IOTXUSDT#1686416640000",1686416640000,"0.01697","0.01702","0.01696","0.01701","1152236",1686416699999,"19573.29264",170,"924112","15699.13523"
"IOTXUSDT","IOTXUSDT#1686416700000",1686416700000,"0.01701","0.01704","0.01701","0.01703","516863",1686416759999,"8798.53534",104,"366921","6246.62989"
"IOTXUSDT","IOTXUSDT#1686416760000",1686416760000,"0.01704","0.01712","0.01702","0.01711","1574056",1686416819999,"26837.75973",175,"940822","16049.09895"
"IOTXUSDT","IOTXUSDT#1686416820000",1686416820000,"0.01710","0.01718","0.01709","0.01717","2289351",1686416879999,"39244.72108",266,"1160362","19891.64672"
"IOTXUSDT","IOTXUSDT#1686416880000",1686416880000,"0.01718","0.01732","0.01717","0.01723","4498740",1686416939999,"77531.97828",445,"2322648","40032.05965"
"IOTXUSDT","IOTXUSDT#1686416940000",1686416940000,"0.01723","0.01724","0.01718","0.01721","1884948",1686416999999,"32440.60990",201,"901313","15514.59254"
"IOTXUSDT","IOTXUSDT#1686417000000",1686417000000,"0.01722","0.01730","0.01722","0.01723","3090700",1686417059999,"53324.55062",356,"1378378","23784.08338"
"IOTXUSDT","IOTXUSDT#1686417060000",1686417060000,"0.01723","0.01728","0.01721","0.01723","2609226",1686417119999,"45025.34589",152,"905360","15610.48700"
"IOTXUSDT","IOTXUSDT#1686417120000",1686417120000,"0.01722","0.01722","0.01716","0.01716","560117",1686417179999,"9622.62178",94,"174991","3006.99310"
"IOTXUSDT","IOTXUSDT#1686417180000",1686417180000,"0.01716","0.01718","0.01714","0.01716","993466",1686417239999,"17053.95783",112,"748620","12851.86719"
"IOTXUSDT","IOTXUSDT#1686417240000",1686417240000,"0.01716","0.01720","0.01715","0.01718","789121",1686417299999,"13548.22544",107,"496691","8528.09768"
"IOTXUSDT","IOTXUSDT#1686417300000",1686417300000,"0.01718","0.01720","0.01716","0.01716","600712",1686417359999,"10318.68983",81,"270955","4653.50555"
"IOTXUSDT","IOTXUSDT#1686417360000",1686417360000,"0.01715","0.01717","0.01712","0.01717","711616",1686417419999,"12200.54034",117,"376069","6447.90135"
"IOTXUSDT","IOTXUSDT#1686417420000",1686417420000,"0.01716","0.01724","0.01715","0.01722","2002770",1686417479999,"34436.34069",240,"1338752","23014.76111"
"IOTXUSDT","IOTXUSDT#1686417480000",1686417480000,"0.01723","0.01730","0.01723","0.01727","2215274",1686417539999,"38252.92998",296,"731576","12635.07362"
"IOTXUSDT","IOTXUSDT#1686417540000",1686417540000,"0.01727","0.01729","0.01725","0.01727","2040382",1686417599999,"35229.63566",215,"1230959","21257.03677"
"IOTXUSDT","IOTXUSDT#1686417600000",1686417600000,"0.01727","0.01733","0.01722","0.01724","2541713",1686417659999,"43903.00548",302,"977564","16896.07770"
"IOTXUSDT","IOTXUSDT#1686417660000",1686417660000,"0.01725","0.01728","0.01723","0.01723","2029535",1686417719999,"35025.15007",199,"1073285","18521.79285"
"IOTXUSDT","IOTXUSDT#1686417720000",1686417720000,"0.01723","0.01729","0.01722","0.01726","1730116",1686417779999,"29859.78501",217,"1036342","17888.04258"
"IOTXUSDT","IOTXUSDT#1686417780000",1686417780000,"0.01726","0.01738","0.01725","0.01732","3913485",1686417839999,"67796.32524",551,"1581961","27396.41187"
"IOTXUSDT","IOTXUSDT#1686417840000",1686417840000,"0.01732","0.01737","0.01730","0.01736","3125118",1686417899999,"54161.94359",418,"1241779","21522.59572"
"IOTXUSDT","IOTXUSDT#1686417900000",1686417900000,"0.01736","0.01736","0.01727","0.01728","3657503",1686417959999,"63302.09035",629,"1369654","23707.47702"
