"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"JASMYUSDT","JASMYUSDT#1686373260000",1686373260000,"0.003431","0.003460","0.003430","0.003460","20257715",1686373319999,"69767.704480",706,"10275875","35396.028076"
"JASMYUSDT","JASMYUSDT#1686373320000",1686373320000,"0.003459","0.003489","0.003451","0.003482","25895539",1686373379999,"89863.651062",613,"10855056","37665.265973"
"JASMYUSDT","JASMYUSDT#1686373380000",1686373380000,"0.003483","0.003488","0.003469","0.003476","16445128",1686373439999,"57190.093452",571,"8074723","28079.836117"
"JASMYUSDT","JASMYUSDT#1686373440000",1686373440000,"0.003475","0.003490","0.003467","0.003476","18109724",1686373499999,"62977.479950",498,"7211161","25076.685194"
"JASMYUSDT","JASMYUSDT#1686373500000",1686373500000,"0.003476","0.003480","0.003460","0.003468","22543092",1686373559999,"78224.563573",634,"12039830","41778.371983"
"JASMYUSDT","JASMYUSDT#1686373560000",1686373560000,"0.003467","0.003476","0.003437","0.003453","52934143",1686373619999,"182961.001332",1458,"27646013","95583.719581"
"JASMYUSDT","JASMYUSDT#1686373620000",1686373620000,"0.003454","0.003475","0.003447","0.003458","31614877",1686373679999,"109444.333963",867,"14544810","50357.763590"
"JASMYUSDT","JASMYUSDT#1686373680000",1686373680000,"0.003459","0.003469","0.003447","0.003460","20870817",1686373739999,"72166.662459",512,"11943341","41294.402696"
"JASMYUSDT","JASMYUSDT#1686373740000",1686373740000,"0.003460","0.003465","0.003450","0.003460","18070263",1686373799999,"62477.217807",479,"8797377","30421.006871"
"JASMYUSDT","JASMYUSDT#1686373800000",1686373800000,"0.003461","0.003473","0.003455","0.003469","23070383",1686373859999,"79946.331793",532,"10509426","36414.485034"
"JASMYUSDT","JASMYUSDT#1686373860000",1686373860000,"0.003469","0.003473","0.003458","0.003459","10811464",1686373919999,"37482.388891",366,"5938150","20589.778268"
"JASMYUSDT","JASMYUSDT#1686373920000",1686373920000,"0.003458","0.003475","0.003450","0.003475","15204646",1686373979999,"52628.637419",399,"8287723","28699.023043"
