"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"KAVAUSDT","KAVAUSDT#1686427260000",1686427260000,"0.7950","0.7951","0.7940","0.7940","33460.7",1686427319999,"26594.96461",221,"16678.9","13259.27555"
"KAVAUSDT","KAVAUSDT#1686427320000",1686427320000,"0.7941","0.7942","0.7938","0.7939","14168.4",1686427379999,"11249.32257",146,"7992.3","6345.61318"
"KAVAUSDT","KAVAUSDT#1686427380000",1686427380000,"0.7938","0.7938","0.7922","0.7922","59993.3",1686427439999,"47582.36552",244,"13569.8","10754.97753"
"KAVAUSDT","KAVAUSDT#1686427440000",1686427440000,"0.7922","0.7922","0.7914","0.7914","15662.4",1686427499999,"12403.44283",111,"3948.2","3127.74073"
"KAVAUSDT","KAVAUSDT#1686427500000",1686427500000,"0.7914","0.7919","0.7897","0.7899","60753.2",1686427559999,"48030.68335",250,"13213.5","10457.22977"
"KAVAUSDT","KAVAUSDT#1686427560000",1686427560000,"0.7900","0.7900","0.7880","0.7884","71717.0",1686427619999,"56575.33074",251,"24398.6","19249.25776"
"KAVAUSDT","KAVAUSDT#1686427620000",1686427620000,"0.7883","0.7891","0.7876","0.7890","36730.3",1686427679999,"28957.32859",173,"15504.6","12226.17028"
"KAVAUSDT","KAVAUSDT#1686427680000",1686427680000,"0.7890","0.7899","0.7886","0.7899","27111.5",1686427739999,"21392.37775",132,"18486.8","14587.86643"
"KAVAUSDT","KAVAUSDT#1686427740000",1686427740000,"0.7900","0.7907","0.7894","0.7900","49270.7",1686427799999,"38934.61500",157,"39841.4","31486.71730"
"KAVAUSDT","KAVAUSDT#1686427800000",1686427800000,"0.7899","0.7911","0.7898","0.7907","18453.8",1686427859999,"14586.92045",133,"10570.7","8356.22873"
"KAVAUSDT","KAVAUSDT#1686427860000",1686427860000,"0.7907","0.7929","0.7907","0.7928","44122.8",1686427919999,"34940.56179",132,"41578.7","32926.62272"
"KAVAUSDT","KAVAUSDT#1686427920000",1686427920000,"0.7927","0.7927","0.7913","0.7915","23978.6",1686427979999,"18991.03984",123,"8156.6","6459.87729"
"KAVAUSDT","KAVAUSDT#1686427980000",1686427980000,"0.7913","0.7921","0.7913","0.7917","10911.7",1686428039999,"8636.66754",74,"8010.4","6339.70948"
"KAVAUSDT","KAVAUSDT#1686428040000",1686428040000,"0.7916","0.7921","0.7906","0.7908","16200.2",1686428099999,"12816.25825",68,"1818.8","1439.23987"
"KAVAUSDT","KAVAUSDT#1686428100000",1686428100000,"0.7908","0.7916","0.7908","0.7911","11931.1",1686428159999,"9438.41982",76,"7281.3","5759.47837"
"KAVAUSDT","KAVAUSDT#1686428160000",1686428160000,"0.7911","0.7911","0.7885","0.7888","52986.5",1686428219999,"41825.24385",181,"6391.2","5044.53535"
"KAVAUSDT","KAVAUSDT#1686428220000",1686428220000,"0.7887","0.7894","0.7876","0.7881","30763.7",1686428279999,"24256.58684",132,"12429.5","9802.78659"
"KAVAUSDT","KAVAUSDT#1686428280000",1686428280000,"0.7882","0.7883","0.7879","0.7883","14240.7",1686428339999,"11223.27675",63,"8952.0","7055.45386"
"KAVAUSDT","KAVAUSDT#1686428340000",1686428340000,"0.7883","0.7886","0.7868","0.7873","60474.8",1686428399999,"47624.35753",204,"8596.3","6773.73453"
"KAVAUSDT","KAVAUSDT#1686428400000",1686428400000,"0.7875","0.7877","0.7860","0.7861","112279.4",1686428459999,"88338.70172",320,"19983.8","15728.00807"
"KAVAUSDT","KAVAUSDT#1686428460000",1686428460000,"0.7862","0.7869","0.7862","0.7866","17353.6",1686428519999,"13650.19151",79,"13790.7","10846.96219"
"KAVAUSDT","KAVAUSDT#1686428520000",1686428520000,"0.7867","0.7875","0.7867","0.7874","15414.3",1686428579999,"12131.63954",63,"14103.6","11100.21545"
