"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LINKUSDT","LINKUSDT#1686380460000",1686380460000,"5.033","5.036","5.028","5.028","39407.23",1686380519999,"198256.21575",629,"13625.74","68549.40077"
"LINKUSDT","LINKUSDT#1686380520000",1686380520000,"5.028","5.029","5.018","5.021","38068.45",1686380579999,"191254.43792",654,"15099.66","75851.01844"
"LINKUSDT","LINKUSDT#1686380580000",1686380580000,"5.020","5.021","5.002","5.006","64489.50",1686380639999,"323060.92014",891,"12926.40","64782.51315"
"LINKUSDT","LINKUSDT#1686380640000",1686380640000,"5.006","5.014","4.997","5.004","73574.30",1686380699999,"368263.32353",1013,"35539.08","177920.00229"
"LINKUSDT","LINKUSDT#1686380700000",1686380700000,"5.004","5.016","5.001","5.001","49284.06",1686380759999,"246850.07875",956,"20405.71","102214.21097"
"LINKUSDT","LINKUSDT#1686380760000",1686380760000,"5.001","5.025","5.001","5.023","54642.58",1686380819999,"274101.57685",837,"34286.21","171959.26044"
"LINKUSDT","LINKUSDT#1686380820000",1686380820000,"5.024","5.024","5.010","5.018","63933.22",1686380879999,"320724.20000",868,"25703.77","128942.25616"
"LINKUSDT","LINKUSDT#1686380880000",1686380880000,"5.019","5.026","5.008","5.017","82834.99",1686380939999,"415539.95014",869,"35833.04","179780.74537"
"LINKUSDT","LINKUSDT#1686380940000",1686380940000,"5.016","5.019","4.986","5.013","102826.87",1686380999999,"514635.06526",1472,"45120.94","225863.22725"
"LINKUSDT","LINKUSDT#1686381000000",1686381000000,"5.013","5.022","5.011","5.015","46047.60",1686381059999,"230996.35868",646,"25692.65","128890.37602"
"LINKUSDT","LINKUSDT#1686381060000",1686381060000,"5.014","5.027","5.007","5.025","48703.28",1686381119999,"244380.51445",674,"23970.37","120276.13865"
"LINKUSDT","LINKUSDT#1686381120000",1686381120000,"5.025","5.034","5.023","5.031","44216.31",1686381179999,"222314.66761",724,"22498.80","113126.28375"
"LINKUSDT","LINKUSDT#1686381180000",1686381180000,"5.030","5.049","5.028","5.046","61978.42",1686381239999,"312294.21385",771,"37024.91","186594.85142"
"LINKUSDT","LINKUSDT#1686381240000",1686381240000,"5.046","5.058","5.046","5.055","62255.49",1686381299999,"314555.51395",840,"38908.05","196581.53794"
"LINKUSDT","LINKUSDT#1686381300000",1686381300000,"5.055","5.070","5.053","5.070","119339.29",1686381359999,"604143.41220",1130,"89987.99","455605.29044"
"LINKUSDT","LINKUSDT#1686381360000",1686381360000,"5.069","5.070","5.065","5.070","53228.82",1686381419999,"269737.66883",889,"25767.60","130582.03224"
"LINKUSDT","LINKUSDT#1686381420000",1686381420000,"5.070","5.070","5.051","5.055","77097.49",1686381479999,"390015.67422",808,"19998.28","101172.91733"
"LINKUSDT","LINKUSDT#1686381480000",1686381480000,"5.055","5.056","5.045","5.049","39072.28",1686381539999,"197378.26848",613,"15209.94","76840.00136"
"LINKUSDT","LINKUSDT#1686381540000",1686381540000,"5.048","5.052","5.037","5.038","32291.58",1686381599999,"162897.55210",566,"12488.53","63022.18651"
"LINKUSDT","LINKUSDT#1686381600000",1686381600000,"5.039","5.041","5.033","5.038","32201.65",1686381659999,"162225.23404",583,"13363.18","67322.87434"
"LINKUSDT","LINKUSDT#1686381660000",1686381660000,"5.038","5.047","5.036","5.040","34525.88",1686381719999,"174058.84463",553,"18088.89","91199.70061"
"LINKUSDT","LINKUSDT#1686381720000",1686381720000,"5.041","5.054","5.041","5.044","33970.67",1686381779999,"171499.46218",590,"15222.78","76849.37732"
"LINKUSDT","LINKUSDT#1686381780000",1686381780000,"5.045","5.060","5.044","5.058","34699.58",1686381839999,"175304.76239",556,"18839.64","95184.23343"
"LINKUSDT","LINKUSDT#1686381840000",1686381840000,"5.058","5.089","5.057","5.085","106527.07",1686381899999,"540643.62574",1164,"80477.96","408404.81029"
"LINKUSDT","LINKUSDT#1686381900000",1686381900000,"5.084","5.106","5.082","5.102","124087.15",1686381959999,"631795.97878",1305,"88292.94","449620.80151"
"LINKUSDT","LINKUSDT#1686381960000",1686381960000,"5.104","5.104","5.088","5.091","51761.88",1686382019999,"263667.95205",738,"19062.49","97118.44501"
"LINKUSDT","LINKUSDT#1686382020000",1686382020000,"5.091","5.096","5.087","5.093","30431.90",1686382079999,"154919.44316",484,"15196.97","77367.79035"
"LINKUSDT","LINKUSDT#1686382080000",1686382080000,"5.094","5.099","5.088","5.090","53101.44",1686382139999,"270386.54189",612,"15307.97","77955.73036"
"LINKUSDT","LINKUSDT#1686382140000",1686382140000,"5.091","5.096","5.084","5.091","30549.04",1686382199999,"155470.82495",538,"11061.99","56302.84716"
"LINKUSDT","LINKUSDT#1686382200000",1686382200000,"5.090","5.102","5.072","5.072","119350.61",1686382259999,"607495.67967",1008,"62760.39","319659.21287"
"LINKUSDT","LINKUSDT#1686382260000",1686382260000,"5.073","5.073","5.065","5.069","45114.32",1686382319999,"228710.18732",668,"21890.33","110979.87326"
"LINKUSDT","LINKUSDT#1686382320000",1686382320000,"5.069","5.076","5.066","5.072","53261.76",1686382379999,"270087.09139",695,"20729.60","105134.07178"
"LINKUSDT","LINKUSDT#1686382380000",1686382380000,"5.073","5.077","5.067","5.071","39849.83",1686382439999,"202096.38964",620,"19892.66","100889.43517"
"LINKUSDT","LINKUSDT#1686382440000",1686382440000,"5.072","5.079","5.069","5.076","33880.30",1686382499999,"171911.57336",470,"18900.92","95915.80756"
"LINKUSDT","LINKUSDT#1686382500000",1686382500000,"5.076","5.082","5.072","5.074","83638.76",1686382559999,"424638.19160",836,"48018.96","243834.41045"
"LINKUSDT","LINKUSDT#1686382560000",1686382560000,"5.073","5.085","5.069","5.083","47674.65",1686382619999,"241967.52687",663,"26616.03","135093.84900"
"LINKUSDT","LINKUSDT#1686382620000",1686382620000,"5.083","5.087","5.075","5.079","50714.24",1686382679999,"257661.32786",755,"25215.42","128118.52019"
"LINKUSDT","LINKUSDT#1686382680000",1686382680000,"5.079","5.081","5.075","5.077","26492.37",1686382739999,"134518.89278",475,"11729.68","59563.20249"
"LINKUSDT","LINKUSDT#1686382740000",1686382740000,"5.077","5.084","5.075","5.081","29329.14",1686382799999,"148991.15415",479,"12914.89","65620.47817"
"LINKUSDT","LINKUSDT#1686382800000",1686382800000,"5.081","5.083","5.073","5.074","39516.30",1686382859999,"200583.50361",554,"16800.47","85286.92293"
"LINKUSDT","LINKUSDT#1686382860000",1686382860000,"5.074","5.083","5.073","5.080","31621.48",1686382919999,"160616.73924",477,"19107.78","97057.21241"
"LINKUSDT","LINKUSDT#1686382920000",1686382920000,"5.079","5.080","5.074","5.077","28369.55",1686382979999,"143997.61337",414,"9670.53","49085.34809"
"LINKUSDT","LINKUSDT#1686382980000",1686382980000,"5.077","5.079","5.071","5.078","27366.02",1686383039999,"138878.43546",440,"12126.85","61551.87862"
"LINKUSDT","LINKUSDT#1686383040000",1686383040000,"5.077","5.083","5.076","5.081","18821.44",1686383099999,"95608.90087",354,"8953.68","45487.55633"
"LINKUSDT","LINKUSDT#1686383100000",1686383100000,"5.082","5.084","5.074","5.079","35290.21",1686383159999,"179228.96467",522,"13942.58","70823.36957"
