"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LITUSDT","LITUSDT#1686430860000",1686430860000,"0.606","0.607","0.605","0.606","12217.1",1686430919999,"7405.1111",53,"2186.0","1326.5232"
"LITUSDT","LITUSDT#1686430920000",1686430920000,"0.605","0.606","0.605","0.605","75069.4",1686430979999,"45419.6457",137,"40018.6","24213.9117"
"LITUSDT","LITUSDT#1686430980000",1686430980000,"0.605","0.606","0.605","0.605","713.1",1686431039999,"432.0491",9,"623.6","377.9016"
"LITUSDT","LITUSDT#1686431040000",1686431040000,"0.605","0.606","0.605","0.605","5923.1",1686431099999,"3584.2331",20,"757.6","459.1056"
"LITUSDT","LITUSDT#1686431100000",1686431100000,"0.605","0.606","0.605","0.606","32850.6",1686431159999,"19905.8969",91,"24980.1","15137.9406"
"LITUSDT","LITUSDT#1686431160000",1686431160000,"0.606","0.607","0.605","0.605","5988.1",1686431219999,"3629.2566",17,"478.7","290.5709"
"LITUSDT","LITUSDT#1686431220000",1686431220000,"0.606","0.606","0.605","0.605","63.1",1686431279999,"38.2279",3,"52.4","31.7544"
"LITUSDT","LITUSDT#1686431280000",1686431280000,"0.605","0.606","0.604","0.605","38372.6",1686431339999,"23215.4455",71,"17202.5","10407.5824"
"LITUSDT","LITUSDT#1686431340000",1686431340000,"0.605","0.605","0.604","0.604","7774.5",1686431399999,"4703.3897",16,"0.0","0.0000"
"LITUSDT","LITUSDT#1686431400000",1686431400000,"0.605","0.606","0.605","0.606","14702.4",1686431459999,"8895.7375",47,"13388.2","8100.6465"
"LITUSDT","LITUSDT#1686431460000",1686431460000,"0.606","0.606","0.604","0.605","17936.9",1686431519999,"10853.8667",50,"10052.9","6084.0574"
"LITUSDT","LITUSDT#1686431520000",1686431520000,"0.604","0.605","0.604","0.604","4162.9",1686431579999,"2516.6570",20,"2265.4","1370.5670"
"LITUSDT","LITUSDT#1686431580000",1686431580000,"0.604","0.605","0.603","0.603","36412.2",1686431639999,"21989.2841",95,"6647.4","4015.0476"
"LITUSDT","LITUSDT#1686431640000",1686431640000,"0.603","0.605","0.603","0.605","13414.3",1686431699999,"8099.8940",36,"11052.5","6675.7260"
"LITUSDT","LITUSDT#1686431700000",1686431700000,"0.604","0.605","0.604","0.604","28094.2",1686431759999,"16988.3336",83,"13123.6","7939.7780"
"LITUSDT","LITUSDT#1686431760000",1686431760000,"0.604","0.604","0.603","0.604","29169.2",1686431819999,"17618.1887",82,"11596.8","7004.4672"
"LITUSDT","LITUSDT#1686431820000",1686431820000,"0.603","0.604","0.603","0.604","13738.9",1686431879999,"8297.4953",27,"12927.9","7808.4516"
"LITUSDT","LITUSDT#1686431880000",1686431880000,"0.604","0.604","0.604","0.604","152.6",1686431939999,"92.1704",3,"0.0","0.0000"
"LITUSDT","LITUSDT#1686431940000",1686431940000,"0.605","0.605","0.605","0.605","26288.9",1686431999999,"15904.7845",52,"18846.4","11402.0720"
"LITUSDT","LITUSDT#1686432000000",1686432000000,"0.605","0.606","0.605","0.606","15963.9",1686432059999,"9670.7824",89,"7250.1","4393.5606"
"LITUSDT","LITUSDT#1686432060000",1686432060000,"0.606","0.606","0.605","0.606","2624.7",1686432119999,"1590.5575",8,"2614.0","1584.0840"
"LITUSDT","LITUSDT#1686432120000",1686432120000,"0.606","0.606","0.605","0.605","2307.4",1686432179999,"1398.1171",6,"2140.1","1296.9006"
"LITUSDT","LITUSDT#1686432180000",1686432180000,"0.606","0.606","0.606","0.606","27766.8",1686432239999,"16826.6808",111,"10753.9","6516.8634"
"LITUSDT","LITUSDT#1686432240000",1686432240000,"0.606","0.607","0.606","0.606","23081.7",1686432299999,"13987.6434",48,"10995.0","6663.1032"
"LITUSDT","LITUSDT#1686432300000",1686432300000,"0.606","0.607","0.606","0.606","23543.2",1686432359999,"14278.3625",47,"22904.4","13891.2497"
"LITUSDT","LITUSDT#1686432360000",1686432360000,"0.606","0.607","0.606","0.606","1584.5",1686432419999,"961.0364",15,"829.4","503.4458"
"LITUSDT","LITUSDT#1686432420000",1686432420000,"0.606","0.607","0.606","0.607","2048.3",1686432479999,"1243.0742",17,"1804.4","1095.2708"
"LITUSDT","LITUSDT#1686432480000",1686432480000,"0.606","0.606","0.606","0.606","14966.6",1686432539999,"9069.7596",51,"0.0","0.0000"
"LITUSDT","LITUSDT#1686432540000",1686432540000,"0.606","0.607","0.606","0.606","800.7",1686432599999,"485.2848",15,"60.6","36.7842"
"LITUSDT","LITUSDT#1686432600000",1686432600000,"0.607","0.607","0.606","0.606","2760.7",1686432659999,"1673.1676",14,"183.4","111.3238"
"LITUSDT","LITUSDT#1686432660000",1686432660000,"0.606","0.607","0.606","0.607","1095.2",1686432719999,"664.1711",14,"479.9","291.2993"
