"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MATICBUSD","MATICBUSD#1686376860000",1686376860000,"0.5995000","0.6005000","0.5994000","0.5996000","57182",1686376919999,"34303.9290000",140,"30386","18231.1049000"
"MATICBUSD","MATICBUSD#1686376920000",1686376920000,"0.5998000","0.6005000","0.5986000","0.5987000","117516",1686376979999,"70427.0381000",181,"45586","27316.6082000"
"MATICBUSD","MATICBUSD#1686376980000",1686376980000,"0.5989000","0.5996000","0.5980000","0.5981000","58235",1686377039999,"34869.9583000",111,"14270","8550.1758000"
"MATICBUSD","MATICBUSD#1686377040000",1686377040000,"0.5981000","0.6011000","0.5980000","0.6007000","56449",1686377099999,"33838.2634000",142,"33219","19906.0880000"
"MATICBUSD","MATICBUSD#1686377100000",1686377100000,"0.6007000","0.6046000","0.6005000","0.6030000","208032",1686377159999,"125490.3006000",286,"107638","64890.1383000"
"MATICBUSD","MATICBUSD#1686377160000",1686377160000,"0.6032000","0.6038000","0.6007000","0.6011000","125817",1686377219999,"75723.3031000",200,"74082","44596.4237000"
"MATICBUSD","MATICBUSD#1686377220000",1686377220000,"0.6015000","0.6017000","0.6006000","0.6009000","41700",1686377279999,"25065.3819000",57,"16289","9789.8229000"
"MATICBUSD","MATICBUSD#1686377280000",1686377280000,"0.6006000","0.6020000","0.6006000","0.6009000","56011",1686377339999,"33679.7308000",93,"37591","22606.3412000"
"MATICBUSD","MATICBUSD#1686377340000",1686377340000,"0.6011000","0.6024000","0.6000000","0.6009000","56089",1686377399999,"33712.5151000",106,"24414","14675.5916000"
"MATICBUSD","MATICBUSD#1686377400000",1686377400000,"0.6007000","0.6022000","0.5980000","0.5983000","99938",1686377459999,"59931.7343000",154,"33299","19993.4647000"
"MATICBUSD","MATICBUSD#1686377460000",1686377460000,"0.5984000","0.5996000","0.5977000","0.5996000","65589",1686377519999,"39258.8029000",124,"35932","21509.8739000"
