"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"NEOUSDT","NEOUSDT#1686423660000",1686423660000,"7.508","7.523","7.500","7.521","4588.31",1686423719999,"34452.18367",197,"2385.31","17912.36798"
"NEOUSDT","NEOUSDT#1686423720000",1686423720000,"7.521","7.532","7.517","7.531","2113.47",1686423779999,"15902.49356",118,"1261.53","9491.78548"
"NEOUSDT","NEOUSDT#1686423780000",1686423780000,"7.532","7.544","7.530","7.530","2576.16",1686423839999,"19417.06401",142,"1214.40","9154.03269"
"NEOUSDT","NEOUSDT#1686423840000",1686423840000,"7.533","7.544","7.533","7.539","1053.62",1686423899999,"7943.34240",83,"626.30","4721.31291"
"NEOUSDT","NEOUSDT#1686423900000",1686423900000,"7.539","7.545","7.538","7.540","1615.59",1686423959999,"12182.60194",96,"571.48","4309.06589"
"NEOUSDT","NEOUSDT#1686423960000",1686423960000,"7.539","7.542","7.532","7.542","1315.60",1686424019999,"9915.52572",89,"596.75","4498.03593"
"NEOUSDT","NEOUSDT#1686424020000",1686424020000,"7.540","7.541","7.526","7.529","1354.24",1686424079999,"10201.96450",102,"565.18","4256.95818"
"NEOUSDT","NEOUSDT#1686424080000",1686424080000,"7.528","7.528","7.513","7.517","2675.26",1686424139999,"20108.98932",149,"1247.75","9377.73040"
"NEOUSDT","NEOUSDT#1686424140000",1686424140000,"7.519","7.520","7.513","7.516","1281.04",1686424199999,"9631.04971",99,"802.71","6034.97118"
"NEOUSDT","NEOUSDT#1686424200000",1686424200000,"7.515","7.515","7.502","7.509","2005.19",1686424259999,"15056.96050",128,"771.89","5795.10156"
"NEOUSDT","NEOUSDT#1686424260000",1686424260000,"7.511","7.523","7.509","7.520","1357.46",1686424319999,"10199.69631",82,"652.84","4905.70206"
"NEOUSDT","NEOUSDT#1686424320000",1686424320000,"7.521","7.521","7.514","7.517","676.87",1686424379999,"5087.72564",53,"420.38","3159.62797"
"NEOUSDT","NEOUSDT#1686424380000",1686424380000,"7.518","7.521","7.514","7.516","245.77",1686424439999,"1847.64002",52,"120.13","903.09336"
"NEOUSDT","NEOUSDT#1686424440000",1686424440000,"7.519","7.519","7.509","7.510","467.14",1686424499999,"3509.04351",44,"100.81","757.11215"
"NEOUSDT","NEOUSDT#1686424500000",1686424500000,"7.512","7.531","7.512","7.530","1598.99",1686424559999,"12023.29166",83,"1116.38","8394.79209"
"NEOUSDT","NEOUSDT#1686424560000",1686424560000,"7.529","7.532","7.514","7.515","3392.98",1686424619999,"25528.23007",140,"916.07","6891.25884"
"NEOUSDT","NEOUSDT#1686424620000",1686424620000,"7.516","7.526","7.516","7.523","3052.95",1686424679999,"22956.82117",113,"1321.05","9936.23022"
"NEOUSDT","NEOUSDT#1686424680000",1686424680000,"7.525","7.537","7.522","7.534","2006.46",1686424739999,"15108.18676",105,"1280.11","9637.92938"
"NEOUSDT","NEOUSDT#1686424740000",1686424740000,"7.537","7.545","7.537","7.541","1459.30",1686424799999,"11006.42305",63,"401.68","3029.16773"
"NEOUSDT","NEOUSDT#1686424800000",1686424800000,"7.545","7.547","7.537","7.539","2511.81",1686424859999,"18947.04808",109,"1121.44","8460.26035"
"NEOUSDT","NEOUSDT#1686424860000",1686424860000,"7.539","7.541","7.536","7.539","762.40",1686424919999,"5747.33404",47,"448.63","3381.80841"
"NEOUSDT","NEOUSDT#1686424920000",1686424920000,"7.541","7.543","7.532","7.533","653.87",1686424979999,"4929.13696",48,"167.67","1263.61614"
"NEOUSDT","NEOUSDT#1686424980000",1686424980000,"7.534","7.543","7.527","7.540","1261.98",1686425039999,"9510.34497",61,"614.81","4632.59347"
"NEOUSDT","NEOUSDT#1686425040000",1686425040000,"7.541","7.542","7.536","7.537","1975.32",1686425099999,"14892.80579",71,"1102.31","8311.99259"
"NEOUSDT","NEOUSDT#1686425100000",1686425100000,"7.536","7.543","7.534","7.543","1100.19",1686425159999,"8293.41964",48,"472.30","3561.27303"
"NEOUSDT","NEOUSDT#1686425160000",1686425160000,"7.543","7.553","7.543","7.548","1512.60",1686425219999,"11417.16410",82,"1145.35","8644.47735"
"NEOUSDT","NEOUSDT#1686425220000",1686425220000,"7.548","7.563","7.548","7.559","1497.92",1686425279999,"11318.61958",85,"928.11","7014.25501"
"NEOUSDT","NEOUSDT#1686425280000",1686425280000,"7.560","7.560","7.546","7.546","2141.70",1686425339999,"16176.26138",67,"294.97","2227.31042"
"NEOUSDT","NEOUSDT#1686425340000",1686425340000,"7.546","7.552","7.541","7.547","2169.12",1686425399999,"16372.19670",84,"1404.46","10601.73750"
"NEOUSDT","NEOUSDT#1686425400000",1686425400000,"7.546","7.565","7.544","7.561","2991.29",1686425459999,"22600.44669",137,"1807.57","13658.38403"
"NEOUSDT","NEOUSDT#1686425460000",1686425460000,"7.563","7.564","7.558","7.560","1181.42",1686425519999,"8932.61270",102,"663.25","5014.34818"
"NEOUSDT","NEOUSDT#1686425520000",1686425520000,"7.559","7.562","7.556","7.560","1773.94",1686425579999,"13410.58683",114,"612.33","4629.02578"
"NEOUSDT","NEOUSDT#1686425580000",1686425580000,"7.559","7.559","7.556","7.557","636.80",1686425639999,"4812.53435",70,"281.79","2129.46018"
"NEOUSDT","NEOUSDT#1686425640000",1686425640000,"7.557","7.562","7.557","7.561","438.78",1686425699999,"3316.98932",52,"219.54","1659.65717"
"NEOUSDT","NEOUSDT#1686425700000",1686425700000,"7.560","7.571","7.559","7.565","3828.69",1686425759999,"28966.18013",187,"2077.95","15720.45568"
"NEOUSDT","NEOUSDT#1686425760000",1686425760000,"7.566","7.576","7.562","7.570","2752.77",1686425819999,"20835.55690",149,"1973.67","14940.16152"
"NEOUSDT","NEOUSDT#1686425820000",1686425820000,"7.572","7.587","7.570","7.580","3911.95",1686425879999,"29655.16622",189,"2416.95","18321.03653"
"NEOUSDT","NEOUSDT#1686425880000",1686425880000,"7.580","7.589","7.580","7.584","2423.41",1686425939999,"18382.66383",102,"2118.17","16066.96762"
"NEOUSDT","NEOUSDT#1686425940000",1686425940000,"7.587","7.589","7.584","7.585","631.23",1686425999999,"4788.38335",59,"125.14","949.43423"
"NEOUSDT","NEOUSDT#1686426000000",1686426000000,"7.584","7.584","7.578","7.578","2491.63",1686426059999,"18890.47904",132,"1267.90","9613.10332"
"NEOUSDT","NEOUSDT#1686426060000",1686426060000,"7.579","7.581","7.574","7.581","1173.13",1686426119999,"8888.47272",64,"408.05","3091.97615"
"NEOUSDT","NEOUSDT#1686426120000",1686426120000,"7.582","7.583","7.574","7.575","479.38",1686426179999,"3632.71733",44,"359.10","2721.24213"
"NEOUSDT","NEOUSDT#1686426180000",1686426180000,"7.576","7.580","7.574","7.580","258.91",1686426239999,"1961.57565",28,"170.31","1290.38597"
"NEOUSDT","NEOUSDT#1686426240000",1686426240000,"7.578","7.582","7.576","7.582","1115.66",1686426299999,"8454.67830",46,"1008.08","7639.30896"
"NEOUSDT","NEOUSDT#1686426300000",1686426300000,"7.581","7.584","7.569","7.570","2642.99",1686426359999,"20016.11658",85,"788.92","5976.24755"
"NEOUSDT","NEOUSDT#1686426360000",1686426360000,"7.570","7.572","7.566","7.567","2561.66",1686426419999,"19387.71030",77,"951.15","7197.99041"
"NEOUSDT","NEOUSDT#1686426420000",1686426420000,"7.567","7.570","7.565","7.565","384.17",1686426479999,"2907.41697",32,"302.42","2288.68959"
"NEOUSDT","NEOUSDT#1686426480000",1686426480000,"7.566","7.578","7.566","7.575","1978.75",1686426539999,"14977.43183",59,"1734.14","13125.20179"
"NEOUSDT","NEOUSDT#1686426540000",1686426540000,"7.575","7.599","7.575","7.594","773.63",1686426599999,"5869.96860",52,"509.29","3862.81367"
"NEOUSDT","NEOUSDT#1686426600000",1686426600000,"7.595","7.601","7.583","7.586","3062.96",1686426659999,"23250.02224",141,"1485.25","11273.63347"
"NEOUSDT","NEOUSDT#1686426660000",1686426660000,"7.588","7.591","7.578","7.578","1545.99",1686426719999,"11724.52733",81,"747.02","5667.27040"
"NEOUSDT","NEOUSDT#1686426720000",1686426720000,"7.577","7.588","7.577","7.582","1306.21",1686426779999,"9903.90589",62,"1129.48","8563.46883"
"NEOUSDT","NEOUSDT#1686426780000",1686426780000,"7.582","7.583","7.581","7.582","333.89",1686426839999,"2531.55501",30,"237.63","1801.71338"
"NEOUSDT","NEOUSDT#1686426840000",1686426840000,"7.582","7.582","7.578","7.578","957.19",1686426899999,"7254.98689",35,"60.53","458.81894"
