"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RNDRUSDT","RNDRUSDT#1686430860000",1686430860000,"1.913400","1.913600","1.906900","1.907800","46450.9",1686430919999,"88699.0891400",533,"17016.1","32500.8506700"
"RNDRUSDT","RNDRUSDT#1686430920000",1686430920000,"1.907700","1.908400","1.903700","1.906600","52026.2",1686430979999,"99161.8926600",513,"24576.6","46848.8977500"
"RNDRUSDT","RNDRUSDT#1686430980000",1686430980000,"1.906900","1.909500","1.906300","1.907800","43901.0",1686431039999,"83779.3287700",386,"30079.1","57405.3798000"
"RNDRUSDT","RNDRUSDT#1686431040000",1686431040000,"1.907700","1.910500","1.907600","1.908300","48706.0",1686431099999,"92995.5647000",252,"40041.8","76450.8261500"
"RNDRUSDT","RNDRUSDT#1686431100000",1686431100000,"1.908300","1.912400","1.907300","1.912200","27385.8",1686431159999,"52309.3391300",298,"12571.3","24014.7185600"
"RNDRUSDT","RNDRUSDT#1686431160000",1686431160000,"1.912200","1.912800","1.907100","1.907200","14953.6",1686431219999,"28556.6984500",191,"6618.0","12639.1750600"
"RNDRUSDT","RNDRUSDT#1686431220000",1686431220000,"1.907100","1.908000","1.904600","1.908000","18069.6",1686431279999,"34441.1038000",192,"8193.8","15619.5315200"
"RNDRUSDT","RNDRUSDT#1686431280000",1686431280000,"1.907400","1.909100","1.907000","1.908400","21236.1",1686431339999,"40523.8025900",201,"13628.6","26007.3309500"
"RNDRUSDT","RNDRUSDT#1686431340000",1686431340000,"1.908400","1.909200","1.902300","1.904100","32125.6",1686431399999,"61179.4283500",331,"15037.5","28635.5219500"
"RNDRUSDT","RNDRUSDT#1686431400000",1686431400000,"1.904300","1.908400","1.904300","1.906400","24747.1",1686431459999,"47183.0992400",242,"15802.4","30125.1267400"
"RNDRUSDT","RNDRUSDT#1686431460000",1686431460000,"1.906400","1.907700","1.900900","1.901100","33011.8",1686431519999,"62827.6931300",336,"15057.5","28661.6680800"
"RNDRUSDT","RNDRUSDT#1686431520000",1686431520000,"1.901400","1.902900","1.900000","1.901600","37805.3",1686431579999,"71882.9960300",276,"27621.5","52521.4012500"
"RNDRUSDT","RNDRUSDT#1686431580000",1686431580000,"1.901500","1.901500","1.893400","1.894400","96559.3",1686431639999,"183112.9761200",700,"29324.7","55591.4581800"
"RNDRUSDT","RNDRUSDT#1686431640000",1686431640000,"1.894200","1.900000","1.894200","1.899500","49053.3",1686431699999,"93063.2832500",404,"29488.7","55951.2498100"
"RNDRUSDT","RNDRUSDT#1686431700000",1686431700000,"1.899000","1.901900","1.898200","1.899800","33424.6",1686431759999,"63507.4104500",267,"20864.3","39646.8311000"
"RNDRUSDT","RNDRUSDT#1686431760000",1686431760000,"1.899700","1.901900","1.897600","1.897600","18149.1",1686431819999,"34486.8254800",197,"7914.3","15044.1694300"
"RNDRUSDT","RNDRUSDT#1686431820000",1686431820000,"1.897500","1.901100","1.897500","1.901100","13043.5",1686431879999,"24772.8193300",180,"6194.8","11765.8335900"
"RNDRUSDT","RNDRUSDT#1686431880000",1686431880000,"1.901200","1.902400","1.899700","1.900600","17711.8",1686431939999,"33673.0502100",186,"7202.7","13694.7859100"
"RNDRUSDT","RNDRUSDT#1686431940000",1686431940000,"1.900400","1.908100","1.900400","1.906200","65083.6",1686431999999,"124000.3085200",430,"50256.4","95732.3715600"
"RNDRUSDT","RNDRUSDT#1686432000000",1686432000000,"1.905600","1.908500","1.902400","1.908500","52540.2",1686432059999,"100081.6890600",426,"21075.8","40165.9671400"
