"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"YFIUSDT","YFIUSDT#1686405660000",1686405660000,"5314.0","5319.0","5310.0","5319.0","5.387",1686405719999,"28631.9700",158,"4.416","23471.2200"
"YFIUSDT","YFIUSDT#1686405720000",1686405720000,"5320.0","5332.0","5319.0","5330.0","3.478",1686405779999,"18515.1350",102,"1.374","7317.6740"
"YFIUSDT","YFIUSDT#1686405780000",1686405780000,"5329.0","5351.0","5329.0","5348.0","7.069",1686405839999,"37783.8860",147,"4.493","24010.1520"
"YFIUSDT","YFIUSDT#1686405840000",1686405840000,"5348.0","5350.0","5341.0","5346.0","6.618",1686405899999,"35367.9920",111,"3.657","19542.8700"
"YFIUSDT","YFIUSDT#1686405900000",1686405900000,"5345.0","5348.0","5332.0","5332.0","5.342",1686405959999,"28524.5440",158,"2.325","12411.4690"
"YFIUSDT","YFIUSDT#1686405960000",1686405960000,"5333.0","5333.0","5323.0","5323.0","6.375",1686406019999,"33970.3170",137,"2.067","11016.7320"
"YFIUSDT","YFIUSDT#1686406020000",1686406020000,"5323.0","5323.0","5313.0","5313.0","3.430",1686406079999,"18239.3390",86,"0.953","5067.7680"
"YFIUSDT","YFIUSDT#1686406080000",1686406080000,"5312.0","5314.0","5306.0","5309.0","13.197",1686406139999,"70061.7960",253,"10.103","53638.4970"
"YFIUSDT","YFIUSDT#1686406140000",1686406140000,"5308.0","5308.0","5291.0","5300.0","16.719",1686406199999,"88590.9480",296,"8.621","45696.2650"
"YFIUSDT","YFIUSDT#1686406200000",1686406200000,"5300.0","5303.0","5295.0","5299.0","7.095",1686406259999,"37588.9170",177,"3.318","17579.1110"
"YFIUSDT","YFIUSDT#1686406260000",1686406260000,"5301.0","5309.0","5301.0","5309.0","3.523",1686406319999,"18686.7200",100,"1.711","9076.5230"
"YFIUSDT","YFIUSDT#1686406320000",1686406320000,"5310.0","5320.0","5310.0","5313.0","5.789",1686406379999,"30761.6450",156,"2.966","15761.3540"
"YFIUSDT","YFIUSDT#1686406380000",1686406380000,"5314.0","5321.0","5314.0","5319.0","2.993",1686406439999,"15913.7100",85,"1.737","9236.2590"
"YFIUSDT","YFIUSDT#1686406440000",1686406440000,"5321.0","5325.0","5319.0","5322.0","1.974",1686406499999,"10505.4780",57,"1.013","5391.7490"
"YFIUSDT","YFIUSDT#1686406500000",1686406500000,"5323.0","5332.0","5323.0","5328.0","2.584",1686406559999,"13764.2540",90,"1.545","8229.9500"
"YFIUSDT","YFIUSDT#1686406560000",1686406560000,"5327.0","5343.0","5325.0","5343.0","8.741",1686406619999,"46619.7340",148,"5.673","30269.6940"
