"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ADABUSD","ADABUSD#1686438060000",1686438060000,"0.27760","0.27760","0.27630","0.27680","350293",1686438119999,"96938.33860",285,"77790","21525.79570"
"ADABUSD","ADABUSD#1686438120000",1686438120000,"0.27670","0.27710","0.27650","0.27680","50830",1686438179999,"14069.38920",64,"22106","6119.83310"
"ADABUSD","ADABUSD#1686438180000",1686438180000,"0.27690","0.27710","0.27680","0.27700","51393",1686438239999,"14235.65820",43,"10386","2876.92120"
"ADABUSD","ADABUSD#1686438240000",1686438240000,"0.27690","0.27720","0.27680","0.27680","62354",1686438299999,"17271.16350",83,"33086","9166.82010"
"ADABUSD","ADABUSD#1686438300000",1686438300000,"0.27690","0.27690","0.27550","0.27590","255190",1686438359999,"70448.93030",191,"51970","14349.50630"
"ADABUSD","ADABUSD#1686438360000",1686438360000,"0.27590","0.27620","0.27570","0.27570","80912",1686438419999,"22334.52980",95,"33084","9132.74300"
"ADABUSD","ADABUSD#1686438420000",1686438420000,"0.27570","0.27600","0.27570","0.27590","149498",1686438479999,"41251.63120",70,"82607","22789.86220"
"ADABUSD","ADABUSD#1686438480000",1686438480000,"0.27590","0.27630","0.27590","0.27620","109875",1686438539999,"30344.91420",40,"59587","16457.60690"
"ADABUSD","ADABUSD#1686438540000",1686438540000,"0.27610","0.27610","0.27550","0.27550","88523",1686438599999,"24414.60460",105,"30245","8341.20110"
"ADABUSD","ADABUSD#1686438600000",1686438600000,"0.27550","0.27570","0.27550","0.27560","109830",1686438659999,"30266.79190",63,"44260","12200.02480"
"ADABUSD","ADABUSD#1686438660000",1686438660000,"0.27560","0.27560","0.27540","0.27560","68104",1686438719999,"18767.68230",59,"26929","7420.34930"
"ADABUSD","ADABUSD#1686438720000",1686438720000,"0.27570","0.27590","0.27570","0.27570","45723",1686438779999,"12611.05600",35,"32674","9012.21780"
"ADABUSD","ADABUSD#1686438780000",1686438780000,"0.27570","0.27600","0.27560","0.27600","62173",1686438839999,"17153.95090",39,"46113","12724.36050"
"ADABUSD","ADABUSD#1686438840000",1686438840000,"0.27600","0.27600","0.27550","0.27560","51696",1686438899999,"14245.28860",71,"31276","8618.17130"
"ADABUSD","ADABUSD#1686438900000",1686438900000,"0.27560","0.27610","0.27560","0.27600","47620",1686438959999,"13142.35420",59,"37073","10231.49270"
"ADABUSD","ADABUSD#1686438960000",1686438960000,"0.27600","0.27650","0.27600","0.27640","37694",1686439019999,"10416.36760",38,"33024","9126.36450"
"ADABUSD","ADABUSD#1686439020000",1686439020000,"0.27640","0.27640","0.27580","0.27580","53600",1686439079999,"14792.60790",49,"12353","3408.19270"
"ADABUSD","ADABUSD#1686439080000",1686439080000,"0.27570","0.27620","0.27560","0.27620","33624",1686439139999,"9274.89490",41,"28411","7837.49000"
"ADABUSD","ADABUSD#1686439140000",1686439140000,"0.27620","0.27620","0.27570","0.27570","119190",1686439199999,"32916.64650",38,"7127","1968.47740"
"ADABUSD","ADABUSD#1686439200000",1686439200000,"0.27550","0.27600","0.27550","0.27580","38459",1686439259999,"10605.58940",47,"23737","6544.15830"
