"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BANDUSDT","BANDUSDT#1686481260000",1686481260000,"1.0217","1.0225","1.0210","1.0216","24082.1",1686481319999,"24608.65406",176,"12348.7","12618.04236"
"BANDUSDT","BANDUSDT#1686481320000",1686481320000,"1.0216","1.0217","1.0211","1.0217","8678.9",1686481379999,"8864.75307",101,"3112.2","3179.02347"
"BANDUSDT","BANDUSDT#1686481380000",1686481380000,"1.0218","1.0254","1.0217","1.0254","77819.4",1686481439999,"79671.12521",409,"53910.8","55187.89782"
"BANDUSDT","BANDUSDT#1686481440000",1686481440000,"1.0253","1.0256","1.0233","1.0253","32502.6",1686481499999,"33307.10853",226,"5181.0","5309.50621"
"BANDUSDT","BANDUSDT#1686481500000",1686481500000,"1.0253","1.0256","1.0246","1.0247","31423.1",1686481559999,"32217.49659",225,"6290.8","6450.44150"
"BANDUSDT","BANDUSDT#1686481560000",1686481560000,"1.0246","1.0252","1.0231","1.0239","32249.5",1686481619999,"33029.42683",262,"16236.7","16630.43598"
"BANDUSDT","BANDUSDT#1686481620000",1686481620000,"1.0238","1.0275","1.0237","1.0274","43974.0",1686481679999,"45096.90888",245,"33418.1","34274.21088"
"BANDUSDT","BANDUSDT#1686481680000",1686481680000,"1.0275","1.0275","1.0240","1.0243","47944.8",1686481739999,"49184.58224",222,"12570.8","12880.94889"
"BANDUSDT","BANDUSDT#1686481740000",1686481740000,"1.0244","1.0252","1.0237","1.0250","11472.2",1686481799999,"11752.22699",81,"6522.5","6682.92903"
"BANDUSDT","BANDUSDT#1686481800000",1686481800000,"1.0253","1.0257","1.0245","1.0254","18483.4",1686481859999,"18950.56139",124,"10175.2","10432.06883"
"BANDUSDT","BANDUSDT#1686481860000",1686481860000,"1.0252","1.0252","1.0243","1.0246","6568.0",1686481919999,"6729.82593",60,"3579.7","3667.99331"
"BANDUSDT","BANDUSDT#1686481920000",1686481920000,"1.0244","1.0251","1.0236","1.0251","8111.4",1686481979999,"8305.71389",46,"1375.3","1408.98063"
"BANDUSDT","BANDUSDT#1686481980000",1686481980000,"1.0251","1.0262","1.0248","1.0262","18122.3",1686482039999,"18583.80979",80,"13158.7","13495.63236"
"BANDUSDT","BANDUSDT#1686482040000",1686482040000,"1.0262","1.0274","1.0262","1.0273","21312.5",1686482099999,"21886.42355",110,"8917.5","9157.33660"
"BANDUSDT","BANDUSDT#1686482100000",1686482100000,"1.0273","1.0278","1.0261","1.0271","28255.6",1686482159999,"29020.43429",193,"13002.8","13355.45068"
"BANDUSDT","BANDUSDT#1686482160000",1686482160000,"1.0271","1.0271","1.0263","1.0267","9087.9",1686482219999,"9330.11582",84,"3010.4","3090.70504"
"BANDUSDT","BANDUSDT#1686482220000",1686482220000,"1.0267","1.0278","1.0267","1.0278","13822.0",1686482279999,"14198.42607",82,"9772.7","10038.40900"
"BANDUSDT","BANDUSDT#1686482280000",1686482280000,"1.0279","1.0282","1.0272","1.0277","36564.9",1686482339999,"37580.48008",134,"7202.6","7402.04782"
"BANDUSDT","BANDUSDT#1686482340000",1686482340000,"1.0279","1.0279","1.0258","1.0258","30873.7",1686482399999,"31706.10000",138,"5973.6","6132.66191"
"BANDUSDT","BANDUSDT#1686482400000",1686482400000,"1.0259","1.0275","1.0256","1.0275","19167.5",1686482459999,"19671.25241",111,"10380.3","10654.23410"
"BANDUSDT","BANDUSDT#1686482460000",1686482460000,"1.0276","1.0278","1.0271","1.0272","12310.3",1686482519999,"12649.50491",76,"6064.6","6231.76253"
"BANDUSDT","BANDUSDT#1686482520000",1686482520000,"1.0270","1.0272","1.0252","1.0256","16448.7",1686482579999,"16879.78039",115,"6285.0","6449.27928"
"BANDUSDT","BANDUSDT#1686482580000",1686482580000,"1.0257","1.0263","1.0250","1.0250","22092.9",1686482639999,"22660.28992",129,"11668.2","11968.50166"
"BANDUSDT","BANDUSDT#1686482640000",1686482640000,"1.0250","1.0258","1.0247","1.0255","16941.2",1686482699999,"17370.51715",108,"7968.5","8170.46584"
"BANDUSDT","BANDUSDT#1686482700000",1686482700000,"1.0253","1.0272","1.0250","1.0259","24880.8",1686482759999,"25531.14919",199,"13387.0","13735.44451"
"BANDUSDT","BANDUSDT#1686482760000",1686482760000,"1.0259","1.0267","1.0253","1.0255","11171.3",1686482819999,"11459.99654",114,"3410.9","3499.41206"
"BANDUSDT","BANDUSDT#1686482820000",1686482820000,"1.0254","1.0268","1.0250","1.0251","31083.3",1686482879999,"31889.92997",171,"10802.7","11086.43265"
"BANDUSDT","BANDUSDT#1686482880000",1686482880000,"1.0251","1.0252","1.0246","1.0246","11438.4",1686482939999,"11722.81999",144,"8273.3","8479.20996"
"BANDUSDT","BANDUSDT#1686482940000",1686482940000,"1.0246","1.0246","1.0226","1.0238","50196.5",1686482999999,"51384.23070",319,"14310.3","14648.36786"
"BANDUSDT","BANDUSDT#1686483000000",1686483000000,"1.0241","1.0244","1.0218","1.0219","52557.4",1686483059999,"53756.97174",405,"15710.2","16069.09248"
"BANDUSDT","BANDUSDT#1686483060000",1686483060000,"1.0220","1.0234","1.0214","1.0233","28672.1",1686483119999,"29313.61551",274,"11657.5","11916.30070"
"BANDUSDT","BANDUSDT#1686483120000",1686483120000,"1.0231","1.0243","1.0229","1.0229","31621.6",1686483179999,"32361.42714",172,"22098.7","22615.32090"
"BANDUSDT","BANDUSDT#1686483180000",1686483180000,"1.0229","1.0229","1.0221","1.0223","17812.8",1686483239999,"18213.04790",115,"5402.7","5523.25766"
"BANDUSDT","BANDUSDT#1686483240000",1686483240000,"1.0224","1.0228","1.0222","1.0222","5094.8",1686483299999,"5209.98777",40,"2290.8","2342.35073"
"BANDUSDT","BANDUSDT#1686483300000",1686483300000,"1.0222","1.0240","1.0215","1.0236","30512.1",1686483359999,"31205.32772",221,"15185.5","15533.29197"
"BANDUSDT","BANDUSDT#1686483360000",1686483360000,"1.0235","1.0243","1.0228","1.0229","8361.2",1686483419999,"8561.41875",88,"2196.2","2248.42624"
"BANDUSDT","BANDUSDT#1686483420000",1686483420000,"1.0229","1.0235","1.0215","1.0220","28076.7",1686483479999,"28703.57242",188,"13410.0","13704.44846"
"BANDUSDT","BANDUSDT#1686483480000",1686483480000,"1.0220","1.0225","1.0203","1.0212","34755.9",1686483539999,"35492.15582",250,"11328.6","11566.44880"
"BANDUSDT","BANDUSDT#1686483540000",1686483540000,"1.0211","1.0214","1.0203","1.0213","15921.6",1686483599999,"16257.57110",95,"7558.7","7718.25638"
"BANDUSDT","BANDUSDT#1686483600000",1686483600000,"1.0214","1.0243","1.0214","1.0220","57133.6",1686483659999,"58447.14842",283,"26768.4","27371.70665"
"BANDUSDT","BANDUSDT#1686483660000",1686483660000,"1.0220","1.0226","1.0213","1.0219","22719.1",1686483719999,"23215.85910",164,"11442.0","11690.65673"
"BANDUSDT","BANDUSDT#1686483720000",1686483720000,"1.0219","1.0223","1.0213","1.0222","20881.4",1686483779999,"21331.20940",104,"16720.3","17079.97934"
"BANDUSDT","BANDUSDT#1686483780000",1686483780000,"1.0224","1.0240","1.0224","1.0239","9693.7",1686483839999,"9919.21849",67,"5487.8","5614.06787"
"BANDUSDT","BANDUSDT#1686483840000",1686483840000,"1.0239","1.0248","1.0236","1.0240","7751.8",1686483899999,"7938.19841",56,"3635.0","3723.21259"
"BANDUSDT","BANDUSDT#1686483900000",1686483900000,"1.0239","1.0247","1.0235","1.0241","19464.5",1686483959999,"19930.50635",114,"12696.7","13000.69349"
"BANDUSDT","BANDUSDT#1686483960000",1686483960000,"1.0240","1.0248","1.0240","1.0240","2578.1",1686484019999,"2641.16101",26,"675.0","691.58570"
"BANDUSDT","BANDUSDT#1686484020000",1686484020000,"1.0241","1.0249","1.0230","1.0230","24190.9",1686484079999,"24761.82807",115,"11381.7","11649.64912"
"BANDUSDT","BANDUSDT#1686484080000",1686484080000,"1.0235","1.0237","1.0220","1.0221","6696.5",1686484139999,"6849.21444",50,"708.6","724.63258"
"BANDUSDT","BANDUSDT#1686484140000",1686484140000,"1.0220","1.0226","1.0213","1.0226","17888.0",1686484199999,"18278.20646",115,"7348.2","7508.43516"
"BANDUSDT","BANDUSDT#1686484200000",1686484200000,"1.0223","1.0246","1.0221","1.0230","18902.0",1686484259999,"19341.65015",111,"10799.1","11049.26880"
"BANDUSDT","BANDUSDT#1686484260000",1686484260000,"1.0232","1.0234","1.0227","1.0227","3916.1",1686484319999,"4007.05817",25,"2198.9","2249.93162"
"BANDUSDT","BANDUSDT#1686484320000",1686484320000,"1.0226","1.0226","1.0208","1.0209","27945.9",1686484379999,"28550.22859",103,"9923.2","10133.66348"
"BANDUSDT","BANDUSDT#1686484380000",1686484380000,"1.0210","1.0222","1.0210","1.0217","8494.9",1686484439999,"8678.47706",57,"5028.7","5136.77462"
"BANDUSDT","BANDUSDT#1686484440000",1686484440000,"1.0217","1.0217","1.0202","1.0213","16193.9",1686484499999,"16532.36881",88,"3835.9","3915.01001"
"BANDUSDT","BANDUSDT#1686484500000",1686484500000,"1.0214","1.0225","1.0214","1.0220","6991.9",1686484559999,"7146.04819",44,"2742.3","2802.11111"
"BANDUSDT","BANDUSDT#1686484560000",1686484560000,"1.0221","1.0222","1.0221","1.0221","850.2",1686484619999,"868.99039",10,"9.7","9.91534"
"BANDUSDT","BANDUSDT#1686484620000",1686484620000,"1.0222","1.0230","1.0218","1.0222","19878.0",1686484679999,"20322.11775",97,"11357.9","11611.41144"
"BANDUSDT","BANDUSDT#1686484680000",1686484680000,"1.0222","1.0231","1.0222","1.0230","6410.1",1686484739999,"6555.90107",34,"2621.8","2681.38228"
"BANDUSDT","BANDUSDT#1686484740000",1686484740000,"1.0227","1.0233","1.0224","1.0232","11191.6",1686484799999,"11447.27620",71,"4384.3","4484.77504"
"BANDUSDT","BANDUSDT#1686484800000",1686484800000,"1.0231","1.0236","1.0222","1.0232","23577.7",1686484859999,"24115.11617",150,"10681.1","10925.05975"
