"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"CTSIUSDT","CTSIUSDT#1686510060000",1686510060000,"0.1244","0.1245","0.1242","0.1243","132521",1686510119999,"16473.7068",58,"47018","5845.5120"
"CTSIUSDT","CTSIUSDT#1686510120000",1686510120000,"0.1242","0.1243","0.1241","0.1241","130997",1686510179999,"16269.1060",120,"83150","10327.3136"
"CTSIUSDT","CTSIUSDT#1686510180000",1686510180000,"0.1241","0.1242","0.1241","0.1241","178015",1686510239999,"22095.0645",122,"81644","10135.4234"
"CTSIUSDT","CTSIUSDT#1686510240000",1686510240000,"0.1241","0.1241","0.1238","0.1238","427990",1686510299999,"53066.4855",91,"5402","669.3478"
"CTSIUSDT","CTSIUSDT#1686510300000",1686510300000,"0.1238","0.1239","0.1238","0.1239","36960",1686510359999,"4578.9089",43,"32609","4040.2551"
"CTSIUSDT","CTSIUSDT#1686510360000",1686510360000,"0.1239","0.1242","0.1238","0.1240","226902",1686510419999,"28143.7213",105,"157622","19546.6126"
"CTSIUSDT","CTSIUSDT#1686510420000",1686510420000,"0.1240","0.1242","0.1240","0.1241","132900",1686510479999,"16499.7534",98,"75986","9433.6932"
"CTSIUSDT","CTSIUSDT#1686510480000",1686510480000,"0.1242","0.1242","0.1241","0.1241","37054",1686510539999,"4601.5777",44,"31763","3944.9646"
"CTSIUSDT","CTSIUSDT#1686510540000",1686510540000,"0.1241","0.1242","0.1241","0.1242","42935",1686510599999,"5328.3894",49,"14827","1840.1866"
"CTSIUSDT","CTSIUSDT#1686510600000",1686510600000,"0.1242","0.1243","0.1241","0.1242","122836",1686510659999,"15260.6287",101,"45186","5614.1725"
"CTSIUSDT","CTSIUSDT#1686510660000",1686510660000,"0.1242","0.1243","0.1240","0.1241","83689",1686510719999,"10391.1740",98,"55009","6830.6301"
"CTSIUSDT","CTSIUSDT#1686510720000",1686510720000,"0.1241","0.1243","0.1241","0.1242","185732",1686510779999,"23064.7412",130,"146352","18175.6027"
"CTSIUSDT","CTSIUSDT#1686510780000",1686510780000,"0.1241","0.1242","0.1240","0.1241","120854",1686510839999,"14997.6502",74,"50624","6283.2056"
"CTSIUSDT","CTSIUSDT#1686510840000",1686510840000,"0.1242","0.1243","0.1241","0.1242","78042",1686510899999,"9693.4565",62,"50591","6284.0970"
"CTSIUSDT","CTSIUSDT#1686510900000",1686510900000,"0.1243","0.1243","0.1240","0.1241","223447",1686510959999,"27744.2324",133,"73691","9151.3607"
"CTSIUSDT","CTSIUSDT#1686510960000",1686510960000,"0.1242","0.1242","0.1241","0.1242","19784",1686511019999,"2455.8205",38,"6261","777.6162"
"CTSIUSDT","CTSIUSDT#1686511020000",1686511020000,"0.1242","0.1243","0.1241","0.1242","217322",1686511079999,"26980.7387",95,"59182","7350.4564"
"CTSIUSDT","CTSIUSDT#1686511080000",1686511080000,"0.1242","0.1242","0.1240","0.1240","14256",1686511139999,"1769.9557",18,"9673","1201.3866"
"CTSIUSDT","CTSIUSDT#1686511140000",1686511140000,"0.1240","0.1241","0.1240","0.1241","16790",1686511199999,"2083.6119",9,"16519","2050.0079"
"CTSIUSDT","CTSIUSDT#1686511200000",1686511200000,"0.1240","0.1247","0.1240","0.1246","923189",1686511259999,"114920.9604",359,"614920","76537.2093"
"CTSIUSDT","CTSIUSDT#1686511260000",1686511260000,"0.1245","0.1246","0.1244","0.1245","248451",1686511319999,"30942.1854",127,"93209","11609.9601"
"CTSIUSDT","CTSIUSDT#1686511320000",1686511320000,"0.1245","0.1247","0.1244","0.1246","178544",1686511379999,"22241.2934",89,"145113","18079.2142"
"CTSIUSDT","CTSIUSDT#1686511380000",1686511380000,"0.1247","0.1251","0.1246","0.1249","558502",1686511439999,"69728.1163",261,"332153","41478.6403"
"CTSIUSDT","CTSIUSDT#1686511440000",1686511440000,"0.1248","0.1248","0.1247","0.1248","108304",1686511499999,"13513.2117",80,"49856","6222.0288"
"CTSIUSDT","CTSIUSDT#1686511500000",1686511500000,"0.1248","0.1250","0.1248","0.1248","406817",1686511559999,"50808.0466",166,"236072","29487.9441"
"CTSIUSDT","CTSIUSDT#1686511560000",1686511560000,"0.1248","0.1248","0.1246","0.1246","122285",1686511619999,"15243.8921",72,"36916","4601.1572"
"CTSIUSDT","CTSIUSDT#1686511620000",1686511620000,"0.1247","0.1249","0.1247","0.1249","253038",1686511679999,"31572.0276",117,"204754","25546.1844"
"CTSIUSDT","CTSIUSDT#1686511680000",1686511680000,"0.1248","0.1248","0.1247","0.1247","163427",1686511739999,"20390.1607",104,"49555","6183.2493"
"CTSIUSDT","CTSIUSDT#1686511740000",1686511740000,"0.1247","0.1247","0.1246","0.1247","111817",1686511799999,"13936.2695",79,"67450","8408.1413"
"CTSIUSDT","CTSIUSDT#1686511800000",1686511800000,"0.1248","0.1249","0.1243","0.1244","523101",1686511859999,"65148.3837",239,"206423","25708.9388"
"CTSIUSDT","CTSIUSDT#1686511860000",1686511860000,"0.1245","0.1245","0.1244","0.1244","98695",1686511919999,"12278.1555",66,"61693","7675.1067"
"CTSIUSDT","CTSIUSDT#1686511920000",1686511920000,"0.1244","0.1245","0.1241","0.1242","186243",1686511979999,"23136.0122",118,"10481","1302.0446"
"CTSIUSDT","CTSIUSDT#1686511980000",1686511980000,"0.1242","0.1243","0.1241","0.1241","300050",1686512039999,"37271.9683",189,"176010","21865.1312"
"CTSIUSDT","CTSIUSDT#1686512040000",1686512040000,"0.1241","0.1242","0.1240","0.1241","73961",1686512099999,"9178.3343",62,"27691","3437.6359"
"CTSIUSDT","CTSIUSDT#1686512100000",1686512100000,"0.1242","0.1243","0.1241","0.1243","207835",1686512159999,"25809.5967",99,"182667","22686.0013"
"CTSIUSDT","CTSIUSDT#1686512160000",1686512160000,"0.1244","0.1245","0.1243","0.1243","191874",1686512219999,"23870.2906",88,"65866","8194.9908"
"CTSIUSDT","CTSIUSDT#1686512220000",1686512220000,"0.1243","0.1244","0.1241","0.1242","105477",1686512279999,"13100.5475",73,"12797","1590.8689"
"CTSIUSDT","CTSIUSDT#1686512280000",1686512280000,"0.1242","0.1245","0.1242","0.1244","299777",1686512339999,"37300.1409",193,"195383","24305.6473"
"CTSIUSDT","CTSIUSDT#1686512340000",1686512340000,"0.1244","0.1250","0.1244","0.1250","512016",1686512399999,"63904.9473",272,"301586","37629.7536"
"CTSIUSDT","CTSIUSDT#1686512400000",1686512400000,"0.1250","0.1250","0.1248","0.1249","323408",1686512459999,"40384.4962",184,"153581","19177.4182"
"CTSIUSDT","CTSIUSDT#1686512460000",1686512460000,"0.1249","0.1250","0.1247","0.1248","217485",1686512519999,"27160.4891",120,"107744","13456.1665"
"CTSIUSDT","CTSIUSDT#1686512520000",1686512520000,"0.1248","0.1249","0.1247","0.1248","194905",1686512579999,"24329.6970",108,"121445","15160.0527"
"CTSIUSDT","CTSIUSDT#1686512580000",1686512580000,"0.1249","0.1251","0.1247","0.1249","349050",1686512639999,"43590.7608",153,"139352","17403.9532"
"CTSIUSDT","CTSIUSDT#1686512640000",1686512640000,"0.1249","0.1251","0.1249","0.1249","143015",1686512699999,"17876.6701",85,"108593","13573.9833"
"CTSIUSDT","CTSIUSDT#1686512700000",1686512700000,"0.1249","0.1253","0.1249","0.1252","132516",1686512759999,"16579.1542",102,"129453","16196.1857"
"CTSIUSDT","CTSIUSDT#1686512760000",1686512760000,"0.1252","0.1253","0.1251","0.1252","244984",1686512819999,"30670.0670",168,"97018","12148.2059"
"CTSIUSDT","CTSIUSDT#1686512820000",1686512820000,"0.1251","0.1253","0.1251","0.1252","223329",1686512879999,"27959.0654",132,"77854","9747.7781"
"CTSIUSDT","CTSIUSDT#1686512880000",1686512880000,"0.1251","0.1253","0.1250","0.1250","115613",1686512939999,"14466.7176",61,"20644","2584.7687"
"CTSIUSDT","CTSIUSDT#1686512940000",1686512940000,"0.1251","0.1253","0.1251","0.1253","187360",1686512999999,"23457.4878",100,"154345","19320.8771"
"CTSIUSDT","CTSIUSDT#1686513000000",1686513000000,"0.1252","0.1256","0.1252","0.1255","444921",1686513059999,"55812.1558",216,"337170","42299.2736"
"CTSIUSDT","CTSIUSDT#1686513060000",1686513060000,"0.1254","0.1255","0.1253","0.1253","65627",1686513119999,"8228.0133",42,"8699","1090.9066"
"CTSIUSDT","CTSIUSDT#1686513120000",1686513120000,"0.1253","0.1254","0.1253","0.1254","57584",1686513179999,"7219.8821",40,"45692","5729.7768"
"CTSIUSDT","CTSIUSDT#1686513180000",1686513180000,"0.1255","0.1256","0.1254","0.1254","144977",1686513239999,"18187.3963",87,"60549","7596.1247"
"CTSIUSDT","CTSIUSDT#1686513240000",1686513240000,"0.1254","0.1256","0.1254","0.1255","110796",1686513299999,"13904.4405",67,"75038","9418.2403"
"CTSIUSDT","CTSIUSDT#1686513300000",1686513300000,"0.1254","0.1254","0.1251","0.1252","360540",1686513359999,"45143.9087",139,"87699","10980.3830"
"CTSIUSDT","CTSIUSDT#1686513360000",1686513360000,"0.1251","0.1252","0.1250","0.1251","113634",1686513419999,"14215.1971",65,"62014","7757.9898"
"CTSIUSDT","CTSIUSDT#1686513420000",1686513420000,"0.1252","0.1252","0.1249","0.1249","112755",1686513479999,"14096.0690",65,"11048","1381.4207"
"CTSIUSDT","CTSIUSDT#1686513480000",1686513480000,"0.1249","0.1249","0.1248","0.1249","47667",1686513539999,"5952.6968",38,"8684","1084.6316"
"CTSIUSDT","CTSIUSDT#1686513540000",1686513540000,"0.1248","0.1248","0.1247","0.1247","98648",1686513599999,"12311.0137",51,"341","42.5568"
"CTSIUSDT","CTSIUSDT#1686513600000",1686513600000,"0.1248","0.1251","0.1247","0.1250","503362",1686513659999,"62885.2459",242,"405430","50644.2025"
