"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DOGEUSDT","DOGEUSDT#1686495660000",1686495660000,"0.061570","0.061630","0.061560","0.061600","2452545",1686495719999,"151102.891970",326,"1371602","84501.733520"
"DOGEUSDT","DOGEUSDT#1686495720000",1686495720000,"0.061590","0.061600","0.061510","0.061540","1090117",1686495779999,"67095.558200",247,"263221","16196.402880"
"DOGEUSDT","DOGEUSDT#1686495780000",1686495780000,"0.061550","0.061570","0.061530","0.061540","1417916",1686495839999,"87274.755370",252,"511995","31513.287530"
"DOGEUSDT","DOGEUSDT#1686495840000",1686495840000,"0.061550","0.061550","0.061480","0.061490","1374186",1686495899999,"84511.404310",204,"236728","14558.729990"
"DOGEUSDT","DOGEUSDT#1686495900000",1686495900000,"0.061500","0.061590","0.061500","0.061570","2566763",1686495959999,"157971.641760",283,"1924183","118409.879920"
"DOGEUSDT","DOGEUSDT#1686495960000",1686495960000,"0.061560","0.061600","0.061560","0.061580","1128944",1686496019999,"69521.489160",148,"665935","41006.939240"
"DOGEUSDT","DOGEUSDT#1686496020000",1686496020000,"0.061590","0.061650","0.061580","0.061640","1681919",1686496079999,"103652.992740",204,"1211431","74655.381710"
"DOGEUSDT","DOGEUSDT#1686496080000",1686496080000,"0.061650","0.061650","0.061600","0.061620","1590721",1686496139999,"98009.742940",169,"400993","24706.408220"
"DOGEUSDT","DOGEUSDT#1686496140000",1686496140000,"0.061630","0.061650","0.061610","0.061620","754366",1686496199999,"46489.120770",132,"265780","16379.793210"
"DOGEUSDT","DOGEUSDT#1686496200000",1686496200000,"0.061620","0.061640","0.061590","0.061590","827282",1686496259999,"50975.056710",112,"111005","6841.240820"
"DOGEUSDT","DOGEUSDT#1686496260000",1686496260000,"0.061600","0.061600","0.061560","0.061590","1217555",1686496319999,"74978.588880",169,"577312","35551.618870"
"DOGEUSDT","DOGEUSDT#1686496320000",1686496320000,"0.061590","0.061590","0.061530","0.061540","782000",1686496379999,"48143.009500",126,"238070","14654.100770"
"DOGEUSDT","DOGEUSDT#1686496380000",1686496380000,"0.061540","0.061570","0.061520","0.061560","1283693",1686496439999,"78998.080680",150,"589935","36308.071750"
"DOGEUSDT","DOGEUSDT#1686496440000",1686496440000,"0.061560","0.061590","0.061550","0.061580","1372074",1686496499999,"84484.874270",126,"936999","57692.976430"
"DOGEUSDT","DOGEUSDT#1686496500000",1686496500000,"0.061590","0.061630","0.061580","0.061630","537466",1686496559999,"33112.278690",85,"347242","21392.974570"
"DOGEUSDT","DOGEUSDT#1686496560000",1686496560000,"0.061630","0.061630","0.061550","0.061560","1579091",1686496619999,"97268.443750",216,"563665","34711.059850"
"DOGEUSDT","DOGEUSDT#1686496620000",1686496620000,"0.061560","0.061570","0.061540","0.061550","221175",1686496679999,"13614.635040",59,"18218","1121.336720"
"DOGEUSDT","DOGEUSDT#1686496680000",1686496680000,"0.061540","0.061570","0.061530","0.061560","649588",1686496739999,"39981.541060",92,"390575","24039.243960"
"DOGEUSDT","DOGEUSDT#1686496740000",1686496740000,"0.061570","0.061580","0.061530","0.061550","989721",1686496799999,"60923.534630",135,"531515","32716.369750"
"DOGEUSDT","DOGEUSDT#1686496800000",1686496800000,"0.061540","0.061580","0.061540","0.061550","1473697",1686496859999,"90739.154260",113,"668735","41175.782880"
