"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ENJUSDT","ENJUSDT#1686513660000",1686513660000,"0.25300","0.25330","0.25300","0.25320","17830",1686513719999,"4513.85130",59,"9298","2354.04070"
"ENJUSDT","ENJUSDT#1686513720000",1686513720000,"0.25320","0.25340","0.25300","0.25340","26677",1686513779999,"6755.94920",84,"16594","4202.45820"
"ENJUSDT","ENJUSDT#1686513780000",1686513780000,"0.25340","0.25340","0.25320","0.25320","5602",1686513839999,"1418.90420",49,"1255","318.00990"
"ENJUSDT","ENJUSDT#1686513840000",1686513840000,"0.25320","0.25340","0.25320","0.25340","15366",1686513899999,"3892.76980",44,"10973","2779.80520"
"ENJUSDT","ENJUSDT#1686513900000",1686513900000,"0.25340","0.25370","0.25340","0.25370","30819",1686513959999,"7814.88740",37,"24988","6336.72890"
"ENJUSDT","ENJUSDT#1686513960000",1686513960000,"0.25370","0.25370","0.25350","0.25370","48833",1686514019999,"12385.20380",66,"19798","5022.17890"
"ENJUSDT","ENJUSDT#1686514020000",1686514020000,"0.25380","0.25390","0.25370","0.25390","35956",1686514079999,"9126.23530",61,"27879","7076.80370"
"ENJUSDT","ENJUSDT#1686514080000",1686514080000,"0.25380","0.25410","0.25380","0.25400","36900",1686514139999,"9369.03150",48,"22200","5637.18540"
"ENJUSDT","ENJUSDT#1686514140000",1686514140000,"0.25410","0.25430","0.25410","0.25430","20407",1686514199999,"5186.49120",37,"16004","4067.08940"
"ENJUSDT","ENJUSDT#1686514200000",1686514200000,"0.25430","0.25490","0.25410","0.25480","115582",1686514259999,"29421.33820",133,"68319","17393.45980"
"ENJUSDT","ENJUSDT#1686514260000",1686514260000,"0.25470","0.25500","0.25460","0.25480","77432",1686514319999,"19734.34870",108,"39638","10104.35580"
"ENJUSDT","ENJUSDT#1686514320000",1686514320000,"0.25480","0.25510","0.25460","0.25480","61998",1686514379999,"15795.77370",67,"26144","6662.30500"
"ENJUSDT","ENJUSDT#1686514380000",1686514380000,"0.25480","0.25510","0.25480","0.25510","49782",1686514439999,"12694.41380",55,"39931","10182.53420"
"ENJUSDT","ENJUSDT#1686514440000",1686514440000,"0.25510","0.25520","0.25500","0.25500","27752",1686514499999,"7078.38510",60,"22831","5823.43620"
"ENJUSDT","ENJUSDT#1686514500000",1686514500000,"0.25510","0.25510","0.25440","0.25440","59632",1686514559999,"15193.89260",75,"15180","3868.72930"
"ENJUSDT","ENJUSDT#1686514560000",1686514560000,"0.25440","0.25450","0.25370","0.25380","97574",1686514619999,"24785.76930",109,"22042","5600.22290"
"ENJUSDT","ENJUSDT#1686514620000",1686514620000,"0.25380","0.25400","0.25380","0.25380","34475",1686514679999,"8750.42970",53,"20777","5273.85210"
"ENJUSDT","ENJUSDT#1686514680000",1686514680000,"0.25380","0.25420","0.25380","0.25420","30087",1686514739999,"7641.24080",51,"28437","7222.46160"
"ENJUSDT","ENJUSDT#1686514740000",1686514740000,"0.25410","0.25410","0.25390","0.25390","27935",1686514799999,"7094.74730",41,"8262","2097.92170"
"ENJUSDT","ENJUSDT#1686514800000",1686514800000,"0.25390","0.25410","0.25390","0.25410","6905",1686514859999,"1753.48960",25,"6016","1527.77250"
