"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"FLMUSDT","FLMUSDT#1686477660000",1686477660000,"0.0568","0.0569","0.0568","0.0569","10324",1686477719999,"586.7851",16,"3819","217.3011"
"FLMUSDT","FLMUSDT#1686477720000",1686477720000,"0.0568","0.0569","0.0568","0.0568","9553",1686477779999,"543.3144",10,"7040","400.5760"
"FLMUSDT","FLMUSDT#1686477780000",1686477780000,"0.0569","0.0569","0.0568","0.0569","11751",1686477839999,"668.2762",4,"8194","466.2386"
"FLMUSDT","FLMUSDT#1686477840000",1686477840000,"0.0569","0.0569","0.0568","0.0568","86953",1686477899999,"4938.9937",19,"633","36.0177"
"FLMUSDT","FLMUSDT#1686477900000",1686477900000,"0.0569","0.0569","0.0568","0.0569","23807",1686477959999,"1353.7144",13,"14768","840.2992"
"FLMUSDT","FLMUSDT#1686477960000",1686477960000,"0.0569","0.0569","0.0568","0.0569","532",1686478019999,"30.2701",3,"525","29.8725"
"FLMUSDT","FLMUSDT#1686478020000",1686478020000,"0.0569","0.0569","0.0569","0.0569","238",1686478079999,"13.5422",1,"238","13.5422"
"FLMUSDT","FLMUSDT#1686478080000",1686478080000,"0.0568","0.0568","0.0568","0.0568","20475",1686478139999,"1162.9800",8,"0","0.0000"
"FLMUSDT","FLMUSDT#1686478140000",1686478140000,"0.0568","0.0569","0.0568","0.0568","9742",1686478199999,"553.3565",16,"109","6.2021"
"FLMUSDT","FLMUSDT#1686478200000",1686478200000,"0.0568","0.0569","0.0567","0.0567","63155",1686478259999,"3587.2597",42,"10185","579.5265"
"FLMUSDT","FLMUSDT#1686478260000",1686478260000,"0.0568","0.0568","0.0567","0.0568","20435",1686478319999,"1160.3685",5,"17040","967.8720"
"FLMUSDT","FLMUSDT#1686478320000",1686478320000,"0.0567","0.0567","0.0567","0.0567","3007",1686478379999,"170.4969",5,"0","0.0000"
"FLMUSDT","FLMUSDT#1686478380000",1686478380000,"0.0567","0.0568","0.0567","0.0568","13975",1686478439999,"792.9013",8,"5188","294.6784"
"FLMUSDT","FLMUSDT#1686478440000",1686478440000,"0.0568","0.0568","0.0568","0.0568","237",1686478499999,"13.4616",1,"237","13.4616"
"FLMUSDT","FLMUSDT#1686478500000",1686478500000,"0.0568","0.0568","0.0567","0.0567","39665",1686478559999,"2249.0941",26,"886","50.3248"
"FLMUSDT","FLMUSDT#1686478560000",1686478560000,"0.0568","0.0568","0.0568","0.0568","62100",1686478619999,"3527.2800",28,"62100","3527.2800"
"FLMUSDT","FLMUSDT#1686478620000",1686478620000,"0.0568","0.0568","0.0568","0.0568","68387",1686478679999,"3884.3816",23,"68387","3884.3816"
"FLMUSDT","FLMUSDT#1686478680000",1686478680000,"0.0568","0.0568","0.0568","0.0568","24180",1686478739999,"1373.4240",13,"24180","1373.4240"
