"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"FLOWUSDT","FLOWUSDT#1686445260000",1686445260000,"0.503","0.503","0.502","0.502","36684.6",1686445319999,"18452.2957",78,"13046.2","6562.2386"
"FLOWUSDT","FLOWUSDT#1686445320000",1686445320000,"0.502","0.504","0.502","0.503","25557.5",1686445379999,"12854.4423",58,"23404.0","11772.4471"
"FLOWUSDT","FLOWUSDT#1686445380000",1686445380000,"0.503","0.504","0.503","0.504","979.6",1686445439999,"493.6964",3,"957.6","482.6304"
"FLOWUSDT","FLOWUSDT#1686445440000",1686445440000,"0.504","0.504","0.503","0.503","3422.6",1686445499999,"1724.2047",7,"2636.9","1328.9976"
"FLOWUSDT","FLOWUSDT#1686445500000",1686445500000,"0.504","0.504","0.503","0.503","6800.6",1686445559999,"3421.0522",16,"350.4","176.6016"
"FLOWUSDT","FLOWUSDT#1686445560000",1686445560000,"0.503","0.503","0.502","0.502","56424.2",1686445619999,"28380.3594",73,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686445620000",1686445620000,"0.503","0.504","0.502","0.503","31994.7",1686445679999,"16095.1011",76,"30031.4","15107.5942"
"FLOWUSDT","FLOWUSDT#1686445680000",1686445680000,"0.504","0.504","0.503","0.503","766.9",1686445739999,"385.7661",2,"15.4","7.7616"
"FLOWUSDT","FLOWUSDT#1686445740000",1686445740000,"0.503","0.504","0.503","0.504","314.3",1686445799999,"158.4070",7,"314.1","158.3064"
"FLOWUSDT","FLOWUSDT#1686445800000",1686445800000,"0.503","0.504","0.503","0.504","54418.8",1686445859999,"27388.9336",114,"30385.3","15300.0831"
"FLOWUSDT","FLOWUSDT#1686445860000",1686445860000,"0.503","0.505","0.503","0.504","43442.2",1686445919999,"21894.5966",97,"21560.7","10867.2461"
"FLOWUSDT","FLOWUSDT#1686445920000",1686445920000,"0.504","0.504","0.504","0.504","22622.2",1686445979999,"11401.5888",48,"14324.8","7219.6992"
"FLOWUSDT","FLOWUSDT#1686445980000",1686445980000,"0.504","0.504","0.503","0.503","16596.8",1686446039999,"8363.6377",26,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686446040000",1686446040000,"0.504","0.504","0.504","0.504","30081.8",1686446099999,"15161.2272",51,"18872.5","9511.7400"
"FLOWUSDT","FLOWUSDT#1686446100000",1686446100000,"0.504","0.504","0.503","0.503","16849.7",1686446159999,"8491.1653",47,"15766.2","7946.1648"
"FLOWUSDT","FLOWUSDT#1686446160000",1686446160000,"0.504","0.504","0.502","0.503","59117.2",1686446219999,"29735.4703",88,"5107.3","2569.5633"
"FLOWUSDT","FLOWUSDT#1686446220000",1686446220000,"0.503","0.503","0.502","0.502","6967.8",1686446279999,"3501.8874",14,"4051.8","2038.0554"
"FLOWUSDT","FLOWUSDT#1686446280000",1686446280000,"0.502","0.503","0.502","0.503","37596.5",1686446339999,"18910.8433",43,"37060.6","18641.4818"
"FLOWUSDT","FLOWUSDT#1686446340000",1686446340000,"0.504","0.504","0.503","0.503","104579.4",1686446399999,"52707.0122",139,"48469.3","24428.5272"
"FLOWUSDT","FLOWUSDT#1686446400000",1686446400000,"0.504","0.504","0.503","0.503","3389.6",1686446459999,"1706.7152",13,"1746.4","880.1856"
"FLOWUSDT","FLOWUSDT#1686446460000",1686446460000,"0.503","0.504","0.503","0.503","2337.4",1686446519999,"1176.4847",8,"772.5","389.3400"
"FLOWUSDT","FLOWUSDT#1686446520000",1686446520000,"0.504","0.504","0.503","0.503","7822.7",1686446579999,"3937.1078",15,"2289.7","1154.0088"
"FLOWUSDT","FLOWUSDT#1686446580000",1686446580000,"0.504","0.505","0.503","0.504","27336.9",1686446639999,"13778.3765",47,"26618.6","13416.3854"
"FLOWUSDT","FLOWUSDT#1686446640000",1686446640000,"0.504","0.505","0.503","0.503","40299.6",1686446699999,"20310.1448",74,"57.4","28.9870"
"FLOWUSDT","FLOWUSDT#1686446700000",1686446700000,"0.504","0.504","0.503","0.503","2571.6",1686446759999,"1294.6020",7,"1087.2","547.9488"
"FLOWUSDT","FLOWUSDT#1686446760000",1686446760000,"0.504","0.504","0.503","0.504","21681.7",1686446819999,"10926.4844",34,"20522.7","10343.4408"
"FLOWUSDT","FLOWUSDT#1686446820000",1686446820000,"0.504","0.505","0.504","0.505","1905.7",1686446879999,"960.7436",10,"270.8","136.7540"
"FLOWUSDT","FLOWUSDT#1686446880000",1686446880000,"0.504","0.505","0.504","0.504","5228.9",1686446939999,"2638.7089",10,"3343.3","1688.3665"
"FLOWUSDT","FLOWUSDT#1686446940000",1686446940000,"0.504","0.504","0.504","0.504","1061.5",1686446999999,"534.9960",3,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686447000000",1686447000000,"0.504","0.504","0.504","0.504","1061.6",1686447059999,"535.0464",4,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686447060000",1686447060000,"0.504","0.504","0.504","0.504","1701.9",1686447119999,"857.7576",7,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686447120000",1686447120000,"0.504","0.504","0.504","0.504","8154.0",1686447179999,"4109.6160",35,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686447180000",1686447180000,"0.504","0.505","0.504","0.504","42975.7",1686447239999,"21701.1207",78,"24433.1","12338.7155"
"FLOWUSDT","FLOWUSDT#1686447240000",1686447240000,"0.505","0.505","0.505","0.505","10698.8",1686447299999,"5402.8940",26,"8946.9","4518.1845"
"FLOWUSDT","FLOWUSDT#1686447300000",1686447300000,"0.506","0.507","0.505","0.506","27644.1",1686447359999,"13987.1825",50,"19868.0","10053.8305"
"FLOWUSDT","FLOWUSDT#1686447360000",1686447360000,"0.507","0.508","0.506","0.506","111880.9",1686447419999,"56723.5448",166,"47349.1","24006.2619"
"FLOWUSDT","FLOWUSDT#1686447420000",1686447420000,"0.507","0.507","0.506","0.507","3475.5",1686447479999,"1760.9855",10,"2382.5","1207.9275"
"FLOWUSDT","FLOWUSDT#1686447480000",1686447480000,"0.506","0.507","0.506","0.506","24203.2",1686447539999,"12247.1409",44,"321.7","163.1019"
"FLOWUSDT","FLOWUSDT#1686447540000",1686447540000,"0.505","0.506","0.505","0.505","1938.5",1686447599999,"978.9561",9,"13.6","6.8816"
"FLOWUSDT","FLOWUSDT#1686447600000",1686447600000,"0.505","0.505","0.505","0.505","51062.0",1686447659999,"25786.3100",75,"28303.1","14293.0655"
"FLOWUSDT","FLOWUSDT#1686447660000",1686447660000,"0.506","0.506","0.504","0.504","23280.3",1686447719999,"11756.5250",25,"1776.2","898.0161"
"FLOWUSDT","FLOWUSDT#1686447720000",1686447720000,"0.504","0.505","0.504","0.504","2620.9",1686447779999,"1320.9337",9,"0.1","0.0505"
"FLOWUSDT","FLOWUSDT#1686447780000",1686447780000,"0.504","0.504","0.504","0.504","2867.2",1686447839999,"1445.0688",10,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686447840000",1686447840000,"0.504","0.504","0.504","0.504","2966.7",1686447899999,"1495.2168",7,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686447900000",1686447900000,"0.504","0.506","0.503","0.503","216961.5",1686447959999,"109548.1647",250,"113325.1","57244.0850"
"FLOWUSDT","FLOWUSDT#1686447960000",1686447960000,"0.503","0.504","0.503","0.503","6230.9",1686448019999,"3135.3872",22,"1244.5","627.2280"
"FLOWUSDT","FLOWUSDT#1686448020000",1686448020000,"0.504","0.504","0.503","0.503","3490.7",1686448079999,"1755.9297",17,"107.6","54.2304"
"FLOWUSDT","FLOWUSDT#1686448080000",1686448080000,"0.504","0.504","0.503","0.503","18169.4",1686448139999,"9154.1278",29,"14919.6","7519.4784"
"FLOWUSDT","FLOWUSDT#1686448140000",1686448140000,"0.504","0.505","0.503","0.504","44267.0",1686448199999,"22310.5694",62,"38955.5","19633.8194"
"FLOWUSDT","FLOWUSDT#1686448200000",1686448200000,"0.505","0.505","0.503","0.504","56635.5",1686448259999,"28542.9699",84,"32693.8","16477.7296"
"FLOWUSDT","FLOWUSDT#1686448260000",1686448260000,"0.504","0.504","0.504","0.504","1083.5",1686448319999,"546.0840",4,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686448320000",1686448320000,"0.504","0.505","0.504","0.504","24100.1",1686448379999,"12146.4667",33,"359.8","181.3555"
"FLOWUSDT","FLOWUSDT#1686448380000",1686448380000,"0.504","0.505","0.503","0.504","52868.3",1686448439999,"26643.2183",61,"30648.0","15447.1920"
"FLOWUSDT","FLOWUSDT#1686448440000",1686448440000,"0.504","0.504","0.504","0.504","42877.2",1686448499999,"21610.1088",43,"21528.2","10850.2128"
"FLOWUSDT","FLOWUSDT#1686448500000",1686448500000,"0.504","0.505","0.504","0.505","20349.5",1686448559999,"10256.1547",36,"18316.0","9231.2707"
"FLOWUSDT","FLOWUSDT#1686448560000",1686448560000,"0.505","0.505","0.504","0.504","52442.5",1686448619999,"26431.0221",64,"26456.5","13334.0781"
"FLOWUSDT","FLOWUSDT#1686448620000",1686448620000,"0.505","0.505","0.504","0.504","25967.1",1686448679999,"13087.5870",39,"9881.1","4980.2430"
"FLOWUSDT","FLOWUSDT#1686448680000",1686448680000,"0.504","0.504","0.504","0.504","1064.9",1686448739999,"536.7096",4,"0.0","0.0000"
"FLOWUSDT","FLOWUSDT#1686448740000",1686448740000,"0.504","0.505","0.504","0.504","44153.3",1686448799999,"22253.4186",60,"19604.2","9880.6722"
"FLOWUSDT","FLOWUSDT#1686448800000",1686448800000,"0.505","0.505","0.504","0.504","4396.2",1686448859999,"2217.8061",17,"2121.3","1071.2565"
