"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LDOBUSD","LDOBUSD#1686495660000",1686495660000,"1.760000","1.763700","1.759700","1.762700","5644.3",1686495719999,"9943.8487700",41,"3991.7","7032.6881100"
"LDOBUSD","LDOBUSD#1686495720000",1686495720000,"1.762800","1.763000","1.759600","1.760200","3543.6",1686495779999,"6242.8126700",25,"1116.8","1966.4780300"
"LDOBUSD","LDOBUSD#1686495780000",1686495780000,"1.761100","1.761100","1.758500","1.758900","3673.3",1686495839999,"6462.5856700",25,"1248.0","2195.2469200"
"LDOBUSD","LDOBUSD#1686495840000",1686495840000,"1.758900","1.758900","1.755000","1.757200","6279.3",1686495899999,"11027.1179900",43,"3266.5","5734.1551100"
"LDOBUSD","LDOBUSD#1686495900000",1686495900000,"1.756800","1.761400","1.756800","1.758400","7573.0",1686495959999,"13323.2472200",72,"4511.9","7936.7033600"
"LDOBUSD","LDOBUSD#1686495960000",1686495960000,"1.758600","1.761900","1.758600","1.759800","5736.7",1686496019999,"10099.0912900",75,"2904.4","5111.7568900"
"LDOBUSD","LDOBUSD#1686496020000",1686496020000,"1.759900","1.765000","1.759900","1.764800","7847.6",1686496079999,"13837.3243100",115,"6107.7","10767.8074400"
"LDOBUSD","LDOBUSD#1686496080000",1686496080000,"1.764800","1.765200","1.763900","1.765200","1127.3",1686496139999,"1989.3110500",20,"172.2","303.8191300"
"LDOBUSD","LDOBUSD#1686496140000",1686496140000,"1.764700","1.766700","1.763100","1.766200","4154.2",1686496199999,"7333.6536700",70,"2428.7","4286.8775600"
"LDOBUSD","LDOBUSD#1686496200000",1686496200000,"1.765900","1.768300","1.764500","1.764700","13261.4",1686496259999,"23422.6961400",114,"7582.2","13393.9405100"
"LDOBUSD","LDOBUSD#1686496260000",1686496260000,"1.764700","1.764800","1.762700","1.763000","4276.2",1686496319999,"7541.2128400",23,"2281.6","4023.1556200"
"LDOBUSD","LDOBUSD#1686496320000",1686496320000,"1.762800","1.764400","1.761100","1.764400","3924.9",1686496379999,"6917.4990800",34,"2459.4","4334.9643400"
"LDOBUSD","LDOBUSD#1686496380000",1686496380000,"1.763400","1.763500","1.763100","1.763500","1049.8",1686496439999,"1851.1956600",8,"941.4","1660.0431000"
"LDOBUSD","LDOBUSD#1686496440000",1686496440000,"1.764200","1.765900","1.764200","1.765900","3697.0",1686496499999,"6526.6548900",27,"3498.6","6176.5185700"
"LDOBUSD","LDOBUSD#1686496500000",1686496500000,"1.766000","1.766000","1.762700","1.762700","2708.6",1686496559999,"4780.2952400",24,"1002.9","1770.0619400"
"LDOBUSD","LDOBUSD#1686496560000",1686496560000,"1.763200","1.765100","1.761900","1.762800","1924.4",1686496619999,"3394.6916000",22,"595.6","1050.6546200"
"LDOBUSD","LDOBUSD#1686496620000",1686496620000,"1.762800","1.763500","1.762400","1.762900","420.1",1686496679999,"740.5765800",11,"355.6","626.8651300"
"LDOBUSD","LDOBUSD#1686496680000",1686496680000,"1.762800","1.765400","1.762700","1.765400","5848.8",1686496739999,"10315.8769300",37,"4869.0","8587.1035900"
"LDOBUSD","LDOBUSD#1686496740000",1686496740000,"1.765400","1.765400","1.763200","1.764000","832.8",1686496799999,"1469.0904700",9,"644.9","1137.4578900"
"LDOBUSD","LDOBUSD#1686496800000",1686496800000,"1.764600","1.765400","1.764300","1.764800","1343.3",1686496859999,"2370.7204800",13,"1071.4","1890.7479300"
"LDOBUSD","LDOBUSD#1686496860000",1686496860000,"1.765600","1.766400","1.765600","1.766100","2107.9",1686496919999,"3722.7284400",21,"1294.1","2285.3184600"
"LDOBUSD","LDOBUSD#1686496920000",1686496920000,"1.766100","1.766800","1.762000","1.762300","4248.4",1686496979999,"7496.0400100",45,"829.0","1463.3552400"
"LDOBUSD","LDOBUSD#1686496980000",1686496980000,"1.762100","1.762200","1.757900","1.758700","3832.1",1686497039999,"6743.2374300",40,"783.1","1377.6279700"
"LDOBUSD","LDOBUSD#1686497040000",1686497040000,"1.758300","1.759600","1.758000","1.759600","2135.5",1686497099999,"3756.0105000",19,"1332.7","2343.6207400"
"LDOBUSD","LDOBUSD#1686497100000",1686497100000,"1.759300","1.761000","1.759200","1.761000","1560.2",1686497159999,"2745.8401400",41,"443.3","780.1492500"
"LDOBUSD","LDOBUSD#1686497160000",1686497160000,"1.761000","1.762900","1.760800","1.762000","1984.6",1686497219999,"3496.8768800",47,"1145.3","2017.7298900"
"LDOBUSD","LDOBUSD#1686497220000",1686497220000,"1.762000","1.766000","1.761100","1.765300","6574.1",1686497279999,"11594.5656800",67,"3377.8","5959.1255700"
"LDOBUSD","LDOBUSD#1686497280000",1686497280000,"1.765000","1.768900","1.764500","1.767600","4717.1",1686497339999,"8338.6406100",82,"2874.8","5081.8094600"
"LDOBUSD","LDOBUSD#1686497340000",1686497340000,"1.767400","1.767400","1.763000","1.763500","3475.8",1686497399999,"6132.7370300",36,"2050.5","3616.8066400"
"LDOBUSD","LDOBUSD#1686497400000",1686497400000,"1.763500","1.763500","1.761500","1.762000","4128.4",1686497459999,"7275.8705400",42,"2141.7","3774.7048300"
"LDOBUSD","LDOBUSD#1686497460000",1686497460000,"1.761500","1.761500","1.759000","1.760300","3413.0",1686497519999,"6007.0343100",28,"1240.1","2182.1155300"
"LDOBUSD","LDOBUSD#1686497520000",1686497520000,"1.759700","1.764700","1.759700","1.764300","4599.4",1686497579999,"8108.7204500",33,"3392.7","5981.9454000"
"LDOBUSD","LDOBUSD#1686497580000",1686497580000,"1.764300","1.769300","1.764300","1.766000","11177.6",1686497639999,"19754.2997800",118,"6156.6","10879.7482300"
"LDOBUSD","LDOBUSD#1686497640000",1686497640000,"1.765600","1.768100","1.765600","1.768100","3871.5",1686497699999,"6841.3298200",29,"3287.6","5809.3465100"
"LDOBUSD","LDOBUSD#1686497700000",1686497700000,"1.768700","1.768700","1.766200","1.767500","3140.1",1686497759999,"5548.9699100",27,"1802.5","3184.7274700"
"LDOBUSD","LDOBUSD#1686497760000",1686497760000,"1.768200","1.768200","1.762400","1.764900","8240.9",1686497819999,"14548.4800800",77,"3397.9","5993.3595200"
"LDOBUSD","LDOBUSD#1686497820000",1686497820000,"1.764900","1.766200","1.763300","1.765500","5431.5",1686497879999,"9587.6468300",47,"4065.9","7176.3602400"
"LDOBUSD","LDOBUSD#1686497880000",1686497880000,"1.765700","1.767000","1.764700","1.766900","1667.1",1686497939999,"2944.0339000",18,"813.0","1435.7064600"
"LDOBUSD","LDOBUSD#1686497940000",1686497940000,"1.767200","1.768600","1.766700","1.767700","1806.5",1686497999999,"3194.0784200",22,"936.3","1655.2743700"
"LDOBUSD","LDOBUSD#1686498000000",1686498000000,"1.768100","1.769900","1.768000","1.768600","2211.4",1686498059999,"3911.3563700",33,"834.4","1475.7805200"
"LDOBUSD","LDOBUSD#1686498060000",1686498060000,"1.767600","1.767600","1.765000","1.765000","2986.3",1686498119999,"5273.0317400",22,"636.2","1123.3355800"
"LDOBUSD","LDOBUSD#1686498120000",1686498120000,"1.764400","1.764400","1.758700","1.759300","14910.3",1686498179999,"26244.7707500",96,"2735.6","4814.3428700"
"LDOBUSD","LDOBUSD#1686498180000",1686498180000,"1.759300","1.760100","1.758600","1.758600","2462.2",1686498239999,"4332.1567800",14,"1984.5","3491.7387000"
"LDOBUSD","LDOBUSD#1686498240000",1686498240000,"1.758900","1.760000","1.758100","1.760000","3142.9",1686498299999,"5528.9701400",20,"1190.0","2093.0927000"
"LDOBUSD","LDOBUSD#1686498300000",1686498300000,"1.758500","1.763500","1.758100","1.763500","2866.2",1686498359999,"5049.8628400",40,"1631.6","2874.1853700"
"LDOBUSD","LDOBUSD#1686498360000",1686498360000,"1.763800","1.767900","1.763800","1.767200","5160.4",1686498419999,"9114.0578300",100,"2422.3","4276.4768100"
"LDOBUSD","LDOBUSD#1686498420000",1686498420000,"1.767300","1.768900","1.767200","1.768600","1742.7",1686498479999,"3081.2975300",14,"1129.6","1997.0090500"
"LDOBUSD","LDOBUSD#1686498480000",1686498480000,"1.768500","1.769700","1.768500","1.768600","1481.7",1686498539999,"2621.1450400",9,"188.5","333.4800300"
"LDOBUSD","LDOBUSD#1686498540000",1686498540000,"1.769400","1.770300","1.768700","1.768900","2588.3",1686498599999,"4579.5025900",34,"834.4","1476.2893800"
"LDOBUSD","LDOBUSD#1686498600000",1686498600000,"1.769600","1.772500","1.768300","1.768300","7742.0",1686498659999,"13715.0528100",57,"4224.0","7483.0128200"
"LDOBUSD","LDOBUSD#1686498660000",1686498660000,"1.768400","1.768700","1.767000","1.767600","2198.9",1686498719999,"3887.7922100",16,"1309.7","2315.6834400"
"LDOBUSD","LDOBUSD#1686498720000",1686498720000,"1.767100","1.772900","1.764400","1.771300","11143.9",1686498779999,"19706.0535900",105,"6250.5","11052.7844600"
"LDOBUSD","LDOBUSD#1686498780000",1686498780000,"1.771400","1.771400","1.766900","1.766900","3257.8",1686498839999,"5763.5373400",34,"1217.8","2153.8367900"
"LDOBUSD","LDOBUSD#1686498840000",1686498840000,"1.766100","1.767100","1.765800","1.765900","3210.1",1686498899999,"5670.2259300",27,"1487.8","2627.6728200"
"LDOBUSD","LDOBUSD#1686498900000",1686498900000,"1.766800","1.768700","1.763800","1.768200","10228.6",1686498959999,"18067.9896700",82,"3037.6","5366.5841600"
"LDOBUSD","LDOBUSD#1686498960000",1686498960000,"1.768200","1.770900","1.767800","1.769600","2964.2",1686499019999,"5245.5267500",31,"1475.8","2610.9208500"
"LDOBUSD","LDOBUSD#1686499020000",1686499020000,"1.769900","1.770100","1.765800","1.766000","6209.9",1686499079999,"10979.2353000",55,"1293.7","2286.5265300"
"LDOBUSD","LDOBUSD#1686499080000",1686499080000,"1.766500","1.769300","1.766500","1.769300","1643.4",1686499139999,"2906.3352400",15,"1478.8","2615.4376600"
"LDOBUSD","LDOBUSD#1686499140000",1686499140000,"1.769300","1.769800","1.769000","1.769200","1486.3",1686499199999,"2629.9239200",18,"784.1","1387.2868200"
"LDOBUSD","LDOBUSD#1686499200000",1686499200000,"1.769500","1.770000","1.765900","1.769800","8619.1",1686499259999,"15241.8286900",85,"4702.7","8316.1572400"
