"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"UMAUSDT","UMAUSDT#1686477660000",1686477660000,"1.522000","1.524000","1.521000","1.521000","9190",1686477719999,"13986.451000",153,"773","1177.229000"
"UMAUSDT","UMAUSDT#1686477720000",1686477720000,"1.521000","1.523000","1.521000","1.522000","1257",1686477779999,"1913.553000",58,"425","647.270000"
"UMAUSDT","UMAUSDT#1686477780000",1686477780000,"1.523000","1.524000","1.523000","1.523000","1697",1686477839999,"2585.417000",55,"1237","1884.837000"
"UMAUSDT","UMAUSDT#1686477840000",1686477840000,"1.524000","1.525000","1.523000","1.524000","3058",1686477899999,"4660.385000",71,"1800","2743.883000"
"UMAUSDT","UMAUSDT#1686477900000",1686477900000,"1.524000","1.525000","1.523000","1.524000","5511",1686477959999,"8399.343000",117,"3251","4955.641000"
"UMAUSDT","UMAUSDT#1686477960000",1686477960000,"1.524000","1.525000","1.523000","1.523000","1275",1686478019999,"1943.353000",50,"362","551.968000"
"UMAUSDT","UMAUSDT#1686478020000",1686478020000,"1.524000","1.524000","1.522000","1.522000","5541",1686478079999,"8437.616000",87,"2571","3916.056000"
"UMAUSDT","UMAUSDT#1686478080000",1686478080000,"1.522000","1.522000","1.518000","1.519000","15532",1686478139999,"23601.144000",157,"1963","2985.029000"
"UMAUSDT","UMAUSDT#1686478140000",1686478140000,"1.519000","1.522000","1.519000","1.521000","2266",1686478199999,"3445.123000",38,"1573","2391.616000"
"UMAUSDT","UMAUSDT#1686478200000",1686478200000,"1.522000","1.522000","1.519000","1.519000","4229",1686478259999,"6429.021000",85,"1269","1929.374000"
"UMAUSDT","UMAUSDT#1686478260000",1686478260000,"1.520000","1.520000","1.516000","1.519000","22276",1686478319999,"33807.888000",194,"6058","9200.293000"
"UMAUSDT","UMAUSDT#1686478320000",1686478320000,"1.519000","1.521000","1.518000","1.520000","3114",1686478379999,"4732.171000",58,"1775","2697.799000"
"UMAUSDT","UMAUSDT#1686478380000",1686478380000,"1.520000","1.521000","1.519000","1.519000","1794",1686478439999,"2726.133000",39,"516","784.333000"
"UMAUSDT","UMAUSDT#1686478440000",1686478440000,"1.519000","1.520000","1.518000","1.520000","1623",1686478499999,"2465.677000",30,"962","1461.672000"
"UMAUSDT","UMAUSDT#1686478500000",1686478500000,"1.520000","1.520000","1.518000","1.519000","8354",1686478559999,"12689.731000",71,"2140","3251.235000"
"UMAUSDT","UMAUSDT#1686478560000",1686478560000,"1.520000","1.521000","1.520000","1.521000","5706",1686478619999,"8675.488000",24,"5706","8675.488000"
"UMAUSDT","UMAUSDT#1686478620000",1686478620000,"1.522000","1.524000","1.521000","1.524000","8904",1686478679999,"13562.535000",87,"7776","11844.678000"
"UMAUSDT","UMAUSDT#1686478680000",1686478680000,"1.523000","1.525000","1.523000","1.524000","8346",1686478739999,"12721.472000",77,"5860","8934.106000"
"UMAUSDT","UMAUSDT#1686478740000",1686478740000,"1.525000","1.526000","1.525000","1.525000","2027",1686478799999,"3091.596000",31,"1339","2042.396000"
"UMAUSDT","UMAUSDT#1686478800000",1686478800000,"1.524000","1.526000","1.524000","1.526000","2983",1686478859999,"4549.387000",30,"2562","3907.783000"
"UMAUSDT","UMAUSDT#1686478860000",1686478860000,"1.526000","1.526000","1.525000","1.526000","2440",1686478919999,"3723.222000",29,"2222","3390.772000"
"UMAUSDT","UMAUSDT#1686478920000",1686478920000,"1.525000","1.525000","1.524000","1.525000","2714",1686478979999,"4138.224000",19,"260","396.500000"
"UMAUSDT","UMAUSDT#1686478980000",1686478980000,"1.524000","1.525000","1.524000","1.525000","1402",1686479039999,"2137.718000",16,"1070","1631.750000"
"UMAUSDT","UMAUSDT#1686479040000",1686479040000,"1.525000","1.526000","1.525000","1.526000","2994",1686479099999,"4566.692000",41,"1840","2806.842000"
"UMAUSDT","UMAUSDT#1686479100000",1686479100000,"1.526000","1.526000","1.525000","1.525000","2119",1686479159999,"3232.559000",34,"1084","1654.184000"
"UMAUSDT","UMAUSDT#1686479160000",1686479160000,"1.525000","1.525000","1.523000","1.523000","16035",1686479219999,"24437.577000",42,"1438","2192.950000"
"UMAUSDT","UMAUSDT#1686479220000",1686479220000,"1.524000","1.524000","1.523000","1.524000","3065",1686479279999,"4670.920000",34,"2925","4457.700000"
"UMAUSDT","UMAUSDT#1686479280000",1686479280000,"1.523000","1.525000","1.523000","1.524000","2664",1686479339999,"4060.053000",36,"948","1444.882000"
"UMAUSDT","UMAUSDT#1686479340000",1686479340000,"1.525000","1.525000","1.523000","1.524000","2211",1686479399999,"3369.070000",24,"426","649.632000"
"UMAUSDT","UMAUSDT#1686479400000",1686479400000,"1.524000","1.524000","1.522000","1.523000","6218",1686479459999,"9468.697000",105,"2769","4217.370000"
"UMAUSDT","UMAUSDT#1686479460000",1686479460000,"1.522000","1.523000","1.522000","1.523000","987",1686479519999,"1502.891000",14,"677","1031.071000"
"UMAUSDT","UMAUSDT#1686479520000",1686479520000,"1.522000","1.523000","1.521000","1.522000","1580",1686479579999,"2404.816000",31,"1079","1642.306000"
"UMAUSDT","UMAUSDT#1686479580000",1686479580000,"1.521000","1.521000","1.520000","1.520000","10062",1686479639999,"15301.586000",76,"3092","4702.932000"
"UMAUSDT","UMAUSDT#1686479640000",1686479640000,"1.521000","1.523000","1.520000","1.522000","4192",1686479699999,"6374.544000",48,"2559","3892.316000"
"UMAUSDT","UMAUSDT#1686479700000",1686479700000,"1.523000","1.524000","1.522000","1.524000","3455",1686479759999,"5263.124000",39,"3019","4599.532000"
"UMAUSDT","UMAUSDT#1686479760000",1686479760000,"1.524000","1.524000","1.522000","1.523000","1429",1686479819999,"2176.094000",30,"247","376.215000"
"UMAUSDT","UMAUSDT#1686479820000",1686479820000,"1.523000","1.523000","1.523000","1.523000","68",1686479879999,"103.564000",3,"68","103.564000"
"UMAUSDT","UMAUSDT#1686479880000",1686479880000,"1.522000","1.523000","1.522000","1.522000","3381",1686479939999,"5145.921000",38,"1629","2479.377000"
"UMAUSDT","UMAUSDT#1686479940000",1686479940000,"1.523000","1.524000","1.522000","1.522000","3113",1686479999999,"4741.599000",47,"2250","3427.482000"
"UMAUSDT","UMAUSDT#1686480000000",1686480000000,"1.522000","1.522000","1.521000","1.521000","3308",1686480059999,"5033.038000",58,"144","219.168000"
"UMAUSDT","UMAUSDT#1686480060000",1686480060000,"1.522000","1.525000","1.521000","1.524000","3580",1686480119999,"5453.424000",82,"3045","4638.739000"
"UMAUSDT","UMAUSDT#1686480120000",1686480120000,"1.524000","1.527000","1.524000","1.526000","6015",1686480179999,"9180.340000",77,"5559","8485.000000"
"UMAUSDT","UMAUSDT#1686480180000",1686480180000,"1.526000","1.528000","1.526000","1.527000","2335",1686480239999,"3565.800000",54,"1978","3020.901000"
"UMAUSDT","UMAUSDT#1686480240000",1686480240000,"1.527000","1.531000","1.527000","1.530000","5272",1686480299999,"8058.605000",113,"2980","4556.349000"
"UMAUSDT","UMAUSDT#1686480300000",1686480300000,"1.530000","1.532000","1.529000","1.531000","5844",1686480359999,"8942.536000",143,"2781","4256.523000"
"UMAUSDT","UMAUSDT#1686480360000",1686480360000,"1.531000","1.533000","1.518000","1.521000","69817",1686480419999,"106418.142000",433,"16610","25281.276000"
"UMAUSDT","UMAUSDT#1686480420000",1686480420000,"1.522000","1.526000","1.522000","1.526000","7104",1686480479999,"10822.215000",88,"5000","7616.879000"
"UMAUSDT","UMAUSDT#1686480480000",1686480480000,"1.526000","1.526000","1.525000","1.525000","5672",1686480539999,"8650.408000",54,"608","927.808000"
"UMAUSDT","UMAUSDT#1686480540000",1686480540000,"1.525000","1.525000","1.523000","1.525000","6131",1686480599999,"9342.362000",56,"2306","3515.000000"
"UMAUSDT","UMAUSDT#1686480600000",1686480600000,"1.525000","1.525000","1.524000","1.524000","4382",1686480659999,"6679.663000",88,"1495","2279.875000"
"UMAUSDT","UMAUSDT#1686480660000",1686480660000,"1.524000","1.525000","1.523000","1.525000","3291",1686480719999,"5015.505000",40,"2712","4133.219000"
"UMAUSDT","UMAUSDT#1686480720000",1686480720000,"1.525000","1.525000","1.524000","1.524000","2485",1686480779999,"3788.327000",39,"1187","1810.175000"
"UMAUSDT","UMAUSDT#1686480780000",1686480780000,"1.524000","1.525000","1.524000","1.524000","5870",1686480839999,"8947.706000",60,"4777","7281.974000"
"UMAUSDT","UMAUSDT#1686480840000",1686480840000,"1.524000","1.525000","1.524000","1.524000","395",1686480899999,"602.191000",42,"211","321.775000"
"UMAUSDT","UMAUSDT#1686480900000",1686480900000,"1.524000","1.524000","1.523000","1.523000","9774",1686480959999,"14887.784000",127,"2942","4482.009000"
"UMAUSDT","UMAUSDT#1686480960000",1686480960000,"1.523000","1.524000","1.522000","1.524000","1747",1686481019999,"2660.503000",17,"1516","2308.921000"
"UMAUSDT","UMAUSDT#1686481020000",1686481020000,"1.523000","1.524000","1.522000","1.523000","4284",1686481079999,"6523.919000",39,"1989","3029.334000"
"UMAUSDT","UMAUSDT#1686481080000",1686481080000,"1.523000","1.523000","1.522000","1.522000","6722",1686481139999,"10233.650000",54,"1663","2532.115000"
"UMAUSDT","UMAUSDT#1686481140000",1686481140000,"1.522000","1.525000","1.522000","1.524000","1960",1686481199999,"2986.730000",55,"1440","2194.343000"
"UMAUSDT","UMAUSDT#1686481200000",1686481200000,"1.524000","1.527000","1.524000","1.524000","13180",1686481259999,"20111.590000",180,"7608","11612.206000"
