"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"VETUSDT","VETUSDT#1686484860000",1686484860000,"0.015610","0.015620","0.015600","0.015600","1826383",1686484919999,"28506.194710",128,"575875","8990.601320"
"VETUSDT","VETUSDT#1686484920000",1686484920000,"0.015600","0.015610","0.015590","0.015610","588135",1686484979999,"9174.769270",86,"265046","4134.833610"
"VETUSDT","VETUSDT#1686484980000",1686484980000,"0.015600","0.015620","0.015600","0.015610","1199991",1686485039999,"18734.870490",94,"1028275","16055.050740"
"VETUSDT","VETUSDT#1686485040000",1686485040000,"0.015610","0.015620","0.015610","0.015610","116880",1686485099999,"1825.550690",26,"105389","1646.176180"
"VETUSDT","VETUSDT#1686485100000",1686485100000,"0.015610","0.015630","0.015610","0.015620","779076",1686485159999,"12168.909850",100,"344432","5380.357560"
"VETUSDT","VETUSDT#1686485160000",1686485160000,"0.015620","0.015640","0.015610","0.015640","859703",1686485219999,"13431.005320",112,"399629","6244.844830"
"VETUSDT","VETUSDT#1686485220000",1686485220000,"0.015630","0.015670","0.015630","0.015660","1426344",1686485279999,"22327.964900",143,"1043517","16333.899540"
"VETUSDT","VETUSDT#1686485280000",1686485280000,"0.015660","0.015680","0.015650","0.015660","2649248",1686485339999,"41496.027950",187,"1348134","21120.366780"
"VETUSDT","VETUSDT#1686485340000",1686485340000,"0.015660","0.015660","0.015640","0.015660","1837855",1686485399999,"28765.348160",127,"480909","7530.097710"
"VETUSDT","VETUSDT#1686485400000",1686485400000,"0.015660","0.015680","0.015650","0.015680","476350",1686485459999,"7463.412860",91,"297672","4664.127200"
"VETUSDT","VETUSDT#1686485460000",1686485460000,"0.015680","0.015690","0.015670","0.015680","603508",1686485519999,"9464.231370",68,"529389","8302.439310"
"VETUSDT","VETUSDT#1686485520000",1686485520000,"0.015690","0.015690","0.015680","0.015690","103553",1686485579999,"1624.261920",14,"55088","864.330720"
"VETUSDT","VETUSDT#1686485580000",1686485580000,"0.015680","0.015690","0.015660","0.015670","656638",1686485639999,"10289.940140",65,"60928","954.954730"
"VETUSDT","VETUSDT#1686485640000",1686485640000,"0.015670","0.015670","0.015660","0.015660","10537",1686485699999,"165.110490",4,"10107","158.376690"
"VETUSDT","VETUSDT#1686485700000",1686485700000,"0.015670","0.015700","0.015670","0.015690","1084720",1686485759999,"17013.163340",135,"752072","11795.341320"
"VETUSDT","VETUSDT#1686485760000",1686485760000,"0.015680","0.015690","0.015680","0.015690","7625",1686485819999,"119.623210",12,"6321","99.176490"
"VETUSDT","VETUSDT#1686485820000",1686485820000,"0.015690","0.015690","0.015650","0.015650","532051",1686485879999,"8335.304500",62,"6932","108.715580"
"VETUSDT","VETUSDT#1686485880000",1686485880000,"0.015650","0.015650","0.015640","0.015650","622452",1686485939999,"9741.056800",66,"437976","6854.324400"
"VETUSDT","VETUSDT#1686485940000",1686485940000,"0.015660","0.015660","0.015650","0.015660","181074",1686485999999,"2835.608650",14,"180055","2819.661300"
"VETUSDT","VETUSDT#1686486000000",1686486000000,"0.015650","0.015660","0.015650","0.015660","744225",1686486059999,"11654.488050",54,"618241","9681.654060"
"VETUSDT","VETUSDT#1686486060000",1686486060000,"0.015650","0.015660","0.015650","0.015650","153425",1686486119999,"2402.327540",12,"122629","1920.370140"
"VETUSDT","VETUSDT#1686486120000",1686486120000,"0.015660","0.015660","0.015650","0.015650","353703",1686486179999,"5536.169320",54,"71737","1123.401420"
"VETUSDT","VETUSDT#1686486180000",1686486180000,"0.015650","0.015660","0.015640","0.015660","575048",1686486239999,"8998.849460",76,"230504","3607.457230"
"VETUSDT","VETUSDT#1686486240000",1686486240000,"0.015650","0.015660","0.015650","0.015650","101256",1686486299999,"1585.206410",31,"55001","861.315660"
"VETUSDT","VETUSDT#1686486300000",1686486300000,"0.015650","0.015660","0.015650","0.015660","91742",1686486359999,"1436.373050",28,"61075","956.434500"
"VETUSDT","VETUSDT#1686486360000",1686486360000,"0.015660","0.015660","0.015640","0.015640","299833",1686486419999,"4692.442560",34,"30069","470.876780"
"VETUSDT","VETUSDT#1686486420000",1686486420000,"0.015640","0.015640","0.015620","0.015640","1552510",1686486479999,"24271.390270",112,"203716","3184.773690"
"VETUSDT","VETUSDT#1686486480000",1686486480000,"0.015640","0.015640","0.015630","0.015630","9409",1686486539999,"147.130400",4,"6773","105.929720"
"VETUSDT","VETUSDT#1686486540000",1686486540000,"0.015630","0.015630","0.015630","0.015630","68918",1686486599999,"1077.188340",18,"0","0.000000"
"VETUSDT","VETUSDT#1686486600000",1686486600000,"0.015640","0.015640","0.015630","0.015640","143386",1686486659999,"2242.536770",9,"141359","2210.854760"
"VETUSDT","VETUSDT#1686486660000",1686486660000,"0.015630","0.015630","0.015590","0.015600","2664788",1686486719999,"41587.164200",178,"435624","6795.783210"
"VETUSDT","VETUSDT#1686486720000",1686486720000,"0.015600","0.015600","0.015580","0.015580","1005208",1686486779999,"15670.394100",104,"446729","6965.154050"
"VETUSDT","VETUSDT#1686486780000",1686486780000,"0.015580","0.015600","0.015580","0.015590","430624",1686486839999,"6713.646290",28,"358749","5593.149060"
"VETUSDT","VETUSDT#1686486840000",1686486840000,"0.015590","0.015610","0.015590","0.015610","458224",1686486899999,"7151.432270",38,"437800","6832.937870"
"VETUSDT","VETUSDT#1686486900000",1686486900000,"0.015600","0.015610","0.015600","0.015610","398266",1686486959999,"6216.474510",53,"127077","1983.671970"
"VETUSDT","VETUSDT#1686486960000",1686486960000,"0.015600","0.015600","0.015600","0.015600","40264",1686487019999,"628.118400",14,"0","0.000000"
"VETUSDT","VETUSDT#1686487020000",1686487020000,"0.015600","0.015600","0.015560","0.015590","1497911",1686487079999,"23336.566300",123,"248744","3875.076170"
"VETUSDT","VETUSDT#1686487080000",1686487080000,"0.015580","0.015580","0.015580","0.015580","51936",1686487139999,"809.162880",15,"0","0.000000"
"VETUSDT","VETUSDT#1686487140000",1686487140000,"0.015580","0.015580","0.015580","0.015580","19191",1686487199999,"298.995780",20,"0","0.000000"
"VETUSDT","VETUSDT#1686487200000",1686487200000,"0.015590","0.015600","0.015590","0.015600","864154",1686487259999,"13477.511920",71,"552790","8621.509350"
"VETUSDT","VETUSDT#1686487260000",1686487260000,"0.015590","0.015610","0.015590","0.015600","127448",1686487319999,"1988.182010",47,"103723","1618.217090"
"VETUSDT","VETUSDT#1686487320000",1686487320000,"0.015600","0.015600","0.015590","0.015590","156446",1686487379999,"2439.836220",62,"0","0.000000"
"VETUSDT","VETUSDT#1686487380000",1686487380000,"0.015590","0.015600","0.015590","0.015590","158429",1686487439999,"2471.119480",30,"121137","1889.737200"
"VETUSDT","VETUSDT#1686487440000",1686487440000,"0.015590","0.015590","0.015590","0.015590","11274",1686487499999,"175.761660",8,"0","0.000000"
"VETUSDT","VETUSDT#1686487500000",1686487500000,"0.015590","0.015590","0.015580","0.015580","64928",1686487559999,"1012.220400",26,"18032","281.118880"
"VETUSDT","VETUSDT#1686487560000",1686487560000,"0.015590","0.015590","0.015580","0.015580","37475",1686487619999,"583.993380",9,"13288","207.159920"
"VETUSDT","VETUSDT#1686487620000",1686487620000,"0.015590","0.015590","0.015580","0.015590","223017",1686487679999,"3476.317820",35,"171296","2670.504640"
"VETUSDT","VETUSDT#1686487680000",1686487680000,"0.015580","0.015600","0.015580","0.015590","201663",1686487739999,"3144.213020",60,"193294","3013.749690"
"VETUSDT","VETUSDT#1686487740000",1686487740000,"0.015590","0.015590","0.015570","0.015590","623329",1686487799999,"9711.339130",57,"151523","2361.193540"
"VETUSDT","VETUSDT#1686487800000",1686487800000,"0.015590","0.015590","0.015570","0.015590","429700",1686487859999,"6693.990380",47,"144210","2247.390450"
"VETUSDT","VETUSDT#1686487860000",1686487860000,"0.015580","0.015580","0.015570","0.015570","54206",1686487919999,"844.486490",9,"24390","379.996200"
"VETUSDT","VETUSDT#1686487920000",1686487920000,"0.015570","0.015590","0.015570","0.015590","1024701",1686487979999,"15971.294890",46,"981539","15299.262550"
"VETUSDT","VETUSDT#1686487980000",1686487980000,"0.015580","0.015580","0.015570","0.015570","101184",1686488039999,"1576.134920",17,"0","0.000000"
"VETUSDT","VETUSDT#1686488040000",1686488040000,"0.015570","0.015580","0.015570","0.015570","44283",1686488099999,"689.533810",7,"4750","74.005000"
