"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"XRPUSDT","XRPUSDT#1686517260000",1686517260000,"0.5234","0.5236","0.5232","0.5235","784262.8",1686517319999,"410459.54562",520,"365921.0","191515.69409"
"XRPUSDT","XRPUSDT#1686517320000",1686517320000,"0.5235","0.5242","0.5235","0.5242","1232492.1",1686517379999,"645520.74208",732,"792893.7","415316.79636"
"XRPUSDT","XRPUSDT#1686517380000",1686517380000,"0.5241","0.5245","0.5241","0.5244","812322.9",1686517439999,"425848.52106",690,"519214.7","272202.51390"
"XRPUSDT","XRPUSDT#1686517440000",1686517440000,"0.5245","0.5248","0.5244","0.5246","579728.6",1686517499999,"304120.22580",496,"404252.1","212077.13690"
"XRPUSDT","XRPUSDT#1686517500000",1686517500000,"0.5245","0.5248","0.5243","0.5243","636929.8",1686517559999,"334123.63147",464,"376551.7","197545.53143"
"XRPUSDT","XRPUSDT#1686517560000",1686517560000,"0.5243","0.5244","0.5237","0.5239","507213.5",1686517619999,"265791.87277",598,"272477.2","142781.36969"
"XRPUSDT","XRPUSDT#1686517620000",1686517620000,"0.5239","0.5240","0.5234","0.5236","400350.8",1686517679999,"209621.19885",489,"153522.1","80386.66118"
"XRPUSDT","XRPUSDT#1686517680000",1686517680000,"0.5235","0.5238","0.5233","0.5237","814105.0",1686517739999,"426200.04286",535,"515082.8","269659.77785"
"XRPUSDT","XRPUSDT#1686517740000",1686517740000,"0.5237","0.5243","0.5237","0.5241","295976.6",1686517799999,"155116.15643",335,"182400.1","95588.78632"
"XRPUSDT","XRPUSDT#1686517800000",1686517800000,"0.5241","0.5244","0.5239","0.5242","408952.9",1686517859999,"214351.28386",568,"241059.6","126347.66523"
"XRPUSDT","XRPUSDT#1686517860000",1686517860000,"0.5242","0.5245","0.5240","0.5244","385641.1",1686517919999,"202171.66470",371,"247257.0","129632.87868"
"XRPUSDT","XRPUSDT#1686517920000",1686517920000,"0.5244","0.5246","0.5243","0.5244","456335.8",1686517979999,"239336.40254",340,"234305.7","122888.04066"
"XRPUSDT","XRPUSDT#1686517980000",1686517980000,"0.5243","0.5245","0.5242","0.5243","491215.9",1686518039999,"257593.42189",399,"339359.1","177974.12911"
"XRPUSDT","XRPUSDT#1686518040000",1686518040000,"0.5244","0.5245","0.5241","0.5243","337626.5",1686518099999,"177028.26062",478,"158287.6","82998.33571"
"XRPUSDT","XRPUSDT#1686518100000",1686518100000,"0.5242","0.5244","0.5240","0.5243","482011.0",1686518159999,"252672.52180",549,"297535.3","155970.57886"
"XRPUSDT","XRPUSDT#1686518160000",1686518160000,"0.5243","0.5249","0.5243","0.5247","684428.3",1686518219999,"359077.05324",508,"504376.6","264615.21089"
"XRPUSDT","XRPUSDT#1686518220000",1686518220000,"0.5248","0.5252","0.5247","0.5247","859020.7",1686518279999,"450977.05502",706,"541029.8","284048.27467"
"XRPUSDT","XRPUSDT#1686518280000",1686518280000,"0.5247","0.5251","0.5247","0.5250","397373.5",1686518339999,"208601.35538",383,"297394.9","156119.66005"
"XRPUSDT","XRPUSDT#1686518340000",1686518340000,"0.5250","0.5254","0.5248","0.5253","410956.0",1686518399999,"215791.68147",423,"274344.9","144054.16230"
"XRPUSDT","XRPUSDT#1686518400000",1686518400000,"0.5252","0.5255","0.5250","0.5254","983579.5",1686518459999,"516669.91239",820,"609504.6","320198.60709"
"XRPUSDT","XRPUSDT#1686518460000",1686518460000,"0.5253","0.5257","0.5253","0.5255","392366.0",1686518519999,"206216.04349",568,"254314.6","133663.36579"
"XRPUSDT","XRPUSDT#1686518520000",1686518520000,"0.5255","0.5256","0.5252","0.5253","374463.1",1686518579999,"196744.10270",281,"128852.7","67709.25797"
"XRPUSDT","XRPUSDT#1686518580000",1686518580000,"0.5253","0.5254","0.5252","0.5254","200167.8",1686518639999,"105151.71387",230,"170629.2","89635.72485"
"XRPUSDT","XRPUSDT#1686518640000",1686518640000,"0.5253","0.5254","0.5247","0.5249","669762.7",1686518699999,"351586.82084",613,"299932.9","157438.10337"
"XRPUSDT","XRPUSDT#1686518700000",1686518700000,"0.5249","0.5251","0.5249","0.5249","377887.9",1686518759999,"198397.74148",284,"207132.4","108752.63963"
"XRPUSDT","XRPUSDT#1686518760000",1686518760000,"0.5250","0.5250","0.5246","0.5247","334940.8",1686518819999,"175755.69621",393,"143611.2","75357.86569"
"XRPUSDT","XRPUSDT#1686518820000",1686518820000,"0.5247","0.5247","0.5242","0.5242","487257.5",1686518879999,"255526.52562",482,"207499.0","108816.00296"
"XRPUSDT","XRPUSDT#1686518880000",1686518880000,"0.5242","0.5243","0.5233","0.5235","1356122.7",1686518939999,"710113.60946",921,"368492.1","192990.41628"
"XRPUSDT","XRPUSDT#1686518940000",1686518940000,"0.5234","0.5235","0.5230","0.5231","835969.8",1686518999999,"437456.30273",713,"322302.0","168684.63396"
"XRPUSDT","XRPUSDT#1686519000000",1686519000000,"0.5232","0.5236","0.5231","0.5232","1023429.1",1686519059999,"535671.61005",808,"742919.6","388867.07600"
"XRPUSDT","XRPUSDT#1686519060000",1686519060000,"0.5233","0.5233","0.5231","0.5232","301669.7",1686519119999,"157828.54635",371,"58803.2","30769.89947"
"XRPUSDT","XRPUSDT#1686519120000",1686519120000,"0.5231","0.5232","0.5216","0.5218","2699374.9",1686519179999,"1409498.54590",2258,"614871.7","321045.72821"
"XRPUSDT","XRPUSDT#1686519180000",1686519180000,"0.5218","0.5227","0.5213","0.5217","2269129.3",1686519239999,"1184359.53872",1666,"1041864.9","544011.63432"
"XRPUSDT","XRPUSDT#1686519240000",1686519240000,"0.5217","0.5219","0.5211","0.5212","2351701.8",1686519299999,"1226075.65185",1262,"772443.3","402763.19046"
"XRPUSDT","XRPUSDT#1686519300000",1686519300000,"0.5213","0.5217","0.5209","0.5214","2508758.2",1686519359999,"1307887.01812",1624,"1401464.3","730720.51101"
"XRPUSDT","XRPUSDT#1686519360000",1686519360000,"0.5214","0.5217","0.5212","0.5213","791600.7",1686519419999,"412779.88087",802,"351411.1","183249.42317"
"XRPUSDT","XRPUSDT#1686519420000",1686519420000,"0.5213","0.5215","0.5205","0.5209","2810879.9",1686519479999,"1464616.57744",1717,"1200758.8","625807.81237"
"XRPUSDT","XRPUSDT#1686519480000",1686519480000,"0.5210","0.5213","0.5207","0.5208","898328.4",1686519539999,"468038.82285",778,"421772.8","219766.52030"
