"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"XTZUSDT","XTZUSDT#1686466860000",1686466860000,"0.715","0.715","0.714","0.714","26884.5",1686466919999,"19222.2668",33,"26733.8","19114.6670"
"XTZUSDT","XTZUSDT#1686466920000",1686466920000,"0.714","0.715","0.714","0.714","520.6",1686466979999,"371.8253",9,"116.9","83.5835"
"XTZUSDT","XTZUSDT#1686466980000",1686466980000,"0.714","0.715","0.714","0.714","5992.5",1686467039999,"4282.7017",44,"4056.7","2900.5405"
"XTZUSDT","XTZUSDT#1686467040000",1686467040000,"0.714","0.715","0.714","0.715","347.2",1686467099999,"248.2308",8,"330.0","235.9500"
"XTZUSDT","XTZUSDT#1686467100000",1686467100000,"0.714","0.715","0.714","0.715","6224.5",1686467159999,"4448.6224",36,"4329.4","3095.5210"
"XTZUSDT","XTZUSDT#1686467160000",1686467160000,"0.714","0.715","0.714","0.714","1800.1",1686467219999,"1285.3243",8,"52.9","37.8235"
"XTZUSDT","XTZUSDT#1686467220000",1686467220000,"0.714","0.715","0.714","0.714","1604.3",1686467279999,"1145.5231",14,"52.9","37.8235"
"XTZUSDT","XTZUSDT#1686467280000",1686467280000,"0.714","0.715","0.714","0.714","1002.5",1686467339999,"716.1726",9,"387.6","277.1340"
"XTZUSDT","XTZUSDT#1686467340000",1686467340000,"0.714","0.715","0.714","0.714","465.4",1686467399999,"332.3672",5,"71.6","51.1940"
"XTZUSDT","XTZUSDT#1686467400000",1686467400000,"0.715","0.715","0.715","0.715","4393.2",1686467459999,"3141.1380",47,"4393.2","3141.1380"
"XTZUSDT","XTZUSDT#1686467460000",1686467460000,"0.714","0.715","0.714","0.714","2128.8",1686467519999,"1520.7443",13,"781.1","558.4865"
"XTZUSDT","XTZUSDT#1686467520000",1686467520000,"0.715","0.715","0.714","0.715","1616.3",1686467579999,"1155.2070",12,"1168.8","835.6920"
"XTZUSDT","XTZUSDT#1686467580000",1686467580000,"0.714","0.715","0.714","0.714","1989.4",1686467639999,"1420.5064",17,"74.8","53.4820"
"XTZUSDT","XTZUSDT#1686467640000",1686467640000,"0.714","0.715","0.714","0.714","858.7",1686467699999,"613.4068",9,"295.0","210.9250"
"XTZUSDT","XTZUSDT#1686467700000",1686467700000,"0.715","0.715","0.713","0.713","23927.8",1686467759999,"17075.9819",75,"1570.0","1121.0512"
"XTZUSDT","XTZUSDT#1686467760000",1686467760000,"0.714","0.715","0.714","0.715","45018.8",1686467819999,"32161.9939",138,"38754.1","27688.9981"
"XTZUSDT","XTZUSDT#1686467820000",1686467820000,"0.714","0.715","0.713","0.713","22816.1",1686467879999,"16290.0422",33,"233.4","166.6854"
"XTZUSDT","XTZUSDT#1686467880000",1686467880000,"0.713","0.714","0.712","0.713","35874.1",1686467939999,"25577.6936",56,"4902.6","3495.5677"
"XTZUSDT","XTZUSDT#1686467940000",1686467940000,"0.712","0.713","0.712","0.713","3386.6",1686467999999,"2412.8856",9,"1626.4","1159.6232"
"XTZUSDT","XTZUSDT#1686468000000",1686468000000,"0.712","0.713","0.712","0.712","1408.4",1686468059999,"1003.0912",8,"310.4","221.3152"
"XTZUSDT","XTZUSDT#1686468060000",1686468060000,"0.713","0.713","0.712","0.712","721.2",1686468119999,"513.5473",5,"52.9","37.7177"
"XTZUSDT","XTZUSDT#1686468120000",1686468120000,"0.712","0.713","0.712","0.713","853.3",1686468179999,"608.0318",6,"482.2","343.8086"
"XTZUSDT","XTZUSDT#1686468180000",1686468180000,"0.712","0.713","0.712","0.712","8877.1",1686468239999,"6320.5481",21,"52.9","37.7177"
"XTZUSDT","XTZUSDT#1686468240000",1686468240000,"0.712","0.713","0.712","0.712","6710.1",1686468299999,"4777.6948",23,"103.6","73.8668"
"XTZUSDT","XTZUSDT#1686468300000",1686468300000,"0.712","0.713","0.712","0.712","1474.6",1686468359999,"1049.9681",7,"52.9","37.7177"
"XTZUSDT","XTZUSDT#1686468360000",1686468360000,"0.712","0.713","0.712","0.712","1614.3",1686468419999,"1149.8350",17,"453.4","323.2742"
"XTZUSDT","XTZUSDT#1686468420000",1686468420000,"0.712","0.713","0.712","0.712","204.7",1686468479999,"145.7993",5,"52.9","37.7177"
"XTZUSDT","XTZUSDT#1686468480000",1686468480000,"0.712","0.713","0.712","0.712","272.4",1686468539999,"194.1357",7,"186.9","133.2597"
"XTZUSDT","XTZUSDT#1686468540000",1686468540000,"0.713","0.713","0.712","0.712","7821.1",1686468599999,"5569.3371",43,"713.9","509.0107"
"XTZUSDT","XTZUSDT#1686468600000",1686468600000,"0.713","0.713","0.712","0.712","814.4",1686468659999,"580.5743",5,"721.5","514.4295"
"XTZUSDT","XTZUSDT#1686468660000",1686468660000,"0.713","0.714","0.713","0.714","23402.6",1686468719999,"16686.3678",117,"17196.2","12261.2046"
"XTZUSDT","XTZUSDT#1686468720000",1686468720000,"0.714","0.714","0.713","0.713","8966.6",1686468779999,"6393.3398",51,"196.5","140.2585"
"XTZUSDT","XTZUSDT#1686468780000",1686468780000,"0.712","0.713","0.712","0.713","415.9",1686468839999,"296.1793",3,"58.5","41.7105"
"XTZUSDT","XTZUSDT#1686468840000",1686468840000,"0.712","0.713","0.711","0.712","6342.7",1686468899999,"4515.7801",23,"57.7","41.1261"
"XTZUSDT","XTZUSDT#1686468900000",1686468900000,"0.711","0.712","0.711","0.711","432.3",1686468959999,"307.6264",6,"261.1","185.9032"
"XTZUSDT","XTZUSDT#1686468960000",1686468960000,"0.712","0.712","0.712","0.712","649.5",1686469019999,"462.4440",12,"649.5","462.4440"
"XTZUSDT","XTZUSDT#1686469020000",1686469020000,"0.711","0.712","0.711","0.711","232.5",1686469079999,"165.4973",11,"189.8","135.1376"
"XTZUSDT","XTZUSDT#1686469080000",1686469080000,"0.712","0.712","0.711","0.712","12250.7",1686469139999,"8722.3368",78,"12089.1","8607.4392"
"XTZUSDT","XTZUSDT#1686469140000",1686469140000,"0.712","0.712","0.711","0.711","2407.1",1686469199999,"1713.6487",19,"2200.6","1566.8272"
"XTZUSDT","XTZUSDT#1686469200000",1686469200000,"0.712","0.712","0.711","0.711","2406.1",1686469259999,"1712.0064",15,"1269.3","903.7416"
"XTZUSDT","XTZUSDT#1686469260000",1686469260000,"0.712","0.712","0.711","0.711","4307.6",1686469319999,"3063.8126",11,"1109.0","789.6080"
"XTZUSDT","XTZUSDT#1686469320000",1686469320000,"0.712","0.712","0.712","0.712","596.1",1686469379999,"424.4232",3,"596.1","424.4232"
"XTZUSDT","XTZUSDT#1686469380000",1686469380000,"0.712","0.712","0.711","0.712","794.4",1686469439999,"565.5804",3,"762.0","542.5440"
"XTZUSDT","XTZUSDT#1686469440000",1686469440000,"0.711","0.712","0.711","0.712","234.0",1686469499999,"166.6000",3,"226.0","160.9120"
"XTZUSDT","XTZUSDT#1686469500000",1686469500000,"0.711","0.712","0.711","0.711","2999.8",1686469559999,"2132.9107",9,"52.9","37.6648"
"XTZUSDT","XTZUSDT#1686469560000",1686469560000,"0.711","0.712","0.711","0.711","1206.7",1686469619999,"858.6850",8,"721.3","513.5656"
"XTZUSDT","XTZUSDT#1686469620000",1686469620000,"0.711","0.712","0.711","0.711","468.7",1686469679999,"333.4122",14,"166.5","118.5480"
"XTZUSDT","XTZUSDT#1686469680000",1686469680000,"0.711","0.712","0.711","0.711","569.9",1686469739999,"405.2518",7,"52.9","37.6648"
"XTZUSDT","XTZUSDT#1686469740000",1686469740000,"0.712","0.712","0.711","0.711","803.8",1686469799999,"571.6275",10,"125.7","89.4984"
"XTZUSDT","XTZUSDT#1686469800000",1686469800000,"0.711","0.712","0.711","0.711","696.8",1686469859999,"495.7189",7,"294.1","209.3992"
"XTZUSDT","XTZUSDT#1686469860000",1686469860000,"0.712","0.712","0.711","0.711","5283.8",1686469919999,"3757.2871",18,"505.3","359.7736"
"XTZUSDT","XTZUSDT#1686469920000",1686469920000,"0.712","0.712","0.711","0.711","1001.1",1686469979999,"711.8502",12,"68.1","48.4872"
"XTZUSDT","XTZUSDT#1686469980000",1686469980000,"0.711","0.712","0.711","0.711","1246.5",1686470039999,"886.6782",13,"416.7","296.6904"
"XTZUSDT","XTZUSDT#1686470040000",1686470040000,"0.712","0.712","0.711","0.711","471.2",1686470099999,"335.1111",7,"87.9","62.5848"
"XTZUSDT","XTZUSDT#1686470100000",1686470100000,"0.712","0.713","0.711","0.712","12939.4",1686470159999,"9212.4129",128,"11429.3","8137.9935"
"XTZUSDT","XTZUSDT#1686470160000",1686470160000,"0.713","0.713","0.712","0.712","3204.8",1686470219999,"2283.4905",19,"1672.9","1192.7777"
"XTZUSDT","XTZUSDT#1686470220000",1686470220000,"0.713","0.713","0.711","0.711","10760.4",1686470279999,"7660.7246",40,"675.6","481.1058"
"XTZUSDT","XTZUSDT#1686470280000",1686470280000,"0.712","0.712","0.711","0.711","2739.9",1686470339999,"1950.0143",13,"1945.4","1385.1248"
"XTZUSDT","XTZUSDT#1686470340000",1686470340000,"0.712","0.712","0.711","0.712","3204.6",1686470399999,"2279.9885",21,"1517.9","1080.7448"
"XTZUSDT","XTZUSDT#1686470400000",1686470400000,"0.712","0.712","0.711","0.712","5224.7",1686470459999,"3716.6325",36,"1870.8","1332.0096"
