"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ADAUSDT","ADAUSDT#1686553260000",1686553260000,"0.27740","0.27740","0.27690","0.27710","1077208",1686553319999,"298518.83380",485,"392227","108686.75140"
"ADAUSDT","ADAUSDT#1686553320000",1686553320000,"0.27710","0.27790","0.27710","0.27770","1904611",1686553379999,"528819.69990",853,"1247628","346381.42430"
"ADAUSDT","ADAUSDT#1686553380000",1686553380000,"0.27770","0.27770","0.27730","0.27750","979454",1686553439999,"271825.06850",469,"611916","169829.06110"
"ADAUSDT","ADAUSDT#1686553440000",1686553440000,"0.27760","0.27790","0.27750","0.27780","1237482",1686553499999,"343631.32050",549,"732483","203423.96830"
"ADAUSDT","ADAUSDT#1686553500000",1686553500000,"0.27790","0.27850","0.27760","0.27850","2162270",1686553559999,"601219.60230",966,"1377735","383126.08700"
"ADAUSDT","ADAUSDT#1686553560000",1686553560000,"0.27850","0.28250","0.27840","0.28080","27232764",1686553619999,"7647843.60780",9353,"15928703","4472720.20980"
"ADAUSDT","ADAUSDT#1686553620000",1686553620000,"0.28080","0.28080","0.27920","0.27940","6962566",1686553679999,"1949480.89750",2047,"3073211","860476.22930"
"ADAUSDT","ADAUSDT#1686553680000",1686553680000,"0.27930","0.27960","0.27860","0.27880","4391628",1686553739999,"1225230.17040",1355,"1403367","391600.33220"
"ADAUSDT","ADAUSDT#1686553740000",1686553740000,"0.27870","0.27890","0.27760","0.27770","3413137",1686553799999,"949447.52120",1322,"1136036","316084.80990"
"ADAUSDT","ADAUSDT#1686553800000",1686553800000,"0.27780","0.27820","0.27770","0.27820","1063620",1686553859999,"295653.50360",607,"644470","179154.55180"
"ADAUSDT","ADAUSDT#1686553860000",1686553860000,"0.27810","0.27880","0.27800","0.27840","1493725",1686553919999,"415868.84800",716,"976954","272000.54360"
"ADAUSDT","ADAUSDT#1686553920000",1686553920000,"0.27840","0.27990","0.27840","0.27980","4078382",1686553979999,"1139003.00750",1483,"2623104","732472.34460"
"ADAUSDT","ADAUSDT#1686553980000",1686553980000,"0.27970","0.27980","0.27880","0.27900","1768831",1686554039999,"494013.16620",801,"865291","241636.14400"
"ADAUSDT","ADAUSDT#1686554040000",1686554040000,"0.27900","0.27900","0.27800","0.27850","3030605",1686554099999,"843901.69620",982,"1175071","327211.80930"
"ADAUSDT","ADAUSDT#1686554100000",1686554100000,"0.27840","0.27880","0.27810","0.27870","3088980",1686554159999,"860320.34780",1031,"1811397","504545.10950"
"ADAUSDT","ADAUSDT#1686554160000",1686554160000,"0.27860","0.27910","0.27840","0.27880","2486164",1686554219999,"693041.21470",773,"1039577","289830.84620"
"ADAUSDT","ADAUSDT#1686554220000",1686554220000,"0.27880","0.27950","0.27880","0.27940","1157873",1686554279999,"323148.30570",592,"636039","177521.10180"
"ADAUSDT","ADAUSDT#1686554280000",1686554280000,"0.27940","0.28180","0.27930","0.28120","8204672",1686554339999,"2304028.67700",3329,"4833585","1356829.55740"
"ADAUSDT","ADAUSDT#1686554340000",1686554340000,"0.28120","0.28150","0.28030","0.28050","3198619",1686554399999,"898653.93400",1414,"1738488","488435.57810"
"ADAUSDT","ADAUSDT#1686554400000",1686554400000,"0.28040","0.28060","0.27980","0.28030","1897405",1686554459999,"531704.53420",1112,"1030584","288833.44390"
"ADAUSDT","ADAUSDT#1686554460000",1686554460000,"0.28020","0.28070","0.28000","0.28030","1552347",1686554519999,"435183.70170",759,"840687","235686.68440"
"ADAUSDT","ADAUSDT#1686554520000",1686554520000,"0.28030","0.28100","0.28010","0.28080","2343887",1686554579999,"657974.85040",941,"1300278","365021.14150"
"ADAUSDT","ADAUSDT#1686554580000",1686554580000,"0.28080","0.28110","0.28070","0.28090","1023552",1686554639999,"287472.93820",550,"512795","144037.11050"
"ADAUSDT","ADAUSDT#1686554640000",1686554640000,"0.28090","0.28100","0.28000","0.28040","1784587",1686554699999,"500381.92090",830,"469593","131634.27440"
"ADAUSDT","ADAUSDT#1686554700000",1686554700000,"0.28040","0.28040","0.27980","0.28010","3078591",1686554759999,"861870.07590",893,"1339927","375190.24680"
"ADAUSDT","ADAUSDT#1686554760000",1686554760000,"0.28020","0.28020","0.27980","0.28010","732711",1686554819999,"205175.43980",456,"312185","87433.17860"
"ADAUSDT","ADAUSDT#1686554820000",1686554820000,"0.28010","0.28010","0.27980","0.28000","684302",1686554879999,"191585.05930",373,"339553","95070.25390"
"ADAUSDT","ADAUSDT#1686554880000",1686554880000,"0.27990","0.28010","0.27930","0.27940","1885711",1686554939999,"527078.01250",740,"409297","114411.10590"
"ADAUSDT","ADAUSDT#1686554940000",1686554940000,"0.27940","0.27990","0.27930","0.27960","1085687",1686554999999,"303510.63720",544,"597562","167049.51300"
"ADAUSDT","ADAUSDT#1686555000000",1686555000000,"0.27950","0.27990","0.27930","0.27980","1414892",1686555059999,"395576.36380",559,"857513","239786.45030"
"ADAUSDT","ADAUSDT#1686555060000",1686555060000,"0.27980","0.27990","0.27950","0.27960","539543",1686555119999,"150913.12570",317,"234219","65520.81860"
"ADAUSDT","ADAUSDT#1686555120000",1686555120000,"0.27950","0.27960","0.27900","0.27900","859891",1686555179999,"240090.65020",565,"244257","68209.74040"
"ADAUSDT","ADAUSDT#1686555180000",1686555180000,"0.27910","0.27910","0.27840","0.27880","1964671",1686555239999,"547450.97860",947,"876552","244233.62210"
"ADAUSDT","ADAUSDT#1686555240000",1686555240000,"0.27880","0.27900","0.27840","0.27890","1396306",1686555299999,"389123.12980",558,"695072","193750.10380"
"ADAUSDT","ADAUSDT#1686555300000",1686555300000,"0.27890","0.27910","0.27850","0.27870","1685696",1686555359999,"469888.83160",719,"823835","229649.98650"
"ADAUSDT","ADAUSDT#1686555360000",1686555360000,"0.27870","0.27880","0.27820","0.27840","1394188",1686555419999,"388231.64640",636,"527247","146823.87220"
"ADAUSDT","ADAUSDT#1686555420000",1686555420000,"0.27840","0.27910","0.27830","0.27880","1544244",1686555479999,"430437.76060",718,"892917","248829.48920"
"ADAUSDT","ADAUSDT#1686555480000",1686555480000,"0.27880","0.27890","0.27850","0.27860","499494",1686555539999,"139153.42820",296,"213138","59382.77230"
"ADAUSDT","ADAUSDT#1686555540000",1686555540000,"0.27870","0.27870","0.27840","0.27860","592341",1686555599999,"165017.92440",320,"274250","76404.62080"
"ADAUSDT","ADAUSDT#1686555600000",1686555600000,"0.27860","0.27930","0.27850","0.27910","1458687",1686555659999,"406925.49690",576,"899158","250786.93630"
"ADAUSDT","ADAUSDT#1686555660000",1686555660000,"0.27900","0.27910","0.27850","0.27870","630130",1686555719999,"175643.61870",319,"210496","58664.10180"
"ADAUSDT","ADAUSDT#1686555720000",1686555720000,"0.27880","0.27890","0.27870","0.27870","312517",1686555779999,"87132.33600",202,"137504","38339.44460"
"ADAUSDT","ADAUSDT#1686555780000",1686555780000,"0.27880","0.27890","0.27840","0.27840","845815",1686555839999,"235659.95110",307,"181696","50641.48540"
"ADAUSDT","ADAUSDT#1686555840000",1686555840000,"0.27850","0.27860","0.27820","0.27830","934487",1686555899999,"260118.49570",458,"391820","109085.60430"
"ADAUSDT","ADAUSDT#1686555900000",1686555900000,"0.27840","0.27860","0.27830","0.27860","1015959",1686555959999,"282914.77030",388,"539317","150203.31180"
"ADAUSDT","ADAUSDT#1686555960000",1686555960000,"0.27850","0.27900","0.27850","0.27870","970056",1686556019999,"270465.34450",435,"437282","121925.22050"
"ADAUSDT","ADAUSDT#1686556020000",1686556020000,"0.27880","0.27890","0.27870","0.27870","434859",1686556079999,"121237.12600",257,"184363","51402.26980"
"ADAUSDT","ADAUSDT#1686556080000",1686556080000,"0.27870","0.27880","0.27810","0.27840","1876346",1686556139999,"522205.35660",799,"781478","217493.14850"
"ADAUSDT","ADAUSDT#1686556140000",1686556140000,"0.27840","0.27840","0.27770","0.27800","5225443",1686556199999,"1452660.90480",1325,"1367257","380132.50140"
"ADAUSDT","ADAUSDT#1686556200000",1686556200000,"0.27800","0.27850","0.27770","0.27780","5000113",1686556259999,"1390036.98370",1216,"2245741","624307.61710"
"ADAUSDT","ADAUSDT#1686556260000",1686556260000,"0.27780","0.27850","0.27780","0.27850","569738",1686556319999,"158478.30180",294,"311559","86659.31210"
"ADAUSDT","ADAUSDT#1686556320000",1686556320000,"0.27850","0.27890","0.27840","0.27880","924878",1686556379999,"257762.96060",419,"452084","125987.85750"
"ADAUSDT","ADAUSDT#1686556380000",1686556380000,"0.27870","0.27930","0.27870","0.27920","1359955",1686556439999,"379547.33140",650,"827636","230982.43350"
"ADAUSDT","ADAUSDT#1686556440000",1686556440000,"0.27920","0.27930","0.27890","0.27920","1458945",1686556499999,"407205.00900",595,"590549","164851.94830"
"ADAUSDT","ADAUSDT#1686556500000",1686556500000,"0.27910","0.27920","0.27860","0.27860","1105821",1686556559999,"308534.24440",434,"361540","100908.69860"
"ADAUSDT","ADAUSDT#1686556560000",1686556560000,"0.27850","0.27860","0.27780","0.27840","2535603",1686556619999,"705059.47770",1015,"1183455","329149.61270"
"ADAUSDT","ADAUSDT#1686556620000",1686556620000,"0.27840","0.27850","0.27800","0.27820","1917536",1686556679999,"533562.62010",727,"660721","183881.21100"
"ADAUSDT","ADAUSDT#1686556680000",1686556680000,"0.27820","0.27830","0.27730","0.27780","3061817",1686556739999,"850100.15970",1359,"1319886","366472.20570"
"ADAUSDT","ADAUSDT#1686556740000",1686556740000,"0.27780","0.27810","0.27770","0.27790","1565643",1686556799999,"435057.66280",565,"720170","200134.70450"
"ADAUSDT","ADAUSDT#1686556800000",1686556800000,"0.27780","0.27830","0.27770","0.27810","2664079",1686556859999,"740895.38960",891,"1700932","473074.59710"
