"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"AGIXBUSD","AGIXBUSD#1686542460000",1686542460000,"0.1968000","0.1971000","0.1968000","0.1968000","39128",1686542519999,"7705.2713000",82,"22798","4490.1715000"
"AGIXBUSD","AGIXBUSD#1686542520000",1686542520000,"0.1969000","0.1972000","0.1969000","0.1971000","19017",1686542579999,"3746.1980000",84,"12876","2536.5099000"
"AGIXBUSD","AGIXBUSD#1686542580000",1686542580000,"0.1971000","0.1974000","0.1971000","0.1973000","34237",1686542639999,"6756.2705000",96,"11013","2173.1211000"
"AGIXBUSD","AGIXBUSD#1686542640000",1686542640000,"0.1973000","0.1974000","0.1968000","0.1968000","36613",1686542699999,"7217.7240000",56,"6841","1348.9395000"
"AGIXBUSD","AGIXBUSD#1686542700000",1686542700000,"0.1968000","0.1968000","0.1966000","0.1966000","9418",1686542759999,"1852.7747000",20,"3529","694.3700000"
"AGIXBUSD","AGIXBUSD#1686542760000",1686542760000,"0.1966000","0.1968000","0.1965000","0.1967000","25904",1686542819999,"5095.5465000",39,"18043","3549.1053000"
"AGIXBUSD","AGIXBUSD#1686542820000",1686542820000,"0.1968000","0.1970000","0.1968000","0.1970000","52062",1686542879999,"10251.6796000",57,"32149","6329.4919000"
"AGIXBUSD","AGIXBUSD#1686542880000",1686542880000,"0.1971000","0.1975000","0.1970000","0.1975000","21487",1686542939999,"4235.8647000",47,"12402","2445.3687000"
"AGIXBUSD","AGIXBUSD#1686542940000",1686542940000,"0.1974000","0.1975000","0.1974000","0.1974000","25041",1686542999999,"4943.8903000",25,"11429","2256.8815000"
"AGIXBUSD","AGIXBUSD#1686543000000",1686543000000,"0.1974000","0.1974000","0.1972000","0.1973000","23992",1686543059999,"4733.6519000",34,"5105","1007.2675000"
"AGIXBUSD","AGIXBUSD#1686543060000",1686543060000,"0.1973000","0.1974000","0.1973000","0.1974000","5994",1686543119999,"1183.0577000",14,"5819","1148.5302000"
"AGIXBUSD","AGIXBUSD#1686543120000",1686543120000,"0.1975000","0.1977000","0.1975000","0.1977000","12949",1686543179999,"2559.2788000",23,"4852","958.6655000"
"AGIXBUSD","AGIXBUSD#1686543180000",1686543180000,"0.1977000","0.1977000","0.1973000","0.1974000","17283",1686543239999,"3414.3616000",24,"1216","240.0384000"
"AGIXBUSD","AGIXBUSD#1686543240000",1686543240000,"0.1974000","0.1974000","0.1972000","0.1973000","14982",1686543299999,"2956.1083000",28,"2618","516.5314000"
"AGIXBUSD","AGIXBUSD#1686543300000",1686543300000,"0.1973000","0.1975000","0.1973000","0.1975000","18133",1686543359999,"3579.4771000",34,"13494","2663.3858000"
"AGIXBUSD","AGIXBUSD#1686543360000",1686543360000,"0.1976000","0.1977000","0.1976000","0.1977000","10005",1686543419999,"1977.8547000",17,"6869","1357.8675000"
"AGIXBUSD","AGIXBUSD#1686543420000",1686543420000,"0.1978000","0.1978000","0.1976000","0.1976000","9199",1686543479999,"1818.9979000",19,"3495","690.9000000"
