"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BELUSDT","BELUSDT#1686600060000",1686600060000,"0.56160","0.56180","0.56120","0.56150","19106",1686600119999,"10727.76840",64,"10584","5942.99570"
"BELUSDT","BELUSDT#1686600120000",1686600120000,"0.56140","0.56140","0.56080","0.56130","22973",1686600179999,"12889.19270",81,"11515","6459.57960"
"BELUSDT","BELUSDT#1686600180000",1686600180000,"0.56120","0.56160","0.56110","0.56140","17243",1686600239999,"9679.12060",85,"6942","3896.81370"
"BELUSDT","BELUSDT#1686600240000",1686600240000,"0.56140","0.56160","0.56110","0.56130","12762",1686600299999,"7163.97480",45,"5800","3255.95380"
"BELUSDT","BELUSDT#1686600300000",1686600300000,"0.56130","0.56170","0.56100","0.56160","14911",1686600359999,"8368.57040",73,"7795","4375.71230"
"BELUSDT","BELUSDT#1686600360000",1686600360000,"0.56160","0.56170","0.56130","0.56140","12547",1686600419999,"7045.45360",48,"5295","2973.19250"
"BELUSDT","BELUSDT#1686600420000",1686600420000,"0.56150","0.56210","0.56140","0.56180","22717",1686600479999,"12762.79900",88,"13405","7529.97410"
"BELUSDT","BELUSDT#1686600480000",1686600480000,"0.56150","0.56150","0.56070","0.56110","17626",1686600539999,"9887.42480",88,"9098","5103.79640"
"BELUSDT","BELUSDT#1686600540000",1686600540000,"0.56120","0.56260","0.56100","0.56250","31538",1686600599999,"17723.61580",86,"22453","12617.48020"
"BELUSDT","BELUSDT#1686600600000",1686600600000,"0.56260","0.56510","0.56260","0.56510","101352",1686600659999,"57164.45630",297,"82633","46617.08770"
"BELUSDT","BELUSDT#1686600660000",1686600660000,"0.56520","0.56590","0.56410","0.56470","74699",1686600719999,"42195.22860",265,"35117","19842.22730"
"BELUSDT","BELUSDT#1686600720000",1686600720000,"0.56440","0.56440","0.56360","0.56360","26231",1686600779999,"14791.61560",97,"9100","5132.44880"
"BELUSDT","BELUSDT#1686600780000",1686600780000,"0.56350","0.56350","0.56310","0.56310","7140",1686600839999,"4021.52520",31,"500","281.65000"
"BELUSDT","BELUSDT#1686600840000",1686600840000,"0.56300","0.56300","0.56250","0.56260","29927",1686600899999,"16840.49690",98,"12508","7039.38350"
"BELUSDT","BELUSDT#1686600900000",1686600900000,"0.56260","0.56360","0.56260","0.56290","23581",1686600959999,"13276.83880",122,"9961","5608.84730"
"BELUSDT","BELUSDT#1686600960000",1686600960000,"0.56280","0.56300","0.56280","0.56290","7892",1686601019999,"4442.34650",42,"2399","1350.52300"
"BELUSDT","BELUSDT#1686601020000",1686601020000,"0.56300","0.56300","0.56230","0.56270","16791",1686601079999,"9446.72370",67,"8609","4843.87570"
"BELUSDT","BELUSDT#1686601080000",1686601080000,"0.56280","0.56310","0.56250","0.56260","11061",1686601139999,"6225.20500",49,"4222","2376.38180"
"BELUSDT","BELUSDT#1686601140000",1686601140000,"0.56260","0.56320","0.56260","0.56300","27488",1686601199999,"15471.65050",114,"9361","5268.00770"
"BELUSDT","BELUSDT#1686601200000",1686601200000,"0.56300","0.56390","0.56300","0.56360","37766",1686601259999,"21277.61930",148,"20254","11410.82170"
"BELUSDT","BELUSDT#1686601260000",1686601260000,"0.56350","0.56460","0.56350","0.56410","19408",1686601319999,"10951.16480",125,"12839","7245.49280"
"BELUSDT","BELUSDT#1686601320000",1686601320000,"0.56420","0.56530","0.56420","0.56510","46664",1686601379999,"26360.59110",186,"29097","16433.26760"
"BELUSDT","BELUSDT#1686601380000",1686601380000,"0.56510","0.56530","0.56420","0.56450","37140",1686601439999,"20971.99770",121,"3313","1871.18490"
"BELUSDT","BELUSDT#1686601440000",1686601440000,"0.56450","0.56500","0.56430","0.56480","17604",1686601499999,"9939.27180",73,"8072","4557.76090"
"BELUSDT","BELUSDT#1686601500000",1686601500000,"0.56490","0.56520","0.56470","0.56490","15203",1686601559999,"8589.38030",99,"2448","1383.19570"
"BELUSDT","BELUSDT#1686601560000",1686601560000,"0.56500","0.56540","0.56500","0.56540","4294",1686601619999,"2426.84820",39,"3621","2046.49250"
"BELUSDT","BELUSDT#1686601620000",1686601620000,"0.56540","0.56540","0.56460","0.56470","11430",1686601679999,"6457.97520",55,"1287","726.86310"
"BELUSDT","BELUSDT#1686601680000",1686601680000,"0.56470","0.56490","0.56420","0.56430","6592",1686601739999,"3721.17900",43,"2822","1592.82510"
"BELUSDT","BELUSDT#1686601740000",1686601740000,"0.56450","0.56510","0.56440","0.56490","28036",1686601799999,"15833.37630",88,"9478","5352.94780"
"BELUSDT","BELUSDT#1686601800000",1686601800000,"0.56500","0.56550","0.56430","0.56480","66229",1686601859999,"37411.40730",176,"36373","20546.50990"
"BELUSDT","BELUSDT#1686601860000",1686601860000,"0.56480","0.56540","0.56480","0.56510","31324",1686601919999,"17700.11870",91,"28327","16006.70220"
"BELUSDT","BELUSDT#1686601920000",1686601920000,"0.56510","0.56700","0.56490","0.56640","76629",1686601979999,"43379.84380",287,"63955","36202.42360"
"BELUSDT","BELUSDT#1686601980000",1686601980000,"0.56630","0.56710","0.56620","0.56690","40648",1686602039999,"23036.41240",187,"25447","14422.84380"
"BELUSDT","BELUSDT#1686602040000",1686602040000,"0.56700","0.56700","0.56520","0.56560","103059",1686602099999,"58321.96720",183,"8920","5046.65230"
"BELUSDT","BELUSDT#1686602100000",1686602100000,"0.56560","0.56610","0.56540","0.56590","28626",1686602159999,"16194.38070",118,"22982","13002.15680"
"BELUSDT","BELUSDT#1686602160000",1686602160000,"0.56580","0.56690","0.56580","0.56690","19087",1686602219999,"10805.81960",76,"17818","10087.46360"
"BELUSDT","BELUSDT#1686602220000",1686602220000,"0.56690","0.56770","0.56670","0.56770","23599",1686602279999,"13382.01360",79,"15888","9010.07160"
"BELUSDT","BELUSDT#1686602280000",1686602280000,"0.56780","0.56900","0.56750","0.56870","95485",1686602339999,"54261.83550",202,"73398","41718.25640"
"BELUSDT","BELUSDT#1686602340000",1686602340000,"0.56870","0.56920","0.56820","0.56900","90102",1686602399999,"51239.06800",242,"45475","25866.39160"
"BELUSDT","BELUSDT#1686602400000",1686602400000,"0.56870","0.56940","0.56790","0.56790","35490",1686602459999,"20191.41630",123,"21665","12329.48520"
"BELUSDT","BELUSDT#1686602460000",1686602460000,"0.56800","0.56850","0.56800","0.56840","24631",1686602519999,"13997.50960",99,"17446","9913.27190"
"BELUSDT","BELUSDT#1686602520000",1686602520000,"0.56830","0.56830","0.56770","0.56790","40985",1686602579999,"23279.91580",125,"18310","10400.77510"
"BELUSDT","BELUSDT#1686602580000",1686602580000,"0.56790","0.56810","0.56760","0.56780","22747",1686602639999,"12918.32760",76,"11146","6330.34090"
"BELUSDT","BELUSDT#1686602640000",1686602640000,"0.56790","0.56860","0.56770","0.56810","34324",1686602699999,"19503.69510",137,"18351","10426.54200"
"BELUSDT","BELUSDT#1686602700000",1686602700000,"0.56810","0.56820","0.56710","0.56760","63145",1686602759999,"35844.71520",178,"23602","13398.66300"
"BELUSDT","BELUSDT#1686602760000",1686602760000,"0.56760","0.56790","0.56730","0.56790","15686",1686602819999,"8902.68600",74,"9997","5674.55030"
"BELUSDT","BELUSDT#1686602820000",1686602820000,"0.56780","0.56880","0.56770","0.56870","56487",1686602879999,"32104.50630",157,"46089","26196.03850"
"BELUSDT","BELUSDT#1686602880000",1686602880000,"0.56860","0.56870","0.56750","0.56750","21020",1686602939999,"11943.13990",82,"2939","1670.17550"
"BELUSDT","BELUSDT#1686602940000",1686602940000,"0.56760","0.56810","0.56750","0.56750","18112",1686602999999,"10284.18960",53,"7844","4454.29530"
"BELUSDT","BELUSDT#1686603000000",1686603000000,"0.56740","0.56750","0.56690","0.56710","35130",1686603059999,"19923.81530",117,"10327","5857.35500"
"BELUSDT","BELUSDT#1686603060000",1686603060000,"0.56700","0.56840","0.56700","0.56810","27202",1686603119999,"15442.78040",97,"16800","9536.59710"
"BELUSDT","BELUSDT#1686603120000",1686603120000,"0.56810","0.56820","0.56720","0.56810","30741",1686603179999,"17452.53350",94,"15763","8950.25620"
"BELUSDT","BELUSDT#1686603180000",1686603180000,"0.56810","0.56810","0.56740","0.56800","17558",1686603239999,"9971.00320",53,"6716","3813.78480"
"BELUSDT","BELUSDT#1686603240000",1686603240000,"0.56780","0.56810","0.56740","0.56760","20913",1686603299999,"11872.31320",70,"11519","6539.89870"
"BELUSDT","BELUSDT#1686603300000",1686603300000,"0.56770","0.56810","0.56760","0.56780","9943",1686603359999,"5645.73940",33,"5075","2881.56740"
"BELUSDT","BELUSDT#1686603360000",1686603360000,"0.56790","0.56820","0.56750","0.56800","14289",1686603419999,"8115.25740",79,"8946","5080.88420"
"BELUSDT","BELUSDT#1686603420000",1686603420000,"0.56790","0.56850","0.56780","0.56810","11338",1686603479999,"6441.83890",70,"8927","5071.89070"
