"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BNBBUSD","BNBBUSD#1686531660000",1686531660000,"235.030","235.500","235.020","235.440","278.56",1686531719999,"65555.23160",107,"146.35","34430.62700"
"BNBBUSD","BNBBUSD#1686531720000",1686531720000,"235.400","235.710","235.260","235.710","228.92",1686531779999,"53900.39110",86,"152.57","35933.07800"
"BNBBUSD","BNBBUSD#1686531780000",1686531780000,"235.690","235.690","235.380","235.560","132.04",1686531839999,"31100.19320",45,"39.52","9307.32510"
"BNBBUSD","BNBBUSD#1686531840000",1686531840000,"235.540","235.670","235.540","235.570","84.11",1686531899999,"19818.00190",26,"6.78","1597.47550"
"BNBBUSD","BNBBUSD#1686531900000",1686531900000,"235.550","235.620","235.420","235.530","292.15",1686531959999,"68805.16030",78,"121.36","28583.81570"
"BNBBUSD","BNBBUSD#1686531960000",1686531960000,"235.510","235.510","235.210","235.280","174.14",1686532019999,"40980.45710",43,"71.06","16719.59680"
"BNBBUSD","BNBBUSD#1686532020000",1686532020000,"235.290","235.290","235.130","235.140","78.56",1686532079999,"18475.87660",26,"27.57","6482.65730"
"BNBBUSD","BNBBUSD#1686532080000",1686532080000,"235.130","235.410","235.120","235.410","185.74",1686532139999,"43691.19400",67,"169.46","39859.83680"
"BNBBUSD","BNBBUSD#1686532140000",1686532140000,"235.470","235.560","235.300","235.380","209.33",1686532199999,"49284.30260",74,"61.82","14558.63510"
"BNBBUSD","BNBBUSD#1686532200000",1686532200000,"235.410","235.470","235.160","235.290","109.27",1686532259999,"25705.12580",40,"78.26","18408.70110"
"BNBBUSD","BNBBUSD#1686532260000",1686532260000,"235.270","235.490","235.130","235.280","167.85",1686532319999,"39494.50710",57,"93.89","22091.90310"
"BNBBUSD","BNBBUSD#1686532320000",1686532320000,"235.280","235.280","235.060","235.090","128.58",1686532379999,"30239.33180",29,"47.33","11126.93720"
"BNBBUSD","BNBBUSD#1686532380000",1686532380000,"235.150","235.150","235.000","235.110","57.01",1686532439999,"13401.44890",32,"46.69","10975.57640"
"BNBBUSD","BNBBUSD#1686532440000",1686532440000,"235.120","235.160","235.010","235.110","159.11",1686532499999,"37401.71870",45,"107.41","25248.60130"
"BNBBUSD","BNBBUSD#1686532500000",1686532500000,"235.080","235.220","234.820","234.910","191.06",1686532559999,"44909.98970",66,"86.38","20306.70890"
"BNBBUSD","BNBBUSD#1686532560000",1686532560000,"234.860","235.060","234.790","234.790","121.68",1686532619999,"28583.32740",40,"39.32","9236.10100"
"BNBBUSD","BNBBUSD#1686532620000",1686532620000,"234.820","235.000","234.800","234.810","130.09",1686532679999,"30551.23080",53,"64.88","15234.68600"
"BNBBUSD","BNBBUSD#1686532680000",1686532680000,"234.810","234.930","234.760","234.760","149.99",1686532739999,"35225.98020",42,"60.40","14185.86930"
"BNBBUSD","BNBBUSD#1686532740000",1686532740000,"234.760","234.860","234.660","234.660","156.38",1686532799999,"36706.42670",57,"79.91","18755.23630"
"BNBBUSD","BNBBUSD#1686532800000",1686532800000,"234.660","234.800","234.660","234.800","93.99",1686532859999,"22064.80920",54,"29.28","6872.88940"
"BNBBUSD","BNBBUSD#1686532860000",1686532860000,"234.810","235.090","234.800","234.950","279.52",1686532919999,"65691.75800",117,"147.03","34558.80250"
"BNBBUSD","BNBBUSD#1686532920000",1686532920000,"234.920","235.120","234.920","235.120","75.67",1686532979999,"17782.34800",30,"72.72","17088.74400"
"BNBBUSD","BNBBUSD#1686532980000",1686532980000,"235.120","235.250","235.120","235.180","64.96",1686533039999,"15278.87100",69,"16.19","3807.49110"
"BNBBUSD","BNBBUSD#1686533040000",1686533040000,"235.200","235.200","234.980","234.980","78.28",1686533099999,"18401.21810",29,"10.30","2420.76000"
"BNBBUSD","BNBBUSD#1686533100000",1686533100000,"234.980","235.010","234.930","235.010","74.71",1686533159999,"17553.98390",24,"59.71","14029.67880"
