"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BNBUSDT","BNBUSDT#1686571260000",1686571260000,"233.110","233.120","232.600","232.740","4910.81",1686571319999,"1143352.67710",1589,"1499.86","349221.36910"
"BNBUSDT","BNBUSDT#1686571320000",1686571320000,"232.750","233.150","232.600","233.080","3369.99",1686571379999,"784576.21130",1240,"1921.87","447528.68820"
"BNBUSDT","BNBUSDT#1686571380000",1686571380000,"233.090","233.350","233.080","233.350","2420.26",1686571439999,"564536.93220",1102,"1558.80","363608.18410"
"BNBUSDT","BNBUSDT#1686571440000",1686571440000,"233.340","233.350","232.870","232.870","1705.21",1686571499999,"397479.06820",680,"757.89","176660.59980"
"BNBUSDT","BNBUSDT#1686571500000",1686571500000,"232.870","233.050","232.660","232.830","5003.87",1686571559999,"1165205.86340",1273,"1299.17","302524.73160"
"BNBUSDT","BNBUSDT#1686571560000",1686571560000,"232.840","233.100","232.810","232.990","1494.12",1686571619999,"348043.77270",764,"1032.36","240476.29760"
"BNBUSDT","BNBUSDT#1686571620000",1686571620000,"232.990","233.000","232.700","232.720","2322.08",1686571679999,"540643.49780",789,"1257.89","292856.89430"
"BNBUSDT","BNBUSDT#1686571680000",1686571680000,"232.720","232.790","232.550","232.600","3031.62",1686571739999,"705407.23300",947,"951.30","221339.79530"
"BNBUSDT","BNBUSDT#1686571740000",1686571740000,"232.600","232.790","232.570","232.680","3443.68",1686571799999,"801264.56930",816,"2191.72","509953.39040"
"BNBUSDT","BNBUSDT#1686571800000",1686571800000,"232.680","232.880","232.680","232.750","1939.94",1686571859999,"451555.32540",680,"1222.99","284667.94830"
"BNBUSDT","BNBUSDT#1686571860000",1686571860000,"232.750","233.000","232.660","232.960","1951.55",1686571919999,"454397.76260",708,"1107.27","257822.17840"
"BNBUSDT","BNBUSDT#1686571920000",1686571920000,"232.950","233.160","232.950","233.090","1881.31",1686571979999,"438434.35520",681,"1202.99","280348.05570"
"BNBUSDT","BNBUSDT#1686571980000",1686571980000,"233.090","233.100","232.760","232.790","1070.07",1686572039999,"249199.79860",489,"431.37","100445.82010"
