"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BNXUSDT","BNXUSDT#1686528060000",1686528060000,"0.268800","0.269300","0.267100","0.267100","809558.5",1686528119999,"217168.6148900",986,"287451.6","77119.3914000"
"BNXUSDT","BNXUSDT#1686528120000",1686528120000,"0.267200","0.268900","0.267100","0.268900","445313.2",1686528179999,"119439.7014400",702,"318614.9","85458.6848600"
"BNXUSDT","BNXUSDT#1686528180000",1686528180000,"0.268900","0.269500","0.267900","0.268200","399266.2",1686528239999,"107247.6890000",612,"178077.4","47857.9153200"
"BNXUSDT","BNXUSDT#1686528240000",1686528240000,"0.268200","0.268500","0.267600","0.267600","158390.9",1686528299999,"42469.6321500",255,"70786.6","18993.3341300"
"BNXUSDT","BNXUSDT#1686528300000",1686528300000,"0.267500","0.268400","0.267000","0.267500","379285.9",1686528359999,"101525.8824000",419,"176105.9","47160.3556600"
"BNXUSDT","BNXUSDT#1686528360000",1686528360000,"0.267500","0.268200","0.267400","0.267500","184703.8",1686528419999,"49449.6874200",331,"100956.6","27031.7404900"
"BNXUSDT","BNXUSDT#1686528420000",1686528420000,"0.267500","0.267900","0.267400","0.267600","46874.0",1686528479999,"12547.0170200",99,"26340.3","7050.0857900"
"BNXUSDT","BNXUSDT#1686528480000",1686528480000,"0.267700","0.268000","0.267100","0.267200","142188.8",1686528539999,"38032.7018100",192,"30054.5","8041.6744700"
"BNXUSDT","BNXUSDT#1686528540000",1686528540000,"0.267200","0.268500","0.267200","0.268300","106549.8",1686528599999,"28534.8220800",180,"91886.9","24610.4570000"
"BNXUSDT","BNXUSDT#1686528600000",1686528600000,"0.268400","0.268600","0.266400","0.266500","368565.7",1686528659999,"98515.9384800",568,"94808.1","25344.4384400"
"BNXUSDT","BNXUSDT#1686528660000",1686528660000,"0.266500","0.267200","0.266400","0.266800","109152.1",1686528719999,"29137.3594800",175,"65224.7","17412.1158600"
"BNXUSDT","BNXUSDT#1686528720000",1686528720000,"0.266900","0.267200","0.266500","0.266600","170985.3",1686528779999,"45643.6723300",267,"78539.5","20968.2520300"
"BNXUSDT","BNXUSDT#1686528780000",1686528780000,"0.266500","0.266800","0.266500","0.266700","52020.7",1686528839999,"13871.5572200",105,"42823.6","11420.1980500"
"BNXUSDT","BNXUSDT#1686528840000",1686528840000,"0.266600","0.267300","0.266600","0.266900","81256.9",1686528899999,"21698.0105600",135,"63460.0","16946.2198900"
"BNXUSDT","BNXUSDT#1686528900000",1686528900000,"0.266900","0.267100","0.266400","0.266500","72015.4",1686528959999,"19208.5189800",154,"19485.3","5198.5204800"
"BNXUSDT","BNXUSDT#1686528960000",1686528960000,"0.266500","0.266500","0.264900","0.265300","250414.9",1686529019999,"66468.6852000",404,"48484.0","12872.0142100"
"BNXUSDT","BNXUSDT#1686529020000",1686529020000,"0.265300","0.265400","0.264900","0.264900","115957.4",1686529079999,"30750.7458100",152,"45406.8","12044.5017400"
"BNXUSDT","BNXUSDT#1686529080000",1686529080000,"0.265100","0.265600","0.265100","0.265600","82169.7",1686529139999,"21805.9078600",133,"58405.1","15502.1178900"
"BNXUSDT","BNXUSDT#1686529140000",1686529140000,"0.265600","0.265600","0.265000","0.265200","36097.5",1686529199999,"9575.8395500",114,"14624.1","3879.7854300"
"BNXUSDT","BNXUSDT#1686529200000",1686529200000,"0.265200","0.265400","0.265100","0.265200","32264.6",1686529259999,"8559.5914200",63,"17610.4","4672.5795700"
"BNXUSDT","BNXUSDT#1686529260000",1686529260000,"0.265300","0.265700","0.265200","0.265600","113958.3",1686529319999,"30250.6645300",121,"85194.2","22616.8110800"
"BNXUSDT","BNXUSDT#1686529320000",1686529320000,"0.265600","0.265700","0.265400","0.265500","42546.3",1686529379999,"11299.1574200",117,"18840.7","5004.0216600"
"BNXUSDT","BNXUSDT#1686529380000",1686529380000,"0.265500","0.265500","0.265200","0.265400","31560.6",1686529439999,"8373.7537900",75,"11428.8","3032.9202100"
"BNXUSDT","BNXUSDT#1686529440000",1686529440000,"0.265400","0.265700","0.265400","0.265400","33590.9",1686529499999,"8919.1606700",83,"17754.9","4714.7321000"
"BNXUSDT","BNXUSDT#1686529500000",1686529500000,"0.265400","0.265500","0.264400","0.264700","175038.0",1686529559999,"46375.0730300",265,"63326.9","16789.0504100"
"BNXUSDT","BNXUSDT#1686529560000",1686529560000,"0.264700","0.264900","0.264300","0.264700","70629.6",1686529619999,"18687.1917600",153,"23035.5","6095.8307500"
"BNXUSDT","BNXUSDT#1686529620000",1686529620000,"0.264600","0.264700","0.264400","0.264700","36400.5",1686529679999,"9630.6826700",90,"25670.1","6791.7060800"
"BNXUSDT","BNXUSDT#1686529680000",1686529680000,"0.264700","0.265000","0.264500","0.264800","70184.6",1686529739999,"18581.2790000",133,"45693.9","12097.1837700"
"BNXUSDT","BNXUSDT#1686529740000",1686529740000,"0.264800","0.265200","0.264600","0.264900","111644.1",1686529799999,"29584.8716500",149,"59106.7","15667.4824400"
"BNXUSDT","BNXUSDT#1686529800000",1686529800000,"0.264900","0.264900","0.264300","0.264500","132483.1",1686529859999,"35047.7520700",206,"51170.0","13536.7229600"
"BNXUSDT","BNXUSDT#1686529860000",1686529860000,"0.264400","0.264600","0.264200","0.264600","45534.4",1686529919999,"12039.9054400",109,"29747.0","7866.8512500"
"BNXUSDT","BNXUSDT#1686529920000",1686529920000,"0.264500","0.264600","0.264300","0.264600","33369.2",1686529979999,"8825.4920600",79,"13780.0","3645.1012600"
"BNXUSDT","BNXUSDT#1686529980000",1686529980000,"0.264600","0.264700","0.264500","0.264500","31817.9",1686530039999,"8416.3779300",44,"11013.2","2913.4767800"
"BNXUSDT","BNXUSDT#1686530040000",1686530040000,"0.264500","0.264700","0.264400","0.264700","46732.2",1686530099999,"12366.3982100",102,"15825.2","4188.0428400"
"BNXUSDT","BNXUSDT#1686530100000",1686530100000,"0.264600","0.265500","0.264400","0.264600","247858.8",1686530159999,"65673.5684500",420,"109019.5","28893.7127000"
"BNXUSDT","BNXUSDT#1686530160000",1686530160000,"0.264600","0.264700","0.263500","0.264200","343096.8",1686530219999,"90585.5283200",502,"162510.9","42923.9864700"
