"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DOTUSDT","DOTUSDT#1686549660000",1686549660000,"4.475","4.483","4.475","4.480","16815.4",1686549719999,"75339.9595",246,"8649.8","38756.8040"
"DOTUSDT","DOTUSDT#1686549720000",1686549720000,"4.479","4.481","4.477","4.480","9628.6",1686549779999,"43118.8871",194,"2576.4","11538.3987"
"DOTUSDT","DOTUSDT#1686549780000",1686549780000,"4.480","4.484","4.480","4.484","9291.3",1686549839999,"41635.7527",195,"1541.7","6909.7060"
"DOTUSDT","DOTUSDT#1686549840000",1686549840000,"4.483","4.484","4.481","4.484","10003.5",1686549899999,"44839.2171",148,"2580.8","11567.6771"
"DOTUSDT","DOTUSDT#1686549900000",1686549900000,"4.484","4.488","4.484","4.488","8217.8",1686549959999,"36862.7191",127,"5906.9","26494.3464"
"DOTUSDT","DOTUSDT#1686549960000",1686549960000,"4.488","4.488","4.485","4.486","18240.9",1686550019999,"81834.7372",230,"7056.6","31659.0179"
"DOTUSDT","DOTUSDT#1686550020000",1686550020000,"4.486","4.488","4.482","4.483","16955.9",1686550079999,"76054.1436",199,"3172.3","14232.3502"
"DOTUSDT","DOTUSDT#1686550080000",1686550080000,"4.483","4.483","4.477","4.478","10195.8",1686550139999,"45664.1820",168,"2639.4","11819.3118"
"DOTUSDT","DOTUSDT#1686550140000",1686550140000,"4.479","4.486","4.479","4.484","9252.1",1686550199999,"41473.8591",168,"3187.2","14280.2613"
"DOTUSDT","DOTUSDT#1686550200000",1686550200000,"4.485","4.485","4.482","4.485","7149.6",1686550259999,"32055.8567",73,"3485.7","15628.5201"
"DOTUSDT","DOTUSDT#1686550260000",1686550260000,"4.485","4.488","4.484","4.487","4633.2",1686550319999,"20781.9587",133,"2128.4","9546.7014"
"DOTUSDT","DOTUSDT#1686550320000",1686550320000,"4.487","4.490","4.487","4.488","23511.2",1686550379999,"105548.2371",132,"21664.4","97259.6598"
"DOTUSDT","DOTUSDT#1686550380000",1686550380000,"4.488","4.488","4.485","4.486","6339.4",1686550439999,"28444.1353",124,"880.8","3951.3454"
"DOTUSDT","DOTUSDT#1686550440000",1686550440000,"4.487","4.488","4.486","4.488","572.6",1686550499999,"2569.2000",25,"453.5","2034.8735"
"DOTUSDT","DOTUSDT#1686550500000",1686550500000,"4.487","4.488","4.480","4.483","17454.9",1686550559999,"78260.3759",202,"5461.0","24487.8699"
"DOTUSDT","DOTUSDT#1686550560000",1686550560000,"4.484","4.487","4.483","4.486","8379.6",1686550619999,"37585.2690",101,"3541.9","15883.8279"
"DOTUSDT","DOTUSDT#1686550620000",1686550620000,"4.486","4.489","4.486","4.489","2692.9",1686550679999,"12086.1725",68,"2530.1","11355.7215"
"DOTUSDT","DOTUSDT#1686550680000",1686550680000,"4.489","4.493","4.488","4.493","6271.1",1686550739999,"28159.7028",126,"5394.1","24222.2910"
"DOTUSDT","DOTUSDT#1686550740000",1686550740000,"4.494","4.497","4.493","4.496","14791.3",1686550799999,"66481.4774",148,"6967.3","31319.8090"
"DOTUSDT","DOTUSDT#1686550800000",1686550800000,"4.496","4.496","4.491","4.491","12135.1",1686550859999,"54528.3346",178,"1358.6","6104.4701"
"DOTUSDT","DOTUSDT#1686550860000",1686550860000,"4.492","4.493","4.490","4.491","8189.3",1686550919999,"36782.4532",148,"2002.2","8993.8084"
"DOTUSDT","DOTUSDT#1686550920000",1686550920000,"4.491","4.493","4.491","4.492","10700.1",1686550979999,"48064.0106",136,"3113.5","13985.8543"
"DOTUSDT","DOTUSDT#1686550980000",1686550980000,"4.493","4.493","4.491","4.491","3429.7",1686551039999,"15405.7656",72,"99.6","447.4079"
"DOTUSDT","DOTUSDT#1686551040000",1686551040000,"4.492","4.494","4.492","4.492","10893.8",1686551099999,"48950.0296",135,"5193.6","23336.7115"
"DOTUSDT","DOTUSDT#1686551100000",1686551100000,"4.493","4.496","4.490","4.495","11555.6",1686551159999,"51919.8521",176,"6169.2","27723.4527"
"DOTUSDT","DOTUSDT#1686551160000",1686551160000,"4.495","4.498","4.494","4.496","22157.8",1686551219999,"99619.0846",238,"5346.6","24039.0301"
"DOTUSDT","DOTUSDT#1686551220000",1686551220000,"4.495","4.503","4.493","4.501","38319.2",1686551279999,"172348.6894",302,"19618.5","88270.1458"
"DOTUSDT","DOTUSDT#1686551280000",1686551280000,"4.501","4.513","4.501","4.508","41661.1",1686551339999,"187846.5326",479,"24910.2","112309.9067"
"DOTUSDT","DOTUSDT#1686551340000",1686551340000,"4.508","4.511","4.505","4.509","16558.3",1686551399999,"74641.6758",208,"6028.7","27176.9512"
"DOTUSDT","DOTUSDT#1686551400000",1686551400000,"4.509","4.509","4.504","4.508","15076.6",1686551459999,"67951.1786",179,"8351.5","37640.3166"
"DOTUSDT","DOTUSDT#1686551460000",1686551460000,"4.508","4.511","4.506","4.511","10527.5",1686551519999,"47463.0012",142,"6098.0","27495.5119"
"DOTUSDT","DOTUSDT#1686551520000",1686551520000,"4.512","4.512","4.507","4.510","26766.1",1686551579999,"120713.0509",283,"12220.4","55112.0903"
"DOTUSDT","DOTUSDT#1686551580000",1686551580000,"4.511","4.511","4.502","4.505","18707.1",1686551639999,"84285.4491",209,"9399.1","42331.4201"
"DOTUSDT","DOTUSDT#1686551640000",1686551640000,"4.504","4.508","4.502","4.506","30600.5",1686551699999,"137870.8963",318,"20928.0","94299.8808"
"DOTUSDT","DOTUSDT#1686551700000",1686551700000,"4.507","4.511","4.507","4.511","8311.0",1686551759999,"37475.2697",116,"7762.7","35002.7971"
"DOTUSDT","DOTUSDT#1686551760000",1686551760000,"4.510","4.512","4.507","4.507","5606.0",1686551819999,"25282.5997",129,"1346.9","6074.8243"
