"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"FTMBUSD","FTMBUSD#1686603660000",1686603660000,"0.2427000","0.2427000","0.2424000","0.2424000","5444",1686603719999,"1320.0076000",9,"0","0.0000000"
"FTMBUSD","FTMBUSD#1686603720000",1686603720000,"0.2425000","0.2427000","0.2425000","0.2427000","18732",1686603779999,"4542.9708000",15,"18732","4542.9708000"
"FTMBUSD","FTMBUSD#1686603780000",1686603780000,"0.2427000","0.2427000","0.2427000","0.2427000","8450",1686603839999,"2050.8150000",9,"8450","2050.8150000"
"FTMBUSD","FTMBUSD#1686603840000",1686603840000,"0.2428000","0.2428000","0.2428000","0.2428000","8809",1686603899999,"2138.8252000",5,"8809","2138.8252000"
"FTMBUSD","FTMBUSD#1686603900000",1686603900000,"0.2429000","0.2432000","0.2429000","0.2432000","18294",1686603959999,"4445.1426000",15,"18294","4445.1426000"
"FTMBUSD","FTMBUSD#1686603960000",1686603960000,"0.2433000","0.2434000","0.2432000","0.2432000","13398",1686604019999,"3260.8543000",15,"3902","949.5603000"
"FTMBUSD","FTMBUSD#1686604020000",1686604020000,"0.2430000","0.2433000","0.2430000","0.2433000","13759",1686604079999,"3343.8042000",12,"8366","2033.3052000"
"FTMBUSD","FTMBUSD#1686604080000",1686604080000,"0.2434000","0.2434000","0.2433000","0.2433000","2295",1686604139999,"558.4676000",7,"941","229.0394000"
"FTMBUSD","FTMBUSD#1686604140000",1686604140000,"0.2432000","0.2436000","0.2432000","0.2436000","30960",1686604199999,"7531.8502000",18,"15543","3782.4358000"
"FTMBUSD","FTMBUSD#1686604200000",1686604200000,"0.2437000","0.2437000","0.2435000","0.2435000","24236",1686604259999,"5905.7706000",27,"13918","3391.8166000"
"FTMBUSD","FTMBUSD#1686604260000",1686604260000,"0.2435000","0.2435000","0.2434000","0.2435000","25142",1686604319999,"6120.0467000",30,"13069","3181.0050000"
"FTMBUSD","FTMBUSD#1686604320000",1686604320000,"0.2435000","0.2435000","0.2435000","0.2435000","16141",1686604379999,"3930.3335000",9,"16141","3930.3335000"
"FTMBUSD","FTMBUSD#1686604380000",1686604380000,"0.2435000","0.2435000","0.2434000","0.2434000","1877",1686604439999,"456.9405000",5,"0","0.0000000"
"FTMBUSD","FTMBUSD#1686604440000",1686604440000,"0.2434000","0.2434000","0.2434000","0.2434000","6369",1686604499999,"1550.2146000",6,"0","0.0000000"
"FTMBUSD","FTMBUSD#1686604500000",1686604500000,"0.2432000","0.2434000","0.2432000","0.2433000","33216",1686604559999,"8082.0060000",41,"17830","4338.3132000"
"FTMBUSD","FTMBUSD#1686604560000",1686604560000,"0.2433000","0.2433000","0.2433000","0.2433000","0",1686604619999,"0.0000000",0,"0","0.0000000"
"FTMBUSD","FTMBUSD#1686604620000",1686604620000,"0.2432000","0.2432000","0.2428000","0.2428000","8151",1686604679999,"1980.5527000",12,"0","0.0000000"
"FTMBUSD","FTMBUSD#1686604680000",1686604680000,"0.2428000","0.2428000","0.2428000","0.2428000","0",1686604739999,"0.0000000",0,"0","0.0000000"
"FTMBUSD","FTMBUSD#1686604740000",1686604740000,"0.2429000","0.2430000","0.2429000","0.2430000","15226",1686604799999,"3699.0901000",16,"8279","2010.9691000"
