"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GALUSDT","GALUSDT#1686535260000",1686535260000,"1.01200","1.01270","1.00990","1.01150","87618",1686535319999,"88602.23130",472,"38453","38888.07190"
"GALUSDT","GALUSDT#1686535320000",1686535320000,"1.01160","1.01430","1.01160","1.01390","17160",1686535379999,"17382.96530",123,"13765","13943.56360"
"GALUSDT","GALUSDT#1686535380000",1686535380000,"1.01440","1.01570","1.01420","1.01560","4777",1686535439999,"4848.63590",75,"1364","1384.36560"
"GALUSDT","GALUSDT#1686535440000",1686535440000,"1.01570","1.01860","1.01570","1.01770","35629",1686535499999,"36241.41760",322,"25109","25542.01280"
"GALUSDT","GALUSDT#1686535500000",1686535500000,"1.01770","1.01790","1.01530","1.01550","18309",1686535559999,"18609.11210",173,"6022","6119.93950"
"GALUSDT","GALUSDT#1686535560000",1686535560000,"1.01560","1.01560","1.01370","1.01420","9834",1686535619999,"9975.64870",92,"2476","2510.58240"
"GALUSDT","GALUSDT#1686535620000",1686535620000,"1.01450","1.01550","1.01350","1.01540","6548",1686535679999,"6644.36680",77,"3153","3199.50710"
"GALUSDT","GALUSDT#1686535680000",1686535680000,"1.01530","1.01560","1.01380","1.01540","8070",1686535739999,"8186.74470",78,"3984","4041.60130"
"GALUSDT","GALUSDT#1686535740000",1686535740000,"1.01510","1.01510","1.01360","1.01380","15203",1686535799999,"15419.44560",115,"7681","7790.35190"
"GALUSDT","GALUSDT#1686535800000",1686535800000,"1.01390","1.01390","1.01130","1.01260","22844",1686535859999,"23121.82630",161,"5055","5118.33370"
"GALUSDT","GALUSDT#1686535860000",1686535860000,"1.01280","1.01320","1.01100","1.01270","20225",1686535919999,"20470.70780",116,"5968","6044.64050"
"GALUSDT","GALUSDT#1686535920000",1686535920000,"1.01260","1.01260","1.01100","1.01220","15260",1686535979999,"15439.39470",86,"6224","6298.25670"
"GALUSDT","GALUSDT#1686535980000",1686535980000,"1.01210","1.01260","1.01120","1.01230","5725",1686536039999,"5792.60620",53,"3337","3376.82920"
"GALUSDT","GALUSDT#1686536040000",1686536040000,"1.01250","1.01260","1.01140","1.01140","5296",1686536099999,"5359.95200",55,"2901","2936.37450"
"GALUSDT","GALUSDT#1686536100000",1686536100000,"1.01140","1.01320","1.00880","1.00910","20131",1686536159999,"20348.17050",175,"8520","8621.57990"
"GALUSDT","GALUSDT#1686536160000",1686536160000,"1.00920","1.00920","1.00460","1.00460","53897",1686536219999,"54250.76950",267,"10146","10208.78070"
"GALUSDT","GALUSDT#1686536220000",1686536220000,"1.00470","1.00660","1.00410","1.00610","23140",1686536279999,"23267.41900",167,"5916","5948.78620"
"GALUSDT","GALUSDT#1686536280000",1686536280000,"1.00620","1.00690","1.00410","1.00410","17473",1686536339999,"17564.70090",160,"7202","7241.50100"
"GALUSDT","GALUSDT#1686536340000",1686536340000,"1.00420","1.00540","1.00270","1.00470","20555",1686536399999,"20638.34610",186,"9137","9173.57320"
