"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"INJUSDT","INJUSDT#1686574860000",1686574860000,"5.803000","5.805000","5.795000","5.800000","8390.4",1686574919999,"48662.0149000",235,"3833.6","22229.8677000"
"INJUSDT","INJUSDT#1686574920000",1686574920000,"5.799000","5.801000","5.794000","5.798000","6735.7",1686574979999,"39049.4760000",217,"4448.4","25789.1738000"
"INJUSDT","INJUSDT#1686574980000",1686574980000,"5.798000","5.803000","5.795000","5.795000","7816.0",1686575039999,"45325.6291000",207,"4231.7","24538.6347000"
"INJUSDT","INJUSDT#1686575040000",1686575040000,"5.797000","5.800000","5.796000","5.796000","3250.2",1686575099999,"18845.0306000",120,"1326.0","7688.7862000"
"INJUSDT","INJUSDT#1686575100000",1686575100000,"5.797000","5.797000","5.789000","5.794000","8754.8",1686575159999,"50706.6622000",235,"4181.4","24218.3399000"
"INJUSDT","INJUSDT#1686575160000",1686575160000,"5.794000","5.797000","5.792000","5.794000","14324.6",1686575219999,"83000.7368000",205,"10852.7","62884.3554000"
"INJUSDT","INJUSDT#1686575220000",1686575220000,"5.794000","5.797000","5.792000","5.797000","9237.1",1686575279999,"53526.6037000",194,"7372.9","42724.4881000"
"INJUSDT","INJUSDT#1686575280000",1686575280000,"5.797000","5.805000","5.794000","5.794000","9945.2",1686575339999,"57683.6753000",247,"5771.8","33473.1707000"
"INJUSDT","INJUSDT#1686575340000",1686575340000,"5.795000","5.795000","5.785000","5.787000","10223.4",1686575399999,"59178.3738000",213,"4049.9","23445.5991000"
"INJUSDT","INJUSDT#1686575400000",1686575400000,"5.787000","5.792000","5.784000","5.790000","14446.3",1686575459999,"83611.5372000",281,"6782.4","39260.5855000"
"INJUSDT","INJUSDT#1686575460000",1686575460000,"5.790000","5.797000","5.789000","5.794000","9572.3",1686575519999,"55459.4399000",235,"5048.8","29251.1258000"
"INJUSDT","INJUSDT#1686575520000",1686575520000,"5.793000","5.795000","5.788000","5.794000","10249.0",1686575579999,"59349.6040000",210,"4728.1","27380.4791000"
