"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"KNCUSDT","KNCUSDT#1686592860000",1686592860000,"0.47780","0.47830","0.47760","0.47830","15506",1686592919999,"7411.12840",48,"13670","6534.13980"
"KNCUSDT","KNCUSDT#1686592920000",1686592920000,"0.47840","0.47840","0.47700","0.47710","15772",1686592979999,"7534.01850",124,"1193","569.71120"
"KNCUSDT","KNCUSDT#1686592980000",1686592980000,"0.47690","0.47690","0.47620","0.47660","34467",1686593039999,"16423.65670",117,"9193","4381.24310"
"KNCUSDT","KNCUSDT#1686593040000",1686593040000,"0.47690","0.47760","0.47690","0.47760","13466",1686593099999,"6426.48850",43,"12809","6112.83370"
"KNCUSDT","KNCUSDT#1686593100000",1686593100000,"0.47760","0.47790","0.47660","0.47660","19040",1686593159999,"9088.86150",72,"8233","3929.33130"
"KNCUSDT","KNCUSDT#1686593160000",1686593160000,"0.47670","0.47720","0.47660","0.47720","12235",1686593219999,"5834.83940",31,"10950","5222.36200"
"KNCUSDT","KNCUSDT#1686593220000",1686593220000,"0.47730","0.47740","0.47660","0.47670","4150",1686593279999,"1979.47750",25,"1260","601.26160"
"KNCUSDT","KNCUSDT#1686593280000",1686593280000,"0.47670","0.47710","0.47640","0.47650","17926",1686593339999,"8542.61890",44,"3711","1769.11590"
"KNCUSDT","KNCUSDT#1686593340000",1686593340000,"0.47650","0.47660","0.47630","0.47650","2199",1686593399999,"1047.60780",9,"1476","703.17060"
"KNCUSDT","KNCUSDT#1686593400000",1686593400000,"0.47650","0.47700","0.47640","0.47700","6644",1686593459999,"3167.42430",39,"5615","2676.99470"
"KNCUSDT","KNCUSDT#1686593460000",1686593460000,"0.47710","0.47730","0.47640","0.47640","12330",1686593519999,"5880.25420",46,"1767","842.86520"
"KNCUSDT","KNCUSDT#1686593520000",1686593520000,"0.47630","0.47670","0.47630","0.47670","6462",1686593579999,"3079.73810",23,"5769","2749.38500"
"KNCUSDT","KNCUSDT#1686593580000",1686593580000,"0.47650","0.47650","0.47640","0.47640","1032",1686593639999,"491.70020",4,"0","0.00000"
"KNCUSDT","KNCUSDT#1686593640000",1686593640000,"0.47630","0.47670","0.47630","0.47640","7388",1686593699999,"3520.91520",20,"1856","884.33160"
"KNCUSDT","KNCUSDT#1686593700000",1686593700000,"0.47630","0.47650","0.47520","0.47540","20954",1686593759999,"9972.62200",82,"6579","3130.52100"
"KNCUSDT","KNCUSDT#1686593760000",1686593760000,"0.47560","0.47590","0.47510","0.47580","22554",1686593819999,"10725.09160",64,"15572","7406.18810"
"KNCUSDT","KNCUSDT#1686593820000",1686593820000,"0.47580","0.47640","0.47580","0.47630","12615",1686593879999,"6005.88490",46,"9111","4337.38860"
"KNCUSDT","KNCUSDT#1686593880000",1686593880000,"0.47630","0.47730","0.47630","0.47730","14854",1686593939999,"7079.65270",55,"12309","5866.66640"
"KNCUSDT","KNCUSDT#1686593940000",1686593940000,"0.47740","0.47740","0.47690","0.47690","6152",1686593999999,"2935.52410",22,"1290","615.52250"
"KNCUSDT","KNCUSDT#1686594000000",1686594000000,"0.47690","0.47730","0.47640","0.47720","14164",1686594059999,"6754.73860",72,"10061","4798.31490"
"KNCUSDT","KNCUSDT#1686594060000",1686594060000,"0.47720","0.47720","0.47670","0.47680","3872",1686594119999,"1846.33870",18,"1642","782.89360"
"KNCUSDT","KNCUSDT#1686594120000",1686594120000,"0.47670","0.47750","0.47670","0.47710","7634",1686594179999,"3642.39640",31,"4588","2189.03940"
"KNCUSDT","KNCUSDT#1686594180000",1686594180000,"0.47720","0.47720","0.47650","0.47650","10698",1686594239999,"5099.76530",28,"1107","527.70690"
"KNCUSDT","KNCUSDT#1686594240000",1686594240000,"0.47650","0.47690","0.47650","0.47680","3998",1686594299999,"1906.10210",21,"3024","1441.64390"
"KNCUSDT","KNCUSDT#1686594300000",1686594300000,"0.47680","0.47680","0.47590","0.47590","15171",1686594359999,"7223.47640",55,"6645","3163.03730"
"KNCUSDT","KNCUSDT#1686594360000",1686594360000,"0.47600","0.47640","0.47600","0.47640","5523",1686594419999,"2629.63230",30,"5396","2569.13310"
"KNCUSDT","KNCUSDT#1686594420000",1686594420000,"0.47630","0.47680","0.47630","0.47680","19872",1686594479999,"9470.99900",57,"10026","4778.81880"
"KNCUSDT","KNCUSDT#1686594480000",1686594480000,"0.47670","0.47670","0.47610","0.47610","13747",1686594539999,"6547.86390",34,"1551","739.00740"
"KNCUSDT","KNCUSDT#1686594540000",1686594540000,"0.47610","0.47630","0.47610","0.47630","5403",1686594599999,"2572.71690",18,"2489","1185.15900"
"KNCUSDT","KNCUSDT#1686594600000",1686594600000,"0.47630","0.47670","0.47590","0.47650","16751",1686594659999,"7978.52890",60,"9729","4633.59700"
"KNCUSDT","KNCUSDT#1686594660000",1686594660000,"0.47660","0.47690","0.47660","0.47670","7247",1686594719999,"3455.18730",47,"2550","1215.68270"
"KNCUSDT","KNCUSDT#1686594720000",1686594720000,"0.47660","0.47660","0.47630","0.47630","9534",1686594779999,"4542.63780",48,"2833","1349.88070"
"KNCUSDT","KNCUSDT#1686594780000",1686594780000,"0.47640","0.47710","0.47640","0.47710","13095",1686594839999,"6243.10950",63,"9172","4372.84800"
"KNCUSDT","KNCUSDT#1686594840000",1686594840000,"0.47720","0.47740","0.47720","0.47730","5748",1686594899999,"2743.58770",28,"2773","1323.59440"
"KNCUSDT","KNCUSDT#1686594900000",1686594900000,"0.47730","0.47740","0.47720","0.47720","2968",1686594959999,"1416.63000",16,"913","435.84250"
"KNCUSDT","KNCUSDT#1686594960000",1686594960000,"0.47710","0.47710","0.47680","0.47690","9404",1686595019999,"4485.01900",29,"2404","1146.46760"
"KNCUSDT","KNCUSDT#1686595020000",1686595020000,"0.47690","0.47690","0.47650","0.47670","9839",1686595079999,"4690.14640",38,"5768","2749.54580"
"KNCUSDT","KNCUSDT#1686595080000",1686595080000,"0.47680","0.47680","0.47650","0.47650","3037",1686595139999,"1447.42760",11,"595","283.51750"
"KNCUSDT","KNCUSDT#1686595140000",1686595140000,"0.47650","0.47650","0.47640","0.47650","3122",1686595199999,"1487.52870",16,"2377","1132.59120"
"KNCUSDT","KNCUSDT#1686595200000",1686595200000,"0.47650","0.47680","0.47630","0.47640","12679",1686595259999,"6041.54220",44,"6980","3325.70230"
"KNCUSDT","KNCUSDT#1686595260000",1686595260000,"0.47670","0.47680","0.47650","0.47670","3821",1686595319999,"1821.18720",25,"3520","1677.73270"
"KNCUSDT","KNCUSDT#1686595320000",1686595320000,"0.47670","0.47680","0.47670","0.47680","1447",1686595379999,"689.88330",12,"1378","656.98410"
"KNCUSDT","KNCUSDT#1686595380000",1686595380000,"0.47680","0.47680","0.47670","0.47680","2767",1686595439999,"1319.21920",18,"323","154.00640"
"KNCUSDT","KNCUSDT#1686595440000",1686595440000,"0.47680","0.47680","0.47680","0.47680","632",1686595499999,"301.33760",4,"0","0.00000"
"KNCUSDT","KNCUSDT#1686595500000",1686595500000,"0.47660","0.47680","0.47650","0.47650","8645",1686595559999,"4120.32090",39,"3589","1710.60910"
"KNCUSDT","KNCUSDT#1686595560000",1686595560000,"0.47640","0.47660","0.47640","0.47660","2001",1686595619999,"953.31890",8,"1318","627.93770"
"KNCUSDT","KNCUSDT#1686595620000",1686595620000,"0.47660","0.47710","0.47660","0.47710","8880",1686595679999,"4234.36850",38,"6403","3052.77020"
"KNCUSDT","KNCUSDT#1686595680000",1686595680000,"0.47700","0.47790","0.47700","0.47770","27751",1686595739999,"13250.67450",77,"22562","10772.89060"
"KNCUSDT","KNCUSDT#1686595740000",1686595740000,"0.47770","0.47840","0.47770","0.47780","12515",1686595799999,"5982.78760",38,"4807","2297.66990"
"KNCUSDT","KNCUSDT#1686595800000",1686595800000,"0.47780","0.47800","0.47780","0.47780","6893",1686595859999,"3293.91880",27,"3120","1490.94140"
"KNCUSDT","KNCUSDT#1686595860000",1686595860000,"0.47770","0.47780","0.47770","0.47780","6143",1686595919999,"2934.70880",19,"4027","1923.89560"
"KNCUSDT","KNCUSDT#1686595920000",1686595920000,"0.47780","0.47800","0.47770","0.47800","4001",1686595979999,"1912.04770",14,"2522","1205.16920"
"KNCUSDT","KNCUSDT#1686595980000",1686595980000,"0.47790","0.47790","0.47780","0.47780","3093",1686596039999,"1477.92110",9,"58","27.71240"
"KNCUSDT","KNCUSDT#1686596040000",1686596040000,"0.47770","0.47780","0.47770","0.47780","855",1686596099999,"408.43590",4,"24","11.46720"
"KNCUSDT","KNCUSDT#1686596100000",1686596100000,"0.47770","0.47770","0.47740","0.47750","26793",1686596159999,"12794.15050",73,"8358","3991.77730"
"KNCUSDT","KNCUSDT#1686596160000",1686596160000,"0.47760","0.47760","0.47750","0.47750","3905",1686596219999,"1864.72810",10,"3905","1864.72810"
"KNCUSDT","KNCUSDT#1686596220000",1686596220000,"0.47770","0.47770","0.47730","0.47730","5196",1686596279999,"2480.41700",11,"2035","971.50900"
"KNCUSDT","KNCUSDT#1686596280000",1686596280000,"0.47730","0.47750","0.47730","0.47740","3145",1686596339999,"1501.30250",13,"2672","1275.49230"
"KNCUSDT","KNCUSDT#1686596340000",1686596340000,"0.47730","0.47750","0.47730","0.47750","3265",1686596399999,"1558.57440",15,"3265","1558.57440"
"KNCUSDT","KNCUSDT#1686596400000",1686596400000,"0.47760","0.47790","0.47700","0.47720","49899",1686596459999,"23821.13700",157,"16115","7692.06080"
