"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ROSEUSDT","ROSEUSDT#1686589260000",1686589260000,"0.04359","0.04360","0.04357","0.04357","84775",1686589319999,"3695.57949",52,"31102","1355.91542"
"ROSEUSDT","ROSEUSDT#1686589320000",1686589320000,"0.04357","0.04359","0.04352","0.04356","311312",1686589379999,"13562.76759",101,"139756","6089.00763"
"ROSEUSDT","ROSEUSDT#1686589380000",1686589380000,"0.04357","0.04361","0.04357","0.04358","204770",1686589439999,"8926.80201",74,"120353","5246.84182"
"ROSEUSDT","ROSEUSDT#1686589440000",1686589440000,"0.04358","0.04359","0.04357","0.04358","78065",1686589499999,"3402.19369",59,"31489","1372.38523"
"ROSEUSDT","ROSEUSDT#1686589500000",1686589500000,"0.04358","0.04360","0.04358","0.04360","171974",1686589559999,"7496.69389",63,"113199","4934.74311"
"ROSEUSDT","ROSEUSDT#1686589560000",1686589560000,"0.04360","0.04362","0.04360","0.04360","89859",1686589619999,"3918.41473",55,"7200","313.99695"
"ROSEUSDT","ROSEUSDT#1686589620000",1686589620000,"0.04358","0.04363","0.04358","0.04363","146426",1686589679999,"6386.21213",43,"39863","1738.74581"
"ROSEUSDT","ROSEUSDT#1686589680000",1686589680000,"0.04363","0.04364","0.04360","0.04364","93359",1686589739999,"4071.90750",51,"31192","1360.49344"
"ROSEUSDT","ROSEUSDT#1686589740000",1686589740000,"0.04364","0.04368","0.04364","0.04367","223362",1686589799999,"9753.55411",58,"167303","7305.45758"
"ROSEUSDT","ROSEUSDT#1686589800000",1686589800000,"0.04367","0.04368","0.04366","0.04366","54682",1686589859999,"2388.39183",27,"38061","1662.45534"
"ROSEUSDT","ROSEUSDT#1686589860000",1686589860000,"0.04365","0.04365","0.04360","0.04360","91579",1686589919999,"3994.83523",31,"7347","320.48988"
"ROSEUSDT","ROSEUSDT#1686589920000",1686589920000,"0.04358","0.04358","0.04352","0.04352","81093",1686589979999,"3532.02508",43,"5216","227.31328"
"ROSEUSDT","ROSEUSDT#1686589980000",1686589980000,"0.04352","0.04352","0.04344","0.04346","166060",1686590039999,"7220.16571",39,"27399","1190.56081"
"ROSEUSDT","ROSEUSDT#1686590040000",1686590040000,"0.04346","0.04351","0.04346","0.04351","743462",1686590099999,"32326.39723",83,"640739","27859.67363"
"ROSEUSDT","ROSEUSDT#1686590100000",1686590100000,"0.04352","0.04352","0.04347","0.04349","200593",1686590159999,"8723.12352",65,"97470","4238.00306"
"ROSEUSDT","ROSEUSDT#1686590160000",1686590160000,"0.04349","0.04349","0.04345","0.04345","198366",1686590219999,"8622.07371",59,"84175","3659.04356"
"ROSEUSDT","ROSEUSDT#1686590220000",1686590220000,"0.04346","0.04348","0.04344","0.04347","271382",1686590279999,"11794.23865",62,"208246","9050.03911"
"ROSEUSDT","ROSEUSDT#1686590280000",1686590280000,"0.04348","0.04348","0.04344","0.04348","234900",1686590339999,"10207.26072",54,"108207","4702.09630"
"ROSEUSDT","ROSEUSDT#1686590340000",1686590340000,"0.04347","0.04347","0.04344","0.04345","105559",1686590399999,"4586.49689",32,"68412","2972.28867"
"ROSEUSDT","ROSEUSDT#1686590400000",1686590400000,"0.04345","0.04345","0.04320","0.04328","2277155",1686590459999,"98612.66891",329,"1174328","50854.10282"
"ROSEUSDT","ROSEUSDT#1686590460000",1686590460000,"0.04326","0.04332","0.04316","0.04330","1531288",1686590519999,"66197.42646",271,"446585","19319.59975"
"ROSEUSDT","ROSEUSDT#1686590520000",1686590520000,"0.04331","0.04335","0.04321","0.04324","482585",1686590579999,"20892.69701",123,"232001","10045.15400"
"ROSEUSDT","ROSEUSDT#1686590580000",1686590580000,"0.04325","0.04348","0.04317","0.04321","3635851",1686590639999,"157453.27634",675,"1931543","83639.74043"
"ROSEUSDT","ROSEUSDT#1686590640000",1686590640000,"0.04322","0.04340","0.04322","0.04336","1174267",1686590699999,"50876.99127",230,"710926","30799.24602"
"ROSEUSDT","ROSEUSDT#1686590700000",1686590700000,"0.04338","0.04340","0.04332","0.04335","434955",1686590759999,"18858.09665",104,"185254","8033.09893"
"ROSEUSDT","ROSEUSDT#1686590760000",1686590760000,"0.04336","0.04339","0.04336","0.04338","102874",1686590819999,"4461.47028",40,"66704","2892.81464"
"ROSEUSDT","ROSEUSDT#1686590820000",1686590820000,"0.04342","0.04343","0.04339","0.04339","149512",1686590879999,"6491.06045",41,"44396","1927.62817"
"ROSEUSDT","ROSEUSDT#1686590880000",1686590880000,"0.04339","0.04339","0.04336","0.04338","165733",1686590939999,"7188.54334",43,"50096","2173.03945"
"ROSEUSDT","ROSEUSDT#1686590940000",1686590940000,"0.04339","0.04339","0.04335","0.04335","179522",1686590999999,"7785.80536",46,"101359","4396.46890"
"ROSEUSDT","ROSEUSDT#1686591000000",1686591000000,"0.04337","0.04346","0.04333","0.04346","774623",1686591059999,"33609.39623",116,"513599","22287.28754"
"ROSEUSDT","ROSEUSDT#1686591060000",1686591060000,"0.04346","0.04351","0.04342","0.04342","344415",1686591119999,"14975.25274",116,"117309","5102.07711"
"ROSEUSDT","ROSEUSDT#1686591120000",1686591120000,"0.04343","0.04344","0.04334","0.04334","570530",1686591179999,"24760.28388",161,"276947","12020.98843"
"ROSEUSDT","ROSEUSDT#1686591180000",1686591180000,"0.04335","0.04335","0.04324","0.04326","530235",1686591239999,"22951.16820",168,"228314","9882.03995"
"ROSEUSDT","ROSEUSDT#1686591240000",1686591240000,"0.04325","0.04325","0.04321","0.04325","263024",1686591299999,"11373.31319",91,"160652","6946.76403"
"ROSEUSDT","ROSEUSDT#1686591300000",1686591300000,"0.04325","0.04331","0.04322","0.04329","302413",1686591359999,"13082.89087",119,"99229","4292.27028"
"ROSEUSDT","ROSEUSDT#1686591360000",1686591360000,"0.04330","0.04330","0.04318","0.04320","667300",1686591419999,"28844.71912",111,"196464","8494.08828"
"ROSEUSDT","ROSEUSDT#1686591420000",1686591420000,"0.04320","0.04326","0.04318","0.04323","117184",1686591479999,"5063.93604",55,"39198","1694.12005"
