"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"STGUSDT","STGUSDT#1686528060000",1686528060000,"0.5338000","0.5342000","0.5337000","0.5342000","24153",1686528119999,"12897.1542000",164,"15704","8386.2264000"
"STGUSDT","STGUSDT#1686528120000",1686528120000,"0.5341000","0.5345000","0.5341000","0.5344000","24648",1686528179999,"13170.5573000",122,"13045","6970.5920000"
"STGUSDT","STGUSDT#1686528180000",1686528180000,"0.5346000","0.5355000","0.5346000","0.5354000","44185",1686528239999,"23639.1673000",179,"25922","13866.1309000"
"STGUSDT","STGUSDT#1686528240000",1686528240000,"0.5355000","0.5356000","0.5347000","0.5347000","19110",1686528299999,"10230.5081000",115,"6964","3728.9422000"
"STGUSDT","STGUSDT#1686528300000",1686528300000,"0.5348000","0.5350000","0.5335000","0.5340000","47646",1686528359999,"25448.9623000",183,"33124","17691.2312000"
"STGUSDT","STGUSDT#1686528360000",1686528360000,"0.5340000","0.5343000","0.5338000","0.5338000","33209",1686528419999,"17733.1684000",85,"24083","12860.1363000"
"STGUSDT","STGUSDT#1686528420000",1686528420000,"0.5337000","0.5340000","0.5332000","0.5334000","61761",1686528479999,"32946.3814000",88,"10223","5453.7310000"
"STGUSDT","STGUSDT#1686528480000",1686528480000,"0.5333000","0.5335000","0.5327000","0.5327000","18592",1686528539999,"9911.8748000",77,"2827","1507.3291000"
"STGUSDT","STGUSDT#1686528540000",1686528540000,"0.5328000","0.5340000","0.5328000","0.5338000","36504",1686528599999,"19471.4130000",89,"27955","14908.1978000"
"STGUSDT","STGUSDT#1686528600000",1686528600000,"0.5340000","0.5346000","0.5334000","0.5335000","26819",1686528659999,"14321.3093000",91,"5269","2813.8718000"
"STGUSDT","STGUSDT#1686528660000",1686528660000,"0.5334000","0.5341000","0.5334000","0.5340000","7729",1686528719999,"4125.4016000",34,"5346","2853.0329000"
"STGUSDT","STGUSDT#1686528720000",1686528720000,"0.5341000","0.5345000","0.5339000","0.5340000","8740",1686528779999,"4668.6482000",42,"3559","1901.0095000"
"STGUSDT","STGUSDT#1686528780000",1686528780000,"0.5339000","0.5339000","0.5335000","0.5335000","2529",1686528839999,"1349.6574000",21,"579","308.9285000"
"STGUSDT","STGUSDT#1686528840000",1686528840000,"0.5336000","0.5340000","0.5336000","0.5340000","7152",1686528899999,"3818.2341000",27,"4864","2596.7109000"
"STGUSDT","STGUSDT#1686528900000",1686528900000,"0.5340000","0.5341000","0.5326000","0.5326000","34498",1686528959999,"18398.8004000",106,"7193","3835.1868000"
"STGUSDT","STGUSDT#1686528960000",1686528960000,"0.5324000","0.5324000","0.5314000","0.5315000","9594",1686529019999,"5102.1977000",43,"3492","1857.0293000"
"STGUSDT","STGUSDT#1686529020000",1686529020000,"0.5316000","0.5317000","0.5312000","0.5314000","5030",1686529079999,"2673.1884000",30,"1469","780.7775000"
"STGUSDT","STGUSDT#1686529080000",1686529080000,"0.5314000","0.5315000","0.5307000","0.5310000","17583",1686529139999,"9338.2957000",66,"9652","5126.0705000"
"STGUSDT","STGUSDT#1686529140000",1686529140000,"0.5308000","0.5308000","0.5303000","0.5308000","10574",1686529199999,"5610.3370000",44,"3538","1877.2745000"
"STGUSDT","STGUSDT#1686529200000",1686529200000,"0.5308000","0.5310000","0.5297000","0.5302000","25492",1686529259999,"13519.5819000",87,"8132","4312.3378000"
"STGUSDT","STGUSDT#1686529260000",1686529260000,"0.5302000","0.5313000","0.5302000","0.5311000","29796",1686529319999,"15811.4804000",97,"18818","9983.9213000"
"STGUSDT","STGUSDT#1686529320000",1686529320000,"0.5314000","0.5317000","0.5305000","0.5305000","17758",1686529379999,"9431.3140000",67,"4179","2220.2484000"
"STGUSDT","STGUSDT#1686529380000",1686529380000,"0.5305000","0.5307000","0.5300000","0.5303000","13991",1686529439999,"7420.6360000",40,"4713","2499.7701000"
"STGUSDT","STGUSDT#1686529440000",1686529440000,"0.5302000","0.5308000","0.5302000","0.5306000","5350",1686529499999,"2838.3280000",22,"2767","1467.8191000"
"STGUSDT","STGUSDT#1686529500000",1686529500000,"0.5303000","0.5303000","0.5293000","0.5294000","19932",1686529559999,"10560.3782000",80,"10371","5495.2684000"
"STGUSDT","STGUSDT#1686529560000",1686529560000,"0.5294000","0.5302000","0.5294000","0.5302000","10567",1686529619999,"5599.2158000",50,"7028","3723.5329000"
"STGUSDT","STGUSDT#1686529620000",1686529620000,"0.5300000","0.5303000","0.5299000","0.5303000","10971",1686529679999,"5814.7467000",41,"2831","1500.7739000"
"STGUSDT","STGUSDT#1686529680000",1686529680000,"0.5302000","0.5302000","0.5300000","0.5300000","1345",1686529739999,"713.0131000",17,"483","256.0110000"
