"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"THETAUSDT","THETAUSDT#1686600060000",1686600060000,"0.6459","0.6460","0.6457","0.6458","10081.1",1686600119999,"6511.12861",82,"5706.3","3685.86002"
"THETAUSDT","THETAUSDT#1686600120000",1686600120000,"0.6458","0.6458","0.6451","0.6454","20307.5",1686600179999,"13108.42563",88,"5718.5","3690.27227"
"THETAUSDT","THETAUSDT#1686600180000",1686600180000,"0.6455","0.6456","0.6454","0.6456","3202.0",1686600239999,"2067.02160",73,"2999.4","1936.25104"
"THETAUSDT","THETAUSDT#1686600240000",1686600240000,"0.6457","0.6460","0.6456","0.6457","13713.2",1686600299999,"8855.59856",101,"9608.2","6204.78979"
"THETAUSDT","THETAUSDT#1686600300000",1686600300000,"0.6457","0.6458","0.6456","0.6458","17417.7",1686600359999,"11246.66771",84,"11077.8","7152.93546"
"THETAUSDT","THETAUSDT#1686600360000",1686600360000,"0.6458","0.6458","0.6456","0.6457","3805.1",1686600419999,"2457.24500",26,"832.6","537.60982"
"THETAUSDT","THETAUSDT#1686600420000",1686600420000,"0.6457","0.6460","0.6455","0.6457","21912.9",1686600479999,"14149.77267",84,"7031.6","4540.61225"
"THETAUSDT","THETAUSDT#1686600480000",1686600480000,"0.6457","0.6457","0.6456","0.6457","3280.4",1686600539999,"2118.07983",16,"2161.0","1395.28325"
"THETAUSDT","THETAUSDT#1686600540000",1686600540000,"0.6458","0.6469","0.6458","0.6469","6843.1",1686600599999,"4423.52762",60,"6816.7","4406.47322"
"THETAUSDT","THETAUSDT#1686600600000",1686600600000,"0.6469","0.6482","0.6469","0.6482","43529.0",1686600659999,"28188.08686",164,"25693.1","16634.54758"
"THETAUSDT","THETAUSDT#1686600660000",1686600660000,"0.6483","0.6483","0.6479","0.6481","13903.7",1686600719999,"9011.57359",75,"6650.6","4310.59935"
"THETAUSDT","THETAUSDT#1686600720000",1686600720000,"0.6479","0.6479","0.6477","0.6477","4546.1",1686600779999,"2944.99610",22,"491.5","318.39370"
"THETAUSDT","THETAUSDT#1686600780000",1686600780000,"0.6478","0.6481","0.6478","0.6478","13484.5",1686600839999,"8737.04039",46,"8117.9","5260.13106"
"THETAUSDT","THETAUSDT#1686600840000",1686600840000,"0.6477","0.6482","0.6477","0.6481","8674.5",1686600899999,"5620.64364",66,"5105.8","3308.29789"
"THETAUSDT","THETAUSDT#1686600900000",1686600900000,"0.6481","0.6488","0.6481","0.6486","21344.3",1686600959999,"13842.56851",124,"13767.5","8928.36115"
"THETAUSDT","THETAUSDT#1686600960000",1686600960000,"0.6486","0.6489","0.6485","0.6488","19196.2",1686601019999,"12452.44298",58,"9596.0","6225.57290"
"THETAUSDT","THETAUSDT#1686601020000",1686601020000,"0.6484","0.6484","0.6481","0.6483","6012.3",1686601079999,"3897.42611",33,"1502.5","973.79037"
"THETAUSDT","THETAUSDT#1686601080000",1686601080000,"0.6482","0.6482","0.6480","0.6481","4031.4",1686601139999,"2612.67295",20,"1074.4","696.25642"
"THETAUSDT","THETAUSDT#1686601140000",1686601140000,"0.6482","0.6488","0.6482","0.6484","17796.9",1686601199999,"11540.85655",46,"9362.1","6070.68299"
"THETAUSDT","THETAUSDT#1686601200000",1686601200000,"0.6483","0.6491","0.6483","0.6486","14848.7",1686601259999,"9632.32372",49,"10465.7","6789.01103"
"THETAUSDT","THETAUSDT#1686601260000",1686601260000,"0.6488","0.6493","0.6488","0.6492","9504.1",1686601319999,"6169.81328",48,"7137.8","4633.65461"
"THETAUSDT","THETAUSDT#1686601320000",1686601320000,"0.6493","0.6496","0.6492","0.6493","12881.5",1686601379999,"8365.07211",45,"1011.3","656.64735"
"THETAUSDT","THETAUSDT#1686601380000",1686601380000,"0.6494","0.6503","0.6494","0.6499","53505.8",1686601439999,"34778.37928",101,"45011.3","29258.71854"
"THETAUSDT","THETAUSDT#1686601440000",1686601440000,"0.6499","0.6505","0.6498","0.6503","12177.9",1686601499999,"7918.37387",64,"7806.4","5076.08957"
"THETAUSDT","THETAUSDT#1686601500000",1686601500000,"0.6503","0.6504","0.6501","0.6502","10814.4",1686601559999,"7031.33756",38,"3978.0","2586.23331"
"THETAUSDT","THETAUSDT#1686601560000",1686601560000,"0.6503","0.6505","0.6503","0.6505","5667.1",1686601619999,"3685.64308",27,"4111.3","2673.90634"
"THETAUSDT","THETAUSDT#1686601620000",1686601620000,"0.6505","0.6509","0.6504","0.6505","14194.6",1686601679999,"9235.42831",55,"7839.0","5100.19432"
"THETAUSDT","THETAUSDT#1686601680000",1686601680000,"0.6506","0.6507","0.6505","0.6506","5064.5",1686601739999,"3295.08260",43,"2768.1","1800.92586"
"THETAUSDT","THETAUSDT#1686601740000",1686601740000,"0.6508","0.6512","0.6508","0.6511","9051.1",1686601799999,"5891.97153",33,"2736.7","1781.44766"
"THETAUSDT","THETAUSDT#1686601800000",1686601800000,"0.6511","0.6513","0.6503","0.6503","19383.7",1686601859999,"12614.28306",58,"3032.6","1974.79869"
"THETAUSDT","THETAUSDT#1686601860000",1686601860000,"0.6502","0.6503","0.6498","0.6498","7810.2",1686601919999,"5077.34536",36,"1092.4","710.36910"
"THETAUSDT","THETAUSDT#1686601920000",1686601920000,"0.6498","0.6498","0.6497","0.6497","4875.9",1686601979999,"3168.35641",14,"1402.4","911.27952"
"THETAUSDT","THETAUSDT#1686601980000",1686601980000,"0.6498","0.6499","0.6498","0.6498","18859.4",1686602039999,"12255.07198",71,"18775.8","12200.74870"
"THETAUSDT","THETAUSDT#1686602040000",1686602040000,"0.6498","0.6500","0.6498","0.6500","1990.0",1686602099999,"1293.37914",29,"1919.8","1247.76318"
"THETAUSDT","THETAUSDT#1686602100000",1686602100000,"0.6500","0.6502","0.6498","0.6498","10570.8",1686602159999,"6869.91012",55,"5050.7","3282.30098"
"THETAUSDT","THETAUSDT#1686602160000",1686602160000,"0.6499","0.6503","0.6499","0.6502","4565.4",1686602219999,"2968.17462",35,"3777.3","2455.71963"
"THETAUSDT","THETAUSDT#1686602220000",1686602220000,"0.6502","0.6503","0.6501","0.6502","6962.0",1686602279999,"4526.52814",34,"955.2","621.09343"
"THETAUSDT","THETAUSDT#1686602280000",1686602280000,"0.6503","0.6505","0.6502","0.6505","4536.3",1686602339999,"2950.51425",56,"2362.2","1536.37050"
"THETAUSDT","THETAUSDT#1686602340000",1686602340000,"0.6505","0.6508","0.6504","0.6506","6399.6",1686602399999,"4163.41221",57,"3668.3","2386.55893"
"THETAUSDT","THETAUSDT#1686602400000",1686602400000,"0.6506","0.6507","0.6501","0.6501","16855.8",1686602459999,"10963.11532",88,"3100.5","2016.49409"
"THETAUSDT","THETAUSDT#1686602460000",1686602460000,"0.6502","0.6509","0.6502","0.6507","10643.4",1686602519999,"6924.63607",65,"8225.5","5351.20199"
"THETAUSDT","THETAUSDT#1686602520000",1686602520000,"0.6507","0.6507","0.6507","0.6507","3064.8",1686602579999,"1994.26536",17,"0.0","0.00000"
"THETAUSDT","THETAUSDT#1686602580000",1686602580000,"0.6506","0.6506","0.6504","0.6504","1083.4",1686602639999,"704.83114",5,"144.5","93.98280"
"THETAUSDT","THETAUSDT#1686602640000",1686602640000,"0.6504","0.6506","0.6504","0.6506","6981.6",1686602699999,"4541.85489",29,"3415.1","2221.48999"
"THETAUSDT","THETAUSDT#1686602700000",1686602700000,"0.6506","0.6506","0.6499","0.6499","14261.9",1686602759999,"9271.46743",65,"2776.1","1804.42040"
"THETAUSDT","THETAUSDT#1686602760000",1686602760000,"0.6499","0.6501","0.6499","0.6500","7560.9",1686602819999,"4914.85776",25,"4123.8","2680.70155"
"THETAUSDT","THETAUSDT#1686602820000",1686602820000,"0.6500","0.6502","0.6500","0.6501","11993.3",1686602879999,"7797.15655",41,"7786.8","5062.35622"
"THETAUSDT","THETAUSDT#1686602880000",1686602880000,"0.6502","0.6502","0.6497","0.6497","32918.6",1686602939999,"21392.41874",67,"7063.5","4589.42903"
"THETAUSDT","THETAUSDT#1686602940000",1686602940000,"0.6496","0.6496","0.6493","0.6493","9619.3",1686602999999,"6246.98368",14,"37.7","24.48238"
"THETAUSDT","THETAUSDT#1686603000000",1686603000000,"0.6492","0.6493","0.6491","0.6491","6028.6",1686603059999,"3913.93740",36,"4416.2","2867.17596"
"THETAUSDT","THETAUSDT#1686603060000",1686603060000,"0.6492","0.6501","0.6492","0.6501","16807.4",1686603119999,"10916.60527",48,"16471.7","10698.60169"
"THETAUSDT","THETAUSDT#1686603120000",1686603120000,"0.6500","0.6501","0.6496","0.6501","24406.0",1686603179999,"15860.83802",70,"14701.7","9554.70132"
"THETAUSDT","THETAUSDT#1686603180000",1686603180000,"0.6502","0.6502","0.6500","0.6500","3533.8",1686603239999,"2297.18500",24,"801.0","520.77021"
"THETAUSDT","THETAUSDT#1686603240000",1686603240000,"0.6500","0.6500","0.6497","0.6498","11763.9",1686603299999,"7644.73557",44,"2613.4","1698.26866"
"THETAUSDT","THETAUSDT#1686603300000",1686603300000,"0.6499","0.6499","0.6499","0.6499","3705.3",1686603359999,"2408.07447",30,"2852.3","1853.70977"
"THETAUSDT","THETAUSDT#1686603360000",1686603360000,"0.6499","0.6499","0.6498","0.6499","4440.1",1686603419999,"2885.58686",22,"2673.2","1737.31268"
"THETAUSDT","THETAUSDT#1686603420000",1686603420000,"0.6499","0.6499","0.6499","0.6499","2396.4",1686603479999,"1557.42036",5,"0.0","0.00000"
"THETAUSDT","THETAUSDT#1686603480000",1686603480000,"0.6499","0.6499","0.6497","0.6497","3221.1",1686603539999,"2093.10630",28,"1773.2","1152.32300"
"THETAUSDT","THETAUSDT#1686603540000",1686603540000,"0.6497","0.6500","0.6497","0.6498","21351.3",1686603599999,"13875.27828",55,"8584.7","5578.94981"
"THETAUSDT","THETAUSDT#1686603600000",1686603600000,"0.6499","0.6502","0.6493","0.6493","29405.9",1686603659999,"19104.19889",119,"6297.7","4091.08296"
